,2021-12-31,一汽解放： 拓展商用车后市场 培育更多盈利增长点,发布易
0,2021-12-30,汽车板块午后回落，比亚迪、中国重汽、一汽解放翻绿,Wind
1,2021-12-29,赢有道 战必胜 2022解放商务年会召开！,卡车之家
2,2021-12-29,一汽解放与星星充电在常州签署战略合作协议，加速推进“零碳城市”政策落地,Ofweek
3,2021-12-28,一汽解放：目前，佛山基地按计划施工建设，计划2022年6月开始投产,每日经济新闻
4,2021-12-28,一汽解放：公司与佛山仙湖实验室建立战略合作关系，进行燃料电池关键技术开发,每日经济新闻
5,2021-12-28,一汽解放：公司在新能源产品方面有布局重、中、轻、微、客5大整车产品平台,Wind
6,2021-12-28,一汽解放：公司主要从事商用车产品的研发、生产和销售，不包括乘用车,Wind
7,2021-12-28,一汽解放：公司一直积极布局电动重卡,财联社
8,2021-12-28,一汽解放与星星充电签署战略合作协议 致力充换电网发展,第一电动网
9,2021-12-25,解放新能源事业部：打造新能源生态圈,卡车之家
10,2021-12-24,大柴工厂行 探秘铂威、劲威诞生全过程,卡车之家
11,2021-12-23,一汽解放与星星充电共同打造充换电网、智能微网和移动储能网三网融合,北极星电力
12,2021-12-23,启明信息：公司目前主要为一汽解放部分车型供货,Wind
13,2021-12-22,一汽解放与星星充电签署战略合作协议,证券时报网
14,2021-12-22,一汽解放CIO陈磊：携手华为持续践行数字化转型之路,凤凰网
15,2021-12-22,中国机甲计划最新进展 实车重构解放机甲 预告发布,凤凰网
16,2021-12-21,一汽解放新能源轻卡基地投产，青岛汽车产业阵营再扩军,财经网
17,2021-12-21,航天科技：公司产品主要应用于商用车，主要合作车企有一汽解放,每日经济新闻
18,2021-12-17,国产高端又一代表作！一汽解放鹰途发布,卡车之家
19,2021-12-17,智鹰畅途 一汽解放鹰途产品正式发布,卡车之家
20,2021-12-17,车市速看：解放全新高端重卡鹰途发布,卡车之家
21,2021-12-17,扛鼎之作！解放动力劲威2.5L双子星上市,卡车之家
22,2021-12-16,大洋电机：公司保持与所有新能源汽车整车厂开展合作的可能,每日经济新闻
23,2021-12-16,机器人：移动机器人批量进驻一汽解放J7智能工厂,e公司
24,2021-12-15,智能驾驶技术场景化，谁先拔得头筹？| 2021 最佳 AI 数智化年度榜,雷锋网
25,2021-12-15,树立商用车智能制造新标杆 一汽解放J7整车智能工厂投产,中证网
26,2021-12-14,期待！一汽解放新品鹰途即将发布下线,卡车之家
27,2021-12-14,一汽解放J7整车智能工厂投产 民族汽车品牌迎来产业升级,中新网
28,2021-12-14,喜讯 一汽解放J7整车智能工厂落成投产,卡车之家
29,2021-12-10,迈赫股份：公司在新能源汽车制造领域的直接或间接客户包含南充吉利、一汽解放等,每日经济新闻
30,2021-12-10,11月我国汽车销量环比增长8.1% 中汽协：预计全年产销量超2600万辆,每日经济新闻
31,2021-12-09,一汽解放(000800.SZ)：参股公司一汽财务拟将实收资本由26亿元增至100亿元,格隆汇
32,2021-12-09,一汽解放(000800.SZ)向33名激励对象授予372.16万股限制性股票,智通财经
33,2021-12-09,“十四五”农村规划吹风会两大要点：消费更新+粮食安全，五大板块异动！,Wind
34,2021-12-08,协鑫能科、远景动力、一汽解放就换电业务签约,Ofweek
35,2021-12-08,一汽解放月销量骤降逾53% 将投超300亿加快新能源转型 盈利能力下降,长江商报
36,2021-12-08,一汽解放与协鑫能科、远景动力签署战略合作协议,凤凰网
37,2021-12-08,打通重卡换电产业链 协鑫能科与一汽解放、远景动力签署战略合作协议,中证网
38,2021-12-07,晚间重要公告2021年12月7日星期二,Wind
39,2021-12-07,一汽解放11月重卡销量企稳 环比增长7.3%,中证网
40,2021-12-07,一汽解放：前11个月货车、客车合计销量同比减少11.79% 盈利能力下降,Wind
41,2021-12-07,一汽解放(000800.SZ)：11月销量1.41万辆 同比下降53.62% 盈利能力下降,格隆汇
42,2021-12-07,一汽解放(000800.SZ)前11个月货车、客车合计销量同比减少11.79%至41.39万辆 盈利能力下降,智通财经
43,2021-12-02,一汽解放：公司在氢燃料方面积极布局,每日经济新闻
44,2021-11-30,科博达(603786)：车载控制器龙头 多元化产品矩阵打开成长空间,新浪
45,2021-11-30,“双碳”大考，从中国一汽看车企答卷,第一财经
46,2021-11-30,启明信息：公司目前为一汽解放提供商用车行驶记录仪产品及服务,每日经济新闻
47,2021-11-29,中国日报报道“远景零碳产业园”：零碳新工业从黄河“几”字弯策源,北国网
48,2021-11-26,解放助力鱼快创领&安能物流战略签约,卡车之家
49,2021-11-25,速腾聚创获挚途科技前装量产定点,盖世汽车
50,2021-11-24,启明信息：公司目前为一汽解放提供商用车行驶记录仪产品及服务，未来针对乘用车领域会根据市场情况和公司自身发展战略统筹安排,每日经济新闻
51,2021-11-24,启明信息：公司目前为一汽解放提供商用车行驶记录仪产品及服务,格隆汇
52,2021-11-23,乘联会：17家重点车企前三季度利润增长1.8%，3家亏损,Wind
53,2021-11-23,乘联会：整车上市公司前三季度营收净利各有千秋,Wind
54,2021-11-23,港股异动 | 中联重科(01157)午后涨超5% 近日与一汽解放签署战略合作协议,智通财经
55,2021-11-22,一汽解放：在高速场景公司拥有自主研发并量产高安全、高可靠的线控平台，具备L2+以及L3级智能车量产前装能力,每日经济新闻
56,2021-11-22,一汽解放：公司从事商用车产品的研发、生产和销售，不包括“红旗”乘用车产品,Wind
57,2021-11-22,一汽解放：公司从事商用车产品的研发、生产和销售，不包括“红旗”乘用车产品,每日经济新闻
58,2021-11-20,一汽解放与中联重科签署战略合作协议,中证网
59,2021-11-20,中交兴路与河钢合作，建设数字绿色钢厂；一汽解放与中联重科合作，推动新能源产业智能化 | 36氪大公司数字创新指南1122,36氪
60,2021-11-19,国六倒逼车企升级 解放缘何出奇制胜？,卡车之家
61,2021-11-19,11月19日致远新能涨停分析：氢能源/燃料电池，天然气概念热股,证券之星
62,2021-11-18,格力电器(000651)：拟控股盾安环境 增强产业链实力 新能源布局更进一步,新浪
63,2021-11-18,“玩车达人”王曰洪 “子母车”探路者,卡车之家
64,2021-11-18,做好新能源转型“必答题” 一汽解放胡汉杰：我们要向华为学习,每经头条
65,2021-11-17,解放青汽：五载深耕布局 引领国六发展,卡车之家
66,2021-11-17,电动、混动、氢能，新能源重卡谁主沉浮？,中国机经网
67,2021-11-16,一汽解放与华为全面深化战略合作,中证网
68,2021-11-15,305家公司公布最新股东户数,证券之星
69,2021-11-14,一汽解放：挚途科技完成首次超亿元融资 推动解放智能车产业发展,中证网
70,2021-11-14,一汽解放为何布局新能源,经济日报
71,2021-11-12,独家 | 国家队领投一汽旗下商用车自动驾驶公司,财经杂志
72,2021-11-12,一汽解放发起成立，自动驾驶企业挚途科技完成超亿元首轮融资,猎云网
73,2021-11-12,挚途科技完成超亿元首次融资，国家队领衔商用车自动驾驶落地,财经网
74,2021-11-11,解放动力一年一度的311用户日如期而至,卡车之家
75,2021-11-11,全力保障“双十一” 解放“货”力全开,卡车之家
76,2021-11-09,Wind风控日报2021年11月9日星期二,Wind
77,2021-11-09,盘前必读丨央行推出碳减排支持工具，宁德时代携手哪吒汽车,第一财经
78,2021-11-09,上市公司正负面新闻2021年11月9日星期二,Wind
79,2021-11-08,晚间重要公告2021年11月8日星期一,Wind
80,2021-11-08,一汽解放(000800.SZ)10月份汽车汽车销量13739辆,智通财经
81,2021-11-08,一汽解放：1-10月汽车销量合计399757辆 同比下降8.88% 盈利能力下降,e公司
82,2021-11-08,一汽解放：10月总销量约1.37万辆，同比减少60.36% 盈利能力下降,每日经济新闻
83,2021-11-08,一汽解放(000800.SZ)10月销量1.37万辆 同比下降60.36% 盈利能力下降,格隆汇
84,2021-11-08,一汽解放：1-10月汽车销量39.98万辆 同比下降8.88% 盈利能力下降,财联社
85,2021-11-08,燃料电池迎政策利好，多家上市公司布局相关业务,Wind
86,2021-11-03,一汽解放接受32家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
87,2021-11-03,一汽解放：至2025年解放新能源整车销量占总销量20%以上,e公司
88,2021-11-02,中国首家商用车品牌海外车联网平台上线,硅谷动力
89,2021-11-01,重磅 一汽解放货运平台11月1日正式上线,卡车之家
