,2021-12-31,钠离子电池将进入量产时代，锂电池会被取代吗？,华夏时报
0,2021-12-31,A股光伏治沙绝对龙头，联手三峡能源，建200万千瓦项目，股价5元,搜狐
1,2021-12-31,金风科技(002202.SZ)股东三峡能源减持5323.50万股 减持期限已届满 减持股份,智通财经
2,2021-12-31,金风科技：股东三峡能源累计减持1.26%股份 减持股份,Wind
3,2021-12-31,金风科技(02208)：减持计划期限届满 三峡能源合共减持5323.5万股,智通财经
4,2021-12-31,金风科技(02208.HK)：三峡能源累计减持5323万股 减持期限已届满 减持股份,格隆汇
5,2021-12-31,阳光电源：公司风电变流器市占率在国内处于行业领先水平,每日经济新闻
6,2021-12-31,"三峡能源现1笔大宗交易 共成交1,346.00万元",新浪
7,2021-12-31,三峡能源今日大宗交易成交200万股，成交价6.73元折价10.39%,Wind
8,2021-12-31,北向资金动向盘点：多点开花，平均推进,Wind
9,2021-12-31,北向资金扫货A股81亿元 增持银行减持电力（个股名单） 减持股份,21世纪经济报道
10,2021-12-30,三峡集团首个独立储能电站首期项目成功并网,Wind
11,2021-12-30,2021龙虎榜百强营业部出炉！稳居第一的又是它,Wind
12,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
13,2021-12-30,今年A股IPO数量创历史新高，超两成上市公司实现超募！,Wind
14,2021-12-30,三峡乌兰察布新一代电网友好绿色电站成功并网试运行,Wind
15,2021-12-30,A股融资融券日报：两融余额减少8.94亿元（12月29日）,Wind
16,2021-12-30,【三峡乌兰察布新一代电网友好绿色电站示范项目首批机组成功并网试运行】财联社12月30日电，昨日上午，由中国三峡新能源（集团）股份有限公司投资的三峡乌兰察布新一代电网友好绿色电站示范项目首批机组成功并,财联社
17,2021-12-30,回望2021IPO！最强新股首日暴涨19倍,Wind
18,2021-12-29,三峡能源：三峡乌兰察布新一代电网友好绿色电站示范项目首批机组成功并网试运行,证券时报网
19,2021-12-29,A股年末“瘦身”大作战，有公司以“子”抵债，有公司忙甩卖,搜狐
20,2021-12-29,255万亿元！A股年成交金额创纪录！成交金额最大的股竟是它,北京商报
21,2021-12-29,新能源运营商成长性凸显 建议关注三峡能源(600905.SH)等,智通财经
22,2021-12-29,A股融资融券日报：两融余额增加34.59亿元（12月28日）,Wind
23,2021-12-28,电力股大幅调整 32亿主力出逃 机构：持续看好低碳绿电板块,第一财经
24,2021-12-28,三峡能源、中国广核、中国核电，谁是盈利能力最强的新能源发电企业？,Ofweek
25,2021-12-28,破发愈演愈烈，“三高”发行何时休？,Wind
26,2021-12-28,明阳智能：拟向三峡能源转让阳江明阳全部股权,资本邦
27,2021-12-28,时隔8月再易主，明阳沙扒300MW海风项目终落三峡能源,中国能源网china5e
28,2021-12-28,龙虎榜机构抢筹股曝光，两大资金同时买入这些股,Wind
29,2021-12-28,公用事业事件点评：新版“两个细则”出台 辅助服务市场化加速,国海证券
30,2021-12-28,A股融资融券日报：两融余额增加29.17亿元（12月27日）,Wind
31,2021-12-28,全年IPO超500家，哪些券商投行“赚嗨”了？,Wind
32,2021-12-27,晚间重要公告2021年12月27日星期一,Wind
33,2021-12-27,12月两融余额缩水超200亿，3股逆势获净买入超10亿！,Wind
34,2021-12-27,明阳智能：拟17.57亿元向三峡能源转让子公司100%股权,财联社
35,2021-12-27,最新融资客与北上资金重点加仓名单,Wind
36,2021-12-27,三峡能源VS太阳能～三峡能源的实力确实不可小觑,深水财经社
37,2021-12-27,三峡能源VS特变电工～三峡跟其他企业比还是不错的,深水财经社
38,2021-12-27,三峡能源VS长江电力～三峡虽强但是在行业大佬面前差多了,深水财经社
39,2021-12-27,A股融资融券日报：两融余额减少95.83亿元（12月24日）,Wind
40,2021-12-27,A股早报2021年12月27日星期一,Wind
41,2021-12-27,2021年最后一批新股申购，这只备受关注,Wind
42,2021-12-27,三峡能源等4股获融资净买入超亿元,第一财经
43,2021-12-25,海锅股份：三峡能源，中广核新能源不是公司直接客户,每日经济新闻
44,2021-12-25,广东、江苏三大海上风电项目并网发电，海风开发向深远海进发,澎湃新闻
45,2021-12-25,全球首条，钠电池量产迈出关键一步，一份资金加仓的概念股名单送给您,证券时报
46,2021-12-25,“宁组合”、“茅指数”再次切换？,Wind
47,2021-12-25,“宁王”大跌7%，原因找到了！基金经理在调仓,Wind
48,2021-12-24,12月资金动向追踪：中小市值受青睐，两大产业链流出严重！,--
49,2021-12-24,光大证券：新能源运营商或迎价值重估 推荐三峡能源(600905.SH)、太阳能(000591.SZ)等,智通财经
50,2021-12-24,A股资金流向：“弃宁投茅”显露调仓痕迹,Wind
51,2021-12-24,1.65亿 正泰电器拟将10个集中式光伏电站项目转让给三峡能源,索比光伏网
52,2021-12-24,和讯SGI公司| 宁德时代罕见重挫超8%，市值一日蒸发1200亿！竟是因一篇文章刷屏？,和讯
53,2021-12-24,宁王大跌7%，锂电全线急挫，3大利空突袭？,Wind
54,2021-12-24,"突发！""宁王""暴跌近千亿，锂电全线急挫，三大利空突袭？高瓴出手，3000亿巨头也跪了，发生了什么？",券商中国
55,2021-12-24,长江电力涨超3%，创历史新高,Wind
56,2021-12-24,挑战海风平价——概算低至13356元/kw（2024年建成） 广东海风平价浪潮之后谁接力？,北极星电力
57,2021-12-24,融资客青睐14股，三旺通信买入占比高达56.58%,Wind
58,2021-12-24,A股早报2021年12月24日星期五,Wind
59,2021-12-24,A股融资融券日报：两融余额增加19.59亿元（12月23日）,Wind
60,2021-12-24,每日理财观察：A股明年机会在哪？两大基金策略出炉,Wind
61,2021-12-24,北向资金动向盘点：逢高减持食品饮料,Wind
62,2021-12-23,【趣点】首个钠离子电池项目落地在望，哪些投资机遇可挖掘？,财华社
63,2021-12-23,正泰电器：拟将10个集中式光伏电站项目转让给三峡能源,上证报
64,2021-12-23,晚间重要公告2021年12月23日星期四,Wind
65,2021-12-23,稀土龙头被砸盘，主力出逃资金超15亿，尾盘资金杀入果链龙头,证券时报网
66,2021-12-23,沪港通十大成交活跃股排名（12月23日）,Wind
67,2021-12-23,金融街下午茶2021年12月23日星期四,Wind
68,2021-12-23,北向资金加仓近25亿结束连续4日净卖出，宁德时代净买入4.74亿元,Wind
69,2021-12-23,钠电池有望加速商业化：全球首条规模量产线拟开启建设 产品将用于储能项目,财联社
70,2021-12-23,正泰电器出售部分集中式光伏电站，2021年净利润预计将增加6400万,索比光伏网
71,2021-12-23,三峡能源、三峡资本携手安徽省阜阳市、中科海钠打造全球首条钠离子电池规模化量产线,证券时报网
72,2021-12-23,专用设备行业点评：三峡能源投资400亿布局3GW海风项目 海风平价时代曙光已至,新浪
73,2021-12-23,浙江正泰转让杭州泰景100%股权给三峡能源,北极星电力
74,2021-12-23,A股资金流向：“妖股”行情暂告段落，绿电板块重回主线核心,Wind
75,2021-12-23,正泰电器拟1.65亿元转让泰景光伏发电100%股权,乐居财经
76,2021-12-23,正泰电器(601877.SH)：拟以1.65亿元转让杭州泰景100%股权予三峡能源,格隆汇
77,2021-12-23,正泰电器：拟将杭州泰景100%股权转让予三峡能源,财联社
78,2021-12-23,正泰电器：1.65亿元出售部分集中式光伏电站项目公司股权,Wind
79,2021-12-23,再次大涨!绿电板块机构频频关注或为明年新赛道?,证券之星
80,2021-12-23,中科海钠宣布与三峡能源等共建全球首条钠离子电池规模化量产线,财联社
81,2021-12-23,公用事业行业研究周报：为何要改造老旧风电场,新浪
82,2021-12-23,电力股大幅反弹 主力资金积极抢筹多股,第一财经
83,2021-12-23,27股获券商买入评级，上海建工目标涨幅达67.13%,Wind
84,2021-12-22,上市公司逐鹿碳交易,北京商报网
85,2021-12-22,增资410亿再扩产能，三峡能源或成全球最大海上风电企业,搜狐
86,2021-12-22,13股获券商买入评级，完美世界目标涨幅达48.34%,Wind
87,2021-12-22,三峡能源拟投411亿建三大海上风电项目 密集布局新能源前三季发电量增42%,长江商报
88,2021-12-22,海上风电项目建设如火如荼,Wind
89,2021-12-22,海上风电项目建设如火如荼,发布易
90,2021-12-21,百只个股投身碳市场 谁是收益王,北京商报
91,2021-12-21,财华聚焦|加码海上风电，对三峡能源的投资价值有何启示？,财华社
92,2021-12-21,三峡能源(600905)：百万千瓦海风项目落地 海风龙头蓝海可期,新浪
93,2021-12-21,A股年终红黑榜系列策划（四）|高含“碳”量！这些个股投身碳市场 谁将会是收益王？,北京商报
94,2021-12-21,三峡能源拟投建300万千瓦海上风电，超配海上风电产业链,智通财经
95,2021-12-21,三峡能源：拟超400亿元投建三大海上风电项目,资本邦
96,2021-12-21,斥资412亿！三峡能源投建三大海上风电项目！,华夏能源网
97,2021-12-21,【建投公用环保】11月火电发电量同比减少2.5%，电煤剪刀差发生反转,能源交运万维网
98,2021-12-21,A股早报2021年12月21日星期二,Wind
99,2021-12-21,A股融资融券日报：两融余额减少40.23亿元（12月20日）,Wind
100,2021-12-21,试验显示Moderna加强针可将针对奥密克戎的抗体水平提高36倍；甲骨文预计将以约90美元/股收购塞纳,每经头条
101,2021-12-21,注册资本50亿元！三峡集团在南京成立新公司！,北极星节能
102,2021-12-21,【中证盘前】“史上最贵新股”拟不超45亿元理财；6连板牛股提示风险；大全能源拟332.5亿元投建工业硅等项目,中证报
103,2021-12-21,412亿元拟投三大项目！这个领域“起大风”,中证报
104,2021-12-21,巨头投资逾400亿元，十四五装机量超预期，持续高增长股票揭秘（附股）,证券时报网
105,2021-12-20,公告精选丨上市公司纷纷投资大项目！三峡能源投411.69亿元，大全能源投332.5亿元！,21世纪经济报道
106,2021-12-20,三峡能源拟投411.69亿建设三大海上风电项目,上证报
107,2021-12-20,公告精选：中装建设与鸿蒙时代等拟联合开发元宇宙应用等项目；三峡能源拟合计411.69亿元投建三个海上风电场项目,e公司
108,2021-12-20,晚间重要公告2021年12月20日星期一,Wind
109,2021-12-20,三峡能源412亿元投建阳江青洲项目 海上风电规模有望进一步跃升,e公司
110,2021-12-20,不怕风电退补！三峡能源拟投411亿，打造全球最大海上风电企业,21世纪经济报道
111,2021-12-20,三峡能源：拟投资三个海上风电场项目 投资金额合计超400亿元,第一财经
112,2021-12-20,完善产业布局 三峡能源(600905.SH)拟合计411.69亿元投建青洲五、六、七海上风电项目,智通财经
113,2021-12-20,三峡能源：拟投资三个海上风电场项目 投资金额合计411.69亿元,e公司
114,2021-12-20,三峡能源(600905.SH)及子公司拟与关联人签订三峡阳江青洲五、六、七海上风电场送出工程合作协议,格隆汇
115,2021-12-20,三峡能源(600905.SH)：拟投建青洲五、六、七项目 投资额合计411.69亿元,格隆汇
116,2021-12-20,三峡能源：拟与关联人三峡投资及子公司签订合作协议,Wind
117,2021-12-20,A股融资融券日报：两融余额减少80.19亿元（12月17日）,Wind
118,2021-12-20,A股早报2021年12月20日星期一,Wind
119,2021-12-19,行业深度研究：资源而非包袱，火电转型新能源大有可为【深度 | 国君公用】,煤市乾坤
120,2021-12-19,【安信环保公用邵琳琳/周喆团队】三峡能源点评：新能源运营龙头乘风破浪，海风集中投产推动业绩阶跃,安信证券环保公用研究
121,2021-12-19,北向资金大调仓！加仓“券茅”逾40亿元，减仓“药茅”超20亿元,中证报
122,2021-12-17,A股资金流向：成长、权重双双熄火，低价股抱团逻辑仍在演绎,Wind
123,2021-12-17,风力发电指数创历史新高，江苏新能、节能风电、三峡能源、福能股份普涨,Wind
124,2021-12-17,北京证监局联合北京上市公司协会赴三峡能源开展调研,索比光伏网
125,2021-12-17,A股融资融券日报：两融余额增加5.56亿元（12月16日）,Wind
126,2021-12-17,北向资金动向盘点：近两周加仓“非银”已超百亿,Wind
127,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
128,2021-12-16,强强联合，三峡和亿利书写光伏治沙新篇章,索比光伏网
129,2021-12-16,A股融资融券日报：两融余额增加10.27亿元（12月15日）,Wind
130,2021-12-16,A股年内IPO募资额超5000亿元,Wind
131,2021-12-15,融资客青睐7股，厦门空港买入占比高达53.32%,Wind
132,2021-12-15,11股获杠杆资金净买入超亿元,证券时报网
133,2021-12-15,A股融资融券日报：两融余额增加9.31亿元（12月14日）,Wind
134,2021-12-14,三峡能源：公司应收账款中可再生能源补贴款占应收账款余额比例较大，符合新能源行业特点,每日经济新闻
135,2021-12-14,三峡能源：江苏大丰海域地震未对公司设备造成损害 自然灾害,每日经济新闻
136,2021-12-14,三峡能源：地震后公司组织人员对设备进行全面检查，未发现损害现象,Wind
137,2021-12-14,三峡能源：公司第三季度净利润环比降57.56%主要有两方面原因 盈利能力下降,每日经济新闻
138,2021-12-14,三峡能源：三峡如东柔性直流输电工程首次批量使用国产IGBT部件由株洲中车提供,Wind
139,2021-12-14,三峡能源：公司始终致力于清洁能源应用与开发，围绕产业链上下游，重点布局具有核心技术和科技创新能力项目,每日经济新闻
140,2021-12-14,A股早报2021年12月14日星期二,Wind
141,2021-12-14,央地国企A股融资连增三年，国有资产证券化提速,Wind
142,2021-12-13,亿利洁能引战投参与治沙 王文彪套现18亿积极风控 减持股份,长江商报
143,2021-12-13,数据复盘｜主力资金加仓三峡能源、宁德时代等股 北向资金连续9日净流入,证券时报网
144,2021-12-13,A股主力资金流向：电力股获资金抢筹，新能源持续回暖,Wind
145,2021-12-13,电力股二次拉升，三峡能源、时代新材、长江电力等走势强劲,Wind
146,2021-12-13,三峡能源、三峡资本斥巨资成为亿利洁能第二大股东,中国网
