,2021-12-31,上汽高端纯电项目“冲刺”：智己汽车加快量产交付,21经济网
0,2021-12-31,汽车行业车载惯性导航专题报告-自动驾驶渐行渐近 惯性导航刚需爆发,新浪
1,2021-12-31,汽车行业研报｜车载惯性导航：自动驾驶渐行渐近，惯性导航刚需爆发【中信证券】,每经网
2,2021-12-31,智己汽车首创“数据煲机”，汽车也“burn in”,Ofweek
3,2021-12-31,三大车企拟5年投4000亿研发 新能源汽车出口有望翻倍增长,新浪
4,2021-12-30,上汽集团的投资版图：从传统燃油车走向新能源智能汽车,Ofweek
5,2021-12-30,自主整车企业三电领域的布局分析,发现网
6,2021-12-30,汽车行业正在迎来智能化拐点,Wind
7,2021-12-29,新能源汽车时代，中国品牌正“换道超车”,21财闻汇
8,2021-12-29,奥动协同产业伙伴，正式开启南京换电布局,美通社
9,2021-12-29,当“互联网汽车”标签不再新鲜，上汽荣威RX5 MAX还能否继续走红,经济观察报
10,2021-12-29,盛路通信：公司自动驾驶UWB定位技术已经成熟并已应用，目前与上汽集团有合作,每日经济新闻
11,2021-12-28,今年发动机产销突破20万台 上柴股份筑就发展“双赛道”,上证报
12,2021-12-28,韩国双龙汽车或被新势力品牌收购,ZAKER
13,2021-12-27,氢能板块再掀涨停潮 6股本月获机构“买入”评级,第一财经
14,2021-12-27,智己L7首批Beta体验版正式下线交付 续航里程708km,贝壳财经
15,2021-12-27,开启“数据煲机”升级阶段 智己L7首批Beta体验版下线交付,证券日报网
16,2021-12-27,上汽集团旗下友道智途明年将实现自动驾驶减人化运作,上证报
17,2021-12-27,光庭信息：公司有参与上汽集团的“上汽智己L7”的智能座舱等软件研发工作,Wind
18,2021-12-27,缺芯/原材料涨价 2021车企在烦恼中前行,新浪
19,2021-12-27,数据|科创板战略配售投资者扫描：上汽集团布局产业链，华虹集团取得5.82倍收益,财联社
20,2021-12-27,22个月跑出“智己速度” 上汽集团创新转型全面提速,上证报
21,2021-12-27,陆家嘴财经早餐2021年12月27日星期一,Wind
22,2021-12-27,一口气抢注上百个商标，车企追风“元宇宙”追了个寂寞？,ZAKER
23,2021-12-26,上柴股份发动机产销破20万台 推进“双赛道”,证券时报
24,2021-12-26,四天连发3次起火事故！知名CEO直言：传统油车时代回不去了 安全事故,Wind
25,2021-12-26,动力进阶智能越级 智潮科技MG ONE专注运动化道路,证券日报网
26,2021-12-26,智己汽车L7首批200台“Beta体验版”下线交付,中证网
27,2021-12-26,上汽集团：首批200台智己L7 Beta体验版正式下线交付,Wind
28,2021-12-26,上汽集团：首批200台智己L7 Beta体验版正式下线交付,e公司
29,2021-12-26,上汽/阿里联手打造 智己L7 Beta体验版下线：首批共200台,快科技
30,2021-12-26,驶入快车道 200辆智己L7体验版下线,汽车之家
31,2021-12-24,谁在掀起和推动固态电池之战？,36氪
32,2021-12-24,上汽集团：荣威鲸预计将于2022年上半年上市,每日经济新闻
33,2021-12-24,上汽集团：智己L7 Beta体验版将于12月26日下线，明年一季度开始批量交付,每日经济新闻
34,2021-12-24,上汽集团持续督导保荐代表人变更为丁颖华、彭辰,乐居财经
35,2021-12-24,上汽阿里巴巴等联手打造！智己L7 Beta体验版将下线,快科技
36,2021-12-24,自动驾驶出租车困局等同于小学生打工？梦想再美好，“想到”却做不到,Ofweek
37,2021-12-24,盘点2021轰动自动驾驶赛道的大事件：小米扫货式投资像不像恒大？,Ofweek
38,2021-12-24,华为“首款鸿蒙汽车”背后尴尬：小厂“带”不动，大厂不让“带”,观察者网
39,2021-12-24,2021，那些汽车掌门人撂过的狠话,凤凰网
40,2021-12-24,上海洋山港：“5G+L4”自动驾驶智能重卡集装箱转运业务实现阶段性新突破,上观
41,2021-12-23,一年涌入10家 新造车“卷起来”,北京商报
42,2021-12-23,上汽集团全新荣威RX5 MAX与荣威RX5 eMAX正式上市,中证网
43,2021-12-23,出口量持续提升，我国自主品牌汽车实现“反向输出”,华夏时报
44,2021-12-23,上汽、小鹏、理想、蔚来抢注的元宇宙商标，马斯克认为这是个营销手段,Ofweek
45,2021-12-23,华为如何助力车企“造好车”,中国青年报
46,2021-12-22,上柴股份出资2亿参与氢燃料基金：仍面临成本高企、纯电冲击难题,新京报
47,2021-12-22,“中国品牌向上”跟踪系列报告之二：新能源拉动效应继续增强,广发证券
48,2021-12-22,2021年汽车板块：新能源汽车政策搅动，“行业棋局”风云变幻,智通财经
49,2021-12-22,上汽集团大宗交易成交2000.99万元,证券时报网
50,2021-12-22,"上汽集团现1笔大宗交易 共成交2,000.99万元",新浪
51,2021-12-22,上汽集团今日大宗交易成交96.90万股，成交价20.65元溢价0.0%,Wind
52,2021-12-22,上汽集团投资成立零束科技，注册资本37亿元,乐居财经
53,2021-12-22,造车新势力角逐后半场，威马屡获新融资,Ofweek
54,2021-12-21,上汽集团大宗交易成交1498.47万元,证券时报网
55,2021-12-21,"上汽集团现1笔大宗交易 共成交1,498.47万元",新浪
56,2021-12-21,上汽集团今日大宗交易成交71.80万股，成交价20.87元溢价0.0%,Wind
57,2021-12-21,IPO观察第50期|11月过会率创新低，传统车企竞相分拆上市,时代周报
58,2021-12-21,捷氢科技启动IPO，我国第三家谋求上市的纯粹氢燃料电池企业,Ofweek
59,2021-12-21,上柴股份拟出资近2亿元 参与设立产业基金,发布易
60,2021-12-20,上汽集团大宗交易成交116.10万股 成交额2390.50万元,证券时报网
61,2021-12-20,"上汽集团现1笔大宗交易 共成交2,390.50万元",新浪
62,2021-12-20,上汽集团今日大宗交易成交116.10万股，成交价20.59元溢价0.0%,Wind
63,2021-12-20,11月整车销量同比下滑6.6%！上汽集团单靠五菱宏光MINI EV还不够？ 盈利能力下降,投资时报
64,2021-12-20,50个月 上汽乘用车第100万辆整车下线,汽车之家
65,2021-12-20,从“舶来品”到“出海潮”中国汽车海外出征记,中国经营报
66,2021-12-19,中国电动汽车借绿色转型东风发力欧洲市场,Wind
67,2021-12-19,新“合资”时代|科技公司联手整车厂造车，资源互补与博弈并存,经济观察报
68,2021-12-19,天风证券：乘用车短期销量回升 坚定看好吉利汽车（00175）等自主崛起车企龙头,智通财经
69,2021-12-18,数据解放生产力——琰究汽车数据系列（2021年11月）【华西汽车 崔琰团队】,汽车琰究
70,2021-12-18,上汽乘用车郑州基地百万辆整车下线仪式举行 楼阳生王凯出席,河南人民政府
71,2021-12-18,新能源车市上演反转剧情：中美欧三大市场销量走高，汽车股却经历“黑色11月”,每经头条
72,2021-12-17,财信证券汽车行业2021年12月月报：乘用车产销持续恢复，新能源汽车再创历史新高,财信证券研究
73,2021-12-17,中国汽车出口猛增实力圈粉,经济参考报
74,2021-12-16,广汽集团成为中国最会赚钱的车企，而比亚迪则稳居上市车企市值榜首,Ofweek
75,2021-12-16,上汽股价何时达到29.59元？,搜狐
76,2021-12-16,上汽集团构建全业务链数智化转型创新－国务院国有资产监督管理委员会,国资委
77,2021-12-15,国潮荣威的进阶之路，从RX5国潮版开始,每日经济新闻
78,2021-12-15,上汽集团：未来不排除自研部分车用半导体和芯片技术的可能,Bianews
79,2021-12-15,上央视了！“元宇宙”被指是“骗局”，“汽车 + 元宇宙”还靠谱吗？,ZAKER
80,2021-12-15,寻找中国新能源汽车产业高地⑩｜杭州：当互联网之城也开始发挥“钞能力”,21世纪经济报道
81,2021-12-14,打响“四大品牌”，“上海好商标”队伍又扩容,上观
82,2021-12-13,告别三连跌！新能源依旧是“冬天里的一把火”，比亚迪、上汽表现突出,Ofweek
83,2021-12-13,【渤海证券 汽车】销量环比持续改善，新能源汽车冲量创新高——汽车行业月报——中性,渤海证券研究
84,2021-12-13,Mysteel：11月汽车产销环比继续回暖，上汽集团实现五连增,我的钢铁
85,2021-12-13,新能源e周报丨11月新能源车销量再创新高 国内个股走势平淡 机构研判：“矛盾的变化”将促使电动化趋势加速完成,每日经济新闻
86,2021-12-13,时代上汽二期16GWh动力电池产线启动,高工锂电
87,2021-12-13,30家车企11月销量一览：八成以上环比上涨,盖世汽车
88,2021-12-13,新势力年销量欲破10万关卡，扭亏为盈可期？,时代周报
89,2021-12-12,奥迪中国换帅，温泽岳接棒电气化“黄金十年”，大象转身胜算如何,新京报
