,2021-12-31,400余药企研发人员已超16.7万，研发速度不断提升,--
0,2021-12-31,中国医药产业迎来“创新药”时代 401家公司研发人员超16.7万,长江商报
1,2021-12-29,上海医药、九州通、国药股份……谁是成长能力最强的医药流通企业？,Ofweek
2,2021-12-28,华兰股份：公司产品国内客户已覆盖国内医药工业百强企业60%以上,Wind
3,2021-12-27,28家公司集体大涨，医药另一细分行业要崛起了？,凤凰网
4,2021-12-27,上实集团旗下上海医药利伐沙班片获批生产 其疗效可供患者长期使用,凤凰网
5,2021-12-27,上海医药：公司2020年中药板块收入超70亿，旗下7家个核心中药企业,每日经济新闻
6,2021-12-23,晚间重要公告2021年12月23日星期四,Wind
7,2021-12-23,上海医药：替米沙坦片通过仿制药一致性评价,Wind
8,2021-12-23,上海医药(601607.SH)：替米沙坦片通过仿制药一致性评价,格隆汇
9,2021-12-22,上海医药：公司是国内拥有罕见病药品批文最多的企业之一,Wind
10,2021-12-22,来自广州，越洋医药完成1.5亿元C轮增资,投资界
11,2021-12-20,公告精选：中装建设与鸿蒙时代等拟联合开发元宇宙应用等项目；三峡能源拟合计411.69亿元投建三个海上风电场项目,e公司
12,2021-12-20,并购再出牛股！7成个股股价飘红，15股已翻番,Wind
13,2021-12-20,上海医药：SPH4336片获得美国FDA药品II期临床试验批准,Wind
14,2021-12-20,上海医药：SPH4336片获得美国FDA药品II期临床试验批准,财联社
15,2021-12-20,增资1.5个亿，上海医药战略投资越洋医药,投中网
16,2021-12-18,亦诺微医药创始人周国瑛荣获“2021中国十大杰出女企业家” | 会员动态,同写意
17,2021-12-15,上海医药：上药康希诺对公司经营业绩未产生重大影响,上证报
18,2021-12-15,晚间要闻2021年12月15日星期三,Wind
19,2021-12-15,上海医药(601607.SH)对上药康希诺的持股占比为48.958%,智通财经
20,2021-12-15,上海医药：公司对上药康希诺不实施并表控制,e公司
21,2021-12-15,上海医药：公司对上药康希诺不实施并表控制,Wind
22,2021-12-15,“克威莎”来了！第一批“上海产”新冠疫苗诞生,文汇报
23,2021-12-13,11月国内许可交易盘点！涉及基石药业、恒瑞医药、天境生物等企业,GBIHealth
24,2021-12-10,上海医药两药品通过仿制药一致性评价,上证报
25,2021-12-10,【晚间公告抢先看】顶固集创应收恒大集团及其成员已逾期未兑付商票约2573万元、受疫情影响多家公司临时停产,金融界
26,2021-12-10,上海医药卡马西平片、盐酸地尔硫?片通过一致性评价,贝壳财经
27,2021-12-10,上海医药：卡马西平片及盐酸地尔硫?片通过仿制药一致性评价,财联社
28,2021-12-10,上海医药：目前尚无参与上海莱士战略交流的意向,每日经济新闻
29,2021-12-10,浦江医药健康产融创新发展峰会召开，上海医药创新发展已有硕果,凤凰网
30,2021-12-09,上海医药控股子公司利伐沙班片获药品注册证书,贝壳财经
31,2021-12-08,晚间公告｜12月8日这些公告有看头,第一财经
32,2021-12-08,上海医药(02607)：常州制药厂的利伐沙班片获得批准生产,智通财经
33,2021-12-08,上海医药：利伐沙班片获得国家药监局批准生产,Wind
34,2021-12-08,上海医药：控股子公司利伐沙班片获批生产,e公司
35,2021-12-08,上海医药：利伐沙班片获得批准生产,财联社
36,2021-12-06,粤开策略深度 | 医药生物行业2022年展望：价值重鸣，创新为锋,粤开崇利论市
37,2021-12-06,九洲药业所持越洋医药股份增至15.19%,乐居财经
38,2021-12-03,上海医药：前三季度研发投入17.15亿、研发费用13.67亿，同比分别增长45.6%以及31.38%,每日经济新闻
39,2021-12-03,137个定增项目未发终止！战投监管趋严,Wind
40,2021-12-03,定增市场化步入常态，137家上市公司募资计划“流产”,Wind
41,2021-11-26,上海医药：公司下属子公司有生产、销售缩宫素注射液、注射用绒促性素等产科用药，但相关业务体量较小,每日经济新闻
42,2021-11-26,养老产业迎来新机遇，54只个股排排坐,Wind
43,2021-11-25,晚间重要公告2021年11月25日星期四,Wind
44,2021-11-25,医药行业2021年三季报总结报告：恢复高成长 医药进入估值切换长周期,新浪
45,2021-11-25,上海医药：氯氮平片通过仿制药一致性评价,Wind
46,2021-11-25,上海医药：氯氮平片通过仿制药一致性评价,财联社
47,2021-11-25,20万亿赛道出重磅政策，关乎近2亿人，养老概念股来了,Wind
48,2021-11-22,上海医药：上药康德乐与Sinclair Pharma (欣可丽美学)关于“ ELLANS 伊妍仕少女针”项目的合作主要在于供应链以及商业化落地，不涉及研发领域,每日经济新闻
49,2021-11-21,12款1类新药获批临床！来自和黄医药、天科雅生物、君实生物、上海医药等,汇聚南药
50,2021-11-19,上海医药：公司暂无直接生产用于医美的药物、仪器与服务，下属商业子公司有涉及医美产品配送，但相关业务体量较小,每日经济新闻
51,2021-11-19,港股公告精选：阿里巴巴第二财季营收2006.9亿元，同比增29%,Wind
52,2021-11-18,华海药业：重组抗CD20人源化单克隆抗体注射液获临床试验批准,资本邦
