,2021-12-31,"年终盘点|2021年十大""争议""白马股",新浪
0,2021-12-31,上海机场联络线工程盾构始发,经济日报
1,2021-12-31,上海机场联络线六台盾构顺利始发，东西向快速通道工程建设取得突破性进展,东方网
2,2021-12-28,并购重组“降火”，套利狂欢终结,Wind
3,2021-12-26,上海机场：国际航线复苏成未来业绩看点,每日经济新闻
4,2021-12-24,高风险信托机构处置探路：安信信托自然人投资者兑付方案出炉,21世纪经济报道
5,2021-12-24,安信信托个人投资者兑付方案出炉：由重组方接盘，按本金分档报价,Wind
6,2021-12-23,海航基础迎来重大转折，拟更名为海南机场！,投资家
7,2021-12-23,民航数据洞察｜11月客货“冰火两重天”：旅客量创年内新低，“双十一”带动货运航班上涨,每日经济新闻
8,2021-12-20,并购再出牛股！7成个股股价飘红，15股已翻番,Wind
9,2021-12-20,上海机场重大资产重组方案出炉 同业竞争时代或将落幕,中国经营报
10,2021-12-20,上海机场：1-9月营业收入同比减少主要是受新冠肺炎疫情影响，国际航线主要业务量同比下降所致 盈利能力下降,每日经济新闻
11,2021-12-17,上海机场百亿重组：年内市值蒸发超 600 亿，“机场茅”重现辉煌？,ZAKER
12,2021-12-16,上海机场董事长莘澍钧：浦东、虹桥两场定位各有侧重,每日经济新闻
13,2021-12-16,直击股东大会丨关于虹桥机场估值、是否存退市风险，上海机场这样说 风险警示,每日经济新闻
14,2021-12-16,上海机场：11月旅客吞吐量193.37万人次，同比下降22.06%,格隆汇
15,2021-12-16,上海机场(600009.SH)：11月旅客吞吐量同比下降22.06%,格隆汇
16,2021-12-16,上海机场：11月旅客吞吐量旅客吞吐量同比下降22.06%,Wind
17,2021-12-16,上海机场联络线项目全面攻坚 为国内首条与国铁网络互通互联的市域铁路示范工程,上观
18,2021-12-15,2021十大悲催行业盘点，教培竟然没最惨？,搜狐
19,2021-12-15,操盘必读｜史上最贵新股遭弃购3.63亿元；上海机场重组获得上海市国资委批复；欧美股市全线下跌,上游新闻
20,2021-12-14,晚间重要公告2021年12月14日星期二,Wind
21,2021-12-14,上海机场重组方案获得上海市国资委批复,北京商报
22,2021-12-13,上海机场(600009.SH)：重组涉及评估备案结果获备案通过、重组事项获上海市国资委批复,格隆汇
23,2021-12-13,上海机场：机场集团已出具保持上市公司独立性的承诺,每日经济新闻
24,2021-12-13,上海机场回应为什么要注入第四跑道,每日经济新闻
25,2021-12-12,上海机场资产重组方案落地：痛失免税红利 市值下跌逾600亿元,中国经营网
26,2021-12-12,张坤不投新能源,腾讯网
27,2021-12-10,上海机场：公司所需缴纳的主要税种中无房产税,每日经济新闻
28,2021-12-09,上海机场：百亿资产大腾挪之后，或将重现“机场茅”风采,中金在线
29,2021-12-08,上海机场迎来“救火队员”,证券市场周刊
30,2021-12-08,民航板块回暖路上遭遇双轮冲击 上海机场11月市值蒸发超150亿,每日经济新闻
31,2021-12-08,上海机场：本次重组完成后，上市公司收入成本结构不会发生重大变化,每日经济新闻
32,2021-12-07,上海机场：四型机场建设项目增强虹桥机场的持续盈利能力,每日经济新闻
33,2021-12-07,上海机场：将保持一定规模关联交易,每日经济新闻
34,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
35,2021-12-06,中国中免中止H股上市扩张或受阻 市值蒸发3900亿陆股通汇金均已减仓,长江商报
36,2021-12-05,快递监管要求反内卷，积极布局行业拐点【安信交运|周报1205】,微信
37,2021-12-05,交运社服行业周报(12月第1周)：中免暂缓H股发行上市 港版健康码上线,新浪
38,2021-12-05,交通运输行业周报：国内疫情仍有反复 国外防输入压力持续加大,光大证券
39,2021-12-03,债市风云｜中金公司拟发行不超35亿公司债 惠誉撤销阳光城一项评级,中新经纬
40,2021-12-03,上海机场资产重组，190亿能为其带来什么？,环球旅讯
41,2021-12-03,上海机场董秘回复：本次重大资产重组交易完成后，综合竞争实力将显著提升,证券之星
42,2021-12-02,上海机场(600009)：资产重组获重大进展 将迎业务拓宽利润增厚,新浪
