,2021-12-31,上海莱士两股东被批评 被强平未提前15个交易日公告 股票质押异常,中国经济网
0,2021-12-31,首次减持上海莱士(002252.SZ)股份未及时公告 科瑞天诚及RAAS China Limited被深交所通报批评 减持股份,智通财经
1,2021-12-27,上海莱士(002252.SZ)：全资子公司静注人免疫球蛋白恢复生产,格隆汇
2,2021-12-27,上海莱士(002252.SZ)子公司郑州莱士静注人免疫球蛋白恢复生产,智通财经
3,2021-12-27,上海莱士：郑州莱士静注人免疫球蛋白恢复生产,Wind
4,2021-12-24,上海莱士：无相关新型冠状病毒检测产品,每日经济新闻
5,2021-12-21,上海莱士12月21日大宗交易成交7983.98万元,证券时报网
6,2021-12-21,上海莱士今日大宗交易成交1234万股，成交价6.47元折价1.52%,Wind
7,2021-12-21,华润三九：公司暂无入股“上海莱士”的相关计划,Wind
8,2021-12-20,上海莱士(002252.SZ)：科瑞天诚完成被动减持48.32万股 减持股份,格隆汇
9,2021-12-20,上海莱士(002252.SZ)股东科瑞天诚被动减持48.32万股 减持计划完成,智通财经
10,2021-12-20,"上海莱士现3笔大宗交易 共成交17,395.68万元",新浪
11,2021-12-20,上海莱士今日大宗交易成交252万股，成交价5.94元折价10.0%,Wind
12,2021-12-19,【最全】2022年血液制品行业上市公司全方位对比(附业务布局汇总、业绩对比、业务规划等),前瞻研究院
13,2021-12-17,"上海莱士现2笔大宗交易 共成交5,787.59万元",新浪
14,2021-12-17,上海莱士今日大宗交易成交600万股，成交价6.3元折价1.56%,Wind
15,2021-12-16,上海莱士12月16日大宗交易成交3810.00万元,证券时报网
16,2021-12-15,晚间重要公告2021年12月15日星期三,Wind
17,2021-12-15,上海莱士(002252.SZ)子公司再次通过高新技术企业认定,智通财经
18,2021-12-15,上海莱士：人凝血酶获得药品补充申请批准,财联社
19,2021-12-15,上海莱士大宗交易成交3810.00万元,证券时报网
20,2021-12-15,"上海莱士现1笔大宗交易 共成交3,810.00万元",新浪
21,2021-12-15,上海莱士今日大宗交易成交600万股，成交价6.35元折价1.55%,Wind
22,2021-12-15,上海莱士：目前，公司生产经营稳定，销售情况良好,每日经济新闻
23,2021-12-15,上海莱士：公司目前无引进战略投资者的计划,每日经济新闻
24,2021-12-14,上海莱士大宗交易成交600.00万股 成交额3816.00万元,证券时报网
25,2021-12-14,【行业深度】洞察2022：中国白蛋白市场竞争格局及市场份额(附市场集中度、企业竞争力评价等),证券之星
26,2021-12-13,"上海莱士现1笔大宗交易 共成交3,816.00万元",新浪
27,2021-12-13,上海莱士今日大宗交易成交600万股，成交价6.36元折价1.55%,Wind
28,2021-12-10,上海莱士12月10日大宗交易成交5733.00万元,证券时报网
29,2021-12-10,"上海莱士现1笔大宗交易 共成交5,733.00万元",新浪
30,2021-12-10,上海莱士今日大宗交易成交900万股，成交价6.37元折价1.55%,Wind
31,2021-12-10,上海医药：目前尚无参与上海莱士战略交流的意向,每日经济新闻
32,2021-12-10,上海莱士： 公司所处血液制品行业，行业景气度高,每日经济新闻
33,2021-12-09,"上海莱士现1笔大宗交易 共成交4,431.00万元",新浪
34,2021-12-09,上海莱士今日大宗交易成交700万股，成交价6.33元折价1.56%,Wind
35,2021-12-08,"上海莱士现1笔大宗交易 共成交3,756.00万元",新浪
36,2021-12-08,上海莱士今日大宗交易成交600万股，成交价6.26元折价1.57%,Wind
37,2021-12-07,"上海莱士现1笔大宗交易 共成交3,762.00万元",新浪
38,2021-12-06,大宗交易揭秘：白马股筹码松动，6股获超溢价买入,Wind
39,2021-12-03,"上海莱士现1笔大宗交易 共成交3,816.00万元",新浪
40,2021-12-03,上海莱士：2020年，公司研发费用为1.3亿元，占公司2020年营业收入4.7%,每日经济新闻
41,2021-12-03,上海莱士：2021年1至9月，公司存货及营业收入均有增长,每日经济新闻
42,2021-12-02,上海莱士(002252.SZ)：科瑞天诚投资控股已被动减持2.09%的股份 减持股份,格隆汇
43,2021-12-02,上海莱士(002252.SZ)股东科瑞天诚被动减持2.09%公司股份 减持股份,智通财经
44,2021-12-02,上海莱士：股东科瑞天诚投资控股有限公司被强平2.09%公司股份 股票质押异常,Wind
45,2021-12-02,上海莱士大宗交易成交3834.00万元,证券时报网
46,2021-12-02,"上海莱士现1笔大宗交易 共成交3,834.00万元",新浪
47,2021-12-02,上海莱士今日大宗交易成交600万股，成交价6.39元折价1.54%,Wind
48,2021-12-02,2022年中国凝血因子行业竞争格局及市场份额分析 泰邦生物凝血因子产品签批发量最高,前瞻研究院
49,2021-12-01,上海莱士独董杨翠华辞职 董监高成员变化,北京商报
50,2021-12-01,上海莱士：独董杨翠华辞职 董监高成员变化,Wind
51,2021-12-01,上海莱士(002252.SZ)杨翠华辞去独立董事相关职位 董监高成员变化,智通财经
52,2021-11-30,上海莱士大宗交易成交6192.00万元,证券时报网
53,2021-11-30,上海莱士今日大宗交易成交960万股，成交价6.45元折价1.53%,Wind
54,2021-11-25,"上海莱士现1笔大宗交易 共成交3,205.00万元",新浪
55,2021-11-25,上海莱士今日大宗交易成交500万股，成交价6.41元折价1.54%,Wind
56,2021-11-25,上海莱士(002252.SZ)股东莱士中国拟被动减持不超过3548万股 拟减持股份,智通财经
57,2021-11-25,上海莱士：股东莱士中国被拟被强平不超过0.53%公司股份 股票质押异常,Wind
58,2021-11-24,上海莱士(002252.SZ)：科瑞天诚累计被动减持6357.328万股 减持股份,格隆汇
59,2021-11-24,上海莱士(002252.SZ)：科瑞天诚一致行动人拟被动减持不超48.32万股 拟减持股份,格隆汇
60,2021-11-24,上海莱士(002252.SZ)股东科瑞天诚及其一致行动人遭被动减持6357.33万股 减持股份,智通财经
61,2021-11-24,上海莱士(002252.SZ)股东科瑞金鼎拟被动减持不超48.32万股 拟减持股份,智通财经
62,2021-11-24,上海莱士：科瑞金鼎所持48.32万股拟被动减持 拟减持股份,Wind
63,2021-11-24,上海莱士：郑州莱士正在为静注人免疫球蛋白生产线正式恢复生产准备相关工作,每日经济新闻
64,2021-11-24,上海莱士今日大宗交易成交700万股，成交价6.38元折价1.54%,Wind
65,2021-11-23,上海莱士今日大宗交易成交500万股，成交价6.4元折价1.54%,Wind
66,2021-11-23,医药生物行业双周报：医保谈判落地 行业迎来配置机会,新浪
67,2021-11-19,上海莱士今日大宗交易成交750万股，成交价6.46元折价1.52%,Wind
68,2021-11-19,上海莱士今日大宗交易成交1500万股，成交价6.46元折价1.52%,Wind
69,2021-11-19,上海莱士：郑州莱士于2021年3月23日恢复人血白蛋白生产线,每日经济新闻
70,2021-11-18,"上海莱士现1笔大宗交易 共成交4,830.00万元",新浪
71,2021-11-18,上海莱士今日大宗交易成交750万股，成交价6.44元折价1.53%,Wind
72,2021-11-17,"上海莱士现1笔大宗交易 共成交4,950.00万元",新浪
73,2021-11-17,上海莱士今日大宗交易成交750万股，成交价6.6元折价1.49%,Wind
74,2021-11-16,上海莱士11月16日大宗交易成交4942.50万元,证券时报网
75,2021-11-16,"上海莱士现1笔大宗交易 共成交4,942.50万元",新浪
76,2021-11-16,上海莱士今日大宗交易成交750万股，成交价6.59元折价1.49%,Wind
77,2021-11-15,"上海莱士现1笔大宗交易 共成交4,648.00万元",新浪
78,2021-11-15,上海莱士今日大宗交易成交700万股，成交价6.64元折价1.48%,Wind
79,2021-11-12,"上海莱士现1笔大宗交易 共成交4,132.80万元",新浪
80,2021-11-12,上海莱士今日大宗交易成交630万股，成交价6.56元折价1.5%,Wind
81,2021-11-12,上海莱士：公司及下属公司郑州莱士高度重视疫情防控工作，在有效防控疫情的同时确保正常生产，目前郑州莱士生产经营正常,每日经济新闻
82,2021-11-11,上海莱士大宗交易成交4120.20万元,证券时报网
83,2021-11-11,"上海莱士现1笔大宗交易 共成交4,120.20万元",新浪
84,2021-11-11,上海莱士今日大宗交易成交630万股，成交价6.54元折价1.51%,Wind
85,2021-11-10,"上海莱士现1笔大宗交易 共成交4,126.50万元",新浪
86,2021-11-10,上海莱士今日大宗交易成交630万股，成交价6.55元折价1.5%,Wind
87,2021-11-09,上海莱士大宗交易成交400.00万股 成交额2568.00万元,证券时报网
88,2021-11-09,"上海莱士现1笔大宗交易 共成交2,568.00万元",新浪
89,2021-11-09,上海莱士今日大宗交易成交400万股，成交价6.42元折价1.53%,Wind
90,2021-11-08,上海莱士大宗交易成交3189.90万元,证券时报网
91,2021-11-08,"上海莱士现1笔大宗交易 共成交3,189.90万元",新浪
92,2021-11-03,上海莱士(002252.SZ)：莱士中国已通过大宗交易被动减持1024万股 减持股份,格隆汇
93,2021-11-03,上海莱士(002252.SZ)股东莱士中国被动减持计划实施完毕 累计减持0.15%股份,智通财经
94,2021-11-01,"上海莱士现1笔大宗交易 共成交1,438.71万元",新浪
95,2021-10-27,上海莱士(002252.SZ)股东科瑞天诚累计被动减持0.29%股份 减持数量过半 减持股份,智通财经
96,2021-10-27,上海莱士公布三季报 前三季净利增加27.44%,新浪
97,2021-10-27,图解上海莱士三季报：第三季度单季净利润同比增21.78%,证券之星
98,2021-10-27,上海莱士：科瑞天诚累计被动减持0.29%股份，减持数量过半 减持股份,Wind
99,2021-10-27,上海莱士：前三季度净利润同比增长27.44%,Wind
100,2021-10-27,"上海莱士现1笔大宗交易 共成交2,894.67万元",新浪
101,2021-10-27,上海莱士今日大宗交易成交447.40万股，成交价6.47元溢价1.89%,Wind
102,2021-10-25,上海莱士：科瑞天诚及一致行动人累计被动减持比例达1.01% 减持股份,Wind
103,2021-10-15,上海莱士：2021年上半年，公司销售总额稳步增长，其中白蛋白产品较上年同期增长76.40%,每日经济新闻
104,2021-10-13,上海莱士：莱士中国被动减持公司0.35%股份 减持股份,Wind
105,2021-10-13,上海莱士(002252.SZ)股东莱士中国或遭被动减持不超过1024万股公司股份 减持股份,智通财经
106,2021-10-13,上海莱士(002252.SZ)：莱士中国拟被动减持不超1024万股 拟减持股份,格隆汇
107,2021-10-13,上海莱士：莱士中国拟被动减持不超总股本0.15% 拟减持股份,Wind
108,2021-09-30,上海莱士：公司暂未收到列入限产节能相关名单的通知,每日经济新闻
109,2021-09-30,上海莱士： 目前公司暂无收购计划,每日经济新闻
110,2021-09-29,上海莱士：向基立福上海、基立福香港采购日常经营所需的血液筛查系统等,Wind
111,2021-09-24,上海莱士：目前，郑州莱士已获得静注人免疫球蛋白（PH4）《药品补充申请批准通知书》，后续河南省食品药品监督管理局将对上述项目的生产现场进行核查，获得批准后，郑州莱士静注人免疫球蛋白生产线可恢复生产,每日经济新闻
112,2021-09-22,上海莱士：郑州莱士获得静注人免疫球蛋白(PH4)的药品补充申请批准通知书,财联社
113,2021-09-11,债务困局难解，两大股东被动减持，血液制品公司上海莱士没了实控人 减持股份,华夏时报
114,2021-09-09,上海莱士实控人持股再遭强平 变成无实控人状态？ 股票质押异常,挖贝网
115,2021-09-08,上海莱士：股东或被动减持不超过3850万股 减持股份,中证网
116,2021-09-08,上海莱士(002252.SZ)：科瑞天诚被动减持1729.2万股 减持股份,格隆汇
117,2021-09-08,上海莱士(002252.SZ)股东莱士中国及其一致行动人持股比例降至8.72%,智通财经
118,2021-09-08,上海莱士(002252.SZ)：深圳莱士被动减持211万股 减持股份,格隆汇
119,2021-09-08,上海莱士(002252.SZ)股东科瑞天诚所持3850万股或被动减持 减持股份,智通财经
120,2021-09-08,上海莱士：控股股东、实控人变更为无 控制人变化,财联社
121,2021-09-08,上海莱士：公司变更为无控股股东、无实际控制人状态 控制人变化,Wind
122,2021-09-08,上海莱士：科瑞天诚拟被动减持公司股份不超过3850万股 拟减持股份,Wind
123,2021-09-07,上海莱士变成无实控人状态：实控人3年以来多次被强制平仓 强平股份占总股本29% 股票质押异常,同壁财经
124,2021-09-05,重磅！全球首款用于治疗新冠肺炎的特效药在中国上市！,汇聚南药
125,2021-09-03,上海莱士：目前，公司尚未与基立福就重组超免疫球蛋白方面开展研究合作,每日经济新闻
126,2021-09-02,华兰生物业绩滑坡：转型之下的阵痛 盈利能力下降,健识局
127,2021-09-01,上海莱士：血液制品未涉及药品集采,Wind
128,2021-08-31,预见2021：《2021年中国生物医药行业全景图谱》,思宇医械观察
129,2021-08-28,“血制品龙头”中报亮眼，博雅生物离行业第一梯队还有多远？,贝壳财经
130,2021-08-26,上海莱士：科瑞天诚被动减持公司股份超过1%,Wind
131,2021-08-26,生物医药产业投资价值显现 2021生物医药市场现状调研,中研网
132,2021-08-25,上海莱士收关注函,Wind
133,2021-08-25,深交所向上海莱士发出关注函 关注函,每日经济新闻
134,2021-08-24,上海莱士(002252.SZ)：莱士中国被动减持4800万股公司股份 减持股份,智通财经
135,2021-08-24,上海莱士(002252.SZ)：科瑞天诚被动减持477.3577万股公司股份 减持股份,智通财经
136,2021-08-24,上海莱士：股东科瑞天诚投资控股有限公司被动减持0.07%股份,Wind
137,2021-08-24,上海莱士：股东莱士中国有限公司被动减持0.71%股份,Wind
138,2021-08-23,人血白蛋白销量创历史新高 上海莱士上半年净利润增长3成,上证报
139,2021-08-23,【干货】生物医药产业链全景梳理及重点区域分析——珠三角、长三角地区产业集聚效应明显,前瞻研究院
140,2021-08-19,[中报]上海莱士2021上半年营收17.56亿元 血白蛋白销量创历史新高,全景网
141,2021-08-19,8月19日晚间上市公司十大重磅公告,巨丰财经
142,2021-08-19,上海莱士(002252.SZ)上半年净利升30.67%至9.10亿元,格隆汇
143,2021-08-19,上海莱士半年报：上半年净利9.1亿元 同比增长31%,财联社
144,2021-08-19,上海莱士：上半年净利润同比增长30.67%,Wind
145,2021-08-17,上海莱士：截至目前，公司及其下属子公司郑州莱士、同路生物和孙公司浙江海康拥有单采血浆站41家（含分站 1家）,每日经济新闻
146,2021-08-13,上海莱士(002252.SZ)：科瑞天诚及一致行动人累计被动减持6.72亿股 减持股份,格隆汇
147,2021-08-13,上海莱士(002252.SZ)控股股东及其一致行动人被动减持公司股份超过1% 减持股份,智通财经
148,2021-08-13,上海莱士：控股股东科瑞天诚投资控股有限公司及其一致行动人被动减持公司股份达3.98%,Wind
149,2021-08-13,全球血制品巨头Grifols，加速开拓全球版图,药融圈
150,2021-08-12,解密主力资金出逃股 连续5日净流出436股,证券时报网
151,2021-08-12,8月12日主力资金净流出375亿元,证券时报网
152,2021-08-11,解密主力资金出逃股 连续5日净流出484股,证券时报网
153,2021-08-11,85股主力资金净流入超亿元,证券时报网
154,2021-08-10,解密主力资金出逃股 连续5日净流出456股,证券时报网
155,2021-08-10,短线防风险100只股短期均线现死叉,中国财富网
156,2021-08-09,解密主力资金出逃股 连续5日净流出442股,证券时报网
157,2021-08-08,干货！2021年生物医药行业龙头企业分析——天坛生物：重组后专攻血液制品、稳居行业龙头地位,前瞻研究院
158,2021-08-03,投资者提问：你好，请问贵司有新冠核酸检测的相应产品上市吗？,新浪
159,2021-07-30,【行业深度】洞察2021：中国人血白蛋白行业竞争格局及市场份额(附市场集中度、企业竞争力评价等),前瞻研究院
160,2021-07-29,“聪明钱”回来了 抄底逾80亿元,财富动力网
161,2021-07-29,上海莱士： 目前，公司下属公司郑州莱士仍在持续推进上述研发项目工作,每日经济新闻
