,2021-12-31,融入长三角 共用大陆桥 上港集团与连云港港签署合作协议,中国水运网
0,2021-12-30,应用正当时｜交通数字之变的“F5G经”,Ofweek
1,2021-12-27,今年港口吞吐量4700万标箱领跑全球，上海如何缓解“一箱难求”,第一财经
2,2021-12-27,上海港今年集装箱吞吐量预计4700万标准箱，继续领跑全球,Wind
3,2021-12-27,上海港今年集装箱吞吐量预计4700万标准箱，继续连跑全球,澎湃新闻
4,2021-12-27,2025年目标提前实现 上海港年吞吐量将突破四千七百万标箱,文汇报
5,2021-12-21,上海：引导企业加紧研究未来虚拟世界与现实社会相交互的重要平台,Wind
6,2021-12-16,2022年跨境物流行业年度策略：中国物流集团扬帆起航 实现全球物流自主可控,新浪
7,2021-12-15,上港集团：公司内贸中转20英尺重箱占比约为5%,每日经济新闻
8,2021-12-15,券商首次关注6股并给予买入评级（12月15日）,Wind
9,2021-12-15,15股获券商买入评级，比音勒芬目标涨幅达46.70%,Wind
10,2021-12-14,上港集团(600018)：航运景气传递 龙头港口价值重估,新浪
11,2021-12-12,海运港口板块估值有望修复,金融投资报
12,2021-12-10,上港集团等52股近五日获机构净买入,证券时报网
13,2021-12-10,港口提价潮涌现，机构密集关注概念股,Wind
14,2021-12-09,上港集团深入实施科技强港战略 融入新发展格局－国务院国有资产监督管理委员会,国资委
15,2021-12-08,深度｜疫情持续下的港口提价潮，海运费“高烧”或延续两三年,第一财经
16,2021-12-08,机构资金最近入驻这些股,证券之星
17,2021-12-08,上港集团等60股近五日获机构净买入,证券时报网
18,2021-12-07,"加油！1400家航运机构落户, 上海国际航运中心地位愈加突显！",海事服务网
19,2021-12-06,南财研选丨航运景气度会向港口传导！宁波港调价将强化行业涨价预期，港口海运股走势分化,21世纪经济报道
20,2021-12-06,物流和出行服务行业宁波港上调集装箱费率跟踪点评：集装箱装卸费率上调 港口龙头或迎估值修复,新浪
21,2021-12-06,上港集团股价大涨5.03% 股价创1个月以来新高,中国财富网
22,2021-12-06,每日理财观察：银行保险机构关联交易管理办法有望近期出台,Wind
23,2021-12-06,A股早报2021年12月6日星期一,Wind
24,2021-12-06,【银河交通王靖添】行业周报丨“客改货”政策调整叠加奥密克戎影响，国际航空货运价格再创新高,中国银河证券研究
25,2021-12-05,跨年行情将开启？这些板块值得关注丨板块拾金,第一财经
26,2021-12-05,上港集团、宁波港、辽港股份……谁是成长能力最强的港口企业？,腾讯网
27,2021-12-05,申万宏源交运一周天地汇：航运产业链利润向港口转移开始兑现期 推荐关注上港集团、招商港口等,新浪
28,2021-12-05,上海国际航运中心全球地位突显,上观
29,2021-12-04,沪指重上3600点，北向资金净买入92亿元,Wind
30,2021-12-03,金融街下午茶2021年12月3日星期五,Wind
31,2021-12-03,【数据看盘】市场风格即将转变？机构游资抢筹多只蓝筹股,财联社
32,2021-12-03,涨停板解密：资金青睐，三大板块个股火爆上攻！（12月3日）,Wind
33,2021-12-03,供需错配，运费上涨何时休？,Wind
34,2021-12-03,海港与服务点评报告：集运产业链景气传导 港口进入提价周期,新浪
35,2021-12-03,"涨停潮！4万亿赛道大爆发：龙头暴涨19%！5连板""妖股""，闪崩跌停了",中国基金报
36,2021-12-03,上港集团：本次国有股份无偿划转不会对公司正常的生产经营活动产生影响,每日经济新闻
37,2021-12-03,12月3日上港集团涨停分析：港口，上海自由贸易港，环杭州湾大湾区概念热股,证券之星
38,2021-12-03,装卸费提价刺激港口航运走强，中下游行业或迎来边际改善机会,Wind
39,2021-12-03,南财研选丨港口板块上涨，宁波舟山港调价，港口估值有望提升,21世纪经济报道
40,2021-12-03,A股收盘综述：沪指大涨一举拿下3600点！绿色电力概念掀涨停潮,Wind
41,2021-12-03,12月3日午后主力巨资抢筹四大板块(附股),金融界
42,2021-12-03,申万宏源：宁波舟山港拉开港口调价序幕,证券之星
43,2021-12-03,交通运输行业深度报告：费率上调 港口行业或将迎来盈业绩与估值双升,新浪
44,2021-12-03,12月3日午盘主力巨资抢筹四大板块(附股),金融界
45,2021-12-03,风起涨价潮，港口板块起飞！政策改善早有苗头，这些标的PE不到10倍,财联社
46,2021-12-03,12月3日早盘主力巨资抢筹四大板块(附股),金融界
47,2021-12-03,解盘：人气持续回暖，电力、存储器、白酒、半导体领涨,Wind
48,2021-12-03,A股午盘综述：沪指涨0.58%，煤炭、中字头午前急拉，港口股迎来久违大涨,Wind
49,2021-12-03,异动快报：上港集团（600018）12月3日10点38分封涨停板,证券之星
50,2021-12-03,港口板块强势 上港集团、宁波港等多股涨停,中证网
51,2021-12-03,上港集团（600018）：盘中近日首次触及涨停板,每日经济新闻
52,2021-12-03,【异动股】港口水运板块高开，上港集团(600018.CN)涨10.08%,财华社
53,2021-12-03,快讯：港口板块开盘大涨 上港集团等多股涨停,新浪
54,2021-12-03,港口股集体大涨，上港集团、宁波港、青岛港、招商港口相继涨停,Wind
55,2021-12-03,同济大学与上港集团签署合作框架协议，共建女子足球队,新民网
56,2021-12-02,航运费重回涨势！欧美航线大面积停航，航运龙头率先反弹,证券时报网
57,2021-12-01,上海港推出全国首个数字化退税业务产品,Wind
58,2021-11-29,港口行业：11月中旬枢纽港货物吞吐同比+9.6% 煤炭、原油吞吐同比高增,新浪
59,2021-11-20,申万宏源交运一周天地汇：“沿海捎带”限制放开利好枢纽港 中通2022年业绩指引超预期,新浪
60,2021-11-19,航运港口事件点评：外贸箱沿海捎带向外资开放 提高船舶利用率 利好枢纽港 关注上港、青岛港、天津港、招商港口,新浪
61,2021-11-18,国企改革“年检”将至，多家国资公司调整股权结构,Wind
62,2021-11-16,上港集团：以色列海法港和湖州上港目前运营正常,每日经济新闻
63,2021-11-16,上海国际港务：第一大股东发生变更 控制人变化,Wind
64,2021-11-15,港口行业专题报告：11月上旬枢纽港集装箱吞吐同比-7% 煤炭港存及铁矿石吞吐量同比高增,新浪
65,2021-11-15,公告精选：南钢股份拟分拆子公司至北交所上市；比亚迪拟向多氟多采购六氟磷酸锂,e公司
66,2021-11-15,晚间重要公告2021年11月15日星期一,Wind
67,2021-11-15,晚间公告｜11月15日这些公告有看头,第一财经
68,2021-11-15,上港集团：上海国资委拟将公司28.1%股份无偿划转至上海国投公司,财联社
69,2021-11-15,上港集团：上海国资委拟将所持公司28.10%股份无偿划转至上海国投公司,Wind
70,2021-11-15,首轮封闭近60亿元 上海科创基金二期发力S份额转让市场,Wind
71,2021-11-11,重庆：“税港通”出口退税服务上线 退税不再用提交纸质单证,上游新闻
72,2021-11-11,“税港通”出口退税服务正式上线 惠及重庆半数出口企业,中新网
73,2021-11-10,港口行业专题报告：10月下旬枢纽港吞吐量同比+5% 北方港口煤炭吞吐量增速转正,新浪
74,2021-11-10,交运行业2021年三季报综述：集运盈利再创新高 超过其他子板块总和,新浪
75,2021-11-09,10月交运看出口：运量增速小幅加快,新浪
76,2021-11-04,开放包容、创新变革，全球目光齐聚2021北外滩国际航运论坛,新民晚报
77,2021-11-03,天风证券维持上港集团买入评级：投资收益推动盈利较快增长,每日经济新闻
78,2021-11-03,天风证券：给予上港集团买入评级，目标价位8.54元,证券之星
79,2021-11-01,快讯：上港集团跌停 报于5.09元,金融界
80,2021-11-01,A股11月1日地产股跌幅榜：上港集团跌9.89%位居首位,乐居财经
81,2021-11-01,图解上港集团三季报：第三季度单季净利润同比增39.32%,证券之星
82,2021-11-01,A股11月1日地产股午盘：上港集团跌7.95%,乐居财经
83,2021-10-29,上港集团(600018.SH)前三季度归母净利同比增95.39%至117.42亿元,智通财经
84,2021-10-29,上港集团(600018.SH)第三季度净利润30.25亿元 同比增长39.32%,格隆汇
85,2021-10-29,上港集团：前三季度净利润同比增长95.39%,Wind
86,2021-10-29,定增频现“A投A”，产业巨头身影不断,Wind
87,2021-10-25,上港集团刷新单船集装箱装卸纪录－国务院国有资产监督管理委员会,国资委
88,2021-10-21,干货！2021年中国港口行业龙头企业市场竞争格局分析 上港集团发展领先于宁波港,前瞻研究院
89,2021-10-17,交通运输行业三季报前瞻：繁荣的集运产业链 成长的大宗供应链,新浪
90,2021-10-14,干货！2021年中国港口行业市场竞争格局——上港集团：企业布局四大业务板块,前瞻研究院
91,2021-10-13,最全！2021年中国港口行业上市公司市场竞争格局分析 三大方面进行全方位对比,前瞻研究院
92,2021-09-29,市审计局党组书记、局长刘向民带队赴上港集团洋山码头实地调研,东方网
93,2021-09-29,港口行业专题报告：9月中旬枢纽港吞吐量受台风影响回落 看好青岛港新航线开拓,新浪
94,2021-09-15,港口行业专题报告：9月上旬枢纽港外贸箱同比+5.7% 8月出口同比高增25.6%,新浪
95,2021-09-15,交通运输行业2021年四季度投资策略：成长的物流 复苏的客运,新浪
96,2021-09-15,上港集团(600018.SH)：李轶梵辞去独立董事等职务 董监高成员变化,智通财经
97,2021-09-15,上港集团：独董李轶梵辞职 董监高成员变化,Wind
98,2021-09-13,天风证券：首予上港集团(600018.SH)“买入”评级 目标价8.2元,智通财经
99,2021-09-13,【交运】上港集团（600018）首次覆盖：全球贸易瓶颈，盈利有望上行,天风研究
100,2021-09-08,2021年中国报关行业产业链现状及区域市场格局分析 进出口贸易驱动报关行业发展,前瞻研究院
101,2021-09-08,A股9月8日地产股午盘：仁东控股涨9.96%,乐居财经
102,2021-09-07,风享 · 周期&新能源 | 4大团队联袂汇报 深度挖掘投资机会 20210905,天风研究
103,2021-09-06,【银河交通王靖添】行业周报丨快狗打车递交IPO招股书，持续看好网络货运赛道高成长性,中国银河证券研究
104,2021-09-06,【天风Morning Call】晨会集萃20210906,天风研究
105,2021-09-04,华龙投顾周刊2021年第35期：证券大幅冲高回落，大盘关键点位或休整,华龙掘金
106,2021-09-03,宁波港144亿定增获浙江省国资委批准 国内港口资源整合加速,每日经济新闻
107,2021-09-03,A股9月3日地产股午盘：中国宝安跌9.29%,乐居财经
108,2021-09-03,9月3日行业要闻概览,钢企网
109,2021-09-02,中国港口协会：7月进口煤炭3018万吨 煤炭吞吐量降幅扩大,新浪
110,2021-09-02,上港集团以色列海法新港正式开港,证券时报网
111,2021-09-02,基金投资银行股热情升温，机构布局后市存分歧,Wind
112,2021-09-02,基金投资银行股热情升温 机构布局后市存分歧,中证网
113,2021-09-01,北向资金、腾讯系、国家队基金纷纷加仓！这个板块终于发威，谁是机构心头好？,Wind
