,2021-12-31,A股年度“涨停王”出炉，四成交易日均封板,Wind
0,2021-12-31,北上资金12月份净买入889.92亿元 连续15个月净买入,证券时报网
1,2021-12-31,146股本月股价创历史新高,证券时报网
2,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
3,2021-12-31,2021非银板块回顾：券商无忧，保险疼痛,智通财经
4,2021-12-30,陆股通净买入81.41亿元，连续4日净买入,证券时报网
5,2021-12-30,年末现“翘尾行情”！北向资金单月净买入4289.73亿元创新高,资本邦
6,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
7,2021-12-30,百家名企看高质量|东方财富郑立坤：积极融入金融数字化发展新格局,中新经纬
8,2021-12-30,【行情】证券板块走弱，东北证券跌超7%，华林证券、华鑫股份、东方财富跟跌,金十数据
9,2021-12-30,北向资金动向盘点：食品饮料低迷，逆市抄底净买,Wind
10,2021-12-30,北向资金大幅减持医疗服务业逾10亿元，这些个股遭抛售（名单） 减持股份,21世纪经济报道
11,2021-12-30,2021年超8000人加盟证券业 行业魅力值攀升 总资产首破10万亿元,证券日报
12,2021-12-30,一年大赚91%！不买新能源也能进业绩十强，这位当红基金经理如何做到的？,Wind
13,2021-12-29,北交所又派”红包“了！森萱医药本周飙升近70%，吉冈精密、丰光精密等涨超10%,证券时报网
14,2021-12-29,券商政策红利期仍在,证券市场周刊
15,2021-12-29,雪人股份：连续三个交易日内涨幅偏离值累计达20%,资本邦
16,2021-12-29,湖北广电：跌幅偏离值达7%,资本邦
17,2021-12-29,三羊马：换手率达20%,资本邦
18,2021-12-29,数据复盘｜主力资金撤离食品饮料、银行等行业 龙虎榜机构净卖出片仔癀等,证券时报网
19,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
20,2021-12-29,关于东方财富证券股份有限公司2021年面向专业投资者公开发行公司债券（第一期）上市有关事项的通知,深交所
21,2021-12-29,A股资金流向：权重股遭抛售，短线资金继续抱团热门股,Wind
22,2021-12-29,255万亿元！A股年成交金额创纪录！成交金额最大的股竟是它,北京商报
23,2021-12-27,【华西计算机】1227｜集度首款汽车机器人2023年量产交付,科技晶选
24,2021-12-27,东方财富(300059.SZ)子公司完成发行23亿元公司债券,智通财经
25,2021-12-27,12月两融余额缩水超200亿，3股逆势获净买入超10亿！,Wind
26,2021-12-27,A股资金流向：市场缩量弱反，中药板块保持强度,Wind
27,2021-12-27,新联电子：公司主要业务包括用电信息采集系统、智能用电云服务、电力柜三大业务板块,Wind
28,2021-12-27,【安信非银第38期周报】养老保险机构聚焦主业，境外上市制度完善,新角度新金融
29,2021-12-26,券商人手大比拼！两家头部券商扩张，年内增员均超2000,Wind
30,2021-12-24,信用债日报：本周信用债净融资额创7个月新低，地产债延续弱势,Wind
31,2021-12-24,北向资金动向盘点：逢高减持食品饮料,Wind
32,2021-12-24,北向资金结束连续4日净卖出，大幅出逃酿酒板块，“茅五泸”均被抛售,21世纪经济报道
33,2021-12-24,折价大宗交易频频，资金博弈券商板块,Wind
34,2021-12-23,数据复盘｜68股获主力加仓超亿元 北向资金抢筹宁德时代、东方财富等,证券时报网
35,2021-12-23,北向资金加仓近25亿结束连续4日净卖出，宁德时代净买入4.74亿元,Wind
36,2021-12-23,北向与百亿私募狂买券商股，大资金却在“大减价”,Wind
37,2021-12-23,多空交战！北向资金与百亿私募狂买券商股，大资金却在“大减价”交易,上证报
38,2021-12-22,深股通连续3日净卖出东方财富 累计净卖出5.26亿元,证券时报网
39,2021-12-21,北向资金交投意愿转淡连续3日净卖出，白酒、新能源均遭出货,Wind
40,2021-12-21,北向资金动向盘点：不仅没砸盘，反而逢低净买电子、传媒,Wind
41,2021-12-21,严打“假外资”影响几何？北向资金连续2日净卖出，出逃这些股（名单）,21世纪经济报道
42,2021-12-21,居民收入稳步提升，券商财富管理“备战升级”,Wind
43,2021-12-21,居民收入稳步提升 券商财富管理“备战升级”,经济参考报
44,2021-12-20,龙版传媒2021年12月20日异动上榜因换手率达20%,资本邦
45,2021-12-20,镇洋发展2021年12月20日异动上榜因换手率达20%,资本邦
46,2021-12-20,宝鹰股份：连续三个交易日内涨幅偏离值累计达20%,资本邦
47,2021-12-20,A股共发生209宗大宗交易成交37.76亿元（12月20日）,Wind
48,2021-12-20,东方财富大宗交易成交960.89万元,证券时报网
49,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
50,2021-12-20,东方财富现1笔大宗交易 共成交960.89万元,新浪
51,2021-12-20,东方财富今日大宗交易成交25.30万股，成交价37.98元溢价1.09%,Wind
52,2021-12-20,又有重磅转会！年内至少12家券商研究所负责人变更,Wind
53,2021-12-20,华林证券上榜因连续三个交易日内涨幅偏离值累计达20%的证券,资本邦
54,2021-12-20,每日理财观察：理财产品流动性风险管理办法出台,Wind
55,2021-12-20,北上资金加速流入A股，投资风格转向周期股,Wind
56,2021-12-20,【安信非银第37期周报】保险资金投资迎松绑，利好优质创投机构,新角度新金融
57,2021-12-19,招商策略：内资陆股通交易监管影响如何？,Wind
58,2021-12-19,【德邦金工|周报】沪深300短期回调不改向上趋势，创业板“死叉”信号已现 20211219,微信
59,2021-12-19,北向资金大调仓！加仓“券茅”逾40亿元，减仓“药茅”超20亿元,中证报
60,2021-12-19,除了备战北交所，券业今年还有这些关键词,Wind
61,2021-12-19,除了备战北交所，券业今年还有这些关键词,中证报
62,2021-12-18,A股温和震荡分化，北向资金本周流入逾百亿，增减持行业个股一览（名单）,21世纪经济报道
63,2021-12-18,北向资金丨本周扫货重点曝光 东方财富获净买入40.14亿元,第一财经
64,2021-12-18,2021年券商十大新闻盘点,Wind
65,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
66,2021-12-17,市场大跌，哪些股票依然在创新高？,量化藏经阁
67,2021-12-17,东方财富今日大宗交易成交18.46万股，成交价38.29元溢价0.95%,Wind
68,2021-12-17,北向资金动向盘点：近两周加仓“非银”已超百亿,Wind
69,2021-12-17,北向资金买入力度加大，抢筹钢铁行业（名单）,21世纪经济报道
70,2021-12-17,突发，广州新增1例，与奥密克戎病例同楼。核心资产要火了？欧洲资管巨头加仓“各种茅”，北上资金巨资买入股名单来了,证券时报
71,2021-12-17,北上资金连续12天净买入，煤炭行业搭上氢能源快车,Wind
72,2021-12-17,净买入超820亿元，北上资金单月流入金额又创新高,Wind
73,2021-12-16,明月镜片2021年12月16日异动上榜因无价格涨跌幅限制,资本邦
74,2021-12-16,跨年行情启动，北向资金本月净流入超800亿元，增减持股一览（名单） 减持股份,21世纪经济报道
75,2021-12-16,跨年行情启动，北向资金本月净流入超800亿元，增减持股一览（名单） 减持股份,21经济网
76,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
77,2021-12-16,东方财富大宗交易成交225.06万元，买卖双方均为机构专用席位,证券时报网
78,2021-12-16,东方财富现1笔大宗交易 共成交225.06万元,新浪
79,2021-12-16,东方财富今日大宗交易成交5.82万股，成交价38.67元折价0.28%,Wind
80,2021-12-16,EDA第一股今日申购，市盈率超500倍，北上资金买爆股票出炉,Wind
81,2021-12-16,东方财富、阳光电源等25股获北向资金增持额超亿元,证券时报网
82,2021-12-16,北向资金动向盘点：持续净买非银,Wind
83,2021-12-16,北向资金大买白马股，A股风格已然生变？金牛私募研判来了,Wind
84,2021-12-16,全面实行注册制 券商板块估值有望提升,大众证券报
85,2021-12-16,基金早班车|外资对白酒龙头加减不一，东方财富获净买入7.19亿元居个股首位,金融界
86,2021-12-16,北向资金小幅净买入，减持医疗服务，药明康德遭甩卖近7亿元 减持股份,21世纪经济报道
87,2021-12-16,外资连续11天加仓，4000亿龙头被买爆！两大领域成扫货专区,Wind
88,2021-12-16,三个跌停后是三个涨停！两倍大牛股被立案调查，却挡不住股民热情,Wind
89,2021-12-16,私募移仓大消费，市场可能重新洗牌？,Wind
90,2021-12-15,市场震荡休整，北向资金“做差价”小幅进场，八日累计加仓东方财富逾68亿元,21世纪经济报道
91,2021-12-15,每经18点|2万余个“头部账号”被关闭、停更；统计局：房地产业稳定发展仍具备较多有利条件；东方财富被北上资金净买入7.19亿元,每日经济新闻
92,2021-12-15,北上资金连续8个交易日净买入东方财富 共计68.07亿元,格隆汇
