,2021-12-31,东方雨虹：公司会根据战略发展规划、市场需求及现有产能布局等因素合理安排产能投放计划,每日经济新闻
0,2021-12-31,东方雨虹：公司部分建筑涂料业务会提供包工包料服务,每日经济新闻
1,2021-12-31,东方雨虹今日大宗交易成交45万股，成交价51.38元折价2.47%,Wind
2,2021-12-31,粤开策略：明年1月A股有望实现开门红 重点关注三条主线投资机会,新浪
3,2021-12-31,东方雨虹上榜全国建材行业2021年度“十大科技突破领军企业”,新浪
4,2021-12-30,东方雨虹：公司品牌价值为213.95亿元,Wind
5,2021-12-30,年终盘点：东方雨虹2021年十大关键词,第一财经
6,2021-12-29,东方雨虹为芜湖东方雨虹等提供总计3.67亿元担保 大额借贷担保,乐居财经
7,2021-12-29,岳阳东方雨虹上榜“第一届新湖南贡献奖 先进集体名单”,乐居财经
8,2021-12-29,东方雨虹获评“2020-2021年度中国最受尊敬企业”,新浪
9,2021-12-28,年底大宗交易井喷，四大行业获机构扫货！,Wind
10,2021-12-28,东方雨虹状告诚信开来装饰，案由买卖合同纠纷 诉讼纠纷,乐居财经
11,2021-12-28,深圳瑞捷迎多家机构调研 大力拓展政府客户市场,e公司
12,2021-12-28,国泰君安晨报,新浪
13,2021-12-28,东方雨虹荣膺 “2021中国年度最佳雇主百强”,新浪
14,2021-12-28,年末大宗交易增多，机构抢筹藏玄机,Wind
15,2021-12-27,建筑材料周观点：拿地改善反映土地市场回暖，继续推荐地产链,华创建筑建材研究
16,2021-12-27,建筑材料行业周报：品牌建材底部夯实；新材料板块景气延续,新浪
17,2021-12-27,南财研选｜新基建+老基建共振，稳增长政策信号企稳，建材行业迎布局机遇,21世纪经济报道
18,2021-12-27,颠覆认知：建材板块也有肉吃,每日财报
19,2021-12-27,建筑材料行业周报：需求淡季 继续关注稳增长方向,新浪
20,2021-12-27,快讯：东方雨虹收购虹昇科技100%股权,乐居财经
21,2021-12-27,东方雨虹李卫国新年献词：风华正茂 奋楫笃行,中新网
22,2021-12-25,两自然人转让虹昇科技100%股份，东方雨虹接盘,乐居财经
23,2021-12-24,12月资金动向追踪：中小市值受青睐，两大产业链流出严重！,--
24,2021-12-24,东方雨虹与创维光伏签署战略合作协议,Wind
25,2021-12-24,东方雨虹与创维光伏签署战略合作协议,e公司
26,2021-12-24,东方雨虹联手创维光伏，在光伏屋面一体化等领域深化合作,乐居财经
27,2021-12-24,"东方雨虹现4笔大宗交易 共成交3,463.47万元",新浪
28,2021-12-24,东方雨虹今日大宗交易成交29.80万股，成交价49.9元溢价0.0%,Wind
29,2021-12-24,“隐形冠军”，雨虹力量,新浪
30,2021-12-24,深圳瑞捷：长城证券、嘉峪投资等2家机构于12月21日调研我司,证券之星
31,2021-12-22,东方雨虹建筑修缮助力国家重点工程,新浪
32,2021-12-22,北京东方雨虹防水技术股份有限公司 关于公司控股股东进行股票质押式回购交易的公告,证券时报
33,2021-12-22,【天风问答系列】建筑建材：22年建筑、建材布局思路？,天风研究
34,2021-12-21,东方雨虹(002271.SZ)：实控人李卫国质押315.8474万股,格隆汇
35,2021-12-21,东方雨虹12月21日大宗交易成交998.82万元,证券时报网
36,2021-12-21,东方雨虹(002271.SZ)实际控制人李卫国质押315.85万股,智通财经
37,2021-12-21,东方雨虹控股股东李卫国累计质押公司股份约2.36亿股,乐居财经
38,2021-12-21,东方雨虹：李卫国累计质押所持公司股份约为2.36亿股，占公司总股本的9.38%,每日经济新闻
39,2021-12-21,东方雨虹今日大宗交易成交20.80万股，成交价48.02元溢价0.0%,Wind
40,2021-12-20,东方雨虹大宗交易成交399.88万元，买卖双方均为机构专用席位,证券时报网
41,2021-12-20,东方雨虹今日大宗交易成交8.55万股，成交价46.77元溢价0.26%,Wind
42,2021-12-20,建筑材料周观点：11月地产数据修复，继续推荐地产链建材,华创建筑建材研究
43,2021-12-20,东方雨虹助力“广西第一跨海大桥”龙门大桥项目,第一财经
44,2021-12-20,业绩增速放缓的东方雨虹，将如何纾解？ 盈利能力下降,每日财报
45,2021-12-18,华创研究2022年度展望|建筑建材行业：岁末冬寒储于物，华韶气阳待春发,新浪
46,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
47,2021-12-17,四大因素困扰2021涂料企业 | 回眸2021,国际金融报
48,2021-12-17,史上最高！单月821亿北上资金“爆买”A股，核心资产又要火了？,全景网
49,2021-12-17,净买入超820亿元，北上资金单月流入金额又创新高,Wind
50,2021-12-16,东方雨虹发生3笔大宗交易 合计成交2060.02万元,证券时报网
51,2021-12-16,"东方雨虹现3笔大宗交易 共成交2,060.02万元",新浪
52,2021-12-16,东方雨虹今日大宗交易成交29万股，成交价47.17元溢价0.0%,Wind
53,2021-12-16,岳阳东方雨虹上榜2021年湖南省“制造业企业100强”,新浪
54,2021-12-16,东方雨虹12月15日现2笔大宗交易,证券时报网
55,2021-12-15,东方雨虹为8家下游经销商提供共计2.6亿元担保 大额借贷担保,乐居财经
56,2021-12-15,东方雨虹现2笔大宗交易 合计成交53.00万股,证券时报网
57,2021-12-15,"东方雨虹现2笔大宗交易 共成交2,450.19万元",新浪
58,2021-12-15,暖风频吹，筑底回升：地产后周期迎估值修复,Wind
59,2021-12-15,东方雨虹今日大宗交易成交53万股，成交价46.23元折价1.01%,Wind
60,2021-12-15,东方雨虹智能装备新设备发布：“虹象1：X双组分多比例喷涂设备”上线,新浪
61,2021-12-15,东方雨虹为旗下3家公司债权提供1.7亿元担保 大额借贷担保,乐居财经
62,2021-12-14,东方雨虹现2笔大宗交易 合计成交568.90万股,证券时报网
63,2021-12-14,东方雨虹：截至目前，恒大与公司无大额债权债务关系,每日经济新闻
64,2021-12-14,东方雨虹跌4.97% 两券商高点唱多,中国经济网
65,2021-12-14,"东方雨虹现2笔大宗交易 共成交25,892.23万元",新浪
66,2021-12-14,东方雨虹今日大宗交易成交560万股，成交价45.52元溢价0.0%,Wind
67,2021-12-14,建筑装饰行业深度研究报告：保障房政策暖风频吹 产业链迎来投资良机,新浪
68,2021-12-14,处置能力全国第一！新疆拥有100%电石渣水泥熟料生产线共14条,混凝土与水泥制品网
69,2021-12-13,2021年12月13日大宗交易机构专用买入席位报告,搜狐
70,2021-12-13,北向资金连续9日净买入累计加仓近700亿，爆买东方财富超17亿,Wind
71,2021-12-13,"东方雨虹现1笔大宗交易 共成交2,730.30万元",新浪
72,2021-12-13,建筑材料周观点：经济会议表态积极，重提房地产支柱产业，推荐地产链建材,华创建筑建材研究
73,2021-12-13,东方雨虹今日大宗交易成交57万股，成交价47.9元溢价0.0%,Wind
74,2021-12-13,东方雨虹亮相2021中国国际轨道交通和装备制造产业博览会,乐居财经
75,2021-12-13,东方雨虹获“年度最具投关价值公司”等荣誉,乐居财经
76,2021-12-13,长城建材-建材行业周观点：近期房地产政策：首提“良性循环”，定调“房住不炒”,高材疾足
77,2021-12-13,“金禹奖”获奖防水工程大赏丨北京地铁15号线,新浪
78,2021-12-13,茅指数与宁组合同台竞技，两大赛道谁技高一筹？,Wind
79,2021-12-12,[公司]培育新材料驱动发展新引擎 东方雨虹拟15亿元投建大连绿色建材生产基地项目,全景网
80,2021-12-12,建筑材料周报：定调“稳中求进” 重点推荐品牌建材和玻璃,新浪
81,2021-12-11,最惨腰斩后，“茅指数”王者归来，股王重振雄风！,Wind
82,2021-12-10,【晚间公告抢先看】顶固集创应收恒大集团及其成员已逾期未兑付商票约2573万元、受疫情影响多家公司临时停产,金融界
83,2021-12-10,东方雨虹实控人李卫国质押1885万股及解除质押2100万股,乐居财经
84,2021-12-10,东方雨虹：拟投资15亿元建设绿色建材生产基地项目,Wind
85,2021-12-10,东方雨虹(002271.SZ)拟投15亿元在大连建设绿色建材生产基地项目,智通财经
86,2021-12-10,东方雨虹(002271.SZ)实控人李卫国质押1885万股及解质2100万股,智通财经
87,2021-12-10,东方雨虹：李卫国质押1885万股,每日经济新闻
88,2021-12-10,东方雨虹：拟15亿元在大连市投建绿色建材生产基地项目,财联社
89,2021-12-09,“十四五”农村规划吹风会两大要点：消费更新+粮食安全，五大板块异动！,Wind
90,2021-12-09,建材行业年度策略报告：静待产业链修复 关注“碳中和”机遇,新浪
91,2021-12-09,"东方雨虹现6笔大宗交易 共成交8,395.92万元",新浪
92,2021-12-09,东方雨虹今日大宗交易成交179.40万股，成交价46.8元溢价0.0%,Wind
93,2021-12-09,东方雨虹获批成为中国公路学会单位会员,新浪
94,2021-12-09,东方雨虹为旗下2家公司及下游经销商债权提供共计2.7亿元担保 大额借贷担保,乐居财经
95,2021-12-09,东方雨虹：用实力筑牢交通基础设施建设,第一财经
96,2021-12-09,东方雨虹、科顺股份涨超3%，建材ETF（159745）涨超1.2%,资本邦
97,2021-12-09,地产投资跟不上劲，东方雨虹未来该怎么玩？,新浪
98,2021-12-08,东方雨虹联合华福新能源，研发光伏屋面一体化产品,乐居财经
99,2021-12-08,东方雨虹：与辽宁华福新能源签署战略合作协议,e公司
100,2021-12-08,"东方雨虹现2笔大宗交易 共成交4,302.00万元",新浪
101,2021-12-08,东方雨虹今日大宗交易成交100万股，成交价43.02元折价3.99%,Wind
102,2021-12-08,东方雨虹荣获“2019-2020年度先进会员企业”等荣誉,新浪
