,2021-12-31,北京成为数字经济领头羊的最新经验,财经杂志
0,2021-12-31,亚太股份：天风证券、中信建投等10家机构于12月29日调研我司,证券之星
1,2021-12-31,协创数据：中信建投、太平养老保险等2家机构于12月28日调研我司,证券之星
2,2021-12-30,2021年59家券商有IPO过会项目，中信、海通、国金等9家赚超10亿元,每日经济新闻
3,2021-12-30,中信建投两保代收警示函 保荐雅迅网络IPO未勤勉尽责 金融监管处罚,中国经济网
4,2021-12-30,关于同意中信建投证券股份有限公司为华夏中证旅游主题交易型开放式指数证券投资基金提供一般做市服务的公告,上交所
5,2021-12-30,楚江新材：银华基金、中信建投等2家机构于12月25日调研我司,证券之星
6,2021-12-30,上声电子：东方证券资管、中信建投证券等6家机构于12月24日调研我司,证券之星
7,2021-12-30,内地股市年度成交创历史新高，超六成交易日破万亿,Wind
8,2021-12-29,2021A股IPO承销保荐哪家强？“三中一华”占半壁江山 民生、国信、东方逆袭,21世纪经济报道
9,2021-12-29,年终策划丨北交所“首批队员”：难忘问询时刻，期待未来“明星”,新京报
10,2021-12-29,投顾人才战！券商投顾扩容至6.8万，中信近5200名投顾实力布局，广发占比最高，一家中型券商增速亮了,财联社
11,2021-12-29,中国区域金融力排行榜：北京登顶，江浙紧逼,Wind
12,2021-12-29,两市年内成交额超2015年，6年来市场面貌至少3大变化,Wind
13,2021-12-29,青鸟消防：中信建投、民生加银等15家机构于12月23日调研我司,证券之星
14,2021-12-29,申万宏源：中信建投证券股份有限公司于12月24日调研我司,证券之星
15,2021-12-28,卖方研究年底辟谣忙，又有券商研究“被迫”回怼传闻，闻泰科技身处传闻漩涡，究竟被传了什么,财联社
16,2021-12-28,【银华基金】交易日报 2021-12-28,新浪
17,2021-12-28,中信建投全球多资产风险平价指数上线Wind金融终端,Wind
18,2021-12-28,金融街下午茶2021年12月28日星期二,Wind
19,2021-12-28,关于同意中信建投证券股份有限公司为南方富时中国国企开放共赢交易型开放式指数证券投资基金提供主做市服务的公告,上交所
20,2021-12-28,全年IPO超500家，哪些券商投行“赚嗨”了？,Wind
21,2021-12-28,国新健康：中信建投证券、华夏基金等10家机构于12月24日调研我司,证券之星
22,2021-12-28,2021年A股IPO盘点：上市企业达520家，募资额超5400亿,Wind
23,2021-12-27,全年IPO超500家，哪些券商投行“赚嗨”了？,第一财经
