,2021-12-31,通易航天股东减持148.1万股 权益变动后持股比例为4.14% 减持股份,同壁财经
0,2021-12-31,2021年中国A股新增上市公司行业热度排行榜,览富财经
1,2021-12-31,中信证券黑龙江分公司收警示函 制度规定落实不到位等 金融监管处罚,中国经济网
2,2021-12-31,通易航天：中信证券累计减持比例达2% 减持股份,Wind
3,2021-12-31,粤开策略：明年1月A股有望实现开门红 重点关注三条主线投资机会,新浪
4,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
5,2021-12-31,泰和新材：中信证券、红杉资本等2家机构于12月28日调研我司,证券之星
6,2021-12-31,中文在线：国泰君安、中信证券资管等6家机构于12月29日调研我司,证券之星
7,2021-12-30,券业2021年度罚单④丨12家券商资管全年吃32份罚单 私募产品及人事管理合规成“重灾区” 金融监管处罚,21世纪经济报道
8,2021-12-30,“让财富有温度” 中信幸福财富品牌升级周年庆典举行,搜狐
9,2021-12-30,兴齐眼药披露定增结果：中信证券获配1.28亿元,财联社
10,2021-12-30,兴齐眼药(300573.SZ)披露定增结果：中信证券获配1.28亿元 中信里昂、诺德、朱雀等在列,格隆汇
11,2021-12-30,2021龙虎榜百强营业部出炉！稳居第一的又是它,Wind
12,2021-12-30,2021年202家企业冲刺科创板、创业板被终止IPO，中信、华泰和民生损失前三，中金明星项目折戟！ IPO融资异常,每日经济新闻
13,2021-12-30,2021年59家券商有IPO过会项目，中信、海通、国金等9家赚超10亿元,每日经济新闻
14,2021-12-30,第一上海丨【行业评论】非银金融行业专题：政策持续深化改革，建议配置行业龙头,第一上海金融
15,2021-12-30,中微半导过会：今年IPO过关第406家 中信证券过59.5单,中国经济网
16,2021-12-30,遇见最好的时代，轻舟已过“万亿”山,Wind
17,2021-12-30,内地股市年度成交创历史新高，超六成交易日破万亿,Wind
18,2021-12-30,2021年超8000人加盟证券业 行业魅力值攀升 总资产首破10万亿元,证券日报
19,2021-12-29,嘉凯城：广州凯隆拟减持不超过1.08亿股公司股份 拟减持股份,贝壳财经
20,2021-12-29,券商政策红利期仍在,证券市场周刊
21,2021-12-29,嘉凯城：广州凯隆所持股份存在因平仓导致被动减持风险 股票质押异常,观点地产网
22,2021-12-29,2021A股IPO承销保荐哪家强？“三中一华”占半壁江山 民生、国信、东方逆袭,21世纪经济报道
23,2021-12-29,基金投顾正“乘风破浪”，华泰首家签约资产破百亿，中信60天签约资产70亿，规则频出为新业务护航,财联社
24,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
25,2021-12-29,投顾人才战！券商投顾扩容至6.8万，中信近5200名投顾实力布局，广发占比最高，一家中型券商增速亮了,财联社
26,2021-12-29,2021工资最低的十个行业,Wind
27,2021-12-29,7.78万亿现金管理产品续命，“类货基”替代品面世,Wind
28,2021-12-29,两市年内成交额超2015年，6年来市场面貌至少3大变化,Wind
29,2021-12-29,中信证券基金投顾上线60天 签约资产已突破70亿,财联社
30,2021-12-29,川环科技：中信证券、东吴证券等5家机构于12月24日调研我司,证券之星
31,2021-12-29,南网能源：华泰证券、中信证券等8家机构于12月24日调研我司,证券之星
32,2021-12-29,最短持有期产品扑面而来，日开固收“类货基”接连登场,Wind
33,2021-12-28,2021年券商领了265张监管函！ 投行、营业部成违规高发地 银河证券被7地证监局开了12份“罚单” 金融监管处罚,21经济网
34,2021-12-28,中信固收可转债周报：转债高估值拖累初显,Wind
35,2021-12-28,全年IPO超500家，哪些券商投行“赚嗨”了？,Wind
36,2021-12-28,港股盘前必读：快手与美团宣布达成互联互通战略合作,Wind
37,2021-12-28,中科微至深度破发：中信证券易方达报价“激进”自食苦果,面包财经
38,2021-12-28,券商营业部排名大洗牌，量化交易催生硬件竞赛,Wind
39,2021-12-28,2021年A股IPO盘点：上市企业达520家，募资额超5400亿,Wind
40,2021-12-28,看好三大机遇！中信证券资管刘曼：大力发展养老、机构、零售业务，推动公募化转型,券商中国
41,2021-12-27,中国移动新股弃购7.56亿元！有公募基金弃购,Wind
42,2021-12-27,中国移动新股弃购7.56亿元！有公募基金弃购,中证报
43,2021-12-27,全年IPO超500家，哪些券商投行“赚嗨”了？,第一财经
44,2021-12-27,国泰君安 | 信用债发行结果日报,国泰君安债券资本市场部
