,2021-12-31,探索未来银行的样子 百信银行推出首位虚拟数字员工,经济观察报
0,2021-12-31,中信银行(00998)：累计有32.7万元中信转债转为A股,智通财经
1,2021-12-31,宁夏财政厅增资宁夏银行3亿元，持股比例升至28.27%,澎湃新闻
2,2021-12-31,摩根大通：下调中信银行目标价至3.9港元，评级中性,Wind
3,2021-12-31,大摩：维持中信银行(00998)“中性”评级 目标价降至3.9港元,智通财经
4,2021-12-31,“小包演练”盛行，个人不良贷款转让业务“摸着石头过河”,Wind
5,2021-12-31,铁打的银行流动的高管，“年轻时代”走上C位,Wind
6,2021-12-30,2021年基金十强内部剧变 部分新能源主题产品掉队“散打选手”上位,中金在线
7,2021-12-30,国厚资产1折拿下资产包 个贷不良转让渐趋理性,华夏时报
8,2021-12-29,中信股份(00267)：中信海直拟向中信银行申请2亿元综合授信额度,智通财经
9,2021-12-29,鹏欣资源信息披露违法 前董事长楼定波等四人被处罚,中国经济网
10,2021-12-29,银行间交易商协会发布11月主承承销情况分类统计,Wind
11,2021-12-28,中海石油化学(03983.HK)及附属公司认购合计15亿元结构性存款产品,格隆汇
12,2021-12-28,中海石油化学：认购结构性存款产品人民币7亿元,Wind
13,2021-12-28,华安基金首批入驻中信银行财富开放平台,凤凰网
14,2021-12-27,中信银行：践行责任担当 进一步夯实年金业务基础,财经网
15,2021-12-27,中信银行打造财富开放平台 天弘基金等10家机构入驻,和讯
16,2021-12-27,首批！中欧基金入驻中信银行财富开放平台,新浪
17,2021-12-27,携手共建财富大生态 上投摩根基金入驻中信银行财富开放平台,凤凰网
18,2021-12-27,中信银行推出“幸福号” 南方基金首批入驻,财经网
19,2021-12-26,中信银行行长方合英：绿色信贷超1800亿元 较年初增120%,中国经营网
20,2021-12-26,专题：TLAC之下，银行资本工具发行需求有多大？,志明看金融
21,2021-12-25,个贷不良贷款转让市场升温,中国经营报
22,2021-12-25,结构性存款“变阵”，规模骤降探路转型,Wind
23,2021-12-25,跨境理财通业务开启，大湾区居民金融服务的中信力量！,腾讯网
24,2021-12-24,中信银行行长方合英：加快创新步伐，以更强的融资功能赋能新经济,21世纪经济报道
25,2021-12-24,中信银行：监事会会议审议通过《关于中信银行2021年度审计工作质量绩效考评的议案》,Wind
26,2021-12-24,中信银行：董事会会议审议通过《关于发行资本债券一般性授权的议案》等十四项议案,Wind
27,2021-12-24,南方基金首批搭载中信银行“幸福号” 精品“固收+”南方誉享助力闲钱投资,财经网
28,2021-12-24,中信银行广州分获评2020年度广东绿色金融创新优秀案例,奥一网
29,2021-12-24,携手打造全过程财富管理服务，招商基金入驻中信银行财富开放平台“幸福号”,资本邦
30,2021-12-24,中信银行推出银基合作开放平台 华夏基金首批入驻,和讯
31,2021-12-24,中信银行“幸福号”上线 博时基金首批入驻,上证报
32,2021-12-24,最高额3.50亿，步长制药为全资子公司提供连带责任担保,鲁网
33,2021-12-24,已有534家机构开立业务账户：个贷不良资产批量转让市场升温明显,中国金融新闻网
34,2021-12-24,宽信用政策助力，银行板块估值水平提升可期,Wind
35,2021-12-23,中信银行郑州分行、中信证券联合举办“信豫融合、创赢未来”2022年宏观经济及资本市场策略研讨会,和讯
36,2021-12-23,中信银行信阳分行“三立足” 助力地方营商环境改善,和讯
37,2021-12-23,3人内幕交易胜利精密被重罚 董事长高玉根向2人泄密,中国经济网
38,2021-12-23,步长制药拟为泸州步长提供最高额3.5亿元连带责任担保,乐居财经
39,2021-12-22,年关将至，邮储、平安、兴业、广发、中信等银行集中抛甩不良“包袱”,金融界
40,2021-12-22,中信银行推动线上化、智能化转型 升级APP发力财富管理业务,华夏时报
41,2021-12-22,26亿个贷不良资产包年末加速处理,21经济网
42,2021-12-22,超500家机构账户：解密个贷不良资产包,Wind
43,2021-12-22,中信银行：凝聚银团活水 润泽实体经济,证券时报网
44,2021-12-21,聚焦“财富管理”，首届中信银行APP节推出9位云端理财师,腾讯网
45,2021-12-21,超500家机构账户：解密个贷不良资产包里都“包”了点什么？,第一财经
46,2021-12-21,中信银行发布APP8.0版本,上证报
47,2021-12-21,金融科技也正在加快银行业的生态重塑,中投网
48,2021-12-21,年尾个贷不良贷款批量转让市场快速升温，月内广发银行等5家银行狂甩15个资产包,中国经济网
49,2021-12-21,融资客青睐6股，中远海科买入占比高达36.83%,Wind
50,2021-12-21,零售金融观察周报(12.13日-12.19日)：央行降息与银保监信用卡新规并重；芝麻信用推出首个中小企业立信平台，字节跳动进军小微贷,零壹财经
51,2021-12-20,“风险管控不到位”的信用卡将向何处去？,经济观察报
52,2021-12-20,基金赚钱基民不赚钱有解吗？,虎嗅APP
53,2021-12-20,中信银行上一交易日融资余额增2.10%至5.38亿元,资本邦
54,2021-12-20,智能投顾业务迎来大调整 多家银行宣布暂停智能投顾产品申购功能,中国金融新闻网
55,2021-12-20,26亿元“包袱”年末集中甩，银行个贷不良转让试点渐入正轨,Wind
56,2021-12-18,重构服务：中信银行如何让金融更“有温度”,新浪
57,2021-12-18,多家银行按下暂停键 智能投顾整改在即,中国经营报
58,2021-12-17,【银华基金】交易日报 2021-12-17,新浪
59,2021-12-17,银行财眼 | 中信银行岳阳分行被罚24.5万元：违反反洗钱法相关规定 金融监管处罚,凤凰网
60,2021-12-17,推动“双碳”目标阔步前行：中信银行杭州分行全力打造绿色金融服务样本,中国发展网
61,2021-12-17,央行榜单刷屏！金融机构重金砸向硬科技，银行业霸屏,Wind
62,2021-12-16,中信银行普惠型小微企业法人贷款余额 破千亿 近三年增10倍,新浪
63,2021-12-16,服务再升温 中信银行用心开展“适老化”服务,新浪
64,2021-12-16,中信银行上半年实现净利润290.31亿元 同比增长13.66%,新浪
65,2021-12-16,中信银行重庆金渝支行举行开业仪式,上游新闻
66,2021-12-16,海外信用评级汇总2021年12月16日星期四,Wind
67,2021-12-16,央行召开金融机构货币信贷形势分析座谈会,Wind
68,2021-12-16,穆迪：维持中信银行“Baa2”长期外币存款评级，展望“稳定”,Wind
69,2021-12-16,发挥集团协同优势 中信银行落地单笔亿元“现金＋保单”家族信托,信托网
70,2021-12-16,大商所非标仓单品种扩容，5家银行入局场外业务,Wind
71,2021-12-15,中信银行公司信用类债券承销超7000亿元 金额只数均居市场榜首,北京商报
72,2021-12-15,中信银行综合能力全面升级 “新三年规划”推动价值成长,新浪
73,2021-12-15,把握行业前行的脉搏 中信银行多维度为特色化发展铺路,新浪
74,2021-12-15,综合金融服务“引领者”：中信银行的 探索与实践,新浪
75,2021-12-15,紧跟国家战略导向：中信银行的大行担当,新浪
76,2021-12-15,深圳楼市回暖在即？ 部分银行下调房贷利率 二手房成交量反弹,证券日报
77,2021-12-14,中信银行太原分行大力支持实体经济发展 债券承销规模历史性突破300亿大关,搜狐
78,2021-12-14,优化服务 把控风险 中信银行积极践行“支付为民，开户不难”,中国金融新闻网
79,2021-12-14,百城卖地逾4万亿元同比下降7% 深圳部分银行下调房贷利率,证券日报
80,2021-12-14,银行暂停智能投顾背后：基金投顾监管加码，还有规范文件或陆续出台,Wind
81,2021-12-14,助力大湾区“小巨人”成长，金融活水精准滴灌广东专精特新企业,21世纪经济报道
82,2021-12-14,4.95%！深圳部分银行下调首套房贷利率,Wind
83,2021-12-14,基金投顾业务整改提速 至少7家银行智能投顾产品按下“暂停键” 金融监管处罚,证券日报
84,2021-12-13,什么情况？多家银行按下智能投顾购买功能“暂停键”，银行回应：已在加紧调整改造,新浪
85,2021-12-13,深圳房贷利率下调，房贷每月可省一顿椰子鸡？多家银行回应,南都报
86,2021-12-13,11月银行间市场发行规模环比上升，中票发行成本涨跌互现，短融发行成本上升,中证鹏元评级
87,2021-12-13,多家银行因“合规整改”智能投顾申购功能 相关业务监管新规或已在路上,财联社
88,2021-12-13,中信银行“全球银行品牌500强”排名升至16位 品牌价值较上年增长10.2%,新浪
89,2021-12-13,中信银行发布2020年业绩快报： 净利润490亿元 增长2.01%,新浪
90,2021-12-13,中信银行2020年报出炉： 服务实体与企业发展同频共振,新浪
91,2021-12-13,中信银行2020年报出炉： 全面风险管理水平提升,新浪
92,2021-12-13,中信银行2020年报出炉： 业务转型提升市场竞争力,新浪
93,2021-12-13,在爱老、敬老中彰显中信温度 中信银行四家机构获全国“敬老文明号”称号,新浪
94,2021-12-13,中信银行：成就伙伴品牌,新浪
95,2021-12-13,数家银行暂停智能投顾购买功能,Wind
96,2021-12-12,不止招行、工行，中信、广发、江苏等银行智能投顾产品也暂停买入,21世纪经济报道
97,2021-12-12,不止招行、工行，中信、广发、江苏等银行智能投顾产品也暂停买入,Wind
98,2021-12-10,深圳证监局：杨波操纵“东方中科”股价，没收其违法所得及处以罚款合计440万元,Wind
99,2021-12-10,中信银行独董殷立基因健康原因辞任 董监高成员变化,券商中国
100,2021-12-10,因个人健康原因无法履职 中信银行独立董事殷立基辞任 董监高成员变化,和讯
101,2021-12-10,中信银行：殷立基辞去独立董事等职务 董监高成员变化,财联社
102,2021-12-10,中信银行：独立董事辞任 董监高成员变化,Wind
103,2021-12-10,花旗：上调中信评级至“买入”，若分拆成功可释放价值,Wind
104,2021-12-10,中信银行(00998)委任陈丽华为董事会提名与薪酬委员会委员,智通财经
105,2021-12-10,中信银行(00998.HK)：提名廖子彬为独立非执行董事候选人,格隆汇
106,2021-12-10,中信银行：非执行董事变更,Wind
107,2021-12-10,开辟绿色通道 延长还款期限 中信银行为河南受灾地区提供有温度的金融服务,新浪
108,2021-12-10,完善绿色金融体系 中信银行助力实体经济向“双碳目标”加速迈进,新浪
109,2021-12-10,中信银行与永赢基金合作开发 首只碳中和主题公募债基正式获批,新浪
110,2021-12-10,中信银行五条措施紧急救助河南汽车经销商,新浪
111,2021-12-10,中信银行肖鸣获“全国脱贫攻坚先进个人”殊荣,新浪
112,2021-12-10,应对极端天气 中信银行采取多项应急措施保障群众生命财产安全,新浪
113,2021-12-10,中信银行广州分行扎实开展“我为群众办实事”实践活动,奥一网
114,2021-12-10,银行函证区块链服务平台投入应用，平安银行回函的4笔全流程自动化电子函证落地,Wind
115,2021-12-10,银保监会：三季度银行业个人贷款业务投诉同比增长38.6%,Wind
116,2021-12-09,银行补充资本或加速！2张图一览永续债、二级资本债发行融资,Wind
117,2021-12-09,中信银行金华分行驻村党员：进村入户奔走宣讲，入耳入情到心坎,中国发展网
118,2021-12-09,中信银行成都分行：聚焦实体经济，彰显金融担当,凤凰网
119,2021-12-09,密集发新品！百亿私募大佬挂帅出马，行情来了？,Wind
