,2021-12-31,A股年度“涨停王”出炉，四成交易日均封板,Wind
0,2021-12-31,2021年十大牛股和熊股出炉，最牛股大涨566%,Wind
1,2021-12-31,2021年十大熊股尘埃落定：中公教育全年跌近8成 ST股占半壁江山,财联社
2,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
3,2021-12-31,面对市场质疑 中公教育能否走出转型阵痛期? 经营问题,时代周报
4,2021-12-31,公募也踩雷，博时教育ETF成立半年价格腰斩 重仓股票异动,中访网
5,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,21世纪经济报道
6,2021-12-31,涉嫌信披违法违规 中公教育回复深交所关注函公告姗姗来迟 关注函,经济参考报
7,2021-12-30,42页回复详解市场质疑 中公教育表示将优化产品结构,红周刊
8,2021-12-30,中公教育：玩概率的游戏割考生“韭菜” 砸了自己的脚,新浪
9,2021-12-30,退费率65.81%！中公教育前三季退费近124亿元，超2020年营收总额,AI财经社
10,2021-12-30,公考大热业绩却巨亏，问题出在哪里？中公教育给出这些回复 重大损失,金融界
11,2021-12-30,公司快讯|滴滴第三季度净亏损306亿元，白酒股杀跌茅台市值蒸发超千亿元，特斯拉保费一夜暴涨125% 亏损,财经网
12,2021-12-30,2021年十大熊股曝光　中公教育跌逾七成最惨,投资快报
13,2021-12-29,考不过退学费模式成“双刃剑” 公考龙头中公教育9个月退费近124亿,每日经济新闻
14,2021-12-29,中公教育年内退费率高达65.81%！2.7万字公告回应市场疑云,21世纪经济报道
15,2021-12-29,中公教育披露“贷款上课”业务细节，合作机构包括百度贷款、京东白条,金融界
16,2021-12-29,风暴中的中公教育，回应学员贷、协议班、退费、存贷双高等质疑,搜狐
17,2021-12-29,早知道·财讯热搜榜TOP10（12月29日）,新华网
18,2021-12-29,教育巨头回复退费问题！关停这类业务 业务变化,中国基金报
19,2021-12-29,12月29日盘前重要公司新闻,上证报
20,2021-12-29,前三季度退费金额超百亿元！公考教培巨头：市场竞争压力加大,中证报
21,2021-12-29,中公教育回复关注函：相关考试提前对收入影响大 关注函,上证报
22,2021-12-29,成立半年价格腰斩 博时教育ETF为年度“坑王”？,每日经济新闻
23,2021-12-28,中公教育回复深交所：未发现市场占有率明显下滑，2021年Q3退费支出超过业务收款 问询,搜狐
24,2021-12-28,晚间要闻2021年12月28日星期二,Wind
25,2021-12-28,消费参考丨新东方，走向助农直播？,21世纪经济报道
