,2021-12-31,中国东航顺利实现2021安全飞行年,民航资源网
0,2021-12-31,西南证券维持中国东航持有评级：航空产品提质优化，票价市场化改革深入,每日经济新闻
1,2021-12-31,西南证券：给予中国东航增持评级,证券之星
2,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
3,2021-12-31,民航业的2021：消失的旺季，想方设法活下去,第一财经
4,2021-12-31,航空股的2021年：“快乐飞”没有想象中的那么“快乐”,智通财经
5,2021-12-29,机场航运、酒店餐饮板块逆势走强，旅游ETF（159766）放量上涨1.43%,Wind
6,2021-12-29,解盘：题材股分化，大飞机、盐湖提锂、军工、肺炎检测略涨,Wind
7,2021-12-29,A股午盘综述：白酒板块熄火，贵州茅台、五粮液、泸州老窖大步回撤,Wind
8,2021-12-29,【行情】航空股逆市走高，吉祥航空涨超7%，南方航空、中国国航、中国东航、中信海直等跟涨,金十数据
9,2021-12-16,11月民航运输盘点：客运需求持续低迷，货运环比相对亮眼,澎湃新闻
10,2021-12-16,航空运输业2021年11月经营数据点评：国内局部疫情反复 压制航空需求复苏,光大证券
11,2021-12-15,【华创交运】航空行业11月数据点评：多地散发疫情致当前民航业受冲击，不改本轮核心逻辑，持续看好行业2022年起步入复苏之路,新浪
12,2021-12-15,晚间重要公告2021年12月15日星期三,Wind
13,2021-12-15,中国东航(600115.SH)11月旅客周转量同比下降43.64%,智通财经
14,2021-12-15,中国东航：11月客运运力投入（按可用座公里计）同比下降31.47%,Wind
15,2021-12-15,中国东航在第二届ISIG中国产业智能大会上获“最佳创新实践奖”,凤凰网
16,2021-12-15,东航“速运”人体捐献器官,浦东时报
17,2021-12-15,提前31分钟抵达！东航旗下一二三航空首运人体捐献器官 －国务院国有资产监督管理委员会,国资委
18,2021-12-14,国产ARJ21飞机大速度飞行！提前31分抵达！东航旗下一二三航空首次“速运”人体捐献器官,凤凰网
19,2021-12-12,下周操盘攻略：跨年蓝筹行情正临近,Wind
20,2021-12-07,中国东航连续第四年入选中国企业国际形象“十大案例”,中证网
21,2021-12-07,交运行业年度策略报告：关注物流高质量发展 珍惜航空左侧机遇,新浪
22,2021-12-07,创新讲好中国故事 东航四度入选中国企业国际形象“十大案例”,民航资源网
23,2021-12-07,国泰君安：关注航空机场“逆向时机”,财联社
24,2021-12-05,交运社服行业周报(12月第1周)：中免暂缓H股发行上市 港版健康码上线,新浪
25,2021-12-05,交通运输行业周报：国内疫情仍有反复 国外防输入压力持续加大,光大证券
26,2021-12-03,中国东航：东航海外（香港）有限公司发行的韩元债券付息,Wind
27,2021-12-03,中国东航(600115.SH)子公司将于12月6日支付韩元债券利息72亿韩币,智通财经
28,2021-12-03,物流和出行服务行业B737MAX获中国民航局适航许可跟踪点评：B737MAX获适航许可 距国内复飞再近一步,新浪
29,2021-12-01,交通运输行业周报数据库：快递盈利改善持续 关注航空逆向时机,新浪
30,2021-11-30,中国东航连续两年获MSCI（明晟）ESG评级A级,经济日报
31,2021-11-30,中国航司唯一 中国东航连续两年获MSCI ESG评级A级,上证报
32,2021-11-30,全球并列第一中国航司唯一！中国东航连续两年获MSCI（明晟）ESG评级A级,凤凰网
33,2021-11-29,中国东航成上海数交所首批数商,浦东时报
34,2021-11-26,民航业唯一 中国东航成为上海数据交易所首批“数商”,上证报
35,2021-11-26,中国东航数据产品挂牌上海数据交易所,Bianews
36,2021-11-25,募资超7000亿！A股迎定增大年，热门赛道引隐忧？,Wind
37,2021-11-25,上海数据交易所揭牌！让数据成为资产，要关注的点在这里,Wind
38,2021-11-23,【国君交运】中国东航H：短期业绩承压明显，长期复苏趋势确定,郑武看交运
39,2021-11-22,一天内就能吃上智利车厘子，解密东航进博会大单背后的底气,搜狐
40,2021-11-22,每日报告回放,新浪
41,2021-11-22,交运中小盘行业周报：快递持续边际改善 疫情消退利好出行复苏,新浪
42,2021-11-20,中国东航(600115)：十四五飞机引入放缓 行业长期拐点可期,新浪
43,2021-11-19,运输“十四五”规划印发，谁是行业“最强王者”？,Wind
44,2021-11-18,机构扎堆定增“黄金坑”，60家公司收益已翻倍！,Wind
45,2021-11-17,航空机场10月数据点评：数据乏善可陈 但或代表未来几个月的常态,新浪
46,2021-11-17,航空运输行业：10月疫情扰动中 民航平稳恢复,新浪
47,2021-11-17,物流和出行服务行业10月航空机场运营数据跟踪：黎明切近 及时布局,新浪
48,2021-11-17,航空10月数据点评：短期疫情再袭 继续看好长期趋势,新浪
49,2021-11-15,晚间重要公告2021年11月15日星期一,Wind
50,2021-11-15,中国东航：10月公司客运运力投入（按可用座公里计）同比下降9.02%,Wind
51,2021-11-15,交通运输物流周报：“双十一”期间快递量同比增长超两成,新浪
52,2021-11-15,交通运输物流行业动态：民航局就737MAX适航指令征求意见 关注对行业供给增速潜在影响,新浪
53,2021-11-12,急推“随心飞”，重征燃油附加费，三季度巨亏的航司们忙自救 重大损失,ZAKER
54,2021-11-12,以国际化舞台赋能国际化成长 全球媒体关注东航精耕北外滩论坛,中国民航网
55,2021-11-11,中国东航参加第二届民航科教创新成果展,民航资源网
56,2021-11-10,中国东方航空股份(00670.HK)：完成向中国东航集团发行24.95亿股A股,格隆汇
57,2021-11-10,中国东方航空股份：完成发行A股普通股约24.95亿股,Wind
58,2021-11-10,中国东航(600115.SH)：拟以60亿元募集资金置换预先投入资金,格隆汇
59,2021-11-10,中国东航：非公开发行新增股份约24.95亿股,每日经济新闻
60,2021-11-09,中国航企进博会采购签约近百亿 观点：全球合作全球共赢,民航资源网
61,2021-11-09,个人数据“丢失”，平台如何“自证清白”,36氪
62,2021-11-09,新能源主线继续领跑，机构建议布局“跨年行情”,Wind
63,2021-11-08,9000亿赛道重挫、美国突发大消息，市场预期巨变？,Wind
64,2021-11-08,海外传来利好，美国取消这项禁令，今年巨亏板块闻讯拉升！机构：它们将迎来业绩拐点,证券时报
65,2021-11-08,航空运输板块飙升，南方航空触及涨停,Wind
66,2021-11-08,看，东航的“进博购物车”,光明日报
67,2021-11-08,数说“进博购物车”里的溢出效应,Wind
68,2021-11-08,解密航企“进博购物车”,第一财经
69,2021-11-07,解密航企“进博购物车”：数十亿美元大单背后的新角色,第一财经
70,2021-11-06,中国东航“进博购物车”超11亿美元,经济日报
71,2021-11-05,财华聚焦|航空股何时现曙光？,财华社
72,2021-11-05,航空主业“集采”加上万吨车厘子！进博会首日东航“血拼”11亿美元,华夏时报
73,2021-11-05,解密中国东航“进博购物车”：超11亿美元大单背后的新发展攻略,民航资源网
74,2021-11-05,进博会开展首日，中国东航签约10台“除冰车箱体”订单,民航资源网
75,2021-11-05,2.3亿美元的“美味大单”!中国东航第四届进博会智利车厘子采购项目创新高,民航资源网
76,2021-11-04,航空行业21Q3季报总结：航空复苏曲折向上 春秋为唯一盈利航企,西南证券
77,2021-11-03,外媒关注东航承办首届北外滩航空论坛,民航资源网
78,2021-11-02,中国东航全方位升级进博服务 推多款专属产品,民航资源网
79,2021-11-01,图解中国东航三季报：第三季度单季净利润同比减424.69% 盈利能力下降,证券之星
80,2021-11-01,5000亿巨头闪崩，万亿宁王却创新高！极致行情上演,Wind
81,2021-10-31,中国东航三季报点评：疫情冲击导致亏损，看好长期趋势【国信交运中小盘】 亏损,微信
82,2021-10-31,【国海交运李跃森】中国东航：疫情反弹，亏损扩大 亏损,许可交运参考
