,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
0,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
1,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,21世纪经济报道
2,2021-12-30,净流入额创历史纪录！北向资金明年继续“拥抱”A股？,Wind
3,2021-12-30,散户傻眼了！这个板块竟然一年都没涨，但基金却开始大手笔扫货，龙头股更是被券商集体高喊买入,每日经济新闻
4,2021-12-30,说好的白酒提价，怎么突然就跌了？,Wind
5,2021-12-27,太平洋证券：元旦小长假来临 聚焦消费龙头,财联社
6,2021-12-24,免税店板块异动，南宁百货、中国中免、鄂武商A、友好集团齐升,Wind
7,2021-12-24,北京区域股市周报：266家机构调研太极股份 宣亚国际股价涨125.09%排第一,每日经济新闻
8,2021-12-23,海航基础迎来重大转折，拟更名为海南机场！,投资家
9,2021-12-23,2022年社服行业投资策略：复苏曙光渐进 曲折中孕育新变,新浪
10,2021-12-22,餐饮旅游行业周报：暂停陆地边境口岸城市跨省游 中免收购港中旅资产,新浪
11,2021-12-22,低位股悄悄崛起，机构高关注的低位绩优股名单来了,Wind
12,2021-12-21,中银证券：中免布局牌照扩容，乡村旅游发展持续推进中,财联社
13,2021-12-20,中国中免： 市内店政策是由政府有关主管部门来制定的,Wind
14,2021-12-20,"社会服务行业-双周报21期：文旅部出台新疫情防控政策,首旅酒店定增顺利落地",国信研究
15,2021-12-20,每日理财观察：理财产品流动性风险管理办法出台,Wind
16,2021-12-20,24股获券商买入评级，报喜鸟目标涨幅达59.83%,Wind
17,2021-12-19,社会服务行业周报：官方回应“就地过年” 海南明确自贸港封关任务,新浪
18,2021-12-18,赋能旅游休闲新体验 中免三亚免税综合体引入奢华及精品酒店,中金在线
19,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
20,2021-12-18,茅台，稳住！外资基金巨头在加仓了,Wind
21,2021-12-17,中国中免现1笔大宗交易 共成交869.12万元,新浪
22,2021-12-17,国信证券：疫情+竞争下环境新变化，免税概念股有哪些可期待？,智通财经
23,2021-12-17,中国中免：中国港中旅资产经营有限公司拥有免税外汇商品经营资质，可以经营外汇免税商店,每日经济新闻
24,2021-12-16,中国中免(601888)：收购港中旅资产100%股权 解决同业竞争+完善免税布局,新浪
25,2021-12-16,中国中免(601888)：拟收购港中旅100%股权 完善牌照布局,新浪
26,2021-12-16,23股今日获机构买入评级,证券时报网
27,2021-12-16,外资巨头增持A股核心资产，这些股被大幅增持！风格要变了？,Wind
28,2021-12-16,什么信号？外资巨头增持A股核心资产，这些股被大幅增持！风格要变了？,证券时报
29,2021-12-16,光伏设备龙头！机构扎堆杀入！,腾讯网
30,2021-12-16,深度*公司*中国中免(601888)：收购港中旅资产公司 完善免税牌照与渠道,新浪
31,2021-12-16,22股获券商买入评级，康泰生物目标涨幅达97.29%,Wind
32,2021-12-16,外资连续11天加仓，4000亿龙头被买爆！两大领域成扫货专区,Wind
33,2021-12-15,26股今日获机构买入评级,证券时报网
34,2021-12-15,浙商证券给维持中国中免买入评级，中国中免事件点评：1.26亿元收购港中旅，覆盖全业态免税业务,每日经济新闻
35,2021-12-15,餐饮旅游行业周报：国产新冠特效药获批上市 首旅酒店定增落地,新浪
36,2021-12-15,中国中免(601888)：收购港中旅公司 补全归国人员免税牌照,新浪
37,2021-12-15,国联证券：给予中国中免买入评级,证券之星
38,2021-12-15,国联证券维持中国中免买入评级：收购港中旅资产，解决同业竞争、完善牌照布局,每日经济新闻
39,2021-12-14,晚间重要公告2021年12月14日星期二,Wind
40,2021-12-14,中国中免逾亿元现金收购控股股东全资孙公司：解决同业竞争,澎湃新闻网
41,2021-12-14,中国中免1.26亿收购港中旅资产 获免税外汇商品经营资质,21世纪经济报道
42,2021-12-14,中国中免拟1.26亿元收购港中旅资产公司100%股权,上证报
43,2021-12-14,中国中免：工作人员有时可能因会议等原因临时走开,每日经济新闻
44,2021-12-14,中国中免：收购港中旅资产公司100%股权,财联社
45,2021-12-14,中国中免：1.26亿元收购中国港中旅资产经营有限公司100%股权,Wind
46,2021-12-14,元宇宙满屏涨停，北上资金爆买金融白酒,Wind
47,2021-12-13,传统蓝筹“王者归来”，市场风格切换在即？,Wind
48,2021-12-13,中国中免现1笔大宗交易 共成交616.55万元,新浪
49,2021-12-13,财信证券美容护理、社服零售行业2021年12月月度报告：围绕成长确定性强、修复能力强的优质龙头布局,财信证券研究
50,2021-12-13,北上资金上周净买入金额创新高，重点加仓白酒与金融股,Wind
51,2021-12-12,【开源零售|周视角】Costco苏州店开业，仓储会员店赛道持续火热,泽鹏商业观察
52,2021-12-12,中国中免(601888)：政策及供需共促海南客流疫后稳增 综合性价比优势重塑全球格局,新浪
53,2021-12-11,消费板块能否引领跨年行情？,Wind
54,2021-12-10,北向资金本周净买入额创历史新高，连续6日抢筹贵州茅台累计加仓超47亿,Wind
55,2021-12-10,A股融资融券日报：两融余额增加7.33亿元（12月9日）,Wind
56,2021-12-09,东方证券：对社服板块保持适当乐观,财联社
57,2021-12-09,跨年行情继续火热，A50ETF（159601）涨超1%再创新高,Wind
58,2021-12-08,社服周报：美兰机场T2免税店开业 中国中免暂停港股上市,新浪
59,2021-12-08,中国中免｜拟购港中旅资产公司100%股权 | 头条金融网,头条日报
60,2021-12-08,中国中免现1笔大宗交易 共成交312.00万元,新浪
61,2021-12-08,北向资金再度加仓近百亿，贵州茅台获大幅净买入超16亿元,Wind
62,2021-12-08,北向资金动向盘点：狂买金融股，风格已变,Wind
63,2021-12-08,北向资金扫货A股近80亿元！大幅增持银行券商，减持有色金属（附股） 减持股份,21世纪经济报道
64,2021-12-07,外资月报第26期：外围扰动加剧 配置盘稳步流入,新浪
65,2021-12-07,休闲服务行业周报：OMICRO毒株短期冲击市场 中免暂缓港股上市,华福证券有限责任公司
66,2021-12-07,中国中免等9股获融资净买入超亿元,证券时报网
67,2021-12-07,融资客青睐8股，雷柏科技买入占比高达38.52%,Wind
68,2021-12-06,中免暂缓登陆H股 凯众联姻终止 疫情冲击旅游业两大资本动作均告吹,金融界
69,2021-12-06,中国中免H股上市按下暂停键，股价已较高点下跌近半,第一财经
70,2021-12-06,重头戏来了？青瓷游戏、商汤科技本周招股,新浪
71,2021-12-06,社会服务行业周报：中免暂停H股上市 凯撒众信重组终止 并购重组异常,新浪
72,2021-12-06,深度*行业*社会服务行业周报：美兰机场二期正式投运 多地加快建设文旅业,新浪
73,2021-12-06,中国中免中止H股上市扩张或受阻 市值蒸发3900亿陆股通汇金均已减仓,长江商报
74,2021-12-05,4000亿龙头企业中国中免暂缓香港上市：此前已过聆讯，称市场低迷,腾讯网
75,2021-12-05,下周操盘攻略：均衡配置成长与价值,Wind
76,2021-12-05,港股频繁破发，4000亿巨头暂停港股上市,21世纪经济报道
77,2021-12-05,交运社服行业周报(12月第1周)：中免暂缓H股发行上市 港版健康码上线,新浪
