,2021-12-29,中国冶金科工：“21中冶MTN001”发行金额调整为5亿元,Wind
0,2021-12-27,中国联通新任总会计师到任 由来自五矿集团的李玉焯升任,--
1,2021-12-26,中国中冶状告爱驰汽车，案由系建设工程施工合同纠纷 诉讼纠纷,乐居财经
2,2021-12-25,中国中冶：子公司中冶建工拟成立合营公司从事贵阳城中村改造安置房项目,Bianews
3,2021-12-24,中国中冶出资5749.74万元与五矿证券等成立观山湖阳关安置房开发,乐居财经
4,2021-12-24,中国中冶(01618)附属拟参与成立合营公司,智通财经
5,2021-12-24,中国中冶(01618.HK)拟成立合营 从事贵州贵阳观山湖区阳关片区棚户区城中村改造安置房项目,格隆汇
6,2021-12-24,中国中冶：出资5749.74万元成立一家合营公司,Wind
7,2021-12-24,中国中冶(601618.SH)拟于总部设立资金中心,智通财经
8,2021-12-22,中国中冶(01618.HK)：五冶集团拟出售账面值不超42亿人民币应收账款,财华社
9,2021-12-22,中国中冶：五冶集团拟将不超过42亿元的应收账款出售给中铁信托,Wind
10,2021-12-22,中国中冶(01618.HK)附属拟出售账面值不超42亿元的应收账款,格隆汇
11,2021-12-22,中国中冶：附属拟出售账面值不超42亿元的应收账款,Wind
12,2021-12-21,中冶建信基金9000万元增资中冶置地天津武清项目，持股90%,乐居财经
13,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
14,2021-12-20,中国中冶(01618)：十七冶集团向国信证券出售预计账面值不超60亿元的应收账款,智通财经
15,2021-12-20,中国中冶(01618.HK)：国信证券拟收购应收账款 将设立专项计划,格隆汇
16,2021-12-20,中国中冶：出售应收账款,Wind
17,2021-12-19,唐山不锈钢有限责任公司环境违法被罚18万元 环保处罚,每日经济新闻
18,2021-12-19,唐山不锈钢有限责任公司环境违法被罚15万元 环保处罚,每日经济新闻
19,2021-12-17,【建筑装饰】建筑行业数据点评—制造业韧性依旧，竣工一改颓势同比明显提升,中银证券研究
20,2021-12-15,公告精选 | 小米昨日斥逾4900万港元回购；保利协鑫能源拟配售逾20亿股，净筹约50亿港元,富途证券
