,2021-12-31,港股公告精选｜小米回购股份；中国中车Q4签订合同金额合计约210亿元,钢企网
0,2021-12-31,与中车合作联手开公司 这家北交所上市公司已布局2022,每日经济新闻
1,2021-12-30,格隆汇港股聚焦(12.30)︱中国中车10至12月期间签订合计约210亿元合同；药明生物单日耗资约4亿港元回购股份,格隆汇
2,2021-12-30,中国中车：四季度签订合同金额合计约210亿元,Wind
3,2021-12-30,中国中车(601766.SH)：10-12月签订约210亿元的若干项合同,格隆汇
4,2021-12-30,中国中车：签订若干项合同 合计约210亿元,财联社
5,2021-12-30,【最全】2022年中国铁路装备制造行业上市公司全方位对比(附业务布局汇总、业绩对比、业务规划等),证券之星
6,2021-12-29,中国区域金融力排行榜：北京登顶，江浙紧逼,Wind
7,2021-12-29,星辰科技:对外投资公告,同壁财经
8,2021-12-28,星辰科技拟斥资2100万元参与设立子公司，占注册资本35%,资本邦
9,2021-12-27,三一国际（0631.HK）：强强联手，智慧AGV助力中国中车智能制造成功转型,和讯
10,2021-12-27,大地熊：公司在工业电机领域主要客户有中国中车、德国舍弗勒、德国西门子等国内外知名企业,Wind
11,2021-12-25,海锅股份：公司的风电客户主要有SKF、Thyssenkrupp、南高齿、中国中车等风电装备制造商,每日经济新闻
12,2021-12-25,丰光精密董事长李军：力争从万亿级市场脱颖而出,Wind
13,2021-12-24,【行业深度】洞察2022：中国铁路货车制造行业竞争格局及市场份额(附市场集中度、企业竞争力评价等),Ofweek
14,2021-12-24,风电晚报|五分钟了解最新资讯（12月24日）,世纪新能源
15,2021-12-24,【最全】2022年中国铁路行业上市公司全方位对比(附业务布局汇总、业绩对比、业务规划等),证券之星
16,2021-12-23,中国中车(01766.HK)聘任肖绍平为联席公司秘书,格隆汇
17,2021-12-23,中国中车：公告联席公司秘书、授权代表及法律程序代理人变更,Wind
18,2021-12-23,中国中车(01766.HK)聘任王健为公司董事会秘书,格隆汇
19,2021-12-23,中国中车：董事会同意聘任王军、魏岩、余卫平、马云双、王宫成为公司副总裁,Wind
20,2021-12-23,中国中车：聘任董事会秘书,Wind
21,2021-12-23,中国中车：聘任靳勇刚为公司证券事务代表,Wind
22,2021-12-23,中国中车(601766.SH)聘任靳勇刚为证券事务代表,智通财经
23,2021-12-23,中国中车：公司董事发生变动 董监高成员变化,Wind
24,2021-12-22,中国中车(01766)：孙永才获选举为董事会董事长,智通财经
25,2021-12-22,中国中车(601766.SH)：聘任楼齐良为公司总裁,格隆汇
26,2021-12-22,中国中车(601766.SH)选举赵虎为监事会主席,智通财经
27,2021-12-20,中国中车与石家庄市签署合作框架协议,Wind
28,2021-12-20,中国中车与石家庄市签署合作框架协议,e公司
29,2021-12-16,中国中车和中国华电加强在风电光伏、轨道交通等领域合作,证券时报网
30,2021-12-16,中国中车和中国华电签署战略合作框架协议,e公司
31,2021-12-13,中国中车：德国铁路公司增购300组双层小汽车运输车辆,证券时报网
32,2021-12-13,【干货】铁路行业产业链全景梳理及区域热力地图,前瞻研究院
33,2021-12-13,孙惠刚的投资传奇是如何炼成的？,中国证券网
34,2021-12-11,预见2022：《2022年中国高铁行业全景图谱》(附市场现状、竞争格局和发展趋势等),前瞻研究院
35,2021-12-07,通达电气：公司与比亚迪、宇通客车、中国重汽、中国中车等多家国内商用车生产厂商建立了长期稳定的合作关系,每日经济新闻
36,2021-12-07,机械行业：央行宣布降准 利好基建类装备,新浪
37,2021-12-06,中国中车：拟发行51.439亿元资产支持商业票据,中金在线
38,2021-12-06,中国中车：完成发行30亿元超短期融资券 票面利率2.44%,中金在线
39,2021-12-06,时代新材首板，汽车零部件概念股,Wind
40,2021-12-05,【最全】2022年高铁产业上市公司全方位对比(附业务布局汇总、业绩对比、业务规划等),证券之星
41,2021-12-03,厚普股份：公司为加氢站的承建方或设备提供方,Wind
42,2021-12-03,【行业深度】洞察2022：中国高铁行业竞争格局及市场份额(附市场集中度、企业竞争力评价等),前瞻研究院
43,2021-12-03,大地熊：台湾永丰金证券、台湾群益投信等2家机构于12月1日调研我司,证券之星
44,2021-12-02,中国中车签约韩国城际车牵引电机项目,证券时报网
45,2021-12-02,央企加速离京！给每个省至少2家总部，最“共同富裕”,网易
46,2021-12-01,中国中车：12月22日召开2021年第一次临时股东大会,Wind
47,2021-11-30,12月2日中老铁路开通，相关概念股将受益,凤凰网
48,2021-11-30,金雷股份：金雷股份生产的风电主轴远销德国、美国、西班牙、巴西、印度等多个国家和地区，客户涵盖美国GE、丹麦维斯塔斯、德国西门子、西班牙歌美飒、恩德安信能、远景能源、运达风电、上海电气、三一重工、国电联合动力、海装风电、中国中车等全球领先的风电整机制造商,每日经济新闻
49,2021-11-30,【异动股】中国中车(01766.HK)跌3.06%,财华社
50,2021-11-29,中国中车：深圳地铁16号线全自动驾驶地铁车辆下线,e公司
51,2021-11-29,四维纵横完成1亿人民币A轮融资，打造超融合时序数据库,Wind
52,2021-11-27,金田铜业(601609)：见龙在田 铜加工龙头拥抱新增长极,新浪
53,2021-11-25,中国中车(01766)：孙永才获提名为执行董事候选人,智通财经
54,2021-11-24,中国短期融资券及中期票据信用分析周报,新浪
55,2021-11-23,中国中车：完成发行30亿元超短期融资券 票面利率2.07%,中金在线
56,2021-11-23,中国中车：光伏逆变器累计出货容量4GW,北极星电力
57,2021-11-23,中国中车：目前可提供风电光伏新能源领域相关装备及核心系统、部件以及智能运维等服务,每日经济新闻
58,2021-11-23,中国中车：中车风力发电机市场占有率全国第一,每日经济新闻
59,2021-11-23,中国中车：光伏逆变器从2009年开始研发生产，累计出货8000台套，容量4GW，今年开始推出新型集中式3.XMW和组串式机型,每日经济新闻
60,2021-11-23,中国中车：光伏逆变器累计出货8000台套 今年开始推出新型集中式3.XMW和组串式机型,财联社
61,2021-11-23,中国中车：公司及控股子公司未收购山东淮坊瑞驰汽车,每日经济新闻
62,2021-11-23,中国中车：目前投入商业运营的有氢能源有轨电车。公司建有6英寸双极器件、8英寸IGBT和6英寸碳化硅的产业化基地，拥有芯片、模块、组件及应用的全套自主技术,每日经济新闻
63,2021-11-23,天津首列全自动驾驶地铁正式完工，支持自动唤醒、自动发车等功能,IT之家
64,2021-11-18,盐城，为海上风电奉献不一样的精彩,中国能源网china5e
65,2021-11-15,中国中车：这129家企业与我无关,北京日报
66,2021-11-14,下周操盘攻略：冬季躁动”渐入佳境,Wind
67,2021-11-14,万得财经周刊：北交所下周一开市,Wind
68,2021-11-13,欧美股市多数收涨，美国三大指数全线上涨,Wind
69,2021-11-13,美国三大股指全线上涨，道指终结连续三天下跌走势,Wind
70,2021-11-13,MSCI“购物车”再添多只科创板股票，今年超三千亿北向资金流入A股,Wind
71,2021-11-12,美股小幅高开，中概新能源汽车股普涨,Wind
72,2021-11-12,周期股数量增加！一文看清MSCI中国A股指数半年度变动,Wind
73,2021-11-12,MSCI半年检出炉!BOSS直聘(BZ.US)、中国中车(01766)等股获纳入，11只科创板股票又批量被纳入,智通财经
74,2021-11-12,【AH互动】中国中车(01766)盘初走强涨4.25% 股票获纳入MSCI中国全股票指数,和讯
75,2021-11-12,每日理财观察: MSCI公布半年度指数评审结果,Wind
76,2021-11-12,刚刚，50只个股新纳入MSCI中国指数！,Wind
77,2021-11-12,港股盘前必读：中芯国际第三季度净利润20.77亿元同比增22.6%,Wind
78,2021-11-12,MSCI公布最新调整结果，北上动向将发生变化！,Wind
79,2021-11-12,MSCI中国A股在岸指数新纳入53个成分股 市值前三大个股为合盛硅业、舍得酒业、藏格控股,金融界
80,2021-11-12,MSCI中国全股票指数新纳入68个成分股，剔除52个成分股,Wind
81,2021-11-12,中国中车和《绝地求生》出品方被纳入MSCI新兴市场指数,财联社
82,2021-11-12,明晟公司（MSCI）：纳入MSCI新兴市场指数的市值前三大个股为合盛硅业，中国中车（CRRC），以及韩国《绝地求生》出品方魁匠团,金十数据
83,2021-11-12,MSCI公布半年度指数评审结果：MSCI ACWI新增111只成分股、剔除105只,Wind
84,2021-11-11,多家公司申报精选层获受理，北交所新鲜血液源源不断,Wind
85,2021-11-10,中国短期融资券及中期票据信用分析周报,新浪
86,2021-11-10,中国中车：完成发行30亿元超短期融资券 票面利率2.06%,中国网
87,2021-11-09,中国中车与吉林省举行合作交流座谈会 深化央地合作,e公司
88,2021-11-09,联合动力联姻西门子借船下海：央企国企风电装备企业全下海 未来,我的煤炭网
89,2021-11-08,高盛：下调中国中车(01766)目标价至2.9港元 评级降至“沽售” 机构下调估值,智通财经
90,2021-11-08,华铁股份终止收购轮对巨头 BVV中资企业身份不受影响 并购重组异常,中国经营报
91,2021-11-08,大行评级 | 高盛：下调中国中车(1766.HK)每股盈利预测 降评级至沽售 投资评级恶化,格隆汇
92,2021-11-07,创新层也疯狂，129只北交所概念股区间涨幅翻番,Wind
93,2021-11-05,A股半导体公司前三季度业绩报告：136家公司合计盈利655亿元 60家公司翻倍增长,搜狐
94,2021-11-05,国家科学技术奖轨交奖项均在基建领域 中国中车4年来首缺席,中国经营报
95,2021-11-04,晚间重要公告2021年11月4日星期四,Wind
96,2021-11-04,中国中车：控股子公司西安中车永电捷通电气有限公司和控股子公司西安中车永电捷力风能有限公司与新疆金风科技股份有限公司分别签订了总计约14.9亿元人民币的风力发电机销售合同,每日经济新闻
97,2021-11-04,中国中车：6-10月期间签订了若干项合同，合计金额约278.1亿元,Wind
98,2021-11-04,中国中车6-10月签订合同金额合计约278.1亿元,乐居财经
99,2021-11-02,中国中车：深圳地铁14号线首列车正式交付,e公司
100,2021-11-02,摩根士丹利：下调中国中车目标价至5港元，评级增持 机构下调估值,Wind
101,2021-11-02,大摩：维持中国中车(01766)“增持”评级 目标价降至5港元,智通财经
102,2021-11-02,51696名中国企业管理者票选出了2021最受赞赏的中国公司,吴晓波频道
103,2021-11-01,华铁股份终止收购轮对巨头BVV BVV中资企业身份不受影响 并购重组异常,中国经营网
104,2021-11-01,花旗：维持中国中车买入评级，目标价升至5.5港元,Wind
105,2021-11-01,图解中国中车三季报：第三季度单季净利润同比减20.27% 盈利能力下降,证券之星
106,2021-10-30,中国中车营收净利再双降 铁路装备采购长期低迷是主因 盈利能力下降,中国经营网
107,2021-10-29,中国中车公布三季报 前三季净利减少4.9% 盈利能力下降,新浪
108,2021-10-29,中国中车：前三季度净利润64.61亿元 业绩延续稳健态势,中证网
109,2021-10-29,【港股通】中国中车(01766)第三季度净利润24.72亿元 同比减少20.27% 盈利能力下降,和讯
110,2021-10-29,新产业布局价值持续兑现 中国中车前三季度业绩延续稳健态势,证券时报网
111,2021-10-29,中国中车(01766.HK)：第三季度净利24.72亿元 同比下降20.27% 盈利能力下降,格隆汇
112,2021-10-29,中国中车：第三季度净利润24.7亿元 同比下降20.27% 盈利能力下降,财联社
113,2021-10-29,中国中车：前三季度净利润同比减少4.9%，三季度降20.27% 盈利能力下降,Wind
114,2021-10-28,超一半企业涉氢！2021年最受赞赏的中国公司出炉,新能源网
115,2021-10-25,河钢承钢公司直供中国中车单月最大订单高效完成,钢企网
116,2021-10-21,中国中车风电产业链多项新技术发布,上证报
117,2021-10-21,交锋高速磁悬浮：车有了，却无人修路,新浪
118,2021-10-20,中国中车：完成发行20亿元超短期融资券 票面利率2.71%,中金在线
119,2021-10-19,碳中和背景下重点布局 中国中车欲将风电装备打造为支柱业务,每日经济新闻
120,2021-10-19,大行评级 | 摩通：降时代电气、中国中车目标价，评级增持,格隆汇
