,2021-12-31,中国交建：截至目前公司与福田汽车没有具体的业务合作,每日经济新闻
0,2021-12-29,中国交建完成发行5亿元可续期公司债券，利率3.14%,乐居财经
1,2021-12-28,中国交建再次挂牌巴州中交房地产50%股权，转让底价7367万元,乐居财经
2,2021-12-26,2022年Q1还有春季躁动行情吗？,王杨一东吴策略
3,2021-12-26,光宏地产转让冠德地产80%股权，中国交建接盘,乐居财经
4,2021-12-26,弃购禾迈股份的投资者该不该后悔,金融投资报
5,2021-12-24,建筑行业研究与投资策略：看好估值修复与“建筑+”龙头成长性,新浪
6,2021-12-23,【中交路桥可续期小公募】不超10亿，3+N（3.0-4.0%），AAA，（中国交通建设股份有限公司提供担保），免税，今日簿记,中信建投固定收益部
7,2021-12-23,华夏中国交建高速公路公募REITs项目获上交所反馈,观点地产网
8,2021-12-21,中国交建(601800.SH)附属拟携中国城乡等斥约3.22亿元设立项目公司,智通财经
9,2021-12-21,中国交建(601800.SH)：一航局拟与关联方共投监利市长江大保护生态环境综合治理一期PPP项目,格隆汇
10,2021-12-21,奋楫笃行 勇攀发展新高峰,陆家嘴金融网
11,2021-12-20,弃购者“泣不成声”！最贵新股禾迈股份首日大涨，一签最多盈利13万,金融界
12,2021-12-20,中字头逆势活跃，中国能建涨停,Wind
13,2021-12-19,周末影响A股十大事件来了！,Wind
14,2021-12-17,中国交建PPP项目200亿元资产支持ABS获上交所通过,中国网
15,2021-12-15,【聚焦】打新不香了？“最贵新股”遭嫌弃，百济神州上市即破发！,财华社
16,2021-12-15,新股频“中枪”：一签亏1.6万，吓得禾迈股份65万股被弃购 亏损,时代财经
17,2021-12-15,中国交建：正在抓紧筹划海上风电的全产业链发展,每日经济新闻
18,2021-12-14,3.63亿无人认购！弃购情况创近九年新高 A股最贵新股遭“嫌弃”,北京商报
19,2021-12-14,中交第三公路工程局：董事、监事及总经理发生变动 董监高成员变化,Wind
20,2021-12-14,中国交建200亿元ABS项目状态更新为“已反馈”,乐居财经
21,2021-12-13,大基建指数发力上攻，中字头股一马当先,Wind
22,2021-12-13,【干货】铁路行业产业链全景梳理及区域热力地图,前瞻研究院
23,2021-12-11,中信建投证券六大研究团队最新解读中央经济工作会议,Wind
24,2021-12-09,中国交建“中交20Y3”拟于12月16日起付息，利率为3.89%,乐居财经
25,2021-12-09,中国交建200亿元ABS项目状态更新为“已反馈”,乐居财经
26,2021-12-07,晚间重要公告2021年12月7日星期二,Wind
27,2021-12-07,建筑与工程点评报告：第二批风光大基地项目申报开启 或涉及哪些建筑企业？,新浪
28,2021-12-07,3家专业化债转股机构向中交四公局和中交城投增资38亿元,乐居财经
29,2021-12-07,中国交建(601800.SH)：中交资本拟收购中交租赁21%股权 涉及关联交易额约20.76亿元,格隆汇
30,2021-12-07,中国交建(601800.SH)拟引进工银投资等投资者对附属公司增资实施市场化债转股,智通财经
31,2021-12-07,中国交建：引进投资者对四公局、中交城投增资实施债转股,Wind
32,2021-12-07,地产链板块集体走强，政策利好预期改善，这些板块有望估值修复,财联社
33,2021-12-07,建筑装饰行业中央政治局会议点评：经济稳字当头 逆周期调节预期升温,新浪
34,2021-12-07,券商首次关注1股并给予买入评级（12月7日）,Wind
35,2021-12-07,11股获券商买入评级，拓普集团目标涨幅达49.94%,Wind
36,2021-12-06,中马举行马来西亚东海岸铁路项目C段北线文件移交仪式,中国交建
37,2021-12-06,国盛证券：给予中国交建买入评级,证券之星
38,2021-12-06,国盛证券首予中国交建买入评级：REITs、海上风电业务潜力大，稳增长预期促估值修复,每日经济新闻
39,2021-12-05,建筑行业2022年度投资策略：变则通 通则久,新浪
40,2021-12-03,中字头尾盘继续上攻，中国能建涨停,Wind
41,2021-12-03,行业跟踪报告：建筑PMI持续提升 基建投资有望回升,新浪
42,2021-12-03,A股午盘综述：沪指涨0.58%，煤炭、中字头午前急拉，港口股迎来久违大涨,Wind
43,2021-12-03,中字头股午前拉升，中国电建、中国化学、中国交建领跑,Wind
44,2021-12-03,中交马东铁项目C段北线线路获确定,中新网
45,2021-12-02,“中”字头持续发力，中国化学领涨，中国电建、中国交建涨超5%，基建ETF（516950）上涨超2%,资本邦
46,2021-12-02,中字头股午后再次拉升,Wind
47,2021-11-29,公募REITs“上新”，底层资产扩容可期,Wind
48,2021-11-26,中国能建最新公告：拟合计100亿元投资设立氢能业务及数字科技子公司,证券之星
49,2021-11-26,港股公告精选：阿里影业中期收入增长47%至13.58亿元,Wind
50,2021-11-25,中国交通建设拟设立中国交建利比里亚公司，注册资本2万美元,乐居财经
51,2021-11-25,在墨西哥“东方门户”缔造百年大港,中国交建
52,2021-11-25,中国交建(601800.SH)：拟引进投资者对部分子公司增资合计75亿元 实施市场化债转股,格隆汇
53,2021-11-25,中国交建(601800.SH)拟引进工银投资等投资者对子公司增资实施市场化债转股,智通财经
54,2021-11-25,中国交建：附属公司拟引进工银投资、建信投资、交银投资、国寿资产合计增资总规模75亿元,财联社
55,2021-11-24,中国交通建设(01800)拟设立全资子公司中国交建利比里亚有限公司,智通财经
56,2021-11-24,2022年度建筑行业投资策略：基建发力优选新能源建设 装配式高增长看好钢结构,新浪
57,2021-11-24,新股又香了！盘中涨超300%，还有一签赚5.6万,Wind
58,2021-11-24,中国能建董秘回复：聚焦抽水蓄能、压缩空气储能、电化学储能、氢能等业务,证券之星
59,2021-11-23,中国交建10亿元私募债券获上交所受理,乐居财经
60,2021-11-22,中国交建：公司在海上风电安装业务的市场占有率超过60%，盈利水平居于行业中高水平，目前海上风机安装的收入已突破百亿,每日经济新闻
61,2021-11-19,中国交建20亿元小公募债券获上交所受理,乐居财经
62,2021-11-19,中国交建：公司在海上风电安装业务的市场占有率超过60%,Wind
63,2021-11-19,早读拾光（11.19）丨恒大清仓恒腾网络 万科内部发文“节衣缩食过冬”,和讯
64,2021-11-18,中国交建：赵喜安辞任监事会主席 王永彬接棒 董监高成员变化,中国经济网
65,2021-11-18,中国交建监事会主席赵喜安辞任 董监高成员变化,观点地产网
66,2021-11-18,2021年两院院士增选名单出炉！这4人来自A股上市公司,中证报
67,2021-11-18,中国交建：赵喜安先生因工作变动原因，辞去公司第四届监事会监事、监事会主席的职务 董监高成员变化,每日经济新闻
68,2021-11-18,中国交建：赵喜安辞任监事会主席 董监高成员变化,Wind
69,2021-11-18,赵喜安辞任中国交建(601800.SH)监事会主席职务 董监高成员变化,智通财经
70,2021-11-18,2021年院士增选结果出炉 多名院士来自A股上市公司,中证网
71,2021-11-18,中国交建200亿PPP项目资产支持ABS获上交所反馈,观点地产网
72,2021-11-18,第二批4单公募REITs“在路上”，聚焦产业园及高速公路,资本邦
73,2021-11-17,基础设施公募REITs“再上新” 第二批4单产品出身产业园和高速公路,证券日报网
74,2021-11-17,中国交建200亿元ABS项目状态更新为“已反馈”,乐居财经
