,2021-12-31,中国人保推出HarmonyOS智能座舱车载保险,中国金融新闻网
0,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
1,2021-12-29,11月上市险企保费榜 | 财险公司保费同比增长7.37%，人保寿险前11月保费增速转正,每日经济新闻
2,2021-12-28,头部险企今年跌声一片，个股最大跌幅近40%！何时走出改革阵痛？,国际金融报
3,2021-12-27,中国移动新股弃购7.56亿元！有公募基金弃购,Wind
4,2021-12-27,五大险企市值蒸发超万亿！2022年风往何处吹？,Wind
5,2021-12-27,中国人保投资联付通获支付牌照,TechWeb
6,2021-12-27,陆家嘴财经早餐2021年12月27日星期一,Wind
7,2021-12-26,国元农险IPO现新进展，证监会已接收申请材料,Wind
8,2021-12-24,A股11年最大IPO中签出炉，战投机构狂买243亿,Wind
9,2021-12-24,获806倍申购！A股近十年最大IPO引入19家战投,Wind
10,2021-12-23,险企加速转型谋“突围”，2022年料重拾增长态势,Wind
11,2021-12-21,最贵新股刚上市，宣布45亿买理财，利息超去年利润,Wind
12,2021-12-20,中国人保：公司A股和H股股份都是普通股，同股同权,每日经济新闻
13,2021-12-19,【国君非银金融刘欣琦团队】47号文利好资管业务，继续推荐四川双马/中信证券,新浪
14,2021-12-17,保险行业2021年11月保费点评：寿险小幅改善 产险加速回暖,新浪
15,2021-12-17,上市险企前11月保费收入2.3万亿，同比下降，但单月数据已回暖 盈利能力下降,深水财经社
16,2021-12-17,A股五大险企前11月保费PK：寿险国寿夺冠 产险人保第一,中新经纬
17,2021-12-17,央行榜单刷屏！金融机构重金砸向硬科技，银行业霸屏,Wind
18,2021-12-17,社保基金会近4个月减持中国人保4.5亿股 套现22.7亿元 减持股份,中国经济网
19,2021-12-17,社保基金再度减持中国人保，减持计划已实施过半！,Wind
20,2021-12-16,保险指数基金竟重仓宁德时代，基民灵魂拷问：高位接盘吗？,Wind
21,2021-12-16,五大险企前11月保费收入2.3万亿微降0.6%，人保寿险单月保费大增89%,搜狐
22,2021-12-16,社保基金会减持中国人保股份超1% 减持股份,乐居财经
23,2021-12-16,中国人保：社保基金会减持4.51亿股公司股份 减持股份,每日经济新闻
24,2021-12-16,中国人保(601319.SH)股东社保基金会累计减持A股4.5亿股 减持股份,智通财经
25,2021-12-16,中国人保：社保基金会累计减持1.02%股份，减持尚未实施完毕 减持股份,Wind
