,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
0,2021-12-31,涪陵银保监分局关于中国人寿保险股份有限公司重庆市涪陵区支公司龙桥营销服务部变更营业所的批复,和讯
1,2021-12-31,中国人寿：线上财宝节将开启元宇宙大门 推出限量数字纪念藏品和数字家庭两大数字板块内容,e公司
2,2021-12-31,2021年保险业转型：险企股价跌声一片，超百万代理人出走,时代周报
3,2021-12-30,大家保险为何减持招商银行？ 险资频频减持银行、地产股背后的逻辑竟然是这样！ 减持股份,财联社
4,2021-12-30,中国华融：完成根据特别授权非公开发行内资股及H股,Wind
5,2021-12-30,国寿寿险：站稳“以人民为中心”立场 积极服务国家重大战略,光明网
6,2021-12-30,今年首个银行理财子公司获批开业！还有这些银行在布局,中证报
7,2021-12-30,险资“泰康们”减持阳光城后去了哪里？丨公司 减持股份,新浪
8,2021-12-30,银保监会调整大病保险名单 平安财险等2家深圳险企落榜,南都报
9,2021-12-30,中国人寿寿险公司推出国寿鑫裕尊享年金保险,中国金融新闻网
10,2021-12-29,今年首个获批开业的银行理财子公司来了，广银理财落户浦东,Wind
11,2021-12-29,11月上市险企保费榜 | 财险公司保费同比增长7.37%，人保寿险前11月保费增速转正,每日经济新闻
12,2021-12-29,泰康抛售阳光城！险资撤离大势已定，投资地产还有机会吗？,野马财经
13,2021-12-29,重要企业与中原银行战略合作集中签约仪式举行,中国经营报
14,2021-12-29,贵州银保监局关于中国人寿保险股份有限公司贵州省分公司变更营业场所的批复,和讯
15,2021-12-29,因编制虚假财务资料等，中国人寿莆田涵江支公司被罚30万 金融监管处罚,中华网
16,2021-12-29,中国人寿寿险公司荣获“最佳投资者活动”奖,中国网
17,2021-12-29,中国人寿莆田支公司2宗违法被罚 编制虚假财务资料等 金融监管处罚,中国经济网
18,2021-12-29,中国人寿：线上财宝节将开启元宇宙大门,36氪
19,2021-12-29,投资界24h|红杉中国联合清科发布报告；中国中铁与中国人寿成立300亿元新基金；小米12系列手机发布，3199元起,投资界
20,2021-12-29,险企淡化“开门红” 探索改善保险供给,经济参考报
21,2021-12-28,头部险企今年跌声一片，个股最大跌幅近40%！何时走出改革阵痛？,国际金融报
22,2021-12-28,沧州银保监分局关于中国人寿保险股份有限公司沧州新华区支公司变更营业场所的批复,和讯
23,2021-12-28,中国人寿财险：践行“双成”文化的十五年,中国网
24,2021-12-28,“鑫车宝”打造车主综合金融生态圈,奥一网
25,2021-12-28,南方电网股权变更的前世今生,中国能源网china5e
26,2021-12-28,险资“换仓”地产,乐居财经
27,2021-12-28,大病保险承办险企调整，由原32家减少至26家,Wind
28,2021-12-27,中国移动新股弃购7.56亿元！有公募基金弃购,Wind
29,2021-12-27,五大险企市值蒸发超万亿！2022年风往何处吹？,Wind
30,2021-12-27,南方电网股权结构再次调整 中国人寿持股比例降至21.3%,和讯
31,2021-12-27,中国人寿95519客户专线每天接听电话6.6万余通,中证网
32,2021-12-27,中国银保监会黑龙江监管局关于中国人寿保险股份有限公司哈尔滨分公司第三营销服务部变更营业场所的批复,和讯
33,2021-12-27,中国中铁与中国人寿成立基础设施投资基金，总规模300亿元,投资界
34,2021-12-27,中国中铁(00390.HK)附属中铁资本与中国人寿发起成立股权投资基金合伙企业,财华社
35,2021-12-27,黔江银保监分局关于中国人寿保险股份有限公司重庆市黔江区支公司石会营销服务部变更营业场所的批复,和讯
36,2021-12-27,黔江银保监分局关于中国人寿保险股份有限公司酉阳土家族苗族自治县支公司龙潭营销服务部变更营业场所的批复,和讯
37,2021-12-27,融资客青睐8股，开普云买入占比高达47.61%,Wind
38,2021-12-27,陆家嘴财经早餐2021年12月27日星期一,Wind
39,2021-12-27,中国人寿寿险公司获评2021年度西城区诚信统计单位,中新网
40,2021-12-26,国元农险IPO现新进展，证监会已接收申请材料,Wind
41,2021-12-26,12家保险公司被坑，安徽一团伙骗保案细节曝光,Wind
42,2021-12-26,中国中铁：中铁资本与中国人寿等拟成立300.1亿元基础设施投资基金,腾讯网
43,2021-12-24,中国中铁与中国人寿等成立基础设施投资基金 两者均认缴出资150亿,观点地产网
44,2021-12-24,中国中铁(00390)拟与中国人寿共同发起设立有限合伙企业 聚焦国家区域发展战略的股份投资项目,智通财经
45,2021-12-24,中国中铁：拟与中国人寿共同设立国寿铁工基金,中金在线
46,2021-12-24,中国中铁(601390.SH)：子公司中铁资本拟出资150亿元参投国寿铁工基金,格隆汇
47,2021-12-24,中国中铁(601390.SH)：中铁资本拟携中国人寿斥300亿元设立基础设施投资基金,智通财经
48,2021-12-24,险资助力实体经济高质量发展 中国人寿设立国寿铁工基础设施投资基金,和讯
49,2021-12-24,12.24丨安徽骗保大案主犯获刑10年；前10月交强险承保亏损超20亿,和讯
50,2021-12-24,A股11年最大IPO中签出炉，战投机构狂买243亿,Wind
51,2021-12-24,港股半日市恒指收涨0.13%，下周二起正常开市,Wind
52,2021-12-24,获大股东中国人寿150亿“认可” 远洋集团走出“健康”赛道,新浪
53,2021-12-24,每经11点丨西安新增49例本土确诊，已处理疫情防控不利责任人26名；宁德时代投资力泰锂能；三大股指齐跌，食品消费股逆势走高,每日经济新闻
54,2021-12-24,中国人寿与中国中铁发起设立国寿铁工基础设施投资基金，总规模300亿元,Wind
55,2021-12-24,中国人寿与中国中铁发起设立国寿铁工基础设施投资基金，总规模300亿元,证券时报网
56,2021-12-24,中国移动战略配售出炉，中国人寿、中国财险均获配3473.4万股,资本邦
57,2021-12-24,获806倍申购！A股近十年最大IPO引入19家战投,Wind
58,2021-12-23,中国人寿驻晋成员单位与长治市人民政府签署战略合作框架协议,山西晚报
