,2021-12-29,机场航运、酒店餐饮板块逆势走强，旅游ETF（159766）放量上涨1.43%,Wind
0,2021-12-29,解盘：题材股分化，大飞机、盐湖提锂、军工、肺炎检测略涨,Wind
1,2021-12-29,A股午盘综述：白酒板块熄火，贵州茅台、五粮液、泸州老窖大步回撤,Wind
2,2021-12-29,航空股逆市向上 中国国航(00753)涨2.43%,和讯
3,2021-12-29,港股异动︱A股及港股航空板块集体上涨 中国国航(00753)涨超2%领涨板块,智通财经
4,2021-12-29,【行情】航空股逆市走高，吉祥航空涨超7%，南方航空、中国国航、中国东航、中信海直等跟涨,金十数据
5,2021-12-28,【行情】港股航空股走高，中国南方航空股份涨超3%，中国国航涨近3%，中国东方航空股份、国泰航空涨近2%,金十数据
6,2021-12-27,中国国航、恩捷股份涨超3%，300增强ETF（561300）涨超0.2% 盘中净流入超1000万元,资本邦
7,2021-12-26,交运物流行业周报：集运需求持续旺盛 运价高位小幅上行,新浪
8,2021-12-25,民航机场板块午后拉升，中国国航涨超5%,36氪
9,2021-12-21,正在消失的2021|航司、机场亏损300亿，有空乘工作量只有前年两成 亏损,金融界
10,2021-12-16,11月民航运输盘点：客运需求持续低迷，货运环比相对亮眼,澎湃新闻
11,2021-12-16,22股获券商买入评级，康泰生物目标涨幅达97.29%,Wind
12,2021-12-15,【华创交运】航空行业11月数据点评：多地散发疫情致当前民航业受冲击，不改本轮核心逻辑，持续看好行业2022年起步入复苏之路,新浪
13,2021-12-15,晚间重要公告2021年12月15日星期三,Wind
14,2021-12-15,中国国航(00753)11月国内旅客周转量同比下降60.0%,智通财经
15,2021-12-15,2021十大悲催行业盘点，教培竟然没最惨？,搜狐
16,2021-12-15,中国国航(601111.SH)：11月旅客周转量同比降59.5%、货邮周转量同比降5.1%,格隆汇
17,2021-12-15,中国国航：11月旅客周转量同比下降59.5%,财联社
18,2021-12-15,中国国航(601111)：困境反转 凤凰涅盘,新浪
19,2021-12-13,ATFX港股：疫情多地反复，预计中国国航今年仍将亏损 预亏,金融界
20,2021-12-10,中国国航：建议修订持续关连交易的现有年度上限,Wind
21,2021-12-10,中国国航(601111.SH)聘任黄斌为总裁助理,智通财经
22,2021-12-07,交运行业年度策略报告：关注物流高质量发展 珍惜航空左侧机遇,新浪
23,2021-12-07,A股收盘综述：地产相关产业链风云再起；资金撤离锂电池，宁德时代放量下跌！,Wind
24,2021-12-07,【异动股】中国国航(00753.HK)涨7.23%,财华社
25,2021-12-07,航空机场板块发力上扬 中国国航、白云机场等涨超5%,证券时报网
26,2021-12-07,【异动股】航空机场板块拉升，中国国航(601111.CN)涨5.63%,财华社
27,2021-12-07,航空股走强，中国国航、华夏航空、南方航空、吉祥航空走强,Wind
28,2021-12-07,国泰君安：关注航空机场“逆向时机”,财联社
29,2021-12-07,快讯：航空股集体上涨 中国国航涨超5%中国南航涨超4%,新浪
30,2021-12-07,【行情】港股航空股齐涨，中国国航(00753.HK)涨5%，中国南方航空股份(01055.HK)涨4.87%，美兰空港(00357.HK)涨4.05%，国泰航空(00293.HK)涨2.92%，北京首,金十数据
31,2021-12-07,港股异动 | 中国国航(00753)涨超5%领涨航空股 中信称明年二季度或迎国内线需求快速修复和国际线松动,智通财经
32,2021-12-07,快讯：机场航运板块走强 中国国航涨超5%,新浪
33,2021-12-06,物流和出行服务行业航空重构繁荣系列之六：黎明前夜 及时布局,新浪
34,2021-12-06,民航黎明的前夜，强烈建议关注三大航高Beta弹性释放、重构繁荣,金融界
35,2021-12-05,快递监管要求反内卷，积极布局行业拐点【安信交运|周报1205】,微信
36,2021-12-05,交通运输行业周报：国内疫情仍有反复 国外防输入压力持续加大,光大证券
37,2021-12-03,物流和出行服务行业B737MAX获中国民航局适航许可跟踪点评：B737MAX获适航许可 距国内复飞再近一步,新浪
38,2021-12-01,交通运输行业周报数据库：快递盈利改善持续 关注航空逆向时机,新浪
39,2021-11-29,全球防疫升级 航空股集体下挫 中国国航(0753.HK)跌超5%,格隆汇
40,2021-11-29,解盘：股指震荡走高，锂电、储能、肺炎检测领涨,Wind
41,2021-11-29,【行情】港股航空股齐挫，中国南方航空股份(01055.HK)跌近5%，中国国航(00753.HK)跌4.71%，国泰航空(00293.HK)跌3.85%，中国东方航空股份(00670.HK)跌3.5%,金十数据
42,2021-11-29,【行情】A股民航机场板块开盘领跌，白云机场、中国国航、南方航空、上海机场、吉祥航空等跌幅居前,金十数据
43,2021-11-29,快讯：机场航运概念股全线大跌 中国国航、白云机场跌超6%,新浪
44,2021-11-29,航空及机场股下挫，中国国航跌超6%,Wind
45,2021-11-29,【异动股】油价相关板块低开，中国国航(601111.CN)跌6.55%,财华社
46,2021-11-29,【异动股】民航机场板块低开，中国国航(601111.CN)跌6.55%,财华社
47,2021-11-29,超级病毒全球刷屏，投资逻辑彻底变了？一类股危险了,Wind
48,2021-11-28,快递主产粮区价格稳定，疫情不改航空复苏预期【安信交运丨周报1128】,微信
49,2021-11-27,民航机场板块开盘领跌，白云机场、中国国航跌超6%,36氪
50,2021-11-26,【行情】港股航空股集体走低，中国国航(00753.HK)跌3.8%，中国南方航空股份(01055.HK)、国泰航空(00293.HK)跌近3%，中国东方航空股份(00670.HK)跌1.69%,金十数据
51,2021-11-26,航空股走弱，春秋航空、中国国航、吉祥航空、南方航空跌幅明显,Wind
52,2021-11-24,交通运输行业周报数据库：航空复苏趋势确定 快递盈利弹性或超预期,新浪
53,2021-11-23,【国君交运】中国国航H：长期复苏确定，建议逆向增持,郑武看交运
54,2021-11-22,每日报告回放,新浪
55,2021-11-22,交运中小盘行业周报：快递持续边际改善 疫情消退利好出行复苏,新浪
56,2021-11-21,快递旺季后价格有望稳定，航空平稳复苏【安信交运丨周报1121】,微信
57,2021-11-20,民航数据洞察|“回暖期”在10月中途遇阻 专家预期民航业下半年表现或将不及去年,每日经济新闻
58,2021-11-19,中国国航(601111)：新航季航网再优化 长期盈利上行可观,新浪
59,2021-11-18,中国国航：注册地址变更,Wind
60,2021-11-17,鸿蒙生态再迎强力盟友！国航推出HarmonyOS原子化服务卡片,快科技
61,2021-11-17,物流和出行服务行业10月航空机场运营数据跟踪：黎明切近 及时布局,新浪
62,2021-11-17,国航正式推出HarmonyOS原子化服务,IT之家
63,2021-11-17,航空10月数据点评：短期疫情再袭 继续看好长期趋势,新浪
64,2021-11-17,这些城市进京航班每天仅保留一班，哪家航司最受伤,第一财经
65,2021-11-16,交通运输2022年年度策略：谷雨春光晓 王者再归来,新浪
66,2021-11-16,港股公告精选：佳兆业美好等三上市公司将于今日复牌,Wind
67,2021-11-15,中国国航(00753)10月旅客周转量同比下降23.6%,智通财经
68,2021-11-15,中国国航：10月平均客座率为68.9%,Wind
69,2021-11-15,【港股通】中国国航(00753)10月集团合并旅客周转量同比下降、环比上升,和讯
70,2021-11-15,运输行业：航空布局确定复苏 快递峰值平滑助力改善,新浪
71,2021-11-15,交通运输行业2022年投资策略：柳暗花明 拨云见日,光大证券
72,2021-11-15,10月运营数据密集披露 多家航空公司客座率同比下滑,e公司
73,2021-11-15,中国国航：10月平均客座率为68.9% 同比下降5.8%,e公司
74,2021-11-15,中国国航(601111.SH)：10月旅客周转量同比降23.6%、货邮周转量同比升4.6%,格隆汇
75,2021-11-15,中国国航：10月旅客周转量同比降23.6% 环比升13%,财联社
76,2021-11-15,大和：重申中国国航(00753)“买入”评级 目标价升至6.8港元,智通财经
77,2021-11-15,双十一期间快递量增超两成，中小市值公司表现亮眼【国信交运中小盘周观点】,微信
78,2021-11-14,理性看待快递10月行业表现，航空复苏受疫情扰动【安信交运|周报1114】,微信
79,2021-11-12,急推“随心飞”，重征燃油附加费，三季度巨亏的航司们忙自救 重大损失,ZAKER
80,2021-11-11,月度金股：十一月,新浪
81,2021-11-11,中国国航：拟于12月30日召开2021年第二次临时股东大会,发布易
82,2021-11-11,国航正式推出HarmonyOS原子化服务,民航资源网
83,2021-11-11,中国国航：将于12月30日举行临时股东大会,Wind
84,2021-11-10,2021年10期交通运输行业：把握航空客运趋势性复苏机遇 关注综合物流龙头长期投资价值,新浪
85,2021-11-10,【行情】机场航运板块午后持续走弱，中国国航跌近4%，吉祥航空、春秋航空、上海机场跟跌,金十数据
86,2021-11-10,前三季度上市航司减亏约147亿元 上海机场营收净利同比双降 亏损,每日经济新闻
87,2021-11-09,新能源主线继续领跑，机构建议布局“跨年行情”,Wind
88,2021-11-08,辉瑞“新冠神药”问世？港A航空股双双大涨,环球老虎财经
89,2021-11-08,机场航运股集体走高，多因素拖累三季报业绩，板块何时迈入复苏周期？ 盈利能力下降,财联社
90,2021-11-08,9000亿赛道重挫、美国突发大消息，市场预期巨变？,Wind
91,2021-11-08,恒指收跌0.43%，抗疫概念大跌,Wind
92,2021-11-08,港股航空股集体大涨 中国国航(0753.HK)一度涨超11%,格隆汇
93,2021-11-08,A股收盘综述：锂电池王者归来，天齐锂业上板并获主力净流入27亿元,Wind
94,2021-11-08,海外传来利好，美国取消这项禁令，今年巨亏板块闻讯拉升！机构：它们将迎来业绩拐点,证券时报
95,2021-11-08,恒指午盘跌0.57%，博彩、航空、餐饮股逆市走强,Wind
96,2021-11-08,解盘：大盘转暖，锂电、航空、稀土、环保、游戏领涨,Wind
97,2021-11-08,A股午盘综述：锂电池板块再度崛起，稀土、环保、航运、元宇宙炒作积极,Wind
98,2021-11-08,民航机场板块走强，中国国航、南方航空触及涨停,金融界
99,2021-11-08,快讯：中国国航涨停 报于9.14元,金融界
100,2021-11-08,快讯：港股航空股集体上扬 中国国航涨超9%领涨,新浪
101,2021-11-08,【异动股】民航机场板块高开，中国国航(601111.CN)涨9.27%,财华社
102,2021-11-08,快讯：机场航运板块开盘拉升 中国国航涨近10%,新浪
103,2021-11-08,机场航运板块板块开盘走强，南方航空触板，中国国航、白云机场、上海机场、春秋,新浪
104,2021-11-08,航空运输板块飙升，南方航空触及涨停,Wind
105,2021-11-08,交通运输行业2022年度策略：曲折复苏 终见曙光,新浪
106,2021-11-05,物流和出行服务行业2022年投资策略：终越关山 顺势而为,新浪
107,2021-11-04,中信证券：基础设施和现代服务，优质供给的扩张机遇,Wind
108,2021-11-03,航空龙头重征燃油附加，多家跟进。行业三季报承压，2022年复苏之路将呈现差异（附股）,新浪
109,2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
110,2021-11-02,航空燃油附加费即将复出，机票要涨多少钱？,环球旅讯
111,2021-11-02,中国国航(601111)2021年三季报点评：结构性拐点或临近 重构繁荣首推国航,新浪
112,2021-11-02,长城策略*月度金股‖十一月（汪毅，王小琳）,长城研究--宏观策略
113,2021-11-01,图解中国国航三季报：第三季度单季净利润同比减427.17% 盈利能力下降,证券之星
114,2021-11-01,5000亿巨头闪崩，万亿宁王却创新高！极致行情上演,Wind
