,2021-12-31,保险行业关于《保险公司偿付能力监管规则(Ⅱ)》的点评：偿二代二期工程落地 预计对头部险企的影响相对有限,新浪
0,2021-12-31,保险行业2021年11月保费数据点评：寿险保费持续承压 车险保费持续恢复正增长,新浪
1,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
2,2021-12-31,2021非银板块回顾：券商无忧，保险疼痛,智通财经
3,2021-12-31,中金：预计寿险明年新业务价值好转 建议关注中国太保(02601),智通财经
4,2021-12-31,2020年度上海金融创新奖特等奖花落中国太保,财经网
5,2021-12-31,2021年保险业转型：险企股价跌声一片，超百万代理人出走,时代周报
6,2021-12-30,增额终身寿险吃香！2022年保险业“开门红”虽迟但到,国际金融报
7,2021-12-30,【银河非银武平平】行业动态 2021.12丨养老保险机构发展新规发布，产险保费持续改善,中国银河证券研究
8,2021-12-30,惠民保C位出道，可持续发展路径尚待明晰,Wind
9,2021-12-29,太保家园青岛、郑州康养社区项目相继启动,上证报
10,2021-12-29,中国太保(601601)：日常关联交易,资本邦
11,2021-12-29,11月上市险企保费榜 | 财险公司保费同比增长7.37%，人保寿险前11月保费增速转正,每日经济新闻
12,2021-12-29,保险业2021年的变与不变 ：行业转型期不易 产品供给更丰富,21世纪经济报道
13,2021-12-29,中国太保(601601.SH)拟不超1.5亿美元投资泰保新经济基金,智通财经
14,2021-12-29,中国太保(601601.SH)子公司拟向养老产业公司增资20亿元,智通财经
15,2021-12-29,太保家园全国落地九城十园,中国金融新闻网
16,2021-12-29,美食节 健步行 深圳太保产险颂29载辉煌 启30载新篇章,深圳新闻网
17,2021-12-29,太保家园郑州项目投资落地 突出精品康养刚需主题 服务主业打造区域优势,财经网
18,2021-12-29,网络互助渠道落幕传统险企雄起 荐平安(601318.SH)友邦(01299)等,智通财经
19,2021-12-29,太平洋资产管理有限责任公司党委书记、董事长于业明：新格局新生态 推动保险资管高质量发展正当时,上证报
20,2021-12-29,新能源汽车专属保险上线，特斯拉保费翻倍？车主说法不一 险企：整体费率调整不显著,每日经济新闻
21,2021-12-28,头部险企今年跌声一片，个股最大跌幅近40%！何时走出改革阵痛？,国际金融报
