,2021-12-31,建材行业研究及投资策略：成本冲击已过，逆境不改行业集中度提升,新浪
0,2021-12-29,中国巨石(600176.SH)聘任副总经理丁成车兼任总法律顾问,智通财经
1,2021-12-23,北向资金加仓近25亿结束连续4日净卖出，宁德时代净买入4.74亿元,Wind
2,2021-12-23,北向资金连续四日出逃，净卖出逾百亿，减持行业和个股一览（名单） 减持股份,21世纪经济报道
3,2021-12-23,科技板块接棒地产，市场风向快速切换,Wind
4,2021-12-22,中国巨石：公司年产12万吨玻璃纤维池窑拉丝生产线建设项目预计2022年年底前投产,每日经济新闻
5,2021-12-22,中国巨石：公司主要业务为玻璃纤维纱及制品的生产、销售,每日经济新闻
6,2021-12-22,沪港通十大成交活跃股排名（12月22日）,Wind
7,2021-12-22,中国巨石：目前公司两大海外生产基地运营一切正常,每日经济新闻
8,2021-12-22,中国巨石：目前公司库存总体依旧维持低位水平,每日经济新闻
9,2021-12-22,中国巨石：2020年公司研发投入约3.42亿元,每日经济新闻
10,2021-12-22,中国巨石：公司海外埃及生产基地产品主要供应欧盟和中东地区，美国生产基地产品主要供应北美市场,每日经济新闻
11,2021-12-22,中国巨石：电子布主要由电子级玻璃纤维纱织造而成,Wind
12,2021-12-22,中国巨石：下半年以来电子布价格出现一定幅度回落属正常现象 目前公司库存总体依旧维持低位水平,财联社
13,2021-12-22,中国巨石：公司电子布产品结构并非全为7628系列,Wind
14,2021-12-22,中国巨石：公司海外埃及生产基地产品主要供应欧盟和中东地区,Wind
15,2021-12-20,基础化工行业周报：磷酸铁锂、三氯化磷、己内酰胺价格维持涨势 三元材料、己二酸、顺酐等价格上涨,新浪
16,2021-12-20,建筑材料周观点：11月地产数据修复，继续推荐地产链建材,华创建筑建材研究
17,2021-12-18,新能源材料｜风电行业景气高涨，关键材料国产替代加速,中信证券研究
18,2021-12-13,建筑材料周观点：经济会议表态积极，重提房地产支柱产业，推荐地产链建材,华创建筑建材研究
19,2021-12-13,中国巨石(600176.SH)提名倪金瑞为董事候选人,智通财经
20,2021-12-13,中国巨石：公司应用于PCB领域的玻纤产品占比约15%，整体订单情况较好,Wind
21,2021-12-13,中国巨石：公司子公司所持有的的矿业权因受当地政府生态红线调整影响，生产经营存在不确定性,每日经济新闻
22,2021-12-13,中国巨石：目前公司两大海外生产基地正常运营,每日经济新闻
23,2021-12-13,中国巨石：公司玻纤产品的主要原材料为叶腊石、高岭土、石灰石等无机非金属矿石原料,每日经济新闻
24,2021-12-13,中国巨石：东方电气是公司在风电用玻纤纱下游应用领域的重要客户之一,每日经济新闻
25,2021-12-13,中国巨石：现阶段公司的主营业务仍聚焦于玻璃纤维及其产业链,每日经济新闻
26,2021-12-13,中国巨石：巨石集团为中国巨石的全资子公司,每日经济新闻
27,2021-12-13,中国巨石：公司与中材科技的玻纤产品均价差是由于产品结构不同所致,每日经济新闻
28,2021-12-13,中国巨石：公司研发的E9高强高模风电用玻纤纱是行业内唯一具备100GPA模量的产品,每日经济新闻
29,2021-12-13,中国巨石：公司应用于电子通讯（PCB）领域的玻纤产品占比约为15%，整体订单情况较好,每日经济新闻
30,2021-12-13,中国巨石：公司玻纤生产主要能源有天然气、电力等。公司生产、生活用电需对外采购,每日经济新闻
31,2021-12-07,信贷、政策暖风频吹，地产后周期拐点来了？,Wind
32,2021-12-07,地产链板块集体走强，政策利好预期改善，这些板块有望估值修复,财联社
33,2021-12-07,建材行业2022年度策略：地产基建需求有望回升 看好玻纤和水泥,新浪
34,2021-12-07,建材热点速评：多重预期改善 建材板块进入布局窗口期,新浪
35,2021-12-06,建材行业周观点：“光储直柔”政策陆续出台 华为打造近零碳园区,新浪
36,2021-12-06,中国巨石(600176.SH)完成发行2亿元公司债券,智通财经
37,2021-12-06,碳中和周报：“十四五”工业绿色发展规划出台 全力推动工业碳达峰,新浪
38,2021-12-06,非金属建材行业12月投资策略：关注政策边际调整 积极布局行业优质个股,新浪
39,2021-12-06,建筑材料行业周报：玻璃价格回升 稳增长预期下关注水泥板块估值修复,新浪
40,2021-12-06,基础材料和工程服务行业北上资金周报,新浪
41,2021-12-05,建材行业2022年投资策略：拨云见日,广发证券
42,2021-12-04,A股市场领涨全球，监管同意开展账户管理功能优化试点工作,Wind
43,2021-12-03,建材行业2022年度策略：传统领域柳暗花明 新兴链条焕发生机,新浪
44,2021-12-03,A股市场领涨全球，北上资金已开始“按捺不住”？,Wind
45,2021-12-01,建材行业基本面数据库,新浪
46,2021-11-30,建材周报：多省市出台政策 助推光伏建筑一体化(BIPV)发展,新浪
47,2021-11-30,基础化工行业周报：甘氨酸、萤石等价格延续涨势 DMC、人造石墨负极、尿素、黄磷等价格上涨,新浪
48,2021-11-30,【机会挖掘】我国风电并网装机容量连续12年稳居全球第一,证券时报网
49,2021-11-30,中信证券：预计2021-2025年均风电装机量达55GW,财联社
50,2021-11-29,基础材料和工程服务行业周观点：浮法玻璃库存进一步下降 期货价格底部反弹,新浪
51,2021-11-28,建筑材料行业：平板玻璃底部企稳 行业悲观预期有望修复,广发证券
52,2021-11-28,建筑材料周观点：原油大跌利好成本改善 玻璃库存下降关注冷修节奏,新浪
53,2021-11-27,涉及超5500亿规模基金！新一轮指数样本大调整出炉,Wind
54,2021-11-26,建筑材料行业：10月新房交易跌幅或收窄 二手房景气仍较低,新浪
55,2021-11-26,北向资金净卖出近45亿结束连续5日净买入，招商银行净卖出超6亿元,Wind
56,2021-11-25,中国巨石(600176.SH)完成发行5亿元2021年度第三期超短期融资券,智通财经
57,2021-11-25,中国巨石(600176.SH)：完成发行5亿元超短期融资券,格隆汇
58,2021-11-25,中国巨石：公司部分玻纤产品可以用于光伏领域，主要是光伏发电用玻璃钢格栅、光伏组件层压封装材料等,每日经济新闻
59,2021-11-25,中国巨石：限电政策未对公司造成影响，公司无自有电厂，对外采购的电量可以满足企业生产运营所需,每日经济新闻
60,2021-11-25,中国巨石：公司目前未有跨行业收购计划,每日经济新闻
61,2021-11-25,中国巨石：公司今年10月对玻纤粗纱及制品销售价格继续实行恢复性调整，上调幅度为10%，目前价格调整执行情况良好,每日经济新闻
62,2021-11-25,中国巨石：目前公司总体库存水平处于低位，产销平衡,每日经济新闻
63,2021-11-25,中国巨石：公司玻纤产品价格总体继续维持高位，自2021年10月1日起，公司已对玻纤粗纱及制品销售价格实行过10%的上调，截至目前价格调整执行情况良好,每日经济新闻
64,2021-11-25,中国巨石：目前公司埃及、美国两大海外生产基地均已实现盈利,Wind
65,2021-11-25,中国巨石：公司下游客户中目前不涉及钢铁企业,Wind
66,2021-11-25,中国巨石：公司部分玻纤产品可以用于光伏领域,Wind
67,2021-11-25,中国巨石：目前公司生产经营一切正常,每日经济新闻
68,2021-11-25,建筑材料行业：政策边际放松 玻璃加速冷修,广发证券
69,2021-11-24,中国短期融资券及中期票据信用分析周报,新浪
70,2021-11-24,北向资金连续4日净买入累计加仓超170亿，批量扫货白酒股,Wind
71,2021-11-23,建筑材料行业玻纤周观点：继续建议重视行业周期弱化逻辑,新浪
72,2021-11-22,建材周报：10月水泥产量降幅扩大至-17.1% 房地产投资、销售加速下行,新浪
73,2021-11-22,北向资金今日净买入14.35亿元，宁德时代再获大幅净买入近17亿,Wind
74,2021-11-22,基础材料和工程服务行业周观点：行业磨底持续 关注遮阳材料细分赛道投资机会,新浪
75,2021-11-22,每周观点：电子纱价格出现松动 关注风电纱投资机会,新浪
76,2021-11-22,建筑材料周观点：玻璃累库速度放缓，行业供给端缩减趋势已现,华创建筑建材研究
77,2021-11-22,建筑材料行业周报：板块估值偏低 新材料应用提速,新浪
78,2021-11-21,新券投资价值分析：山玻转债：降本为体 技改添翼,新浪
79,2021-11-21,建筑材料行业：政策边际放松 利于行业悲观预期修复,广发证券
80,2021-11-18,北向资金今日净卖出44.53亿元，传统核心资产集体遭抛售,Wind
81,2021-11-18,21股今日获机构买入评级,证券时报网
82,2021-11-18,11股获券商买入评级 中国巨石目标涨幅达69.29%,第一财经
83,2021-11-18,11股获券商买入评级 中国巨石目标涨幅达69.29%,Wind
84,2021-11-17,德邦证券：首予中国巨石(600176.SH)“买入”评级 价值区间25.2-28.56元,智通财经
85,2021-11-16,中材科技(002080)：玻纤稳健增长 隔膜、风电叶片底部向上,国海证券
86,2021-11-16,建材观点聚焦展望2022：需求动能转化 供给重塑,新浪
87,2021-11-15,非金属建材周报(21年第46周)：把握政策边际变化带来的阶段性投资机会,新浪
88,2021-11-15,建材周报：煤炭价格急跌 水泥价格调整或进一步展开,新浪
89,2021-11-15,中国银河维持环保公用/建材/钢铁/煤炭行业推荐评级：深入打好污染防治攻坚战，推动经济社会绿色转型,每日经济新闻
90,2021-11-15,建筑材料行业周报：地产信贷有所修复 关注消费建材板块和出口链条标的,新浪
91,2021-11-14,建筑材料周观点：关注出口改善、成本下降带来业绩改善的困境反转标的,华创建筑建材研究
92,2021-11-12,中国巨石：公司无自有电厂，生产生活用电需对外采购,Wind
93,2021-11-12,建材行业基本面数据大全,新浪
94,2021-11-12,中国巨石：公司的主营业务为玻璃纤维的生产及销售，产品下游领域涉及基建及建筑，与房地产业务并无直接关联,每日经济新闻
95,2021-11-12,中国巨石：公司的主营业务与玻璃无关联,每日经济新闻
96,2021-11-12,中国巨石：公司并无自有电厂，生产生活用电需对外采购,每日经济新闻
