,2021-12-31,中国平安(02318)累计回购约7776.51万股A股 涉资约39亿元,智通财经
0,2021-12-31,保险行业关于《保险公司偿付能力监管规则(Ⅱ)》的点评：偿二代二期工程落地 预计对头部险企的影响相对有限,新浪
1,2021-12-31,2021年十大牛股和熊股出炉，最牛股大涨566%,Wind
2,2021-12-31,中国记协与中国平安开展创新合作,中国金融新闻网
3,2021-12-31,"年终盘点|2021年十大""争议""白马股",新浪
4,2021-12-31,2021非银板块回顾：券商无忧，保险疼痛,智通财经
5,2021-12-31,东方证券：首予中国平安(02318)“买入”评级 目标价69.24港元,智通财经
6,2021-12-31,A股融资融券日报：两融余额增加32.82亿元（12月30日）,Wind
7,2021-12-31,汽车之家年底裁员，员工称多个职能部门已被撤销 员工变动,澎湃新闻
8,2021-12-30,中国记协与中国平安开展战略合作 发布“新闻工作者关爱保障计划”,新华网
9,2021-12-30,中国平安：2022年3月17日举行董事会会议，审议2021年业绩,Wind
10,2021-12-30,中国平安(02318.HK)3月17日举行董事会会议审批年度业绩,格隆汇
11,2021-12-30,中国平安在港交所公告称，3月17日举行董事会会议,Wind
12,2021-12-30,特斯拉保费涨八成？蔚来紧急辟谣？新能源汽车的保费到底是不是坑,36氪
13,2021-12-30,A股融资融券日报：两融余额减少8.94亿元（12月29日）,Wind
14,2021-12-30,【银河非银武平平】行业动态 2021.12丨养老保险机构发展新规发布，产险保费持续改善,中国银河证券研究
15,2021-12-29,泰康抛售阳光城！险资撤离大势已定，投资地产还有机会吗？,野马财经
16,2021-12-29,中国平安2021：逆水行舟，动能换挡 | 公司观察,巴伦周刊
17,2021-12-29,中国平安现1笔大宗交易 共成交254.35万元,新浪
18,2021-12-29,险资抛弃地产再续演：阳光城的寒冬，二股东折半价卖近4亿股！,新浪
19,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
20,2021-12-29,中国平安今日大宗交易成交5万股，成交价50.87元溢价0.12%,Wind
21,2021-12-29,深圳466家上市公司扫描：多指标领先京沪,Wind
22,2021-12-29,中国平安：科技赋能环责险创新，讲好中国ESG故事 | 保险业双碳行动案例,零壹财经
23,2021-12-29,第一上海丨【大市分析】关注中国平安有发动机会,第一上海金融
24,2021-12-29,深圳466家上市公司扫描：2020年员工人均薪酬18.96万，人均净利润等指标领先京沪,21世纪经济报道
25,2021-12-29,中国平安(601318)：最新公布2021一季度报,和讯
26,2021-12-29,网络互助渠道落幕传统险企雄起 荐平安(601318.SH)友邦(01299)等,智通财经
27,2021-12-29,北向资金动向盘点：连续净买电新，王者已归来？,Wind
28,2021-12-29,A股融资融券日报：两融余额增加34.59亿元（12月28日）,Wind
29,2021-12-29,北向资金净买入13亿元，增持银行电池，扫货这些个股,21世纪经济报道
30,2021-12-29,年末弱势震荡，板块轮动持续,Wind
31,2021-12-28,上市深企发展最新报告：腾讯、平安、招商银行综合实力最强,南都报
32,2021-12-28,券商、百亿量化私募……2021年打新“黑名单”上都有谁？,Wind
33,2021-12-28,头部险企今年跌声一片，个股最大跌幅近40%！何时走出改革阵痛？,国际金融报
34,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
35,2021-12-28,2021年深圳上市公司发展报告发布，聚焦高质量发展,东方网
36,2021-12-28,服务实体经济、助力乡村振兴、响应“双碳”目标 中国平安这一年很忙,每日经济新闻
37,2021-12-28,险资“换仓”地产,乐居财经
38,2021-12-28,A股融资融券日报：两融余额增加29.17亿元（12月27日）,Wind
39,2021-12-27,12月两融余额缩水超200亿，3股逆势获净买入超10亿！,Wind
40,2021-12-27,五大险企市值蒸发超万亿！2022年风往何处吹？,Wind
41,2021-12-27,平安不动产转让平盈置业90%股权，平安产险接盘,乐居财经
