,2021-12-29,深圳466家上市公司扫描：多指标领先京沪,Wind
0,2021-12-29,中国广核：截至目前公司管理的在建核电机组有6台,每日经济新闻
1,2021-12-29,中国广核：公司所属的在运核电机组包括二代和三代技术,财联社
2,2021-12-29,中广核电力：台山1号机仍在检修当中,Wind
3,2021-12-28,三峡能源、中国广核、中国核电，谁是盈利能力最强的新能源发电企业？,Ofweek
4,2021-12-27,中广核电力(01816.HK)成功发行10亿元绿色超短融,格隆汇
5,2021-12-27,中广核电力(01816)完成发行10亿元2021年度第一期绿色超短期融资券,智通财经
6,2021-12-27,中广核电力：发行2021年度第一期绿色超短期融资券,Wind
7,2021-12-27,中国广核：中广核工程有限公司是公司旗下全资子公司，是中国第一家专业化核电工程管理公司,每日经济新闻
8,2021-12-27,中国广核：目前公司没有参与人造太阳项目,每日经济新闻
9,2021-12-27,中国广核：2021年前三季度公司的管理费用16.32亿元，同比下降5.10%,每日经济新闻
10,2021-12-27,中广核电力：目前公司未参与人造太阳项目,Wind
11,2021-12-24,中国广核(003816.SZ)：2021年核电机组总发电量约2138.37亿千瓦时 同比增长7.8%,格隆汇
12,2021-12-24,中国广核(003816.SZ)成功发行10亿元超短融,格隆汇
13,2021-12-24,中国广核(003816.SZ)完成发行10亿元绿色超短期融资劵,智通财经
14,2021-12-24,港股半日市恒指收涨0.13%，下周二起正常开市,Wind
15,2021-12-24,港股异动 | 中广核电力(01816)涨近6% 母公司风电板块引入300亿元战投资金,智通财经
16,2021-12-24,长江电力涨超3%，创历史新高,Wind
17,2021-12-24,【异动股】中广核电力(01816.HK)涨3.9%,财华社
18,2021-12-23,中广核电力(01816)拟发行10亿元超短期融资券,智通财经
19,2021-12-22,第三代核电技术落地+十四五规划出台=千亿市场？,智通财经
20,2021-12-22,中广核电力：公司建筑安装和设计服务收入主要来源有两部分,Wind
21,2021-12-22,中国广核：公司附属工程公司是核电项目建设专业化公司，拥有工程项目建设的总承包资质和相应能力,每日经济新闻
22,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
23,2021-12-20,中国广核：中广核达胜入选工信部第六批制造业单项冠军示范企业,e公司
24,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
25,2021-12-16,中国广核：公司已商运核电机组的计划电价按项目商运时核准的电价执行,每日经济新闻
26,2021-12-15,中广核电力(01816)：恒健投资减持计划时间过半 尚未减持股份,智通财经
27,2021-12-15,中国广核：股东恒健投资减持计划时间已过半，未减持公司股份,每日经济新闻
28,2021-12-15,中国广核(003816.SZ)：恒健投资减持计划时间过半 暂未减持,智通财经
29,2021-12-13,中广核电力：大亚湾核电基地暂未有海水淡化业务,Wind
30,2021-12-13,中国广核：下属企业已经与中国广核集团下属的铀业公司签订了核燃料长期供应合同,每日经济新闻
31,2021-12-13,有没研究开发微型核反应堆应用在汽车动力上？中国广核：公司目前没有开展相关业务研究,每日经济新闻
32,2021-12-13,中国广核：大亚湾核电基地暂未有海水淡化业务,每日经济新闻
33,2021-12-13,中国广核：目前公司在运核电机组，除停机检修外，均在满发状态,每日经济新闻
34,2021-12-10,三峡能源、中国广核与中国核电，新能源发电企业成长能力大比拼！,Ofweek
35,2021-12-08,中广核电力：联席公司秘书、授权代表及于香港接收法律程序文件代表的变更,Wind
36,2021-12-08,中广核电力(01816.HK)：委任伍秀薇为联席公司秘书及授权代表,格隆汇
37,2021-12-08,中国广核：公司广东省核电机组所发电力均为大湾区供电，目前除停机检修机组外，均处于满发状态,每日经济新闻
38,2021-12-08,中国广核：公司的小型模块化反应堆项目目前处于前期准备阶段,每日经济新闻
39,2021-12-08,中国广核：公司管理的6台在建机组，目前按照整体计划稳步推进，预计2022年至2026年依次逐步投入商业运营,每日经济新闻
40,2021-12-08,中国广核：公司2022年共安排112.93亿千瓦时作为年度市场电量上限,e公司
41,2021-12-06,最前沿丨中国广核：“十四五”期间的业务将从核电拓展至核能,第一财经
42,2021-12-06,公用环保行业周报：2022年电煤长协征求意见稿发布有利于保障煤电资产现金流,新浪
43,2021-12-06,公用环保行业重大事项点评：火电重新恢复盈利能力 电价步入上行周期,新浪
44,2021-12-06,绿色电力政策密集出台，行业发展步入快车道,Wind
45,2021-12-05,公用周报：江苏首批平价海风项目启动竞争性配置 第二批内陆风电光伏大基地项目开始上报,新浪
46,2021-11-30,中国广核(003816.SZ)与中广核署相关服务框架协议,智通财经
47,2021-11-30,中广核电力：董事会审议并通过与中广核签订综合服务框架等协议,Wind
48,2021-11-29,中国广核：公司没有海上风电项目，附属的工程公司有从事风电项目的建筑安装施工服务,每日经济新闻
49,2021-11-29,中国广核：公司已建立财务共享中心,每日经济新闻
50,2021-11-29,中广核电力：公司有开展四代核电技术的研发,Wind
51,2021-11-29,中广核电力：公司已建立财务共享中心,Wind
52,2021-11-28,公用周报：省间电力现货交易规则出台 三峡能源发布股权激励计划,新浪
53,2021-11-26,【行业一线】风电板块拉升，多只概念股创历史新高！,财华社
54,2021-11-26,中广核风电公司增资引战超300亿元，国内新能源电力最大股权融资项目签约,Wind
55,2021-11-26,公用环保行业周报：10月用电需求继续强劲南网发布十四五规划,新浪
56,2021-11-25,电力月谈：2021年11月期,新浪
57,2021-11-23,最全！2021年中国干式变压器行业上市公司市场竞争格局分析 三大方面全方位对比,前瞻研究院
58,2021-11-23,中国广核：台山1号机组仍在检修当中,每日经济新闻
59,2021-11-21,公用环保行业周报：坚定看好火电转型新能源逻辑 不惧调整静待花开,新浪
60,2021-11-21,公用事业行业周报：10月数据点评：用电持续高增 风光发展提速,新浪
61,2021-11-21,聪明资金傻眼，要被割韭菜？刚加仓6倍，大股东就要大手笔减持,Wind
62,2021-11-20,聪明资金刚猛加仓6倍，大股东就要大比例减持？ 减持股份,Wind
63,2021-11-17,公用事业及环保行业报告：央行推出碳减排支持工具,新浪
64,2021-11-12,中广核电力：目前核电没有参加碳排放交易,Wind
65,2021-11-12,中国广核：目前核电没有参加碳排放交易，国际上核电也暂时没有参与碳排放交易,每日经济新闻
66,2021-11-12,核电归来丨中国广核将开启新一轮黄金成长期？,财华社
67,2021-11-11,贝莱德减持中广核电力(01816)350万股，每股作价约2.19港元 减持股份,智通财经
68,2021-11-11,【权益变动】中广核电力(01816.HK)被贝莱德减持350万股 减持股份,财华社
69,2021-11-10,【行情】港股核电板块走低，中广核新能源跌超8%，中广核矿业跌超6%，东方电气、哈尔滨电气跌近5%，中广核电力跌超3%,金十数据
70,2021-11-10,今年核电累计发电量占比近5%,中国能源网
71,2021-11-09,中国广核：公司目前管理的6台在建机组，装机容量约709万千瓦,每日经济新闻
72,2021-11-09,中国广核：核燃料成本占销售电力业务营业成本的比重约为30%左右,每日经济新闻
73,2021-11-08,中国广核(003816.SZ)2021年度第四期超短期融资券将于11月15日兑付,智通财经
74,2021-11-08,中广核电力：2021年度第四期超短期融资券到期兑付的公告,Wind
75,2021-11-05,【异动股】中广核电力(01816.HK)跌4.46%,财华社
76,2021-11-04,【异动股】中广核电力(01816.HK)涨3.24%,财华社
77,2021-11-03,北向资金连续5日净买入，隆基股份遭大幅抛售超16亿元,Wind
78,2021-11-03,中国广核：中银国际、花旗银行等5家机构于10月28日调研我司,证券之星
79,2021-11-02,社保大举加仓！证金汇金频频减持，三季度这么“炒股”,Wind
80,2021-11-01,电气设备行业周报：光伏产业链价格涨势趋缓,新浪
81,2021-11-01,港股基金分歧加大，仓位首尾相差超30%,Wind
82,2021-10-30,机构三季度持股趋分散，大资金偏爱钢铁和有色,Wind
83,2021-10-29,贝莱德增持中广核电力(01816)309.5万股，每股作价约2.25港元,智通财经
84,2021-10-28,【权益变动】中广核电力(01816.HK)获贝莱德增持309.5万股,财华社
