,2021-12-31,中国建筑：公司目前未参与阿富汗重建相关工程,Wind
0,2021-12-31,中国建筑能耗与碳排放研究报告 （2021）,199IT
1,2021-12-30,中国建筑：科技赋能建筑业高质量发展,科技日报
2,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
3,2021-12-29,2021年中国建筑工程装饰奖揭晓 金螳螂再获丰收,中金在线
4,2021-12-29,艾比森：公司目前参股“深圳市晶泓科技有限公司”17%,Wind
5,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
6,2021-12-28,2021年中国建筑节能协会成果发布会举办,中国网
7,2021-12-28,重点看好中药配方颗粒量价齐升，新基建和国产替代推动高端医疗设备加速成长,金融界
8,2021-12-27,中国建筑：与中国信保签署《海外信用保险合作协议》,e公司
9,2021-12-27,中国建筑拟回购620.6万股限制性股票 解锁1.9亿股,观点地产网
10,2021-12-27,中国建筑：拟回购合计620.6万股限制性股票,中国网
11,2021-12-27,中国建筑拟回购注销1.48%股份，涉资2080.3万元,乐居财经
12,2021-12-27,中国建筑(601668.SH)拟斥2080.28万元回购第三、四期A股限制性股票部分激励对象股票,智通财经
13,2021-12-27,中国建筑(601668.SH)：近期获得11个重大项目 项目金额合计420亿元,格隆汇
14,2021-12-27,中国建筑：近期中标420亿元重大项目,财联社
15,2021-12-27,中国建筑：2021年前三季度，公司新签合同额同比增长10.1%,每日经济新闻
16,2021-12-27,中国建筑：公司所属中建八局中标上海西爱西临港氢能产业园项目,每日经济新闻
17,2021-12-27,中国建筑：公司实施的埃及新首都中央商务区项目，包括标志塔在内的10余个高层建筑已相继封顶,每日经济新闻
18,2021-12-27,中国建筑：公司提高现金分红比例至20.04%，分红金额超过90亿元,每日经济新闻
19,2021-12-25,中国上市公司500强：银行包揽前四，85家利润超100亿元,腾讯网
20,2021-12-23,北向资金加仓近25亿结束连续4日净卖出，宁德时代净买入4.74亿元,Wind
21,2021-12-22,中国建筑状告重庆德杰地产，案由系保证合同纠纷 诉讼纠纷,乐居财经
22,2021-12-22,中国建筑完成法定代表人更为郑学选的工商登记,乐居财经
23,2021-12-22,普联软件：淡水泉基金、嘉实基金等4家机构于12月16日调研我司,证券之星
24,2021-12-21,中金2022年展望 | 建筑与工程：基建整体回暖、高景气赛道更优,中金点睛
25,2021-12-21,陆建新：不断挑战中国建筑新高度,中国科技网
26,2021-12-20,中国建筑子公司竞得苏州高新区地块，总投资近65亿元,贝壳财经
27,2021-12-20,中国建筑子公司投资开发苏州高新区房地产项目,乐居财经
28,2021-12-20,中国建筑：子公司投资开发苏州市高新区房地产项目,财联社
29,2021-12-20,中国建筑子公司投资开发苏州高新区房地产项目 总投资约64.9亿元,观点地产网
30,2021-12-20,中国建筑投资64.9亿元开发苏州高新地产项目,乐居财经
31,2021-12-20,中国建筑(601668.SH)下属子公司投资开发苏州市高新区房地产项目,智通财经
32,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
33,2021-12-20,建筑装饰行业周报：广义基建投资增速转负，地产边际改善,华创建筑建材研究
34,2021-12-19,国泰君安：11月底部已探明，新基建行情初展开,智通财经
35,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
36,2021-12-17,【建筑装饰】建筑行业数据点评—制造业韧性依旧，竣工一改颓势同比明显提升,中银证券研究
37,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
38,2021-12-16,每日财报中国建筑联合中标329.71亿项目大众中国成国轩高科大股东,每日财报
39,2021-12-15,晚间重要公告2021年12月15日星期三,Wind
40,2021-12-15,中国建筑：回购并注销合计704万股限制性股票,中金在线
41,2021-12-15,中国建筑：联合体中标329.71亿元高速公路项目,财联社
42,2021-12-15,中国建筑：联合体中标G4京港澳高速耒阳大市至宜章（湘粤界）段扩容工程捆绑零陵至道县高速公路、桂阳至新田高速公路项目,每日经济新闻
43,2021-12-15,中国建筑(601668.SH)：联合体中标湖南省G4京港澳高速耒阳大市至宜章(湘粤界)段扩容工程捆绑零陵至道县高速公路项目,格隆汇
44,2021-12-15,中国建筑：1-11月新签合同额26604亿元，同比增长7.5%,我的钢铁
45,2021-12-15,中国建筑拟发行20亿元中期票据，申购区间2.8%-4.2%,乐居财经
46,2021-12-15,双重利好助推，基建股进入第二个博弈期！,证券之星
47,2021-12-15,大基建板块发力上攻领涨市场，基建50ETF（516970）涨2.56%，中国建筑涨2.49%,资本邦
48,2021-12-15,中国建筑中标马来西亚水务环保项目！,微信
49,2021-12-14,2021中国建筑行业上市公司品牌价值榜：同比双增,每日经济新闻
50,2021-12-14,12.63亿元！中国建筑挺进韩国市场！,微信
51,2021-12-13,建筑装饰行业周报：保障房建设地位提升，装配式有望受益,华创建筑建材研究
52,2021-12-13,中国建筑前11个月累计新签合同额30049亿元 基建业务增速提升,上证报
53,2021-12-13,加强合作共赢，中国企业为全球发展贡献新动力,Wind
54,2021-12-12,【中泰交运建筑】中央经济工作会议点评：新一轮宏观小周期进入政策反转期,微信
55,2021-12-11,中国建筑公布2021年前11个月经营业绩 基建增速提升,证券时报网
56,2021-12-10,中国建筑前11个月地产业务合约销售额3636亿元,贝壳财经
57,2021-12-10,中国建筑(601668.SH)：1-11月新签合同总额30049亿元 同比增长6.8%,格隆汇
58,2021-12-10,中国建筑前11月地产业务合约销售额3636亿元 同比下降1.7% 盈利能力下降,观点地产网
59,2021-12-10,中国建筑(601668.SH)前十一个月新签合同总额3万亿元 同比增长6.8%,智通财经
60,2021-12-10,中国建筑前11月新签合同总额30049亿元，同比增6.8%,乐居财经
61,2021-12-09,北向资金狂买A股超200亿净买入额创历史次高，继续大幅抢筹白酒股,Wind
62,2021-12-09,产业互联网浪潮下，建筑机器人如何掘金多元化场景？,OFweek
63,2021-12-09,产业互联网下，建筑机器人如何掘金多元化场景？,OFweek
64,2021-12-08,中国建筑最新公告：与控股股东共同向财务公司增资合计20亿元,证券之星
65,2021-12-08,中国建筑(601668.SH)：与控股股东共同向财务公司增资合计20亿元,格隆汇
66,2021-12-08,中国建筑与中建集团共同向中建财务增资共20亿元,乐居财经
67,2021-12-08,中国建筑：与控股股东共同向中建财务有限公司增资20亿元,Wind
68,2021-12-08,北向资金再度加仓近百亿，贵州茅台获大幅净买入超16亿元,Wind
69,2021-12-07,建筑与工程点评报告：第二批风光大基地项目申报开启 或涉及哪些建筑企业？,新浪
70,2021-12-07,晚间公告｜12月7日这些公告有看头,第一财经
71,2021-12-07,中国建筑：联合体中标广州芳村至白云机场城际项目,财联社
72,2021-12-07,地产链板块集体走强，政策利好预期改善，这些板块有望估值修复,财联社
73,2021-12-07,建筑装饰行业中央政治局会议点评：经济稳字当头 逆周期调节预期升温,新浪
74,2021-12-07,积极财政政策要提升效能，基建50ETF（516970）涨1.18%，中国建筑涨2.50%，中国能建涨2.88%,资本邦
75,2021-12-07,建筑与工程-政治局会议点评：关注基建稳增长和地产基本面改善 看好板块估值提升,新浪
76,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
77,2021-12-06,建筑与工程行业周报(第四十八周)：降准叠加稳增长预期高涨 基建产业链有望延续修复,新浪
78,2021-12-06,中国建筑：目前公司生产经营一切正常,每日经济新闻
79,2021-12-06,中国建筑：目前已实施四期股权激励计划,Wind
80,2021-12-06,中国建筑：股票价格变动因素复杂，公司生产经营一切正常,Wind
81,2021-12-06,中国建筑：已经进入运营期的PPP项目回款情况良好,Wind
82,2021-12-05,【安信建筑】行业周报1205：建筑PMI提升新基建获推进，基建板块上行动力充足,勇往直前
83,2021-12-05,建筑行业2022年度投资策略：变则通 通则久,新浪
84,2021-12-03,建筑行业2022年策略报告：基建发力仍有可能 推荐建筑租赁与建筑新能源主线,广发证券
85,2021-12-03,北向资金今日净买入超92亿元本周累计加仓超150亿，大幅抢筹芯片股,Wind
86,2021-12-03,行业跟踪报告：建筑PMI持续提升 基建投资有望回升,新浪
87,2021-12-02,建筑装饰行业2022年度策略：绿色引领发展 龙头变革突围,新浪
