,2021-12-31,中国电信携手中国信通院 深耕城市发展、产业升级和网信安全领域,--
0,2021-12-31,5G赋能 扬帆未来|“5G+量子”筑牢智慧监狱安全屏障,凤凰网
1,2021-12-31,5G赋能 扬帆未来|“5G+区块链”护航新生儿转诊“生命通道”,凤凰网
2,2021-12-31,GIC Private Limited增持中国电信(00728)600万股，每股作价约2.56港元,智通财经
3,2021-12-31,构建“自智立方体”实施落地方法体系，亚信科技加速自智网络从理论到落地,C114通信网
4,2021-12-31,5G超级频率聚变技术成功纳入3GPP R18标准立项,C114通信网
5,2021-12-31,5G“芯”生态 ——唐古拉T770和T760正式量产上市,凤凰网
6,2021-12-31,5G赋能 扬帆未来|以数字之“智”助推乡村振兴,凤凰网
7,2021-12-31,5G赋能 扬帆未来|5G+平安鼓岭让森林旅游“破圈”,凤凰网
8,2021-12-31,中国电信：公司未持有辰安科技股份,每日经济新闻
9,2021-12-31,中国电信：公司主营业务包括个人通信及信息化服务、家庭通信及信息化服务和政企通信及信息化服务,每日经济新闻
10,2021-12-31,2021年A股IPO及保荐、审计机构市场份额报告（江苏篇）,深水财经社
11,2021-12-31,中国移动回A引19家战投认购243亿 弃购7.4亿启动“绿鞋”护航,长江商报
12,2021-12-31,“中国移动A股发行惊现投资者弃购”其实不稀奇 林子大了什么鸟都有,搜狐
13,2021-12-30,天翼云发布云原生关系型数据库TeleDB for openGauss,质量新闻网
14,2021-12-30,奥拓电子：公司可以为客户提供裸眼3D、XR影视拍摄等解决方案，目前没有应用到中国电信的“盘古计划”,每日经济新闻
15,2021-12-30,【权益变动】中国电信(00728.HK)获新加坡政府投资有限公司增持600万股,财华社
16,2021-12-30,中国电信陈运清：自智网络指引未来通信技术发展方向,C114通信网
17,2021-12-30,视频｜中国电信成都分公司信息化解决方案中心总经理杨波：5G时代离不开产业链的共同协作,每日经济新闻
18,2021-12-30,清华AIR、亚信科技、中国移动、中国电信、Intel联合发布 《通信人工智能赋能自智网络》白皮书,砍柴网
19,2021-12-30,深圳国际（00152.HK）加码战新产业布局 携央企设国资国企综改试验（深圳）基金,凤凰网
20,2021-12-30,天翼云发布云原生关系型数据库TeleDB for openGauss,北国网
21,2021-12-30,科技创新大势所趋 电信运营商加紧布局,C114通信网
22,2021-12-30,中国电信如何继续助力数字乡村发展？,通信信息报
23,2021-12-30,弃购≠破发 中国移动弃购创纪录不意味着首日破发,新浪
24,2021-12-29,2021年全球新股募资创纪录！这些热门新股，哪只最耀眼？,中证报
25,2021-12-29,2021，人工智能的政策红利年,C114通信网
26,2021-12-28,财华洞察|2021年全球IPO盘点：不畏浮云遮望眼，期待未来“新风景”！,财华社
27,2021-12-28,晚讯：知乎回应赴港上市传闻 安琪酵母终止宏裕包材分拆上市,GPLP犀牛财经
28,2021-12-28,中国移动回A弃购超7亿元，刷新A股纪录,经济观察网
29,2021-12-28,总投资约50亿元！萧山将打造杭州大数据中心,中国IDC圈
30,2021-12-28,“AAU电源智能检测”提效中国电信海南公司5G运维,--
31,2021-12-28,盾安环境：公司通讯业务所涉及的相关室内外机组，与中国移动、中国电信等公司有相关合作,每日经济新闻
32,2021-12-28,openGauss汇聚创新力量，共同打造最具创新力的数据库开源社区,Ofweek
33,2021-12-28,企业上云市场拓宽 云计算已成为新兴业务重点,通信信息报
34,2021-12-28,中国移动回A弃购金额超7.4亿元，创历史新高,Ofweek
35,2021-12-28,紫光展锐唐古拉 T770 芯片首发机型确定：中国电信天翼一号2022款,IT之家
36,2021-12-28,中国移动被弃购超7亿创纪录，近10年最大IPO会破发吗？,观察者网
37,2021-12-28,展锐发布第二代5G芯片平台，有哪些亮点？,--
38,2021-12-28,新鲜早科技丨百度首次在“元宇宙”希壤开会；美团将在快手上线小程序；苏宁力争半年内偿还员工借款本金,21世纪经济报道
39,2021-12-28,12.28股市早8点丨延迟到“垮阴历年行情”,中金在线
40,2021-12-28,中国电信(00728.HK)获GIC增持600万股,格隆汇
41,2021-12-28,中国移动回A上市遭弃购超7亿 网友：不要向电信那样破发,快科技
42,2021-12-28,见证历史！巨无霸回A遭弃购超7亿，网友：要破发？,中国基金报
