,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
0,2021-12-31,科技赋能推动绿色低碳发展 第二十三届高交会“环保”亮点看这里！,Ofweek
1,2021-12-31,A股融资融券日报：两融余额增加32.82亿元（12月30日）,Wind
2,2021-12-30,中国电建设计承建的全球最大抽水蓄能电站投产发电,上证报
3,2021-12-30,增资3亿，加码环境领域！中国电建重大战略布局!,中国水网
4,2021-12-30,中国水利水电第十六工程局：设立董事会,Wind
5,2021-12-30,“双碳”路上种“绿”忙丨中国电建绿色资产证券化产品助力新能源加快发展,液化天然气网
6,2021-12-30,白鹤滩水电站左岸最后一台机组转子“就位”,中国能源网china5e
7,2021-12-30,中国电建签约阿根廷400MW风电项目,微信
8,2021-12-29,中国电建(601669.SH)总经理助理张建文职务调整为总工程师,智通财经
9,2021-12-29,中国电建签约莫桑比克贝拉供水修复项目,钢企网
10,2021-12-29,中国电建特多Trincity污水处理项目顺利移交,中国电力建设集团
11,2021-12-29,风电晚报|五分钟了解最新资讯（12月29日）,世纪新能源
12,2021-12-29,中国电建签约巴西圣西蒙水电站技改项目,微信
13,2021-12-29,中国光伏企业的全球印记,索比光伏网
14,2021-12-29,A股融资融券日报：两融余额增加34.59亿元（12月28日）,Wind
15,2021-12-29,践行“碳达峰、碳中和” 中国电建整合组建新能源集团－国务院国有资产监督管理委员会,国资委
16,2021-12-28,A股资金流向：锂矿价格飙升修复股价背离，新能源全线反弹,Wind
17,2021-12-28,新能源基建双子星大幅回落，基建50ETF（516970）跌1.74%，中国电建跌6.71%，中国能建跌4.93%,资本邦
18,2021-12-28,A股融资融券日报：两融余额增加29.17亿元（12月27日）,Wind
19,2021-12-27,中国中铁：中国中铁与中国电建在主营业务方面存在较大差异,每日经济新闻
20,2021-12-27,中国电建签约秘鲁利马绿色海岸公路项目,微信
21,2021-12-27,基建重估行情可持续，中国电建、中国核建上涨，基建ETF（516950）涨近1%,资本邦
22,2021-12-27,硅片采购框架合同,索比光伏网
23,2021-12-27,A股融资融券日报：两融余额减少95.83亿元（12月24日）,Wind
24,2021-12-26,2022年Q1还有春季躁动行情吗？,王杨一东吴策略
25,2021-12-25,光伏板块周内股价整体下挫，产业链上游价格持续博弈「光伏周评榜」,华夏时报
26,2021-12-25,中国能建VS长江电力～几分钟看完两个企业4年的财务报表,深水财经社
27,2021-12-25,中国电建签署巴西圣保罗地铁合作谅解备忘录,微信
28,2021-12-24,建筑行业研究与投资策略：看好估值修复与“建筑+”龙头成长性,新浪
29,2021-12-24,挑战海风平价——概算低至13356元/kw（2024年建成） 广东海风平价浪潮之后谁接力？,北极星电力
30,2021-12-24,紧抓新能源风口，年底多家央企加大新能源布局,中国能源网china5e
31,2021-12-24,中国电建重组新能源资产！,索比光伏网
32,2021-12-24,A股融资融券日报：两融余额增加19.59亿元（12月23日）,Wind
33,2021-12-24,中国电建设计的世界首条35千伏公里级超导电缆示范工程正式投运－国务院国有资产监督管理委员会,国资委
34,2021-12-24,26股获券商买入评级，天康生物目标涨幅达43.56%,Wind
35,2021-12-24,中国电建签约柬埔寨房建机电安装工程,微信
36,2021-12-23,2022年“新基建”或将聚焦绿电！特高压、智能电网、储能板块机会明确,红周刊
37,2021-12-23,光大证券：给予中国电建买入评级,证券之星
38,2021-12-23,重磅！中国电建组建新能源集团有限公司,北极星电力
39,2021-12-23,重磅！“中国电建新能源集团有限公司”获准！,国际能源网
40,2021-12-23,中国电建设计建设的世界海拔最高风电项目并网发电－国务院国有资产监督管理委员会,国资委
41,2021-12-23,【中国电建（601669.SH）】资产置换获得实质进展，交易方案已初步确定——对子公司实施债转股公告点评（孙伟风）,新浪
42,2021-12-23,中国电建地产资产置换第一步 实施子公司债转股163亿,观点地产网
43,2021-12-22,五矿稀土发布战略性重组；拓普集团拟在重庆建设新能源汽车基地,21世纪经济报道
44,2021-12-22,中国电建拟对天津海赋实施债转股 转股债权金额为163亿,观点地产网
45,2021-12-22,中国电建控股子公司联合中标68.74亿元项目 计划工期为60个月,中华网
46,2021-12-22,北向资金连续4日净卖出累计出货超百亿，立讯精密遭大幅净卖出6.46亿元,Wind
47,2021-12-22,中国电建：中标赣江下游尾闾综合整治工程设计、采购、施工总承包项目,每日经济新闻
48,2021-12-22,中国电建(601669.SH)下属子公司联合中标68.74亿元重大工程,智通财经
49,2021-12-22,中国电建：中标赣江下游尾闾综合整治工程项目，中标金额为68.74亿元,Wind
50,2021-12-22,中电建物业联合交投善成于四川新成立物业公司，前者持股51%,乐居财经
51,2021-12-22,中国电建大爆发：狂揽6218亿超级大单！,微信
52,2021-12-22,A股融资融券日报：两融余额减少7.19亿元（12月21日）,Wind
53,2021-12-22,【天风问答系列】建筑建材：22年建筑、建材布局思路？,天风研究
54,2021-12-21,中国电建签约莫桑比克港口建设EPC合同,微信
55,2021-12-21,A股融资融券日报：两融余额减少40.23亿元（12月20日）,Wind
56,2021-12-20,能源策划稿六|需求空间大开 电化学储能和抽水蓄明年谁能更胜一筹,财联社
57,2021-12-20,沪港通十大成交活跃股排名（12月20日）,Wind
58,2021-12-20,中国电建签署印尼200MW光伏项目EPC合同,中国电力建设集团
59,2021-12-20,中字头逆势活跃，中国能建涨停,Wind
