,2021-12-31,年内最后一次油价调整，汽、柴油价格每吨分别提高140元和135元,Wind
0,2021-12-31,智光电气：公司正在研发储充一体化产品,Wind
1,2021-12-31,上海期货交易所指定交割仓库库存周报,上期所
2,2021-12-31,生意社：12月31日中石化三井双酚A价格稳定,生意社
3,2021-12-31,2022年中国加油站非油品行业发展现状分析 一文告诉你加油站企业如何提高非油品业务收入【组图】,前瞻研究院
4,2021-12-31,贯彻落实“油转特” 中国石化PAO产品实现终端销售突破,石化新闻网
5,2021-12-31,中国石化“十条龙”科技攻关项目在扬子石化“出龙”,石化新闻网
6,2021-12-31,巴陵石化：中国石化自主研发软件 优化排产提效又降本,石化新闻网
7,2021-12-31,捷停车五周年：深耕、创新、突破！,砍柴网
8,2021-12-31,中国石化：公司将在绿氢炼化和氢能交通领域进行布局,每日经济新闻
9,2021-12-31,中国石化：公司所销售的天然气主要来源于自产和进口,每日经济新闻
10,2021-12-31,中国石化：销售公司将推进新业务模式尽快落地，打造“油气氢电非”综合能源服务商,每日经济新闻
11,2021-12-31,[PA]：PA6早间提示（20211231）,隆众资讯
12,2021-12-31,中国石化投产长三角20万吨CCUS项目,石化新闻网
13,2021-12-31,雪人股份：公司目前是中石化的供应商，正在积极寻求与中石化展开氢能方面的合作,每日经济新闻
14,2021-12-31,"华金证券原所长刘军转会山西证券，""所长市场""持续火爆",Wind
15,2021-12-30,北部湾港集团与中国石化广西石油分公司战略合作,e公司
16,2021-12-30,远看“中国石油”，近看“中围石油”！消费者：都加2万块油了，就挺生气的,每日经济新闻
17,2021-12-30,雪人股份：公司目前是中石化和中石油的供应商,Wind
18,2021-12-30,中国石化华北石油局年产气超50亿方创新高,财联社
19,2021-12-30,生意社：2021年12月粗苯市场震荡走稳 月涨1.19%,生意社
20,2021-12-30,中石化成立新能源公司，发力氢能与光伏，留给传统油企的时间还有多久,Ofweek
21,2021-12-30,生意社：2021年12月加氢苯市场月涨2.06%,生意社
22,2021-12-30,生意社：12月30日国内邻二甲苯价格汇总,生意社
23,2021-12-30,中国石化7项管理现代化创新成果获奖,石化新闻网
24,2021-12-30,新星地热率先在雄安新区本级供热系统应用,石化新闻网
25,2021-12-30,“两桶油”抢注新能源专业公司,中国能源报
26,2021-12-30,中石化今年新增天然气探明储量2681亿方,中国能源报
27,2021-12-30,莆田石油：助力一线“超级星期五”,钢企网
28,2021-12-30,为户外工作者提供暖心服务 中石化将在上海升级400座“爱心驿站”,新民网
29,2021-12-30,当加油站遇上光伏，中国石化BIPV加油站集中交付,凤凰网
30,2021-12-30,[PA]：PA6早间提示（20211230）,隆众资讯
31,2021-12-30,金融早自习：守正创新助力实体经济提质增效；内地股市年度成交创历史新高，超六成交易日破万亿；普通股票基金仓位近九成，基金经理备战春季行情,和讯
32,2021-12-30,国内财经媒体头版2021年12月30日星期四,Wind
33,2021-12-29,隆基携手中国石化 打造147座分布式光伏加油站,财联社
34,2021-12-29,中石化携手隆基共同打造147座分布式光伏加油站,上证报
35,2021-12-29,中石化经研院的“减煤、控油、增气、强非”思考,经济观察网
36,2021-12-29,储气库火力全开，产气再创新高，“两桶油”全力推进天然气保供,21世纪经济报道
37,2021-12-29,单日可满足500辆新能源车的充电需求，中石化上海首座充换电一体化示范站投营上线,东方网
38,2021-12-29,新和成(002001)：携手中石化扩产蛋氨酸 功能性化学品龙头成长可期,新浪
39,2021-12-29,莆田石油：一线党旗红,钢企网
40,2021-12-29,投教 | 新书连载之《大宗商品市场定价机制及影响力因素研究》我国PTA行业定价模式的转变,新湖期货
41,2021-12-29,云南进入天然气多气源供气时代,国际燃气网
42,2021-12-29,中国区域金融力排行榜：北京登顶，江浙紧逼,Wind
43,2021-12-29,在上海，中石化加油站有大动作！将升级建成400座“爱心驿站”、20座“司机之家”！,东方网
44,2021-12-29,生意社：12月29日国内邻二甲苯价格汇总,生意社
45,2021-12-29,生意社：12月29日中石化三井苯酚价格稳定,生意社
46,2021-12-29,哪家央企布局氢能最“激进”？,中国能源网china5e
47,2021-12-29,莆田石油：唤醒“睡眠”客户,钢企网
48,2021-12-29,中国石化：国内首座“双泊位”LNG码头正式投用,财联社
49,2021-12-29,宝泰隆与中石化就氢能项目达成战略合作,e公司
50,2021-12-29,[PA]：PA6早间提示（20211229）,隆众资讯
51,2021-12-29,生意社：12月29日中石化华中对二甲苯价格暂稳,生意社
52,2021-12-29,【能源保供看央企】应对寒潮强袭中国石化日供气首超2.4亿方－国务院国有资产监督管理委员会,中国石化
53,2021-12-29,新和成携手中石化拟30亿再扩产 上市17年累盈229亿派息86亿,长江商报
54,2021-12-29,中国石油首个大规模集中式光伏发电项目投运,Wind
55,2021-12-28,港股有哪些氢能企业？,证券之星
56,2021-12-28,氢能产业顶层设计“呼之欲出”，产业发展拐点来临,红周刊
57,2021-12-28,宝泰隆“结盟”中石化 氢能生态圈再扩容,金融界
58,2021-12-28,中国石化：涪陵页岩气田年产气突破70亿立方米 创历史新高,中证网
59,2021-12-28,晶科能源与中国石化新星公司签订战略合作协议,e公司
60,2021-12-28,助石化巨头能源转型，晶科能源入选中石化主供应商,凤凰网
61,2021-12-28,浙江新昌县市场监管局抽检汽油、柴油、车用尿素溶液等商品75批次 不合格1批次 产品问题,质量新闻网
62,2021-12-28,中国石化首套高温合成导热油项目正式投产运营,石化新闻网
63,2021-12-28,单船供油7738.4吨 燃料油公司再创加油新纪录,石化新闻网
64,2021-12-28,润滑油公司推进与石油公司合作销量快速增长,石化新闻网
65,2021-12-28,生意社：12月28日国内邻二甲苯价格汇总,生意社
66,2021-12-28,中石化建全球最大绿氢工厂 港媒：助力中国实现减碳目标,液化天然气网
67,2021-12-28,[PA]：PA6早间提示（20211228）,隆众资讯
68,2021-12-28,生意社：12月28日中石化华南对二甲苯价格暂稳,生意社
69,2021-12-28,中证报头版：“风光”无限，新能源注入新动能,Wind
70,2021-12-27,新 和 成：新和成和中石化出资比例为50:50,每日经济新闻
71,2021-12-27,中国石化厦门：开展应急演练，提升员工应变技能,凤凰网
72,2021-12-27,中国石化厦门石油：举办客户经理业务能力提升培训班,凤凰网
73,2021-12-27,捷停车成为广东中石化授权服务商，“便捷+优惠”为车主加油,凤凰网
74,2021-12-27,应对寒潮强袭，中国石化日供气首次超2.4亿方,Wind
75,2021-12-27,中国石化日供气首次超2.4亿立方米,中新网
76,2021-12-27,中国石化日供气首次超2.4亿方,e公司
77,2021-12-27,石化巨头“大象转身”：开启新能源转型之路,中国经营报
78,2021-12-27,换电赛道是风起还是概念？,证券市场周刊
79,2021-12-27,看料炒股—看原材料涨跌，炒股票！（2021年12月27日）,生意社
80,2021-12-27,“双碳”助力政策暖风频吹 风光氢储迎巨大市场空间,证券日报
81,2021-12-27,政策利好惠及换电 助力新能源打破禁锢,爱卡汽车
82,2021-12-27,生意社：12月27日中石化各销售公司丁二烯对外供价持稳,生意社
83,2021-12-27,生意社：12月27日中石化华北对二甲苯价格暂稳,生意社
84,2021-12-27,A股早报2021年12月27日星期一,Wind
85,2021-12-27,[PA]：PA6早间提示（20211227）,隆众资讯
86,2021-12-27,晶科科技与中石化新星共同推动能源结构绿色转型发展,索比光伏网
87,2021-12-27,大手笔！中石化入局，联手这家A股公司，共同出资30亿布局蛋氨酸,中证报
88,2021-12-26,蛋氨酸需求强劲 新和成与中石化合作投资扩产,e公司
89,2021-12-26,晚间重要公告2021年12月26日星期日,Wind
90,2021-12-26,新和成：与中国石化合作投资一套蛋氨酸生产设施,Wind
91,2021-12-26,新和成：与中国石化合作投资一套蛋氨酸生产设施,财联社
92,2021-12-25,中国上市公司500强：银行包揽前四，85家利润超100亿元,腾讯网
93,2021-12-24,沥青：南北差异“拉大锯”，市场表现不一,隆众资讯
94,2021-12-24,中国石化厦门：把油品与服务“配送”到顾客身边,凤凰网
95,2021-12-24,中国石化厦门分公司：服务品质再升级，助力公司提质增效,钢企网
96,2021-12-24,中国石化厦门石油开展中层干部团队建设活动,凤凰网
97,2021-12-24,中国石化厦门：“党建十分钟”开启党员学习教育新模式,产业发展研究
98,2021-12-24,中国石化厦门分公司召开提升巡站质量专题推进会,产业发展研究
99,2021-12-24,注册资本1亿！中石油成立新能源专业公司！,润滑油信息网
100,2021-12-24,中国石化厦门：首批 “爱心驿站”投入运营,钢企网
101,2021-12-24,2022年中国成品油仓储市场现状与竞争格局分析 油库建设持续进行且库容达到较高水平,前瞻研究院
102,2021-12-24,生意社：12月24日国内邻二甲苯价格汇总,生意社
103,2021-12-24,亚玛顿拟收购实控人旗下资产：今年3月刚成立的华辉投资突击入股标的公司,挖贝网
104,2021-12-24,中石化泰山石油与华能泰山签订战略合作协议 共建新能源综合服务体,北极星电力
105,2021-12-24,[PA]：PA6早间提示（20211224）,隆众资讯
106,2021-12-24,生意社：12月24日中石化华东对二甲苯价格暂稳,生意社
107,2021-12-24,中国石化126项优秀职工技术创新成果获奖,石化新闻网
108,2021-12-23,2022年北京市加油站行业发展现状分析 加油站建设仍需合理布局【组图】,证券之星
109,2021-12-23,生意社：12月23日国内邻二甲苯价格汇总,生意社
110,2021-12-23,中国石化驻沪企业发布社会责任报告,石化新闻网
111,2021-12-23,中国石化经纬携手中科院开启战略合作,中化新网
112,2021-12-23,首爆成功 贵州能化50万吨PGA工程开启项目建设加速度,国家煤化工网
113,2021-12-23,电动乘用车换电站建设标准发布，全国换电设施有望实现通用,OFweek
114,2021-12-23,生意社：12月23日中石化三井双酚A价格稳定,生意社
115,2021-12-23,上市公司环境责任信息披露有哪些变化？,中国环境报
116,2021-12-23,[PA]：PA6早间提示（20211223）,隆众资讯
117,2021-12-23,中国石化银催化剂技术跃居世界领先水平,石化新闻网
118,2021-12-23,中国石化优秀集体和个人获全国老干部工作先进,石化新闻网
119,2021-12-23,生意社：12月23日中石化华中对二甲苯价格暂稳,生意社
120,2021-12-23,中泰股份：公司暂未参与中石化在新疆的绿氢项目,每日经济新闻
121,2021-12-23,练“氢”功的时代来了,36氪
122,2021-12-22,中国石化2021年获十大油气勘探发现成果,中新网
123,2021-12-22,中国石化在俄罗斯可持续发展报告发布,石化新闻网
124,2021-12-22,中国石化驻沪企业发布社会责任报告 去年上缴税费近300亿元,新民网
125,2021-12-22,镇海股份：公司有承担“中国石化镇海炼化公司国内首套国产化煤焦制氢装置”的工程监理业务,Wind
126,2021-12-22,风光股份：公司产品为高分子材料的添加剂,Wind
127,2021-12-22,深圳燃气：公司气源主要以广东大鹏照付不议长协气和中石油、中石化、中海油合同气源为主，并以现货气源为辅,每日经济新闻
128,2021-12-22,我区持续为企业搭建供需对接平台 优质企业“抱团”打响金山品牌,东方网
129,2021-12-22,中科炼化裂解装置投产首年产量达标,石化新闻网
130,2021-12-22,长城润滑油推出新型电动汽车恒温液 精准布局新能源领域,润滑油信息网
131,2021-12-22,“基于5G尊享专网的野外智能节点油气勘探系统”项目荣登第四届“绽放杯”5G应用征集大赛总决赛榜首,飞象网
132,2021-12-22,中石化十建公司加速液化天然气工程助力能源保供,新华网
133,2021-12-22,生意社：12月22日国内邻二甲苯价格汇总,生意社
134,2021-12-22,华泰证券：蔚来新车ET5发布将进一步丰富公司产品矩阵,Wind
135,2021-12-22,交通银行泰安分行遭诈骗损失超3亿，被开行长称“这锅我不背”,澎湃新闻
136,2021-12-22,生意社：12月22日中石化三井苯酚价格稳定,生意社
137,2021-12-22,生意社：12月22日中石化华南对二甲苯价格暂稳,生意社
138,2021-12-22,[PA]：PA6早间提示（20211222）,隆众资讯
139,2021-12-22,金洲管道：公司有能力为各燃气公司提供优质的管道产品,Wind
140,2021-12-21,"A股唯一一家,承接中石化氢能源基地项目,Q3业绩涨459%,股价仅6元",搜狐
141,2021-12-21,五年上缴3000亿 可建百座“小蛮腰” 中国石化16家驻粤企业联合发布社会责任报告,每经网
142,2021-12-21,药店不做了，改卖彩票了,ZAKER
143,2021-12-21,“共享计划 金山优品”平台推介专场活动举行 助力打响“金山共享”活动品牌,东方网
144,2021-12-21,[隆众聚焦]：2021年中国双酚A行业大事记盘点,隆众资讯
145,2021-12-21,中国石化扬州首座加氢站建成,北极星电力
146,2021-12-21,重大发现！江苏省泰州市页岩油储备达3.5亿吨,液化天然气网
147,2021-12-21,生意社：12月21日国内邻二甲苯价格汇总,生意社
148,2021-12-21,泰山石油：将按照中国石化和当地政府统一布局开展氢能源相关业务,每日经济新闻
149,2021-12-21,中国石化首次发布在俄可持续发展报告,澎湃新闻
150,2021-12-21,中国石化首个陆上分散式风力发电项目投运,石化新闻网
151,2021-12-21,【机会挖掘】国内首个海上平价风电项目开工 风电装机将保持高速增长,证券时报网
152,2021-12-21,[PA]：PA6早间提示（20211221）,隆众资讯
153,2021-12-20,生意社：12月20日中石化三井丙酮价格稳定,生意社
154,2021-12-20,贝莱德增持中石化(00386)约1847.77万股，每股作价约3.69港元,智通财经
155,2021-12-20,生意社：12月20日国内邻二甲苯价格汇总,生意社
156,2021-12-20,凯美特气：中石化海南炼化氢能凯美特充装站项目已达到氢燃料电池汽车氢气使用国家标准,财联社
157,2021-12-20,生意社：12月20日中石化各销售公司丁二烯对外供价持稳,生意社
158,2021-12-20,【蜂网X舞阳专家电话会议·第十九期】氢能万亿赛道呼之欲出 产业链上游制氢投资机会凸显,财联社
159,2021-12-20,生意社：12月20日中石化华北对二甲苯价格暂稳,生意社
160,2021-12-20,马永生会见石家庄市委书记张超超,石化新闻网
161,2021-12-20,新能源汽车超预期渗透，市场主线向智能化迁移,Wind
162,2021-12-17,中国石化完成全国碳市场履约,Bianews
163,2021-12-17,中国石化辽宁沈阳石油分公司与蔚来汽车共建销售企业东北首座充换电站投营,凤凰网
164,2021-12-17,【港股通】上海石油化工股份(00338)：中国石化将所持54.5万股股份换购成证券投资基金份额,和讯
165,2021-12-17,上海石油化工股份(00338)：中国石化将所持54.5万股公司换购成富时中国国企开放共赢ETF指数证券投资基金份额,智通财经
166,2021-12-17,重磅 | 刘中云升任国家油气管网集团总经理、党组副书记,华夏能源网
167,2021-12-17,国内成品油价格年内“三连跌”,Wind
168,2021-12-17,空缺5个月后，刘中云出任国家管网集团总经理,21世纪经济报道
169,2021-12-17,上海石化(600688.SH)中国石化将持有的54.5万股参与换购基金份额,智通财经
170,2021-12-17,厚普股份：公司有参与建设中国石化的加氢站，但未合作运营,每日经济新闻
171,2021-12-17,中国石化4名代表参加中国文艺界“两会”,石化新闻网
172,2021-12-17,提质增效在终端 能链科技如何以数字化撬动油站未来“支点”？,凤凰网
173,2021-12-17,中国石化首个全节点采集地震资料通过处理验收,石化新闻网
174,2021-12-17,生意社：12月17日国内邻二甲苯价格汇总,生意社
175,2021-12-17,中海油服重大突破！超高温高压测井技术装备创下新纪录,液化天然气网
176,2021-12-17,生意社：12月17日中石化各销售公司丁二烯对外供价下调,生意社
177,2021-12-16,中石化首个陆上风电项目投运 可为2万户家庭清洁供电,上证报
178,2021-12-16,中国石化五年增长25%“十三五”期间由2462亿元增长至3085亿元,东方网
179,2021-12-16,中国石化：胜利油田东营原油库迁建工程正式启动,Wind
180,2021-12-16,中国石化：胜利油田东营原油库迁建工程正式启动,证券时报网
181,2021-12-16,中石化首个陆上风电项目并网发电,澎湃新闻
182,2021-12-16,生意社：12月16日邻二甲苯走势观点,生意社
183,2021-12-16,中国石化首个陆上风电项目并网发电,21世纪经济报道
184,2021-12-16,广州石化氢燃料电池供氢中心安全运行一周年,石化新闻网
185,2021-12-16,荆门石化向镇海炼化配送首单内供白油,石化新闻网
186,2021-12-16,中国石化召开首次品牌建设工作会议,石化新闻网
187,2021-12-16,江苏能源监管办督导调研成品油供应,电力新闻网
188,2021-12-16,生意社：12月16日中石化各销售公司丁二烯对外供价持稳,生意社
189,2021-12-16,生意社：12月16日中石化华南对二甲苯价格暂稳,生意社
190,2021-12-15,苏北盆地页岩油勘探获突破,经济日报
191,2021-12-15,中国石化页岩油勘探再获战略突破,财联社
192,2021-12-15,苏北盆地页岩油探井获高产油流，预测资源量3.5亿吨,澎湃新闻
193,2021-12-15,中石化自主研发品牌“爱跑98”汽油在闽上市,东南网
194,2021-12-15,中石化宁德分公司“五进两比拼”提高IC卡销量,钢企网
195,2021-12-15,万吨级绿氢项目缘何落户新疆库车,经济日报
196,2021-12-15,中国石化首次为赣南地区供气,北极星电力
197,2021-12-15,中石化宁德分公司消除油库隐患 全力保障供应,钢企网
198,2021-12-15,生意社：12月15日国内邻二甲苯价格汇总,生意社
199,2021-12-15,中石化最大光伏发电项目投产,石化新闻网
200,2021-12-15,生意社：12月15日中石化各销售公司丁二烯对外供价下调,生意社
201,2021-12-15,“两桶油”接连突破，油气勘探再创新高,国际燃气网
202,2021-12-15,中国石化与中国石油大学（华东）签署全面战略合作协议,石化新闻网
203,2021-12-15,外资海湾加油站入驻我国，油价才5块？国营加油站未来将何去何从,腾讯网
204,2021-12-14,旺季不旺！资源充足、需求疲软，国内LNG价格自高位腰斩,21世纪经济报道
205,2021-12-14,能源数字化加速,证券之星
206,2021-12-14,宏华集团(00196.HK)附属与中石化之附属订立人民币2.3亿元买卖协议,财华社
207,2021-12-14,宏华集团(00196.HK)两附属参与中石化非洲钻井承包市场竞标项目 成功签下2.3亿元合同,格隆汇
208,2021-12-14,宏华集团(00196)：四川宏华与宏华电气参与中石化非洲钻井承包市场竞标项目,智通财经
209,2021-12-14,宏华集团：订立2.3亿元买卖协议,Wind
210,2021-12-14,生意社：12月14日中石化三井双酚A价格稳定,生意社
211,2021-12-14,能源化工行业周观点：政策发力稳增长 碳排放双控催生长期机遇,新浪
212,2021-12-14,生意社：12月14日国内邻二甲苯价格汇总,生意社
213,2021-12-14,生意社：12月14日中石化各销售公司丁二烯对外供价持稳,生意社
214,2021-12-14,中国石化多个项目获国家优质工程奖,石化新闻网
215,2021-12-14,两桶油加码光伏等新能源！,光伏能源圈
216,2021-12-14,期市投资参考：消费旺季猪价不涨反降，伦敦基本金属多数上涨,Wind
217,2021-12-13,8494.82万吨！全国碳市场交出百日成绩单,北京商报
218,2021-12-13,全国碳市场活跃度继续攀升，累计成交额突破30亿元 国内最大二氧化碳捕集项目即将开工,每日经济新闻
219,2021-12-13,2021全国化工物流行业年会在芜湖圆满落幕,质量新闻网
220,2021-12-13,卡车晚报：江淮重卡20款重点产品抢先看,卡车之家
221,2021-12-13,中国石化涪陵页岩气田新增探明储量超千亿方,Wind
222,2021-12-13,中国石化涪陵页岩气田新增探明储量超千亿方,财联社
223,2021-12-13,生意社：12月13日中石化纯苯出厂价格,生意社
224,2021-12-13,生意社：12月13日中石化三井丙酮价格下调,生意社
225,2021-12-13,化工巨头加速能源消费低碳化转型 氢能碳捕获技术前景广阔,第一财经
226,2021-12-13,生意社：12月13日国内邻二甲苯价格汇总,生意社
227,2021-12-13,中国石化厦门：企地联合开展反走私普法宣传活动,凤凰网
228,2021-12-13,中国石化厦门分公司：苦练内功，推进“五率”促发展,凤凰网
229,2021-12-13,生意社：12月13日中石化各销售公司丁二烯对外供价下调,生意社
230,2021-12-13,生意社：12月13日中石化三井苯酚价格稳定,生意社
231,2021-12-13,LubTop点评行业周报（2021年第46期）,润滑油信息网
232,2021-12-13,A股早报2021年12月13日星期一,Wind
233,2021-12-13,生意社：12月13日中石化华北对二甲苯价格暂稳,生意社
234,2021-12-13,上升中继还是调整开始，周一至关重要,华龙掘金
235,2021-12-13,中石化设立新能源公司！落地雄安！,索比光伏网
236,2021-12-13,陆家嘴财经早餐2021年12月13日星期一,Wind
237,2021-12-13,中寰股份董事长李瑜：做高端装备制造先行者和引领者,发布易
238,2021-12-13,中石化新开一加油站 既能加油也能加氢,卡车之家
239,2021-12-13,“两桶油”共探转型发展,中国能源报
240,2021-12-13,加强合作共赢，中国企业为全球发展贡献新动力,Wind
241,2021-12-12,蔚来换电站超700座！入驻中石化加油站超百座，充换电设施利好消息频传,上证报
242,2021-12-12,蔚来换电站超700座，充换电设施利好消息频传,Wind
243,2021-12-12,【明日主题前瞻】新能源车重要的“补能”方式之一 充换电产业支持政策呼之欲出,财联社
244,2021-12-12,氢能源专题策划三|加氢站5年新增投资规模近95亿 哪家公司最受益？,财联社
245,2021-12-12,多数海外中国地区基金收益为负，重仓茅台的回撤20%,Wind
246,2021-12-10,上海期货交易所指定交割仓库库存周报,上期所
247,2021-12-10,每经15点|中汽协：11月份新能源汽车销量同比增长121.1%；中石化在雄安新区注册成立新能源公司；北上资金净买入逾90亿,每日经济新闻
248,2021-12-10,中国石化在雄安成立新能源公司 主要开展氢能基础设施建设等业务,新浪
249,2021-12-10,中国石化在河南首座充换电站投营,石化新闻网
250,2021-12-10,2021中国能源（集团）500强榜单出炉！,中国能源报
251,2021-12-10,自主开发核心技术让“愁油”炼制不再愁,电力新闻网
252,2021-12-10,重磅！中国石化氢能子公司正式落地雄安！注册资本1亿元！,北极星电力
253,2021-12-10,生意社：12月10日中石化三井丙酮价格稳定,生意社
254,2021-12-10,众多巨头涌入 预计2025年换电车型占比将达30%,中证网
255,2021-12-10,中石化在雄安成立新能源公司！,中国能源网china5e
256,2021-12-10,中石化雄安新能源有限公司成立,石化新闻网
257,2021-12-10,生意社：12月10日中石化华东对二甲苯价格暂稳,生意社
258,2021-12-10,中国石化充换电站光伏发电站数量提前双破千－国务院国有资产监督管理委员会,中国石化
259,2021-12-10,“冬奥经济”助燃制造业：多个产业链获“冬奥机遇”,Wind
260,2021-12-09,千亿级新能源赛道重大利好发布在即，众多巨头争相布局,Wind
261,2021-12-09,千亿级新能源赛道重大利好发布在即，众多巨头争相布局,中证报
262,2021-12-09,中国石化涪陵页岩气田全力增产提升温暖指数,电力新闻网
263,2021-12-09,减持宁德时代 北向资金投向哪里？ 减持股份,搜狐
264,2021-12-09,炼油销售公司沥青直投项目获公路交通行业最高质量奖,石化新闻网
265,2021-12-09,收盘综述：三大指数齐上涨 船舶制造行业表现强势,新浪
266,2021-12-09,济南拟建设“中国氢谷”,Wind
267,2021-12-09,中国石化(600028)：控股股东增持H股 彰显长期发展信心,新浪
268,2021-12-09,中国石化成立新能源公司，注册资本1亿元,搜狐
269,2021-12-09,中国石化怀化石油首批光伏项目正式并网启用,红网
270,2021-12-09,题材｜中石化第一千座换电站投用，行业进入加速发展期,中邮证券
271,2021-12-09,生意社：12月9日中石化三井双酚A价格稳定,生意社
272,2021-12-09,生意社：12月9日中石化各销售公司丁二烯对外供价持稳,生意社
273,2021-12-09,首个万吨级光伏绿氢示范项目落户新疆库车,中国县域经济报
