,2021-12-31,2021年十大牛股和熊股出炉，最牛股大涨566%,Wind
0,2021-12-31,四季度广东省汽柴价格涨后下跌 而零售利润较可观,隆众资讯
1,2021-12-31,国网酒泉供电公司助力“风光”项目早并网,中国能源网
2,2021-12-31,年内最后一次油价调整，汽、柴油价格每吨分别提高140元和135元,Wind
3,2021-12-31,临港首个油氢合建站今投运,新民晚报
4,2021-12-31,盛弘股份：公司未参与“中石油玉门东200兆瓦项目”,Wind
5,2021-12-31,2022年中国加油站非油品行业发展现状分析 一文告诉你加油站企业如何提高非油品业务收入【组图】,前瞻研究院
6,2021-12-31,港股2021年收官：恒指跌逾14%，科技指数跌近33%,Wind
7,2021-12-31,中国企业为全球创造更多价值 发挥广泛的辐射带动作用,中投网
8,2021-12-31,中国石油面向新能源、新材料的转型早已悄然启动,经济参考报
9,2021-12-31,加完油发现不是中国石油！中围石油这回应绝了,快科技
10,2021-12-31,中国石油今年国内油气产量当量创历史新高，预计2.13亿吨,澎湃新闻
11,2021-12-31,中国石油天然气集团：国内年产油气产量当量预计达2.13亿吨,财联社
12,2021-12-30,“顽固”的茅台，“崛起”的宁德，速览2021年A股前十大公司市值变迁,财联社
13,2021-12-30,中国首台高原室外防爆加油机器人落户西藏拉萨,中新网
14,2021-12-30,远看“中国石油”，近看“中围石油”！消费者：都加2万块油了，就挺生气的,每日经济新闻
15,2021-12-30,雪人股份：公司目前是中石化和中石油的供应商,Wind
16,2021-12-30,中国石油为清洁供暖注入地热“绿能”,中国能源报
17,2021-12-30,天然气压差发电！中国石油在川试点项目正式投运,中财网
18,2021-12-30,成立两年，国家管网集团改变了什么？,虎嗅网
19,2021-12-30,贝肯能源签订中石油西南油气田页岩气5亿元服务订单,证券时报网
20,2021-12-30,“两桶油”抢注新能源专业公司,中国能源报
21,2021-12-30,世界与中国能源展望｜未来20年，油气仍将是全球“能源一哥”,润滑油信息网
22,2021-12-30,中国石油广西石化累计加工原油突破1亿吨,中新网
23,2021-12-30,期市投资参考：伦敦金属涨跌不一，国际油价集体上涨,Wind
24,2021-12-30,特变电工新能源助力中国石油绿色低碳转型首个大型项目顺利并网,索比光伏网
25,2021-12-30,鄂尔多斯盆地新增千万吨油气生产基地,Wind
26,2021-12-29,贝肯能源签订5亿元页岩气工程合同 占上年营收53.43%,e公司
27,2021-12-29,储气库火力全开，产气再创新高，“两桶油”全力推进天然气保供,21世纪经济报道
28,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
29,2021-12-29,贝肯能源：与中国石油天然气股份有限公司西南油气田分公司开发事业部签署页岩气钻试一体化工程服务合同，总金额暂定5亿元人民币,每日经济新闻
30,2021-12-29,中国区域金融力排行榜：北京登顶，江浙紧逼,Wind
31,2021-12-29,中国石油成立三家研究院，聚焦新能源、新材料研发,21世纪经济报道
32,2021-12-29,中国石油首个集中式光伏并网发电示范工程投运,电力新闻网
33,2021-12-29,以技术攻关实现“吃粗粮、产精品” 中国石油广西石化累计加工原油突破1亿吨,科技日报
34,2021-12-29,哪家央企布局氢能最“激进”？,中国能源网china5e
35,2021-12-29,辽宁省辽阳市市场监管局：1批次袜子、4批次高分子防水材料抽检不合格 产品问题,质量新闻网
36,2021-12-29,线上监管保安全 冲锋一线抗疫情,钢企网
37,2021-12-29,中石油深圳新能源研究院揭牌,证券时报网
38,2021-12-29,中国石油首个大规模集中式光伏发电项目投运,Wind
39,2021-12-28,【民生能源 周泰团队】石化日报：2021年我国煤层气利用量为77亿立方米，增势良好,泰度煤炭
40,2021-12-28,【12.28】东方日升446.5亿光伏项目落户包头；中国石油160MW光伏制氢示范启动；天域生态拟3亿入局光伏电站,世纪新能源
41,2021-12-28,贵州百灵联合中石油昆仑燃气拟投设昆仑百灵公司，注册资本3000万元,乐居财经
42,2021-12-28,贵州百灵(002424.SZ)：拟出资1470万元参设昆仑百灵公司,格隆汇
43,2021-12-28,贵州百灵(002424.SZ)拟与中石油昆仑燃气共同建设天然气支线管道等项目,智通财经
44,2021-12-28,港股有哪些氢能企业？,证券之星
45,2021-12-28,贵州百灵：拟出资1470万元与中石油昆仑燃气设立合资公司,财联社
46,2021-12-28,宝泰隆“结盟”中石化 氢能生态圈再扩容,金融界
47,2021-12-28,2021石油和化工民营企业百强出炉（全名单）,中国化工报
48,2021-12-28,行业增长空间是否有限？中寰股份董事长李瑜：国内天然气管道建设至少还有10年“黄金期”,每日经济新闻
49,2021-12-28,“200MW光伏+160MW光伏制氢 ” 中国石油示范项目正式启动！,索比光伏网
50,2021-12-28,光大证券：碳中和加速能源转型 我国天然气未来发展空间广阔,智通财经
51,2021-12-28,万邦达中标广东石化污水运营项目——主营业务再迎增长,中国基金报
52,2021-12-28,浙江新昌县市场监管局抽检汽油、柴油、车用尿素溶液等商品75批次 不合格1批次 产品问题,质量新闻网
53,2021-12-28,中国石油首个投资最大、规模最大的集中式光伏发电以及成规模制氢示范项目启动,e公司
54,2021-12-28,破亿吨！中国石油广西石化加工原油量居西南地区首位,液化天然气网
55,2021-12-28,新能集团：助力质量强网，保障入网绝缘油供应,中国能源网
56,2021-12-27,26日当天，中石油向湖南省管道天然气供应1465万方,腾讯网
57,2021-12-27,【隆众聚焦】：再临岁末 2021年C5C9产业链大事件盘点,隆众资讯
58,2021-12-27,中石油：全球石油需求或2025年达峰，大国博弈不利于能源转型,21世纪经济报道
59,2021-12-27,中国石油需求将在2030年因石化产品使用达到峰值–中国石油天然气集团公司,理财18
60,2021-12-27,石化巨头“大象转身”：开启新能源转型之路,中国经营报
61,2021-12-27,中石油调整大庆石化、川庆钻探、中油工程领导班子,华夏能源网
62,2021-12-27,中国石油油稳气增 年油气当量或超2亿吨 天然气占比保持快速增长,中国石油
63,2021-12-27,LubTop点评行业周报（2021年第48期）,润滑油信息网
64,2021-12-27,政策利好惠及换电 助力新能源打破禁锢,爱卡汽车
65,2021-12-26,大商所与中石油国际签署战略合作协议,期货日报网
66,2021-12-26,2021薪酬最高的十个行业,新浪
67,2021-12-24,注册资本1亿！中石油成立新能源专业公司！,润滑油信息网
68,2021-12-24,A股11年最大IPO中签出炉，战投机构狂买243亿,Wind
69,2021-12-24,2022年中国成品油仓储市场现状与竞争格局分析 油库建设持续进行且库容达到较高水平,前瞻研究院
70,2021-12-24,港股恒指高开0.79% ，科技股反弹，京东涨3%，中石油涨2%,和讯
71,2021-12-24,中国石油新疆油田呼图壁储气库日采气量达3000万立方米,中新网
72,2021-12-24,泸天化：公司主要能源天然气来自中石油，电力来自国网，煤炭来自市场采购,每日经济新闻
73,2021-12-24,泸天化：目前公司主要能源天然气来自中石油,Wind
74,2021-12-24,【能源保供看央企】中国石油塔里木油田：突破50亿方 保障南疆百姓温暖过冬－国务院国有资产监督管理委员会,国资委
75,2021-12-23,搞了80吨假黄金的公司，市值跌到7000块了,搜狐
76,2021-12-23,好消息 | 坏消息 金风科技荣获第二十三届“金牛奖”双料大奖；南网科技上市,搜狐
77,2021-12-23,2022年北京市加油站行业发展现状分析 加油站建设仍需合理布局【组图】,证券之星
78,2021-12-23,吉林省长春市抽查20批次车用尿素水溶液产品 不合格1批次 产品问题,质量新闻网
79,2021-12-23,国际油价上涨带动“三桶油”齐走强 中石油(00857)涨2.94%,和讯
80,2021-12-23,中国石油130项优秀职工技术创新成果获奖,中国石油
81,2021-12-23,乙二醇采购合同签订！贵州豫能与中石油西南化工深化合作,中经网
82,2021-12-23,融资客青睐4股，航亚科技买入占比高达45.01%,Wind
83,2021-12-22,中国石油新疆油田油气储运公司80天输配气20亿立方米,国际燃气网
84,2021-12-22,中石油技能人才创新基金项目圆满收官,中国石油
85,2021-12-22,风光股份：公司产品为高分子材料的添加剂,Wind
86,2021-12-22,深圳燃气：公司气源主要以广东大鹏照付不议长协气和中石油、中石化、中海油合同气源为主，并以现货气源为辅,每日经济新闻
87,2021-12-22,中国石油成立深圳新能源研究院 注册资本1亿元,上证报
88,2021-12-22,中石油在深圳成立新能源研究院公司,Bianews
89,2021-12-22,华泰证券：蔚来新车ET5发布将进一步丰富公司产品矩阵,Wind
