,2021-12-31,中国神华与辽宁能源集团签署战略合作框架协议,e公司
0,2021-12-30,能源产业链核心数据跟踪,新浪
1,2021-12-30,中国神华、陕西煤业、兖州煤业，谁是成长能力最强的动力煤企业？,Ofweek
2,2021-12-29,中国神华(01088)建议委任吕志韧为执行董事,智通财经
3,2021-12-29,中国神华：董事会决议聘任吕志韧担任公司总经理,Wind
4,2021-12-29,中国神华：聘任吕志韧为公司总经理,每日经济新闻
5,2021-12-29,中国神华(601088.SH)聘任吕志韧为总经理并提名其为执行董事候选人,智通财经
6,2021-12-28,【行情】港股煤炭股齐挫，中煤能源(01898.HK)跌6.4%，兖州煤业(01171.HK)跌近5%，易大宗(01733.HK)跌3.7%，中国神华(01088.HK)、首钢资源(00639.HK)跌,金十数据
7,2021-12-28,【异动股】中国神华(01088.HK)跌3.12%,财华社
8,2021-12-28,【动力煤】日报-2021-12-27 行业向好/增产/降耗背景下动力煤期价震荡整理,英大期货
9,2021-12-27,煤炭与消费用燃料深度报告：煤企转型新能源运营 天赋与优势何在？,新浪
10,2021-12-24,"中国神华现2笔大宗交易 共成交13,502.95万元",新浪
11,2021-12-24,中国神华今日大宗交易成交601.20万股，成交价22.46元溢价0.0%,Wind
12,2021-12-24,A股11年最大IPO中签出炉，战投机构狂买243亿,Wind
13,2021-12-24,【动力煤】日报-2021-12-23 大型煤企增产/降价/增储备动力煤期价震荡整理,英大期货
14,2021-12-23,A股收盘综述：市场资金涌入电力、白酒、光伏股！中国铝业巨量封涨停,Wind
15,2021-12-23,海通证券：11月原煤产量继续加速释放，关注转型煤企投资机会,财联社
16,2021-12-22,11月中国神华商品煤产量增长10.1%,中国神华
17,2021-12-22,煤炭行业研究周报：供给收缩 煤炭板块提估值行情有望启动,新浪
18,2021-12-21,中国神华：俄罗斯扎舒兰项目计划2022年5月开始全面开工建设,证券时报
19,2021-12-21,中国神华：俄罗斯扎舒兰项目预计2026年露天矿（500万吨/年）达产,e公司
20,2021-12-21,中国神华：俄罗斯扎舒兰项目目前已完成项目初步设计编制工作，正在开展初步设计中俄双方审批,Wind
21,2021-12-21,中国神华：公司计划到2022年，实现煤矿智能化建设全覆,每日经济新闻
22,2021-12-21,中国神华：公司将在“十四五”期间加快发展新能源,Wind
23,2021-12-21,中国神华：2021年公司智能化煤矿建设稳步推进,Wind
24,2021-12-18,全球市场黑色星期五，美股原油均遭重创,Wind
25,2021-12-17,A股收盘综述：充电桩股批量涨停、风电和特高压指数同创新高！权重股普遍哑火,Wind
26,2021-12-17,国泰君安：煤企转型新能源等领域序幕拉开 行业估值有望提升,智通财经
27,2021-12-17,【异动股】中国神华(01088.HK)跌3.2%,财华社
28,2021-12-17,北上资金连续12天净买入，煤炭行业搭上氢能源快车,Wind
29,2021-12-16,南向资金今日净买入40.74亿港元，腾讯控股净买入8.13亿港元,Wind
30,2021-12-16,“煤制氢”来了，价值与成长双提升,Wind
31,2021-12-16,中国神华2021年11月主要运营数据,北极星电力
32,2021-12-16,煤炭概念午后持续走高，中煤能源、兖矿能源等多股涨停,Wind
33,2021-12-16,上证综指午盘收涨0.28%，报3657.85点。中国神华对指数上涨贡献最大,新浪
34,2021-12-16,A股午盘综述：煤炭股火了，兖矿能源中煤能源等涨停！山西汾酒遭遇定向爆破,Wind
35,2021-12-16,【异动股】中国神华(01088.HK)涨3.06%,财华社
36,2021-12-16,中煤能源封住涨停板，煤炭板块持续拉升,Wind
37,2021-12-15,晚间重要公告2021年12月15日星期三,Wind
38,2021-12-15,中国神华罗源湾项目1号机组正式移交商业运营,上证报
39,2021-12-15,【港股通】中国神华(01088)首11月煤炭销售量4.307亿吨 同比增长7.8%,和讯
40,2021-12-15,中国神华：11月商品煤产量27.3百万吨 同比增长10.1%,新浪
41,2021-12-15,中国神华(601088.SH)11月份商品煤产量2730万吨 同比增长10.1%,智通财经
42,2021-12-15,中国神华(601088.SH)：前11月煤炭销售量同比增7.8% 总售电量增21.5%,格隆汇
43,2021-12-15,中国神华：福建罗源湾港储电一体化项目1号机组正式移交商业运营,财联社
44,2021-12-15,中国神华：罗源湾项目1号机组通过168小时试运行,Wind
45,2021-12-15,兖矿能源封住涨停板，山西焦煤、中国神华、陕西煤业等后排跟进,Wind
46,2021-12-15,【行情】港股煤炭股午后持续走强，兖州煤业股份(01171.HK)涨5.43%，中煤能源(01898.HK)涨3.2%，中国神华(01088.HK)涨2%,金十数据
47,2021-12-15,中国移动A股上市拟融资才560亿真不算多 还不如农行和中石油,搜狐
48,2021-12-14,禾迈股份：网上投资者弃购金额为3.63亿元,Wind
49,2021-12-14,【异动股】中国神华(01088.HK)跌3.05%,财华社
50,2021-12-14,港股盘前必读：商汤集团延迟上市，中国移动发行不超过8.457亿股A股,Wind
51,2021-12-14,龙源电力：提醒异议股东行使收购请求权,Wind
52,2021-12-13,全国固废资源化综合利用技术大会将于12月27日在济南召开,Wind
53,2021-12-13,【行情】港股煤炭概念股普涨，兖州煤业股份涨近4%，中国神华涨近3%，兖煤澳大利亚涨超2%，伊泰煤炭涨近2%,金十数据
54,2021-12-13,【异动股】中国神华(01088.HK)涨3.09%,财华社
55,2021-12-13,中央释放稳增长信号，逆周期政策发力利好煤炭股,金融界
56,2021-12-13,最后4个交易日，这只ST股将停止交易！中国新能源第一股将登陆A股,Wind
57,2021-12-10,中国神华：全力打赢能源保供“攻坚战”,中国能源网
58,2021-12-10,中国神华：公司积极跟进新能源项目，今年三季度报告中披露进展，目前项目均处于前期阶段,每日经济新闻
59,2021-12-10,中国神华：2020年度报告中，A、H报告财务报表列报项目有所不同,每日经济新闻
60,2021-12-10,中国神华：公司披露自产煤成本为吨煤生产成本，不包括运输等成本,每日经济新闻
61,2021-12-10,中国神华：公司煤化工板块主要产品为聚乙烯、聚丙烯，技术路径为甲醇制烯烃，甲醇为公司煤化工业务的中间产品,每日经济新闻
62,2021-12-10,中国神华：今年上半年，公司发电分部共耗用中国神华煤炭21.8百万吨,每日经济新闻
63,2021-12-09,中国神华、陕西煤业、中煤能源，这三家煤炭开采企业，谁的成长能力最强？,OFweek
64,2021-12-09,煤矿安全生产标准化管理体系降级公告（中国神华能源股份有限公司布尔台煤矿）,我的钢铁
65,2021-12-08,A股共发生220宗大宗交易成交40.56亿元（12月8日）,Wind
66,2021-12-08,"中国神华现1笔大宗交易 共成交4,356.00万元",新浪
67,2021-12-08,中国神华今日大宗交易成交200万股，成交价21.78元溢价0.14%,Wind
68,2021-12-07,探索煤电平衡点，煤价将迎重大调整,Wind
69,2021-12-06,中国神华今日大宗交易成交21.33万股，成交价22.59元溢价1.8%,Wind
70,2021-12-06,智通每日大行研报丨招商局港口(00144)获机构一致唱好 瑞信首予思摩尔国际(06969)目标价62.5港元,智通财经
71,2021-12-06,碳中和周报：“十四五”工业绿色发展规划出台 全力推动工业碳达峰,新浪
72,2021-12-06,煤炭行业周报：新长协制定超预期 估值修复正当时,新浪
73,2021-12-06,小摩：上调中国神华至中性评级，目标价升至20港元,Wind
74,2021-12-06,煤炭开采：长协基准价大幅提升 政策底层逻辑值得深思,新浪
75,2021-12-06,小摩：上调中国神华(01088)至“中性”评级 目标价升至20港元,智通财经
76,2021-12-06,中信证券：2022年或是煤价向中期均衡价格回归的一年,Wind
77,2021-12-06,中信证券：预计煤炭企业主流龙头上市公司Q4业绩环比或有15～20%的改善,e公司
78,2021-12-06,2022年煤炭中长期合同签订履约工作方案解读：基准价提升超市场预期 高比例长协动力煤企业首先受益,新浪
79,2021-12-06,港股盘前必读：滴滴启动在香港上市，多家房企启动固收产品发行,Wind
80,2021-12-06,摩根大通：将中国神华评级上调至中性,Wind
81,2021-12-05,【开源能源煤炭-张绪成】煤炭周报：长协基准价超预期上调，高长协公司优先受益,能源观察站
82,2021-12-05,煤炭行业周观点：现货市场短暂波动 长协机制或强化板块行情,新浪
83,2021-12-05,煤炭行业周报：港口吞吐活跃 煤价震荡盘整,新浪
84,2021-12-04,A股市场领涨全球，监管同意开展账户管理功能优化试点工作,Wind
85,2021-12-04,民资控股杭绍台铁路试运行 委托国铁集团统一运营,新浪
86,2021-12-03,2021中国上市公司软实力巡礼：中国神华价值103.67亿元 排序第48名,搜狐
87,2021-12-03,【民生能源 周泰团队】日报：下水煤长协基准价升至700元/吨,泰度煤炭
88,2021-12-03,港股通（深）净买入25.97亿港元,证券时报网
89,2021-12-03,中国神华：永州电厂2号机组通过168小时试运行,财联社
90,2021-12-03,中国神华：永州电厂2号机组顺利通过168小时试运行,Wind
91,2021-12-03,“十四五”规划印发：碳排放降18%，落后产能加速淘汰！,Wind
92,2021-12-03,A股市场领涨全球，北上资金已开始“按捺不住”？,Wind
93,2021-12-03,恒指放量收跌0.09%，科技龙头领跌,Wind
94,2021-12-03,A股收盘综述：沪指大涨一举拿下3600点！绿色电力概念掀涨停潮,Wind
95,2021-12-03,港A两市煤炭股集体拉升，中国神华(1088.HK)涨近4%,证券之星
96,2021-12-03,解盘：人气持续回暖，电力、存储器、白酒、半导体领涨,Wind
97,2021-12-03,【异动股】中国神华(01088.HK)涨3.15%,财华社
98,2021-12-03,A股午盘综述：沪指涨0.58%，煤炭、中字头午前急拉，港口股迎来久违大涨,Wind
99,2021-12-03,【行情】煤炭概念拉升回暖，内蒙华电涨超4%，冀中能源、中国神华、陕西煤业跟涨,金十数据
100,2021-12-02,中国神华现1笔大宗交易 共成交495.87万元,新浪
101,2021-12-02,中国神华今日大宗交易成交24.26万股，成交价20.44元折价1.16%,Wind
