,2021-12-31,中国能建进军欧洲水务市场，签署克罗地亚里耶卡污水处理厂项目,钢企网
0,2021-12-31,[水泥大数据研究院]水泥产业链指数运行周报（2021.12.31）,水泥大数据研究院
1,2021-12-31,中国能建安徽院总承包的国能神皖安庆皖河200兆瓦光伏发电项目并网,国际电力网
2,2021-12-31,中国能建浙江院设计的中广核平潭大练240兆瓦海上风电场项目全容量并网,国际电力网
3,2021-12-31,中国能建中南院设计的江苏如东海上风电柔性直流输电工程全容量并网,国际电力网
4,2021-12-31,中国能建宋海良&阿根廷驻华大使！加深风电、光伏、氢能等新能源领域合作,液化天然气网
5,2021-12-31,中国能建进军欧洲水务市场,微信
6,2021-12-29,电力源网荷储一体化和多能互补是什么？,郭丽丽的研究札记
7,2021-12-29,一图读懂中国能建“十四五”发展规划,北极星电力
8,2021-12-29,哪家央企布局氢能最“激进”？,中国能源网china5e
9,2021-12-29,中国能建安徽电建一公司承建的越南嘉莱风电项目风机吊装完成,国际电力网
10,2021-12-29,中国能建中标巴基斯坦民生项目,微信
11,2021-12-29,中国能建：到2025年营业收入等指标总体实现翻番,我的钢铁
12,2021-12-28,浙商早知道 | 12月29日,新浪
13,2021-12-28,中国能建：控股子公司拟2.36亿元转让葛洲坝融资租赁75%股权,发布易
14,2021-12-28,中国能建：控股子公司转让中国葛洲坝集团融资租赁有限公司75%股权,每日经济新闻
15,2021-12-28,中国能建(601868.SH)子公司葛洲坝拟2.36亿元转让葛洲坝融资租赁公司75%股权,智通财经
16,2021-12-28,机构强推买入 六股成摇钱树,华安证券
17,2021-12-28,浙商证券给予中国能建增持评级，中国能建披露中能建绿色建材有限公司业务规划点评：披露砂石骨料规划、绿色业务多点开花，凸显新战略推进决心,每日经济新闻
18,2021-12-28,新能源基建双子星大幅回落，基建50ETF（516970）跌1.74%，中国电建跌6.71%，中国能建跌4.93%,资本邦
19,2021-12-28,中国能建浙江火电承建的安徽萁星颍泉风电工程首批风机并网发电,浙江火电
20,2021-12-27,新奥股份与中国能建两省设计院签署战略合作协议,e公司
21,2021-12-27,葛洲坝国际 贝宁、秘鲁市场年末再签新约,微信
22,2021-12-27,硅片采购框架合同,索比光伏网
23,2021-12-27,混改潮之后 水务行业兼并重组整合持续推进 强强联合才是王道！,北极星电力
24,2021-12-26,中国能建与中国电科深化战略合作,证券时报网
25,2021-12-26,科技创新赋能世界最高混凝土面板坝建设,科技日报
26,2021-12-25,中国能建VS长江电力～几分钟看完两个企业4年的财务报表,深水财经社
27,2021-12-24,美锦能源：公司在氢能业务未与中国能建集团合作,每日经济新闻
28,2021-12-24,中国能建天津电建承建的吉林向阳风电二期项目50台风机安装完成,国际电力网
29,2021-12-24,中国能建安徽电建二公司承建的越南雅蓓风电项目完成全部风机吊装,国际电力网
30,2021-12-24,中国能建中标100MW渔光互补光伏发电项目EPC,索比光伏网
31,2021-12-23,港股异动 | 中国能源建设(03996)尾盘涨超6% 国内首个平价海上风电项目开工 中国能建参建,智通财经
32,2021-12-23,北向资金连续四日出逃，净卖出逾百亿，减持行业和个股一览（名单） 减持股份,21世纪经济报道
33,2021-12-22,A股资金面日报：24股获高管增持！10股获融资净买入超亿元,中投网
34,2021-12-22,中国能建等13股获北向资金增持额超亿元,证券时报网
35,2021-12-22,中国能建承建的天津华电南港热电项目1号机组正式供热,中国能源网china5e
36,2021-12-22,北向资金连续三日出逃，增减持行业一览（附股） 减持股份,21经济网
37,2021-12-21,沪港通十大成交活跃股排名（12月21日）,Wind
38,2021-12-21,十四五开局之年，葛洲坝地产开启投资拓展新征程,凤凰网
39,2021-12-21,中国能建北京设备公司分布式屋顶光伏发电项目成功并网发电,国际电力网
40,2021-12-21,中国能建广西院总承包的田林定安农业光伏送出线路全线贯通,国际电力网
41,2021-12-21,中国能建甘肃院总承包的靖远风电项目330千伏沧海变成功带电投运,国际电力网
42,2021-12-21,超低排放！中国能建在辽首个生物质电厂并网发电,北极星节能
43,2021-12-21,国内首个海上平价风电项目开工 中国能建承建,财联社
44,2021-12-20,12月20日中国能建涨停分析：大基建，水利，水泥概念热股,证券之星
45,2021-12-20,中字头逆势活跃 超16亿元主力资金加仓中国能建,第一财经
46,2021-12-20,广州打造全国首个5G专网+E-BLOCK智慧园区,中新网
47,2021-12-20,快讯：中国能建午后触及涨停 成交额超44亿元,新浪
48,2021-12-20,中国能建中标江西奉新县乌石水库复合型95MWp光伏电站项目EPC工程,索比光伏网
49,2021-12-19,白鹤滩水电站最后一台机组转轮成功吊装,云南网
50,2021-12-18,7500t/d水泥生产线开工建设！葛洲坝海投项目再传捷报,中国水泥网
51,2021-12-18,白鹤滩水电站最后一台百万千瓦机组“心脏”吊装就位,中新网
52,2021-12-17,中国能建安徽电建二公司承建的辽宁康平100兆瓦风电项目开工,国际电力网
53,2021-12-17,中国能建浙江火电承建的金华110千伏南马变综自改造工程投运,浙江火电
54,2021-12-17,中国能建总承包建设的广东肇庆白诸100MW渔光互补项目并网发电,国际电力网
55,2021-12-15,中国能建山西电建平鲁白玉山扩容风电项目开工,国际电力网
56,2021-12-15,中国能建中标广东华电100MW渔光互补项目光伏场区总承包工程,索比光伏网
57,2021-12-14,中国能建葛洲坝集团：融入大湾区 增添新动能,经济日报
58,2021-12-14,海坛海峡海上风电项目全容量并网发电,经济日报
59,2021-12-14,每年供电11.3亿千瓦时！福清海坛海峡海上风电全容量并网发电,科技日报
60,2021-12-14,中国能建安徽电建一公司建设的河北顺平200MW平价光伏项目并网发电,国际电力网
61,2021-12-14,中国能建广东火电承建的肇庆鼎湖天然气热电联产工程项目开工,国际电力网
62,2021-12-13,到2025年 国家电网经营区新型储能容量超过3000万千瓦！（附四大发电集团、两大电网更新储能动态）,北极星电力
63,2021-12-13,重磅！积极财政政策+适度超前基建，基建50ETF（516970）涨2.54%，中国能建涨4.18%,资本邦
64,2021-12-13,大基建指数发力上攻，中字头股一马当先,Wind
65,2021-12-10,中国能建葛洲坝或将布局浙江市场，与衢州共商合作,中国水泥网
66,2021-12-10,中国能建葛洲坝与广西贺州市签署战略合作框架协议,中国水泥网
67,2021-12-10,中国能建浙江火电承建四川越西尔曲合普风电项目完成全部机组吊装,浙江火电
68,2021-12-10,中国能建山西电建承建的雄安容东项目配电室全部投运,国际电力网
69,2021-12-10,中国能建天津电建签约山东广饶华盛屋顶分布式光伏EPC总承包项目,国际电力网
70,2021-12-09,中国能建：基金主要投向是政府主导的各类PPP项目,每日经济新闻
71,2021-12-09,中国能建：本次股东大会有涉及关联交易的议案，关联股东将回避表决,每日经济新闻
72,2021-12-09,中国能建：葛洲坝已被中国能建吸收合并，不用公开披露三季报,每日经济新闻
73,2021-12-09,中国能建签约安哥拉5000套教师安居房项目,微信
74,2021-12-09,中国能建中标哥伦比亚光伏电站项目,微信
75,2021-12-09,正和生态：目前公司未和中国能建合作氢能源项目,Wind
76,2021-12-09,正和生态：未和中国能建开展过氢能源项目合作,每日经济新闻
77,2021-12-08,中国能建江苏电建三公司承建的泰兴燃机1号机组投运,国际电力网
78,2021-12-07,建筑与工程点评报告：第二批风光大基地项目申报开启 或涉及哪些建筑企业？,新浪
79,2021-12-07,建筑装饰行业中央政治局会议点评：经济稳字当头 逆周期调节预期升温,新浪
80,2021-12-07,积极财政政策要提升效能，基建50ETF（516970）涨1.18%，中国建筑涨2.50%，中国能建涨2.88%,资本邦
81,2021-12-07,中国能建广东火电承建的广东平远泗水风电场项目完成首台风机吊装,国际电力网
82,2021-12-07,中国能建广东院签约百万千瓦级近海深水区海上风电总承包项目,国际电力网
83,2021-12-07,40MW！中国能建天津电建签约山东东营渔光互补光伏发电总承包项目,国际电力网
84,2021-12-07,600MW！中国能建广东院牵头EPC总承包建设的湛江徐闻海上风电场全容量投产,国际电力网
85,2021-12-06,中国能建国际集团成立后海外签约第一单,微信
86,2021-12-06,中国能建中标蒙古国2×15兆瓦热电站EPC总承包项目,微信
87,2021-12-06,华泰证券：维持中国能建(601868.SH)“买入”评级 目标价3.3元,智通财经
88,2021-12-06,中国能源VS太阳能~一文带你看中国能建和太阳能5年的财务报表,深水财经社
89,2021-12-06,中国能建VS中闽能源~两个小时整理的两个企业，你只要花2分钟看懂,深水财经社
90,2021-12-06,中国能建VS上海电力~一文带你看中国能建和上海电力5年的财务报表,深水财经社
91,2021-12-06,中国能建广东院勘察设计的汕尾后湖500兆瓦海上风电项目全容量并网发电,国际电力网
92,2021-12-06,中国能建云南院总承包河南杞县100兆瓦风电项目首批风机并网发电,国际电力网
93,2021-12-06,中国能建浙江火电参建嘉兴2号海上风电场全容量并网发电,浙江火电
94,2021-12-06,中国能建天津院总承包中国移动天津地区两座变电站送电,国际电力网
95,2021-12-06,中国能建与中国电建双星闪耀上周涨幅达30.05%与21.18%，基建50ETF（516970）上周涨8.3%,资本邦
96,2021-12-06,基建项目密集开工，永福股份、中国能建领涨，基建ETF（516950）连续6个交易日上涨,资本邦
97,2021-12-06,横沥“开垦者”葛洲坝的南沙区经验,中国经营报
98,2021-12-05,【安信建筑】行业周报1205：建筑PMI提升新基建获推进，基建板块上行动力充足,勇往直前
99,2021-12-04,中国能建(601868)：海上风电再发力 加码氢能放眼未来,新浪
100,2021-12-03,1100亿中字龙头大爆发，中国能建强势涨停，趋势反转？,搜狐
101,2021-12-03,数据复盘｜食品饮料等行业获主力资金青睐 北向资金加仓兆易创新、泸州老窖等,证券时报网
102,2021-12-03,80只股涨停 最大封单资金6.69亿元,证券时报网
103,2021-12-03,12月3日中国能建涨停分析：大基建，水利，水泥概念热股,证券之星
104,2021-12-03,涨停雷达：拟投资 100 亿元设立两家全资子公司 中国能建触及涨停,ZAKER
105,2021-12-03,12月3日午后主力巨资抢筹四大板块(附股),金融界
106,2021-12-03,基建股进一步拉升 中国能建封涨停板,格隆汇
107,2021-12-03,大基建板块午后冲高，中国能建封板,36氪
108,2021-12-03,行业跟踪报告：建筑PMI持续提升 基建投资有望回升,新浪
109,2021-12-03,12月3日午盘主力巨资抢筹四大板块(附股),金融界
110,2021-12-03,12月3日早盘主力巨资抢筹四大板块(附股),金融界
111,2021-12-03,中国能建子公司签署152亿海上风电合同，基建50ETF（516970）成交活跃,资本邦
112,2021-12-03,中国能建拿下152亿元订单,上证报
113,2021-12-02,建筑装饰行业2022年度策略：绿色引领发展 龙头变革突围,新浪
114,2021-12-02,中国能建葛洲坝与粤港澳大湾区同频共振 南沙金融岛建设发展开启新篇章,每日经济新闻
115,2021-12-02,中国能建子公司签署海上风电场项目EPC总承包工程合同,上证报
116,2021-12-02,【晚间公告抢先看】方正证券拟出售25.21亿元参股公司股权、中国能建子公司签署152.2亿元海上风电场等项目,金融界
117,2021-12-02,中国能建(601868.SH)：子公司签署合计约152.2亿元的EPC总承包工程合同,格隆汇
118,2021-12-02,中国能建：子公司签署152.2亿元海上风电场等项目,财联社
119,2021-12-02,中国能建：子公司签署152.2亿元海上风电场等项目,Wind
120,2021-12-02,融入南沙新时代，国际金融论坛(IFF)永久会址国际会议中心封顶仪式圆满完成,财经网
121,2021-12-02,中国能建3996｜附属获海上风电场项目EPC合同 | 头条金融网,头条日报
122,2021-12-02,中国能建50亿布局氢能，基建50ETF（516970）本周强势上涨4%以上,资本邦
123,2021-12-01,拥抱“新能源+”系列研究之五：赋能、节能、产能 建筑工程行业三层次助力新能源+,新浪
124,2021-12-01,氢能源板块走强，政策催化叠加企业布局，降本促进产业正循环,财联社
125,2021-12-01,80MW！中国能建安徽电建二公司承建的安徽凤阳总铺渔光互补项目并网发电,国际电力网
126,2021-12-01,中国能建江苏电建三公司承建的连云港灌云洋桥光伏配套送出工程投运,国际电力网
127,2021-12-01,【能源保供看央企】中国能建基层在行动－国务院国有资产监督管理委员会,国资委
128,2021-11-30,建筑行业周报：关注中国能建投资设立氢能源及数字科技公司,新浪
129,2021-11-30,又一家央企入局氢能！中国能建50亿氢能公司落地北京大兴,Ofweek
130,2021-11-30,助力湖北乡村振兴，中国能建葛洲坝与中国农业发展银行湖北省分行共商合作,中国水泥网
131,2021-11-30,氢能风口真的来了！这家千亿“中字头”沾氢连涨，主力资金和北向布局哪些票？,财联社
