,2021-12-31,又一央企搬离北京！全球最大造船集团总部迁往上海，员工今起已在新址办公,华夏时报
0,2021-12-31,北船重工升级并正式脱离武船集团“回归”青岛,国际船舶
1,2021-12-30,国防军工行业：中国船舶集团国企改革三年行动系列报告一：柴油机业务整合 风电资产注入,光大证券
2,2021-12-30,中船科技重大资产重组停牌，购买5家公司股权“跑步”进入风电市场,华夏能源网
3,2021-12-30,早知道·财讯热搜榜TOP10（12月30日）,新华网
4,2021-12-30,中国船舶：子公司收到政府补助5152万元,我的钢铁
5,2021-12-30,中船系旗下公司整合提速,深圳商报
6,2021-12-30,中国船舶集团旗下资产整合提速 涉3家A股公司风电柴油机两大板块,长江商报
7,2021-12-30,中国船舶集团加速旗下资产整合 中国动力与中船科技各有打法,上证报
8,2021-12-30,“中国神船”整合破冰 旗下上市公司率先拉开重组序幕,证券日报
9,2021-12-29,中国造船业再传捷报！首艘全球最大24000TEU集装箱船出坞下水,国际船舶
10,2021-12-29,“中国神船”整合风电资产：“当家花旦”终要亮相A股？,21世纪经济报道
11,2021-12-29,掘金海上风电！中船集团加速风电、动力资产整合，旗下8家上市公司股价上涨,21世纪经济报道
12,2021-12-29,【明日主题前瞻】未来能源的重要组成部分 核电建设加速,财联社
13,2021-12-29,重磅!“中国神船”又来大动作,格隆汇
14,2021-12-29,涨停复盘 | 医疗股逆势上涨 九安医疗13天10板,第一财经
15,2021-12-29,三家关联公司齐发公告，“中国神船”推进旗下资产整合,环球老虎财经
16,2021-12-29,中国船舶(600150.SH)：下属子公司12月16日至12月28日收到与收益相关的政府补助5152.70万元,格隆汇
17,2021-12-29,中国船舶(600150.SH)子公司收到政府补助5152.7万元,智通财经
18,2021-12-29,股市动态 | A股全年成交金额创纪录！三羊马复牌收获17连板，白酒又崩了,财经网
19,2021-12-29,中国首制全球最大型集装箱船在沪东中华出坞,新民网
20,2021-12-29,中国船舶：重组为解决同业竞争问题 业务本身不会改变丨公司问答,第一财经
21,2021-12-29,中国首制全球最大24000TEU集装箱船顺利出坞,Wind
22,2021-12-29,收评：两市午后低位盘整沪指失守3600点 白酒概念表现萎靡,新浪
23,2021-12-29,巨亏50%减持，这家险资回应了。自曝销售数据，7倍新冠牛股再涨停，两月22个板。“中国神船”新动作，概念股冲高 重大损失,证券时报
24,2021-12-29,新冠自检概念股两个月暴涨逾7倍，机构关注度排名,证券时报网
25,2021-12-29,中国海装要上市了！中船科技拟购买其100%股权,索比光伏网
26,2021-12-29,午评：A股全年成交额创历史记录 两市早盘震荡走低创指跌逾1%,新浪
27,2021-12-29,又要产生一个西仪股份？中国船舶大动作，涉及3家A股公司,证券之星
28,2021-12-29,中船旗下资产整合，涉两大业务！中国动力股价高开,中新经纬
29,2021-12-29,哪家央企布局氢能最“激进”？,中国能源网china5e
30,2021-12-29,A股异动 | 中国动力(600482.SH)一度大涨约8% 拟与中船工业集团、中国船舶共同投资组建合资公司,格隆汇
31,2021-12-29,中船旗下资产整合提速，相关概念股应声大涨,第一财经
32,2021-12-29,涉两大业务！中国船舶集团旗下上市公司资产整合,国际船舶
33,2021-12-29,早评：沪指高开0.02% 军工、养殖板块领涨,网易
34,2021-12-29,A股三大指数涨跌不一：沪指微涨0.02% 中船系领涨两市,凤凰网
35,2021-12-29,中国船舶筹划对外投资暨关联交易,电鳗快报
36,2021-12-29,A股异动 | 中国动力涨9% 拟与中船工业集团、中国船舶共同组建合资公司,格隆汇
37,2021-12-29,A股指数开盘涨跌不一沪指微涨 中船系领涨两市,财华社
38,2021-12-29,中国船舶集团旗下资产整合提速！涉及这两大板块,上证报
39,2021-12-29,“中国神船”大动作，推进旗下资产整合，涉及3家A股公司,Wind
40,2021-12-29,重磅！“中国神船”大动作，推进旗下资产整合，涉及3家A股公司,中证报
41,2021-12-29,盘前必读丨易纲发声释放重磅信号，千亿量化巨头幻方公开致歉,第一财经
42,2021-12-29,中船旗下资产整合 事涉风电与柴油机两大业务,全景网
43,2021-12-28,晚间要闻2021年12月28日星期二,Wind
44,2021-12-28,中国动力(600482.SH)筹划与中船工业集团、中国船舶共设合资公司以规范同业竞争,智通财经
45,2021-12-28,中国动力：拟与中船工业集团等共同组建合资公司,e公司
46,2021-12-28,中国动力：拟与中船工业集团、中国船舶共同投资组建合资公司,财联社
47,2021-12-28,中国船舶：拟与中船工业集团、中国动力共同投资组建合资公司,Wind
48,2021-12-28,中国船舶集团七一一所成功签订低速抱轴变频轴发系统批量订单,e公司
49,2021-12-27,斥资200亿！中国海洋工程装备技术“国家队”来了，中船携手“三桶油”等十巨头组建海工平台,华夏时报
50,2021-12-27,央企总部加速离京背后：留在北京的重要性显著下降,新浪
51,2021-12-27,出资200亿！“三桶油”等10家企业，共同组建巨无霸新公司！,润滑油信息网
