,2021-12-31,"建业地产与中国铁建地产签约,将在代建、装配式建筑等领域合作",金融界
0,2021-12-30,2021年度央企十大超级工程重磅揭晓！,国资委
1,2021-12-29,中国铁建：公司在工程施工业务中涉及停车场建设 所以有部分充电桩的业务,每日经济新闻
2,2021-12-29,中国北方最大海上风电项目全容量并网发电,中新网
3,2021-12-29,瑞银：重申中国铁建(01186)“买入”评级 目标价7.7港元,智通财经
4,2021-12-29,中国铁建：公司有部分充电桩的业务,Wind
5,2021-12-29,中国铁建：公司目前无元宇宙业务,每日经济新闻
6,2021-12-29,【券商聚焦】瑞银重申中国铁建(01186)买入评级 指估值吸引料明年业绩将有弹性增长,和讯
7,2021-12-28,中国铁建确定20亿元公司债券票面利率最低为3.17%,乐居财经
8,2021-12-28,中国铁建(01186.HK)2021年公司债券第四期品种一首个周期票面利率为3.17%,格隆汇
9,2021-12-28,中国铁建(01186)：2021年可续期公司债券(第四期)品种一首个周期票面利率为3.17%,智通财经
10,2021-12-28,港股盘前必读：快手与美团宣布达成互联互通战略合作,Wind
11,2021-12-27,中国铁建(01186.HK)拟发行不超20亿元可续期公司债,格隆汇
12,2021-12-27,中国铁建中标三个项目，投资总额超200亿元,Wind
13,2021-12-27,中国铁建中标三个项目 投资总额超200亿元,e公司
14,2021-12-27,中国铁建竞得都江堰240亩土地 涉及科创及旅游产业,观点地产网
15,2021-12-27,中国铁建地产南京片区贯彻国企党建工作会议： 致力于为“人民对美好生活的向往”,凤凰网
16,2021-12-27,中国铁建地产华东公司南京片区：把好南京花语江南府二期交付前最后一道关口,凤凰网
17,2021-12-27,"中诚信：中国铁建主体信用等级为AAA,评级展望为稳定",乐居财经
18,2021-12-27,中国铁建拟发行20亿元公司债券，用于补充流动资金,乐居财经
19,2021-12-26,2022年Q1还有春季躁动行情吗？,王杨一东吴策略
20,2021-12-24,建筑行业研究与投资策略：看好估值修复与“建筑+”龙头成长性,新浪
21,2021-12-24,中国铁建200亿元ABS获上交所受理,乐居财经
22,2021-12-24,高铁建设持续提速，低估值的高铁概念股名单出炉,Wind
23,2021-12-23,中国铁建：公司在装配式建筑具有完整的全套资质,Wind
24,2021-12-22,中国铁建联合武汉交通工程等于武汉新成立公路管理公司，注册资本1亿元,乐居财经
25,2021-12-22,快讯丨中国铁建地产拟转让与万科合作项目南京花语熙岸府项目公司 底价326.41万元,财经网
26,2021-12-22,中国铁建转让南京京盛地产13%股权，底价326.41万元,乐居财经
27,2021-12-21,中国铁建(01186)选举赵伟为监事会主席,智通财经
28,2021-12-21,中国铁建(01186.HK)选举汪建平为董事长,格隆汇
