,2021-12-31,华联股份：公司暂无重组计划,Wind
0,2021-12-31,56家央企控股上市公司齐踩油门 27份股权激励实施方案落地开花,上证报
1,2021-12-28,【异动股】中国铝业(02600.HK)跌3.1%,财华社
2,2021-12-28,A股融资融券日报：两融余额增加29.17亿元（12月27日）,Wind
3,2021-12-27,中铝集团：构建全要素对标管理新模式 推动对标提升行动做真做实做深,中国机经网
4,2021-12-27,中国铝业：公司没有铝深加工产品，并不直接向新能源产业供货,每日经济新闻
5,2021-12-27,中国铝业：目前公司不直接从事稀土的生产与销售,Wind
6,2021-12-27,融资客青睐8股，开普云买入占比高达47.61%,Wind
7,2021-12-27,A股融资融券日报：两融余额减少95.83亿元（12月24日）,Wind
8,2021-12-27,云铝股份“豪华定增团”现神秘自然人,Wind
9,2021-12-26,晚间重要公告2021年12月26日星期日,Wind
10,2021-12-26,云铝股份披露定增结果：中国铝业获配近3.2亿元,财联社
11,2021-12-25,中国铝业(02600.HK)高开约3.5%,钢企网
12,2021-12-24,外围大涨但A股铝板块全线下跌！众多小散追高“站岗”，铝板块后市机会如何？,21世纪经济报道
13,2021-12-24,【异动股】中国铝业(02600.HK)跌3.25%,财华社
14,2021-12-24,融资客青睐14股，三旺通信买入占比高达56.58%,Wind
15,2021-12-24,A股融资融券日报：两融余额增加19.59亿元（12月23日）,Wind
16,2021-12-24,每日理财观察：A股明年机会在哪？两大基金策略出炉,Wind
17,2021-12-24,“铝茅”涨停！除了参股稀土集团，铝行业发生了大事,Wind
18,2021-12-24,港股盘前必读：腾讯控股向股东派发4.57亿股京东股份作为中期股息,Wind
19,2021-12-24,铝板块涨幅居前，美国铝业涨1.3%，中国铝业涨5.37%,新浪
20,2021-12-23,金融街下午茶2021年12月23日星期四,Wind
21,2021-12-23,恒指收涨0.4%录得三连涨，有色、能源、电力股领涨,Wind
22,2021-12-23,A股收盘综述：市场资金涌入电力、白酒、光伏股！中国铝业巨量封涨停,Wind
23,2021-12-23,中国铝业A股尾盘再度涨停，主力净流入18亿元,Wind
24,2021-12-23,铝价上涨，港A铝概念股集体走强：中国宏桥涨超9%，中国铝业涨超8%,格隆汇
25,2021-12-23,解盘：资金持续流入，电力、汽配、金属、新能源领涨,Wind
26,2021-12-23,A股午盘综述：电力股火了、光伏股强劲复苏，大唐发电太阳能等纷纷上板,Wind
27,2021-12-23,港股扫描 | 腾讯三日累涨近8%；有色金属板块表现强势，中国铝业涨超11%,富途证券
28,2021-12-23,中国铝业涨超7%，300增强ETF（561300）盘中净流入超2400万元，涨超0.2%,资本邦
29,2021-12-23,【AH互动】中国铝业(02600)AH股齐走强 中国稀土集团成立,和讯
30,2021-12-23,中国铝业A股一度触及涨停，主力净流入超14亿元,Wind
31,2021-12-23,中国铝业首板，中国稀土集团有限公司正式成立,Wind
32,2021-12-23,快讯：中国铝业A股涨超7%H股涨超10% 中国稀土集团有限公司正式成立,新浪
33,2021-12-23,【行情】港股稀土永磁板块持续走高，五矿资源涨超10%，中国铝业涨超8%，江西铜业涨超3%,金十数据
34,2021-12-23,【异动股】中国铝业(02600.HK)涨6.37%,财华社
35,2021-12-23,港股异动 | 中国铝业(02600)急升逾6% 中国稀土集团有限公司正式成立 中铝集团持股20.33%,智通财经
36,2021-12-23,稀土永磁概念股走强，中国铝业涨超3%,Wind
37,2021-12-23,A股融资融券日报：两融余额增加24.04亿元（12月22日）,Wind
38,2021-12-23,万亿赛道沸腾！2大巨头资产战略重组，影响多大？,Wind
39,2021-12-23,“双碳”愿景引领长线布局，多行业或迎价值重塑,Wind
40,2021-12-22,五矿稀土：中铝集团、中国五矿等进行相关稀土资产战略性重组,Wind
41,2021-12-22,中国铝业拟参与设立中铝绿色低碳基金，总规模60亿,投资界
42,2021-12-22,中国铝业：拟向激励对象1192人授予限制性股票1.41亿股,每日经济新闻
43,2021-12-22,中国铝业：对控股子公司担保余额为204.53亿元 大额借贷担保,每日经济新闻
44,2021-12-22,【港股通】中国铝业(02600)高开3.12% 拟斥资10.2亿元参股成立绿色低碳发展基金,和讯
45,2021-12-22,A股早报2021年12月22日星期三,Wind
46,2021-12-22,A股融资融券日报：两融余额减少7.19亿元（12月21日）,Wind
47,2021-12-21,【行情】美股铝板块集体上扬，美国铝业(AA.N)、世纪铝业(CENX.O)涨近5%，凯撒铝业(KALU.N)涨4.65%，中国铝业(ACH.N)涨超4%,金十数据
48,2021-12-21,中国铝业：根据激励计划向关连激励对象授予A股限制性股票,Wind
49,2021-12-21,中国铝业(02600.HK)建议采纳A股限制性股票激励计划,格隆汇
50,2021-12-21,中国铝业(02600)拟与农银资本等7家公司成立新基金,智通财经
51,2021-12-21,中国铝业：拟设立基金,Wind
52,2021-12-21,中国铝业(02600.HK)：委任林妮为股东代表监事,格隆汇
53,2021-12-21,中国铝业(02600)：余劲松获任发展规划委员会委员,智通财经
54,2021-12-21,中国铝业(02600)：中铝物流拟为中部陆港提供担保 大额借贷担保,智通财经
55,2021-12-21,中国铝业(601600.SH)拟斥资10.2亿元参设中铝绿色低碳基金,智通财经
