,2021-12-31,"券商12月金股组合""战绩""：川财证券9.26%夺冠 东吴最差",新浪
0,2021-12-31,35股今日获机构买入评级,证券时报网
1,2021-12-30,【银河汽车李泽晗/杨策】行业动态 2021.12丨芯片供应改善延续，助力产销环比提升,中国银河证券研究
2,2021-12-29,*ST雅博：公司股票停牌4个交易日，并于2022年1月6日复牌,Wind
3,2021-12-28,中国银河：与银河金控已订立新框架协议,Wind
4,2021-12-28,中国银河：签订《证券及金融服务框架协议》,Wind
5,2021-12-28,“真香”引发“真卷”！可转债打新户数破1100万,Wind
6,2021-12-28,华创固收2022年可转债年度策略报告：“局促”环境下的应对,Wind
7,2021-12-27,云铝股份“豪华定增团”现神秘自然人,Wind
8,2021-12-27,【安信非银第38期周报】养老保险机构聚焦主业，境外上市制度完善,新角度新金融
9,2021-12-24,中国银河长春某营业部收警示函 客户经理委托他人揽客 金融监管处罚,中国经济网
10,2021-12-24,对员工客户招揽活动管理不到位 中国银河证券股份有限公司一营业部收警示函 金融监管处罚,新浪
11,2021-12-24,银河金融控股李梅即将就职建银投资,Wind
12,2021-12-23,中国银河(06881)拟续展证券及金融服务框架协议,智通财经
13,2021-12-23,中国银河(06881.HK)委任吴嘉雯为公司秘书及授权代表,格隆汇
14,2021-12-23,中国银河：第四届董事会第四次会议通过更改公司秘书、授权代表的议案,Wind
15,2021-12-23,中国银河：公司与银河金控拟12月31日前签订《证券及金融服务框架协议》,Wind
16,2021-12-23,中国银河专业交易策略公开赛11月榜单出炉,腾讯网
17,2021-12-22,天康生物(002100.SZ)20.67亿的定增出炉：嘉实基金、广发基金、中国银河及财通基金等参投,格隆汇
18,2021-12-21,12月21日深市创业板活跃股公开信息,深交所
19,2021-12-20,中国银河完成发行39.95亿元公司债券,智通财经
20,2021-12-20,中国银河：2021年公司债券（第六期）非公开发行完毕,Wind
21,2021-12-20,中国银河最新公告：完成发行39.95亿元公司债券(第六期),证券之星
22,2021-12-20,中国银河(601881.SH)完成发行39.95亿元非公开发行债券,智通财经
23,2021-12-16,中国银河(601881.SH)：完成发行20亿元短期融资券,格隆汇
24,2021-12-16,中国银河：2021年度第九期短期融资券兑付完成，本息合计超20亿元,Wind
25,2021-12-16,中国银河：2021年度第十六期短期融资券发行完成,Wind
26,2021-12-16,中国银河(601881.SH)完成发行20亿元2021年度第十六期短期融资券,智通财经
27,2021-12-15,中国银河(601881.SH)：完成兑付本息20.12亿元短期融资券,格隆汇
28,2021-12-15,中国银河(601881.SH)完成兑付2021年度第九期短期融资券本息20.12亿元,智通财经
29,2021-12-09,中国银河(06881)完成发行30亿元2021年度第十五期短期融资券,智通财经
30,2021-12-09,中国银河：2021年度第十五期短期融资券发行完毕,Wind
31,2021-12-09,中国银河(601881.SH)完成发行30亿元短期融资券,智通财经
32,2021-12-09,三维通信股份有限公司非公开发行股票新增股份变动报告及上市公告书（摘要）,证券时报
33,2021-12-08,中国银河6881｜完成发行30亿人币短期融资券 利率2.7% | 头条金融网,头条日报
34,2021-12-07,中国银河：申请开展账户管理功能优化试点业务获得中国证监会监管意见书,36氪
35,2021-12-07,中国银河(601881.SH)：银河-联昌证券和银河-联昌控股的首份购买权交易已完成,格隆汇
36,2021-12-07,中国银河：银河国际关于银河-联昌证券和银河-联昌控股的首份购买权项下交易12月7日完成,Wind
37,2021-12-07,中国银河：公司已完成向银河国际增资17.39亿港元,Wind
38,2021-12-07,中国银河：证监会对公司申请开展账户管理功能优化试点业务相关事项无异议,Wind
39,2021-12-03,证监会同意开展证券公司账户管理功能优化试点,Wind
40,2021-12-01,中国银河证券量化股债混合稳健收益指数上线Wind金融终端,Wind
41,2021-11-30,3200亿医药巨头被监管，影响多大？,Wind
42,2021-11-29,券商行业周报(2021年第四十四期)：公募基金再迎新产品线 把握创新优势促进业务转型,新浪
43,2021-11-26,中国银河最新公告：完成兑付本息40.21亿元短期融资券,证券之星
44,2021-11-26,【港股通】中国银河(06881)完成兑付第八期短期融资券,和讯
45,2021-11-26,中国银河：2021年度第八期短期融资券兑付完成,Wind
46,2021-11-26,中国银河(601881.SH)2021年度第八期短期融资券兑付完成,智通财经
47,2021-11-26,银河证券温州大南路营业部合规风控不到位，浙江证监局对其采取责令改正措施 金融监管处罚,和讯
48,2021-11-25,中国银河(06881.HK)完成兑付40亿元短期融资券,格隆汇
49,2021-11-25,中国银河温州某营业部违规被责令改正 员工代客交易等 其他违规处罚,中国经济网
50,2021-11-22,11月22日深市创业板活跃股公开信息,深交所
51,2021-11-22,中国银河：60亿元公司债券非公开发行完毕,Wind
52,2021-11-22,中国银河(601881.SH)完成发行60亿元2021年公司债券(第五期),智通财经
53,2021-11-19,券业总资产突破10万亿，自营牢占第一收入，4家券商前三季度净利跨过百亿门槛，行业大年仍有一成亏损 亏损,财联社
54,2021-11-18,机构扎堆定增“黄金坑”，60家公司收益已翻倍！,Wind
55,2021-11-18,中国银河：40亿元短期融资券发行完毕,Wind
56,2021-11-18,中国银河(601881.SH)：完成发行40亿元短期融资券,格隆汇
57,2021-11-18,中国银河(601881.SH)完成发行40亿元2021年度第十四期短期融资券,智通财经
58,2021-11-18,融资客青睐10股，路德环境买入占比高达47.51%,Wind
59,2021-11-18,关于同意中国银河证券股份有限公司为平安交易型货币市场基金提供主做市服务的公告,上交所
60,2021-11-16,【银河碳中和严明/王婷/潘玮】行业周报丨深入打好污染防治攻坚战，推动经济社会绿色转型,中国银河证券研究
61,2021-11-16,A50ETF上市以来成交超500亿元,Wind
62,2021-11-15,11月15日深市创业板活跃股公开信息,深交所
63,2021-11-12,11月12日深市大宗交易信息,深交所
64,2021-11-12,中青宝“元宇宙”迷局： 机构、游资、散户混战，公司并无VR相关专利,Wind
65,2021-11-11,中国银河(601881.SH)完成发行34亿元2021年度第十三期短期融资券,智通财经
66,2021-11-11,中国银河(601881.SH)：完成发行34亿元短期融资券,格隆汇
67,2021-11-11,开市倒计时！10家精选层公司将登陆北交所，概念股拉升,第一财经
68,2021-11-10,【港股通】中国银河(06881)完成第七期短期融资券兑付,和讯
69,2021-11-10,中国银河(601881.SH)完成兑付40亿元2021年度第七期短期融资券,智通财经
70,2021-11-10,中国银河：2021年度第七期短期融资券兑付完成,Wind
71,2021-11-10,【银河汽车李泽晗/杨策】行业点评丨芯片供应改善助力10月产销环比回升，高基数影响下零售同比下滑,中国银河证券研究
72,2021-11-10,【银河碳中和严明/王婷/潘玮】行业周报丨煤炭供需形势明显好转，电厂存煤达到常年正常水平,中国银河证券研究
73,2021-11-10,巨头大动作！疯狂套现美团超150亿，刚又减持400亿小巨人… 减持股份,Wind
74,2021-11-09,中国银河(601881.SH)：完成兑付本息40.21亿元短期融资券,格隆汇
75,2021-11-09,中国银河(06881.HK)完成兑付40亿元短期融资券,格隆汇
76,2021-11-09,非银金融行业周报：北交所预备开市 中小券商“弯道超车”机会来临,新浪
77,2021-11-08,非银金融行业周报：保险中介准入新规落地 北交所上市规则正式发布,光大证券
78,2021-11-05,快讯：证券板块异动拉升 中国银河涨近4%,新浪
79,2021-11-05,【行情】证券板块异动拉升，中国银河涨近4%，广发证券、锦龙股份、申万宏源跟涨,金十数据
80,2021-11-04,中国银河证券股份有限公司 关于公开发行A股可转换公司债券 获得中国证监会行政许可申请 受理的公告,证券时报
81,2021-11-04,投行观察第16期：10月券商承销规模同比下降近3成,时代周报
82,2021-11-03,中国银河(06881)公开发行A股可转债获中国证监会行政许可申请受理,智通财经
83,2021-11-03,中国银河：公开发行A股可转换公司债券获得证监会行政许可申请受理,Wind
84,2021-11-03,中国银河(601881.SH)：发行A股可转债申请获证监会受理,格隆汇
85,2021-11-02,中国银河(06881)完成发行40亿元利率2.75%的短期融资券,智通财经
86,2021-11-02,中国银河：40亿元短期融资券发行完毕,Wind
87,2021-11-02,中国银河前三季营收增44%净利增31%,中国经济网
88,2021-11-02,牛市旗手三季度狂揽近5000亿，却有券商股民亏钱求放过：跌一下也行，别耗着 亏损,证券之星
89,2021-11-02,上市券商佣金入账近2000亿，大财富管理贡献显著,Wind
90,2021-11-01,最牛“黑马”20cm涨停，杠杆资金加仓这些概念股,Wind
91,2021-11-01,赚翻了！4家券商净利超百亿，但6成券商投行收入下滑|财星球 盈利能力下降,新浪
92,2021-11-01,【港股通】中国银河(06881)涨4.04% 前三季度净利润同比增加30.97%,和讯
93,2021-11-01,图解中国银河三季报：第三季度单季净利润同比增49.93%,证券之星
94,2021-11-01,巨丰投顾：市场短期将摆脱估值压制,新浪
95,2021-11-01,解盘：人气回升，新能源、充电桩、网络游戏、苹果领涨,Wind
96,2021-11-01,北交所开市在即，券商股异动，新三板业务能力哪家强？,第一财经
97,2021-11-01,券商三季报：前十大公司营收近3000亿元，中信证券暴赚176.45亿元,资本邦
98,2021-11-01,券商板块异动拉升，申万宏源、中国银河、湘财股份涨超5％,金融界
99,2021-11-01,快讯：券商板块异动拉升 中国银河涨超8%,新浪
100,2021-11-01,【行情】券商板块异动拉升，申万宏源、中国银河、湘财股份涨超5%，长城证券、中原证券、第一创业、东兴证券、浙商证券跟涨,金十数据
101,2021-10-31,【中信建投 非银&金融科技】周报：北交所开业在即，券商业绩持续向好,中信建投非银金融研究
102,2021-10-31,证券21Q3综述：经纪业务高增长净利润增速略有放缓,新浪
103,2021-10-31,赚翻了！上市券商业绩排名正式出炉，超七成正增长，这4家券商狂赚过百亿,券商中国
104,2021-10-30,赚翻了！38家上市券商三季度成绩单揭晓！中信证券再夺第一,Wind
105,2021-10-30,赚翻了！38家上市券商三季度成绩单揭晓！中信证券再夺第一,中证报
106,2021-10-30,47家上市券商三季报出齐：4家净利超百亿，上年同期仅1家，中信营收逼近600亿，详看五大业务全排名,财联社
107,2021-10-30,超七成券商前三季实现净利润增长,中证报
108,2021-10-29,中国银河(06881)前三季度归母净利润同比增加30.97%至74.01亿元,智通财经
109,2021-10-29,中国银河：前三季度净利润同比增长30.97%,Wind
110,2021-10-29,中国银河公布三季报 前三季净利增加30.97%,新浪
111,2021-10-29,中国银河：公司执行委员会委员、董事会秘书吴承明离任 董监高成员变化,每日经济新闻
112,2021-10-29,中国银河：聘任薛军担任公司副总裁、执委会委员、财务负责人,中证网
113,2021-10-29,中国银河(06881.HK)：薛军获委任为副总裁,格隆汇
114,2021-10-29,中国银河：变更部分高级管理层成员,Wind
115,2021-10-29,中国银河：董事会会议通过《关于提请审议梁世鹏兼任公司首席风险官的议案》,Wind
116,2021-10-29,中国银河：第三季度净利润31.46亿元 同比增长49.93%,财联社
117,2021-10-29,中国银河：前三季度净利润74亿元同比增长30.97%,Wind
118,2021-10-27,去年以来21家券商斥122亿元参与同行定增 多家出手阔绰买成前十大股东,证券日报
119,2021-10-26,【银河汽车李泽晗/杨策】公司点评丨拓普集团 (601689)：新能源客户订单持续放量+毛利率环比改善提振Q3业绩，全年表现可期,中国银河证券研究
120,2021-10-26,不止华夏基金捧场，银河、中信、申万宏源、光大同加持，东兴证券45亿定增落地，银河与中信列前十股东,财联社
121,2021-10-25,4家券商合计斥资12亿元“入股”东兴证券 银河、中信跻身前十大股东,证券日报网
122,2021-10-25,银河资产助巴安水务化解债券违约风险 债券兑付风险警示公告,中国金融新闻网
123,2021-10-21,中国银河资产与巴安水务签订《债务重组合同》《债券摘牌合同》 助推上市公司实质性重组,中证网
124,2021-10-20,中国银河(06881.HK)完成发行60亿元公司债券,格隆汇
125,2021-10-20,中国银河：股东大会授权董事会发行债务融资工具,Wind
126,2021-10-20,中国银河(601881.SH)：完成非公开发行60亿元的2021年公司债券(第四期),格隆汇
127,2021-10-20,中国银河：非公开发行2021年公司债券（第四期）结束,Wind
128,2021-10-19,中国银河(06881)选举屈艳萍为监事会监事,智通财经
129,2021-10-19,中国银河：屈艳萍女士获选举为公司第四届监事会监事,Wind
130,2021-10-19,中国银河(06881)调整监事会履职监督检查委员会人员组成,智通财经
131,2021-10-19,中国银河：第四届监事会2021年第三次临时会议审议通过两项议案,Wind
132,2021-10-19,中国银河(06881.HK)10月29日董事会考虑及批准前三季度业绩,格隆汇
133,2021-10-19,中国银河：将于10月29日举行董事会会议,Wind
134,2021-10-18,ST安控(300370.SZ)：确认预重整投资人 为创益产投、中国银河资产及高新投组成的联合体,格隆汇
135,2021-10-18,6家券商合计斥资约19亿元“入股”国联证券 银河、光大、中金跻身前十大股东,证券日报网
136,2021-10-18,国联证券(601456.SH)披露A股定增结果：财通基金获配额约9.58亿元、中国银河、诺德基金及光大证券等等参投,格隆汇
137,2021-10-15,中国银河(06881.HK)完成发行30亿元短期融资券,格隆汇
138,2021-10-15,中国银河：2021年度第十一期短期融资券发行完毕,Wind
139,2021-10-15,BlackRock Inc.增持中国银河股份约480.70万股,每日经济新闻
140,2021-10-14,中国银河(601881.SH)完成兑付40亿元短期融资券,智通财经
141,2021-10-14,中国银河：2021年度第六期短期融资券兑付完成,Wind
142,2021-10-12,中国银河：变更公司的注册地址,Wind
143,2021-10-12,两家上市券商拟发可转债180亿元 年内13家券商抛出不超1463亿元再融资方案,证券日报
144,2021-10-08,【银河汽车李泽晗/杨策】行业动态 2021.9丨8月销量受缺芯冲击，新能源渗透率加速提升至17.1%,中国银河证券研究
145,2021-09-30,中国银河证券股份有限公司 2021年第三季度报告,证券日报
146,2021-09-29,中国银河：订于10月19日举行2021年第一次临时股东大会,Wind
147,2021-09-29,中国银河：10月19日召开2021年第一次临时股东大会,Wind
148,2021-09-28,中国银河：完成2021年公司债券（第三期）发行，规模为35亿元,Wind
149,2021-09-28,中国银河(06881.HK)：提名屈艳萍为监事候选人,格隆汇
150,2021-09-28,中国银河：提名屈艳萍为监事,Wind
151,2021-09-28,中国银河：提名屈艳萍为第四届监事会监事候选人,Wind
152,2021-09-28,中国银河(601881.SH)：完成非公开发行35亿元的公司债券,格隆汇
153,2021-09-28,中国银河(06881.HK)完成发行20亿人民币短期融资券,财华社
154,2021-09-27,中国银河：完成2021年度第十期短期融资券发行,Wind
155,2021-09-27,中国银河(601881.SH)：完成发行20亿元短期融资券,格隆汇
156,2021-09-27,中国银河在港交所公告，拟暂停办理H股股份过户登记手续,Wind
157,2021-09-25,精选层企业股东扫描 券商占据“半壁江山”,金融投资报
158,2021-09-22,海康威视跌3.61% 申银万国中国银河高点唱多,中国经济网
159,2021-09-17,中国银河(06881)完成兑付40亿元2021年度第五期短期融资券,智通财经
160,2021-09-17,中国银河(601881.SH)完成兑付短期融资券本息共计40.22亿元,智通财经
161,2021-09-16,中国银河(601881.SH)：完成发行20亿元短期融资券,格隆汇
162,2021-09-16,中国银河：申请执行案件进展,Wind
163,2021-09-16,中国银河：公告2021年度第九期短期融资券发行完毕,Wind
164,2021-09-16,中国银河(06881.HK)完成发行20亿元短期融资券,格隆汇
165,2021-09-15,中国银河(601881.SH)：完成非公开发行2021年公司债券(第二期),格隆汇
166,2021-09-15,中国银河(601881.SH)完成发行45.05亿元公司债券(第二期),智通财经
167,2021-09-15,中国银河(06881.HK)近日收到法院划扣被执行人名下款项合计9818.7万元 资产查封,格隆汇
168,2021-09-15,中国银河(06881.HK)完成发行45.05亿元公司债券,格隆汇
169,2021-09-15,中国银河：2021年公司债券（第二期）非公开发行完毕,Wind
170,2021-09-11,牛市的味道！两融余额创6年来新高，三大板块融资买入最多,Wind
171,2021-09-09,军工股再度拉升 中国银河：一个非常好的赛道,证券之星
172,2021-09-07,中国银河：拟于9月16日召开2021年半年度业绩说明会,Wind
173,2021-09-07,中国银河：9月16日召开2021年半年度业绩说明会,Wind
174,2021-09-04,中国银河金控董事长李梅：金融科技助力赋能，服务实体经济提质增效,金融界
175,2021-09-03,解盘：白马撑大盘，风电、生物育种、白酒、仿制药略涨,Wind
176,2021-09-03,北京证券交易所要来了，这些板块及个股或成大赢家,第一财经
177,2021-09-03,上证指数高开0.16%，创业板指涨0.37%,Wind
178,2021-09-03,精选层企业股东扫描，券商占据“半壁江山”,Wind
179,2021-09-02,海通证券：维持中国银河(601881.SH)“优大于市”评级 价值区间13.15-14.8元,智通财经
180,2021-09-01,券商财富管理转型大比拼：经纪业务收入贡献下滑，金融产品代销突飞猛进,Wind
181,2021-08-31,银河证券中期净利润同比增长近两成 财富管理与国际业务成最大亮点,每日经济新闻
182,2021-08-31,中国银河上半年投行营收下降 员工薪酬福利总额降25% 盈利能力下降,中国经济网
183,2021-08-31,中国银河上半年营收151亿元，财富管理业务转型成果显着,资本邦
184,2021-08-31,星帅尔：中国银河证券股份有限公司、泰康资产管理有限责任公司等4家机构于8月27日调研我司,证券之星
185,2021-08-31,一图读懂中国银河2021年中报,证券之星
186,2021-08-31,中国银河证券股份有限公司公开发行A股可转换公司债券预案（下转D47版）,证券日报
187,2021-08-30,中国银河(06881.HK)上半年归母净利42.55亿元 同比增长19.77%,格隆汇
188,2021-08-30,中国银河(06881)子公司为银河-联昌提供担保上限增至70亿人民币 大额借贷担保,智通财经
189,2021-08-30,中国银河国际化战略加速：海外业务增长近70%成业绩增长“新动能”,证券时报网
190,2021-08-30,中国银河(06881.HK)拟赎回基金份额 所得款项预计5.34亿元,格隆汇
191,2021-08-30,中国银河(06881)拟赎回5亿元货币市场基金份额,智通财经
192,2021-08-30,中国银河：拟通过银河金汇所管理的资产管理计划，赎回其在基金中的全部份额,Wind
193,2021-08-30,中国银河(06881.HK)建议发行A股可转债,格隆汇
194,2021-08-30,中国银河：上半年净利润同比增长19.77%,Wind
195,2021-08-30,中国银河(601881.SH)拟发行可转债募资不超110亿元,智通财经
196,2021-08-30,中国银河(601881.SH)上半年归母净利润同比增19.77%至42.55亿元,智通财经
197,2021-08-30,中国银河(601881.SH)：拟公开发行不超110亿元A股可转债,格隆汇
198,2021-08-30,中国银河：上半年净利同比增19.77% 拟发行可转债募资不超110亿元,财联社
199,2021-08-30,中国银河(601881.SH)半年度净利润42.55亿元 同比增长19.77%,格隆汇
200,2021-08-30,中国银河：公司执行委员会委员、副总裁离任,Wind
201,2021-08-30,中国银河：公司执行委员会委员、首席风险官离任,Wind
202,2021-08-30,中国银河：上半年净利42.5亿元 同比增19.77%,财联社
203,2021-08-30,广发证券跟随东方证券封住跌停板,Wind
204,2021-08-26,中国银河：完成发行40亿元短期融资券,Wind
205,2021-08-26,中国银河(06881.HK)完成发行40亿元短期融资券,格隆汇
206,2021-08-26,【6881】中国银河半年多赚20% 不派息 | 头条金融网,头条日报
207,2021-08-24,【银河消费品零售李昂/甄唯萱】公司点评丨吉宏股份 (002803)：跨境电商及包装业务增长稳健，公司根据市场需求积极调整经营策略,中国银河证券研究
208,2021-08-23,融资客青睐4股，江苏舜天买入占比高达41%,Wind
209,2021-08-20,中国银河(06881.HK)完成兑付40亿元期短期融资券,格隆汇
