,2021-12-31,A股年度“涨停王”出炉，四成交易日均封板,Wind
0,2021-12-31,2021年十大牛股和熊股出炉，最牛股大涨566%,Wind
1,2021-12-31,中国银行宜丰支行被罚 违规办理资本项下资金汇出业务 金融监管处罚,中国经济网
2,2021-12-31,中行南京城东支行：年度跨境贸易结算量突破百亿美元,中国金融新闻网
3,2021-12-31,国君固收：银行转债的投资策略,Wind
4,2021-12-31,中国银行上半年在湖南平均每百营业网点投诉量居国有大型商业银行首位,中国经济网
5,2021-12-31,官方监管评估显示中国银行保险机构公司治理稳中向好,中新网
6,2021-12-31,铁打的银行流动的高管，“年轻时代”走上C位,Wind
7,2021-12-31,全球绿色金融崛起 2022年碳金融、转型金融成新风口,21世纪经济报道
8,2021-12-31,2022年绿债或将跳跃式发展，国际化步伐加快,Wind
9,2021-12-31,21家银行勠力14万亿绿色信贷，7家头部银行占比超七成,Wind
10,2021-12-31,21家银行勠力14万亿绿色信贷 7家头部银行占比超七成,21世纪经济报道
11,2021-12-30,快讯 | 桃李面包：现金管理合计收益372.44万元，继续购买3亿元理财产品,财经网
12,2021-12-30,2021年绿色金融十件大事,和讯
13,2021-12-30,易生支付携手中国银行 探索数字人民币创新应用场景,凤凰网
14,2021-12-30,中国银行：订于2022年2月17日举行临时股东大会,Wind
15,2021-12-30,中国银行：2022年2月17日召开2022年第一次临时股东大会,Wind
16,2021-12-30,中国银行北京市分行积极助力绿色转型发展,中国网
17,2021-12-30,中行菏泽分行依托“公益中国”平台助力乡村振兴,中国金融新闻网
18,2021-12-30,上海黄金交易所第49期行情周报：白银和铂金交易量跌三成,汇通网
19,2021-12-29,同频共振 躬身笃行——云南中行为辐射中心建设注入金融新动能,云南经济日报
20,2021-12-29,上海清算所谢众董事长会见中国银行上海总部常务副总裁、上海市分行行长张守川一行,上清所
21,2021-12-29,云南首笔跨境电商出口海外仓货款收款入账,云南经济日报
22,2021-12-29,中国银行APP 7.0版：科技让服务更有温度,东方网
23,2021-12-29,中行内蒙古分行：发挥全球化优势 助推内蒙古涉外经济高质量发展,中国金融新闻网
24,2021-12-29,ESG助力构建资本市场高质量发展新生态,Wind
25,2021-12-29,近2500个银行网点关停背后：科技、管理人才求贤若渴,Wind
26,2021-12-28,【明日主题前瞻】磷酸铁锂价格创3年来新高 相关电池供给极度紧张,财联社
27,2021-12-28,吉林长龙药业：认购3000万元中国银行理财产品,Wind
28,2021-12-28,吉林长龙药业(08049.HK)认购3000万元中国银行理财产品,格隆汇
29,2021-12-28,韩中11家银行成为明年韩元对人民币直接交易做市商,Wind
30,2021-12-28,不香了！今年一年内近2500个银行网点关停,Wind
31,2021-12-28,银行周榜｜建行、工行、中行“逐鹿”微信榜,中国银行保险报
32,2021-12-28,中国银行江苏5家分支收6张罚单 欺骗投保人等违规 金融监管处罚,中国经济网
33,2021-12-28,深圳中行与中国燃气、华为等机构发布数字人民币硬钱包充电桩应用方案,深圳新闻网
34,2021-12-28,首届“中行杯”碳中和创新创业大赛暨世界低碳城市联盟成立十周年大会在深举办,深圳新闻网
35,2021-12-28,保险代销业务管理严重违反审慎经营规则 中国银行东台支行被罚30万元 金融监管处罚,中国网
36,2021-12-28,中国银行如东支行欺骗投保人被罚款人民币5万元 金融监管处罚,中国网
37,2021-12-28,中国银行大丰支行欺骗投保人 被罚7万元,中国网
38,2021-12-28,中国银行如皋西皋支行业务档案记录不真实 被警告处分罚款1万元,中国网
39,2021-12-28,中国银行如东文峰支行欺骗投保人、业务档案记录不真实 被罚款6万元,中国网
40,2021-12-28,长虹网络科技与中国银行等启动广东省首个数字人民币硬钱包充电桩项目,Wind
41,2021-12-28,长虹网络科技与中国银行等启动广东省首个数字人民币硬钱包充电桩项目,e公司
42,2021-12-28,每日理财观察：新版外资准入负面清单出炉,Wind
43,2021-12-28,港股盘前必读：快手与美团宣布达成互联互通战略合作,Wind
44,2021-12-28,中国银行业的蝶变与荣光,新浪
45,2021-12-27,泸天化(000912.SZ)：拟向中国银行申请开展存款、融资等综合业务,格隆汇
46,2021-12-27,河南中行首笔可再生能源补贴确权贷款落地，涉及金额达2.3亿元,证券时报网
47,2021-12-27,华为与中国银行等开启数字人民币硬钱包充电桩试点,搜狐
48,2021-12-27,中国银行：董事会提名黄秉华先生为本行非执行董事候选人,Wind
49,2021-12-27,中国银行(601988.SH)提名黄秉华为非执行董事候选人,智通财经
50,2021-12-27,银行财眼 | 中国银行一天领6张罚单 5支行合计被罚20万元 金融监管处罚,凤凰网
51,2021-12-27,广东中行个人客户金融资产破万亿元,上证报
52,2021-12-27,涉欺骗投保人等，中国银行连收三张罚单共被罚13万 金融监管处罚,中华网
53,2021-12-27,云南中行：体育+金融 助力全民健身,云南经济日报
54,2021-12-27,中国银行河南省分行首笔可再生能源补贴 确权贷款落地,搜狐
55,2021-12-27,中国银行业管理人才库上线 目前入库合格人选共计580人,北京商报
56,2021-12-27,中行新乡分行以创新产品满足企业融资需求,中国金融新闻网
57,2021-12-27,2021基金业大变局，十大关键词描摹“黄金时代”,Wind
58,2021-12-26,专题：TLAC之下，银行资本工具发行需求有多大？,志明看金融
59,2021-12-26,经济日报：把牢稳中求进总基调,Wind
60,2021-12-24,跨境理财通落地东莞两个月，投资产品交易额破千万,腾讯网
61,2021-12-24,深圳高速公路股份(00548.HK)：中国银行拟向桂林蓝德提供1亿元借款 大额借贷担保,格隆汇
62,2021-12-24,中国银行：监事会通过关于修订《中国银行股份有限公司监事会议事规则》的议案,Wind
63,2021-12-24,中国银行广东省分行县域金融助推乡村振兴加速发展,中投网
64,2021-12-24,港股盘前必读：腾讯控股向股东派发4.57亿股京东股份作为中期股息,Wind
65,2021-12-24,中国银行北京冬（残）奥村支行投入试运营,中国金融新闻网
66,2021-12-24,【财联社时评】鼓励生育不应该用贷款去支持,财联社
67,2021-12-23,海外信用评级汇总2021年12月23日星期四,Wind
68,2021-12-23,大摩：维持中国银行增持评级 目标价4.4港元,新浪
69,2021-12-23,大摩：中国银行(3988.HK)旗下财管业务转型进展佳 维持“增持”评级,格隆汇
70,2021-12-23,为小微企业发展“亮绿灯”！多家银行调整询证函类业务收费标准,《商学院》杂志
71,2021-12-23,中行助力举办2021深圳全球招商大会,中国金融新闻网
72,2021-12-22,今世缘“豪掷”近14亿委托理财 其中一笔房地产信托会踩雷吗？ 投资失误,21世纪经济报道
73,2021-12-22,绿色信贷成绿色金融主力军,北京商报网
74,2021-12-22,六大行全覆盖！中国长城在金融领域交出亮眼成绩单,凤凰网
75,2021-12-22,5家全国性银行APP上线武汉地铁银联乘车码,金融投资报
76,2021-12-22,中行鄂州分行：积极推进“青创贷”助力青年实现创业梦,中国金融新闻网
77,2021-12-22,天首发展：资金缺口暂无法解决,Wind
78,2021-12-22,中国银行广东省分行主动融入新发展格局　中国银行广东省分行：供应链金融助力产业链升级,财富动力网
