,2021-12-31,全球资本市场早报（2021/12/31）：奇葩！炒股靠风水？券商研究员竟用天干地支预测A股，国内排名第三动力电池生产商中创新航拟赴港上市,前瞻网
0,2021-12-30,中国长城：分拆子公司长城信息至创业板上市申请获受理,e公司
1,2021-12-30,中国长城：分拆子公司长城信息至创业板上市申请获受理,Wind
2,2021-12-30,柏睿数据与中国长城共建生态，打造自主安全的智能数据算力,和讯
3,2021-12-30,长城信息创业板IPO获受理,智通财经
4,2021-12-29,中国长城：随着产能的提升和供应链情况的持续改善，我们会不断优化价格策略，最终提供市场优质优价的产品,每日经济新闻
5,2021-12-29,中国长城：公司为中国电子云提供硬件基础设施,每日经济新闻
6,2021-12-29,中国长城：定增工作正在加速推进中,每日经济新闻
7,2021-12-29,中国长城：持有天津飞腾31.5%股份，2021、2022年计划发布不低于5个新高性能CPU,第一财经
8,2021-12-27,Wintel时代宣告结束？安全计算体系“PKS”行业解决方案或成千行百业转型“加速器”,科技新闻网
9,2021-12-27,聚势聚能，共擎共飞，共建PKS安全计算产业生态,财经网
10,2021-12-26,中国长城与148家生态企业集中“云签约”,中证网
11,2021-12-24,首届PKS生态大会“绿色能源生态专场”在津举办,科技日报
12,2021-12-24,中国长城：中电长城科技有限公司系公司控股子公司,Wind
13,2021-12-23,【互动掘金】佳都科技：IDPS城市交通大脑已在多地应用 正在加快推广,证券时报网
14,2021-12-23,中国长城：将发布中国长城生态赋能计划 同时百家生态伙伴将战略签约,e公司
15,2021-12-23,数字交通规划发布，机构关注的卫星导航概念股出炉,Wind
16,2021-12-22,中国长城：具备金融科技全产业链服务能力,中证网
17,2021-12-22,千亿赛道再迎政策风口，一图看懂网络安全产业链！,Wind
18,2021-12-22,六大行全覆盖！中国长城在金融领域交出亮眼成绩单,凤凰网
19,2021-12-17,中国长城非公开发行股票申请获证监会核准批复,上证报
20,2021-12-17,中国长城(000066.SZ)非公开发行不超8.78亿股申请获中国证监会核准,智通财经
21,2021-12-17,中国长城：证监会核准公司非公开发行不超过约8.78亿股新股,每日经济新闻
22,2021-12-17,中国长城：喷淋液冷服务器目前暂未批量投入市场,Wind
23,2021-12-17,中国长城：公司电源产品暂未涉及新能源汽车领域,Wind
24,2021-12-17,中国长城：擎天EF860Ai服务器是通信、互联网行业基础硬件,每日经济新闻
25,2021-12-17,中国长城：公司暂未涉及元宇宙相关业务,Wind
26,2021-12-17,中国长城：公司非公开发行项目已获得证监会审批通过,每日经济新闻
27,2021-12-17,中国长城：公司电源产品暂未涉及新能源汽车领域,每日经济新闻
28,2021-12-15,中国长城(000066.SZ)向489名激励对象授予2634万份股票期权,智通财经
29,2021-12-10,走进北京长城：网信产业的自主创新机遇 | 总编会客厅,钛媒体
30,2021-12-10,中国长城：公司暂未向中老铁路提供相关设备或服务,Wind
31,2021-12-10,中国长城：飞腾公司主要产品包括：高性能服务器芯片、高效能桌面芯片、高端嵌入式芯片,每日经济新闻
32,2021-12-10,中国长城：公司积极跟踪虚拟电厂建设相关信息,每日经济新闻
33,2021-12-10,中国长城：S2500是飞腾的多路服务器芯片,每日经济新闻
34,2021-12-10,中国长城：公司锂电池业务发展良好,每日经济新闻
35,2021-12-10,中国长城：公司暂未向中老铁路提供相关设备或服务,每日经济新闻
36,2021-12-07,服务器电源行业正当时,Ofweek
37,2021-12-05,中国长城中标南方电网 加快赋能电力数字化转型,经济观察报
38,2021-12-05,中国长城(000066.SZ)拟续聘立信会计师事务所为2021年度审计单位,智通财经
39,2021-12-05,中国长城(000066.SZ)提名谢庆林为董事候选人,智通财经
40,2021-12-05,中国长城中标南方电网2022年国产服务器采购项目,中证网
41,2021-12-05,中国长城成功中标南方电网“2022年度国产服务器框架采购”项目,财联社
42,2021-12-02,中国长城：暂无数字人民币的开发和运营业务,每日经济新闻
43,2021-12-02,中国长城：公司进一步发展和应用了深远海光纤水下探测方面的关键技术，推进落实光纤水听器有关的配套研制任务,每日经济新闻
44,2021-12-02,中国长城：擎天EF860Ai服务器是通信、互联网行业基础硬件，为上层应用提供基础算力及技术保障，具有运算快、大吞吐、低延时、高带宽的特性,每日经济新闻
45,2021-12-02,民生证券：给予中国长城买入评级,证券之星
46,2021-12-01,通信行业：国企改革三年行动计划明年迎大考 关注央企旗下科技公司,国联证券
47,2021-12-01,中国长城非公开发行股票申请获通过,质量新闻网
48,2021-12-01,中国长城非公开发行股票申请获通过，募集资金用于提升科技硬实力,凤凰网
49,2021-11-29,中国长城最新公告：定增申请获证监会审核通过,证券之星
50,2021-11-29,中国长城：非公开发行股票申请获得证监会审核通过,每日经济新闻
51,2021-11-29,民生证券：首予中国长城(000066.SZ)“推荐”评级 前三季度营收高增 定向增发彰显信心,智通财经
52,2021-11-29,布局新增长点，年内超40家公司发布分拆上市计划,Wind
53,2021-11-24,中国长城携手百度推出国产AI服务器领域新产品,中证网
54,2021-11-23,北向资金连续3日加仓累计扫货近150亿，宁德时代11月累计净买入超百亿,Wind
55,2021-11-23,中国长城：在有关通信业务、信创业务、海洋业务等方面是市场的龙头、领先者,每日经济新闻
56,2021-11-23,中国长城：关注量子科技，有一定的研发投入,每日经济新闻
57,2021-11-19,[路演] 中国长城:多措并举保持业绩较快增长,全景网
58,2021-11-19,中国长城大宗交易成交115.99万股 成交额1569.41万元,证券时报网
59,2021-11-19,中国长城今日大宗交易成交115.99万股，成交价13.53元折价1.67%,Wind
60,2021-11-19,中国长城今日大宗交易成交231.98万股，成交价13.53元折价1.67%,Wind
61,2021-11-19,[路演]中国长城:正推进深远海光纤水听有关项目配套研制任务,全景网
62,2021-11-19,围绕数据构建信息产业生态，长城紫晶数据中心石林上线,凤凰网
63,2021-11-18,景嘉微(300474)：9系列测试符合预期 民用领域前景广阔,新浪
64,2021-11-17,中国长城产品与多款软件完成兼容认证,e公司
65,2021-11-15,晚间重要公告2021年11月15日星期一,Wind
66,2021-11-15,中国长城(000066.SZ)参股公司中电财务拟吸收合并振华财务,智通财经
67,2021-11-15,中国长城：暂无数字人民币的开发和运营业务,每日经济新闻
68,2021-11-15,中国长城：钠离子电池业务由公司旗下武汉中原长江科技发展有限公司开展,每日经济新闻
69,2021-11-15,中国长城：公司边缘计算机目前处于与客户适配阶段,Wind
70,2021-11-15,中国长城：公司暂未涉及元宇宙相关业务,Wind
71,2021-11-15,计算机：打造更开放的欧拉生态 剑指全球市场,新浪
72,2021-11-14,计算机行业周观点：参考3季报 重点把握年底估值切换机会,新浪
73,2021-11-13,AMC加速回归主业，中国华融出售旗下证券业务,Wind
74,2021-11-10,中国长城：对联营企业和合营企业的长期股权投资，采用权益法核算,每日经济新闻
75,2021-11-10,中国长城：飞腾公司已通过公开挂牌增资扩股的方式引入了战略投资者，有利于其进一步优化治理结构,每日经济新闻
76,2021-11-10,中国长城：在有关通信业务、信创业务、海洋业务等方面是市场的龙头、领先者,每日经济新闻
77,2021-11-10,中国长城：定增工作有序推进中,每日经济新闻
78,2021-11-10,中国长城：推进落实光纤水听器在通信探测型号任务的配套研制任务,每日经济新闻
79,2021-11-10,中国长城：银行业是公司的主要市场之一，公司在银行业务方面持续有项目中标,每日经济新闻
80,2021-11-10,中国长城：公司关注量子科技，有一定的研发投入,每日经济新闻
81,2021-11-09,【银河计算机吴砚靖/邹文倩/李璐昕】行业动态丨两大信创央企巨头CEC、CETC资产梳理及近况跟踪,中国银河证券研究
82,2021-11-09,华为将进一步拓展“欧拉”商用范围,Wind
83,2021-11-08,中国长城：下属子公司之间或子公司为其下属公司提供的担保余额约为约8.86亿元 大额借贷担保,每日经济新闻
84,2021-11-08,华为将召开第二届操作系统峰会，多家A股公司参与，都有谁？,Wind
85,2021-11-08,银河证券每日晨报,新浪
86,2021-11-05,首家网信示范移动营业厅投入运营，业务受理全过程国产化,观察者网
87,2021-11-04,东吴证券：给予中国长城买入评级,中金在线
88,2021-11-03,三季度计算机行业营收增速近20%，这两只龙头获机构增持超1亿股,Wind
89,2021-11-02,中国长城：下属公司武汉中原长江科技发展有限公司正在积极布局储能方面的业务。目前该业务占公司整体营收比重较小,每日经济新闻
90,2021-11-02,中国长城：公司涉及小规模的光伏发电业务。相关业务有序开展,每日经济新闻
91,2021-11-02,中国长城：下属公司武汉中原长江科技发展有限公司正在积极布局储能方面的业务,Wind
92,2021-11-02,中国长城：公司暂未涉及元宇宙相关业务,Wind
93,2021-11-02,中国长城：切割机业务目前暂无批量投入市场,Wind
94,2021-11-02,太平洋维持中国长城买入评级：收入保持高增速，拆分长城信息,每日经济新闻
95,2021-11-01,图解中国长城三季报：第三季度单季净利润同比增35.17%,证券之星
96,2021-11-01,【计算机】参考3季报，重点把握年底估值切换机会,金融界
97,2021-10-29,中国长城公布三季报 前三季净利盈利1.0286亿,新浪
98,2021-10-29,扭亏为盈 中国长城(000066.SZ)前三季度归母净利为1.03亿元,智通财经
99,2021-10-29,中国长城：2021年前三季度净利润约1.03亿元,每日经济新闻
100,2021-10-29,中国长城：前三季度净利润1.03亿元，扭亏为盈,Wind
101,2021-10-28,计算机应用行业：国产EDA与海外差距在哪儿?,新浪
102,2021-10-26,AMC系券商又起波澜：长城国瑞证券“匿名”引战，战投未来持股比例不作限制,Wind
103,2021-10-26,21独家丨AMC系券商又起波澜：长城国瑞证券“匿名”引战，战投未来持股比例不作限制,21世纪经济报道
104,2021-10-24,【兴证计算机】从阿里云栖大会看科技自立生态进展,兴业计算机团队
105,2021-10-21,长城信息成功入围2021年国税集采,e公司
106,2021-10-20,A股早报2021年10月20日星期三,Wind
107,2021-10-19,公告精选：新元科技获上海汐泰举牌；吉宏股份终止收购贵州钓台贡酒业有限公司,e公司
108,2021-10-19,中国长城最新公告：拟分拆长城信息至深交所创业板上市,证券之星
109,2021-10-19,中国长城：拟分拆长城信息至深交所创业板上市,财联社
110,2021-10-19,中国长城：分拆子公司长城信息至创业板上市,Wind
111,2021-10-19,中国长城：拟分拆所属子公司长城信息至创业板上市,Wind
112,2021-10-18,中国长城：国产化自主安全超御PLC系列产品可作为工业母机数控系统中的核心部件,Wind
113,2021-10-17,计算机应用行业：计算机行业网信板块三季报前瞻,新浪
114,2021-10-17,计算机行业周报：智能驾驶正在发生哪些变化,新浪
115,2021-10-14,中国长城服务器中标中国移动“云能力中心”项目,e公司
116,2021-10-14,首创证券：给予中国长城买入评级,证券之星
117,2021-10-14,首创证券维持中国长城买入评级，公司简评报告：营收保持高增长，盈利稳步提升,每日经济新闻
118,2021-10-13,蓝凌OA适配中国长城，助力信创办公安全高效,砍柴网
119,2021-10-13,上市公司正负面新闻2021年10月13日星期三,Wind
120,2021-10-13,中国长城科技集团股份有限公司 2021年前三季度业绩预告,证券时报
121,2021-10-12,晚间重要公告2021年10月12日星期二,Wind
122,2021-10-12,中国长城：前三季度预盈8000万元-1.2亿元 同比扭亏,e公司
123,2021-10-12,中国长城(000066.SZ)预计前三季度归母净利约8000万元—1.2亿元,智通财经
124,2021-10-12,中国长城：前三季度预计同比扭亏,Wind
125,2021-10-12,中国长城(000066.SZ)前三季度预盈0.8亿-1.2亿元 同比扭亏为盈,格隆汇
126,2021-10-12,中国长城：预计2021年前三季度净利润为8000万元~1.2亿元,每日经济新闻
127,2021-10-12,中国长城：预计第三季度盈利1.64亿-2.03亿元，前三季度预计扭亏,Wind
128,2021-10-12,中国长城董秘回复：公司产品线丰富 对加强市场开拓有积极作用,证券之星
129,2021-10-12,中国长城：截至2021年10月6日，公司控股股东中电有限已披露的参与转融通证券出借业务计划时间已到期，中电有限未实施转融通证券出借公司股份业务,每日经济新闻
130,2021-10-11,中国长城台式机中标国家能源集团自主安全项目,e公司
131,2021-10-11,中国长城：公司近期暂无机构调研安排,每日经济新闻
132,2021-10-11,中国长城：中电长城大厦南塔29-39层是按市场价出租给控股股东，目前协议正在洽商,每日经济新闻
133,2021-10-11,中国长城：公司电源业务暂无应急电源和ups,每日经济新闻
134,2021-10-10,计算机行业周报：从科技巨头入股飞腾看国产基础软硬件生态现状,新浪
135,2021-09-30,中国计算机行业发展成就奖在京揭晓,中国网
136,2021-09-30,100nm提升至50nm 中国长城半导体激光隐形晶圆切割获重大突破,Ofweek
137,2021-09-30,三一重工建立工厂控制中心，打造智能柔性供应链；宇信科技与长城信息合作，输出智慧银行整体解决方案 | 36氪大公司数字化创新指南1008,36氪
138,2021-09-29,中国长城半导体激光隐形晶圆切割技术取得重大突破,财联社
139,2021-09-29,2021中国计算机创新大会在北京成功召开,凤凰网
140,2021-09-26,中国长城：公司的13款国产计算新品已实现量产,每日经济新闻
141,2021-09-26,中国长城：长城电源涵盖服务器电源、台式机电源、通信电源、LED电源、工控电源等工业类和消费类开关电源,每日经济新闻
142,2021-09-26,中国长城：公司暂无平板电脑产品,每日经济新闻
143,2021-09-26,中国长城：公司和振华科技不存在同业竞争,每日经济新闻
144,2021-09-21,中国长城(000066.SZ)与关联方签署中电长城大厦南塔项目委托代建协议,智通财经
145,2021-09-18,公司对控股公司飞腾未来是否考虑发行股份等策略并入上市公司？中国长城：公司暂未收到相关通知,每日经济新闻
146,2021-09-17,GPU的那些事儿：关于GPU的科普,新浪
147,2021-09-13,中国长城：切割机业务目前暂无批量投入市场,每日经济新闻
148,2021-09-13,中国长城：锂电池、钠离子电池业务占公司整体营收比重较小,Wind
149,2021-09-13,中国长城：公司持有飞腾公司28.035%股权,Wind
150,2021-09-13,中国长城：公司业务暂未涉及元宇宙概念,Wind
151,2021-09-10,中国长城文旅产业峰会新闻发布会在北京召开,凤凰网
152,2021-09-10,中国长城(000066)：收入高增长 飞腾芯片成长动力充沛,新浪
153,2021-09-09,中国长城(000066)2021年中报点评：信创加速落地 飞腾进入放量期,新浪
154,2021-09-09,16股获券商买入评级，金科股份目标涨幅达65.52%,Wind
155,2021-09-08,东吴证券：维持中国长城(000066.SZ)“买入”评级 业绩符合市场预期 信创步入飞腾时代,智通财经
156,2021-09-06,通信行业周报：《失控玩家》上映火爆 AI或成元宇宙最大变量,华安证券
157,2021-09-04,中国长城(000066)：信创助力收入高增 飞腾战投落地腾飞在即,新浪
158,2021-09-01,太平洋证券：维持中国长城(000066.SZ)“买入”评级 飞腾上半年利润超去年全年 收入增速超预期,智通财经
159,2021-09-01,国盛证券：维持中国长城(000066.SZ)“买入”评级 H1收入高速增长 Q2实现扭亏为盈,智通财经
160,2021-09-01,中国长城(000066)：21H1业绩符合预告区间 信创全线领军迎发展加速点,新浪
161,2021-08-30,中国长城：公司及下属公司合计收到政府补助约1.41亿元,每日经济新闻
162,2021-08-30,中国长城：2021年半年度亏损约8305万元 亏损,每日经济新闻
163,2021-08-30,中国长城：上半年亏损缩窄，净亏损8305.13万元 亏损,Wind
164,2021-08-30,计算机行业点评：国资云或改变云市场格局 带动产业链建设需求,新浪
165,2021-08-27,中国长城：公司暂未涉及氢能源业务,每日经济新闻
166,2021-08-27,中国长城：信创市场长城的占有率领先,每日经济新闻
167,2021-08-25,中国长城：成功研发基于 PKS 体系的全新八核电竞机,IT之家
168,2021-08-23,信用债日报：恒大股债表现分化，标普下调长城资管和东方资管评级展望,Wind
169,2021-08-23,海外信用评级汇总2021年8月23日星期一,Wind
170,2021-08-22,信达证券首予中国长城买入评级：飞腾增资或多方支持，定增最大阻碍将清理,每日经济新闻
171,2021-08-21,10年涨幅均超15倍！站队“茅指数”还是“宁组合”，未来的10倍牛股在哪里？“巴菲特”选股法挖出一批高景气优质股,e公司
172,2021-08-20,"中国长城现1笔大宗交易 共成交1,853.92万元",新浪
173,2021-08-20,中国长城今日大宗交易成交119.99万股，成交价15.45元折价0.06%,Wind
174,2021-08-20,香港航天科技(01725.HK)：中国长城工业将向集团提供多次卫星发射及相关服务,格隆汇
175,2021-08-18,中国长城：旗下长城信息中标天津银行网信一体机集成项目,e公司
176,2021-08-17,北向资金逆市抄底加仓A股近15亿，通威股份、北方稀土净买入额均创历史新高,Wind
177,2021-08-17,长城厨卫传承半个世纪的品牌荣耀 品质厨卫 中国长城,凤凰网
178,2021-08-16,计算机行业周报：华为鸿蒙的最新进展和投资全景,新浪
179,2021-08-13,中国长城：公司涉及小规模的光伏发电业务,Wind
180,2021-08-11,北向资金今日净卖出超28亿元，白酒股持续惨遭抛售,Wind
181,2021-08-11,中国长城：与重庆中交等完成多款产品兼容性互认证测试,e公司
182,2021-08-10,计算机应用行业：政策推动 工业软件行业关注度显着提升,新浪
183,2021-08-09,国产软件板块逆势拉高，卫士通一字涨停,Wind
184,2021-08-09,70股获券商买入评级，保利地产目标涨幅达100%,Wind
185,2021-08-08,计算机行业周报：工业软件有哪些重要变化,新浪
186,2021-08-06,太平洋证券维持中国长城买入评级：联合百度发布首款“PKS”国产AI服务器，商业价值再获验证,每日经济新闻
187,2021-08-06,太平洋证券：维持中国长城(000066.SZ)“买入”评级 联合百度共同打造三位一体平台,智通财经
188,2021-08-05,中国长城：公司其他业务涉及小规模的光伏发电业务,Wind
189,2021-08-03,计算机应用行业：云化带来ERP行业产品边界拓宽 工业互联网和国产化存在预期差,新浪
190,2021-08-02,中国长城和百度联合研制的首款“PKS”国产AI服务器发布,e公司
191,2021-07-31,新能源行业动态点评：钠离子电池正式亮相 可与锂电池互补,新浪
192,2021-07-30,中国长城盘中快速上涨,新浪
193,2021-07-29,北向资金今日净买入逾42亿元，比亚迪、东方雨虹净买入居前,Wind
194,2021-07-29,欧陆通(300870)公司深度报告：三大业务高速成长 电源市场稳定扩容,新浪
195,2021-07-28,国防军工21年Q2基金持仓分析：军工重仓持股比例略升 板块具备中长期配置价值,新浪
196,2021-07-28,最牛板块跌停潮，主力逆市抢筹股曝光,Wind
197,2021-07-28,沪指一年多来首次跌破年线，资金追捧科技股,Wind
198,2021-07-27,中国长城：中标中国大唐计算机采购项目,e公司
199,2021-07-27,计算机行业周报：Q2基金持仓回升 关注白马边际改善和行业信创,新浪
200,2021-07-26,中国长城：目前飞腾芯片主要有14nm和16nm,Wind
201,2021-07-26,中国长城：目前飞腾芯片主要有14nm和16nm,每日经济新闻
