,2021-12-31,中微公司(688012.SH)获得政府补助7337.32万元,智通财经
0,2021-12-31,半导体设备板块持续高景气 供需分化观点分歧未来如何掘金？ 专题,投资者网
1,2021-12-31,半导体103家上市企业研发费达365亿 国产化进程加快40家研发人员占比超50%,长江商报
2,2021-12-29,十公司年内获上千家机构调研 迈瑞医疗、汇川技术最受关注,大众证券报
3,2021-12-29,“奔走”超4.4万次！券商今年调研上市公司忙，2022年看好这些机会,中证报
4,2021-12-28,理想万里晖估值36亿元获中微公司增资 聚焦太阳能电池异质结领域,e公司
5,2021-12-28,晚间重要公告2021年12月28日星期二,Wind
6,2021-12-28,中微公司拟1亿元增资理想万里晖,上证报
7,2021-12-28,12月股东减持超650亿，45家大额解禁来袭,Wind
8,2021-12-28,中微公司：拟1亿元增资光伏设备公司上海理想万里晖,e公司
9,2021-12-28,中微公司(688012.SH)：拟以1亿元投资上海理想万里晖薄膜设备,格隆汇
10,2021-12-28,中微公司：拟向理想万里晖增资1亿元,Wind
11,2021-12-28,A股资金流向：锂矿价格飙升修复股价背离，新能源全线反弹,Wind
12,2021-12-27,中微公司：占总股本13.02%限售股将于2022年1月4日上市流通 解禁,Wind
13,2021-12-27,中微公司：约8022.93万股限售股1月4日解禁，占比13.02% 解禁,每日经济新闻
14,2021-12-27,中微公司：公司注重零部件的国产化，建立了全面的供应商评价管理体系,每日经济新闻
15,2021-12-27,中微公司：公司计划扩展在泛半导体领域设备的应用，布局显示、MEMS、功率器件、太阳能领域的关键设备,每日经济新闻
16,2021-12-27,中微公司(688012.SH)：8022.9335万股限售股将解禁 解禁,格隆汇
17,2021-12-27,中微公司(688012.SH)8022.93万股限售股将于1月4日上市流通 解禁,智通财经
18,2021-12-27,中微公司：公司目前已经组建团队在开发LPCVD设备和EPI设备,Wind
19,2021-12-27,中微公司：目前订单和营收情况良好，正积极加快募投项目的建设,每日经济新闻
20,2021-12-27,中微公司：公司目前已经组建团队在开发LPCVD设备和EPI设备，研发按计划进行中,每日经济新闻
21,2021-12-27,中微公司：公司的MOCVD设备可以加工第三代半导体材料氮化镓,每日经济新闻
22,2021-12-27,中微公司透露MiniLED量产用MOCVD设备最新细节,LED在线
23,2021-12-26,北方华创：半导体设备种类丰富，受益于半导体扩产潮,每日经济新闻
24,2021-12-24,A股资金流向：“弃宁投茅”显露调仓痕迹,Wind
25,2021-12-23,A股资金流向：“妖股”行情暂告段落，绿电板块重回主线核心,Wind
26,2021-12-22,22只科创板股今日大宗交易平台发生交易,证券时报网
27,2021-12-22,中微公司现1笔大宗交易 共成交316.62万元,新浪
28,2021-12-20,A股资金流向：赛道股加速遭抛售，低价股成短线“避风港”,Wind
29,2021-12-17,A股资金流向：成长、权重双双熄火，低价股抱团逻辑仍在演绎,Wind
30,2021-12-17,大基金出手！芯片大牛股大涨8%,Wind
31,2021-12-17,2021十大最受机构关注公司　“抢手货”迈瑞医疗居首位,财富动力网
32,2021-12-15,A股资金流向：资金延续高切低模式，医药龙头遭大幅抛售,Wind
33,2021-12-14,A股主力资金流向：净流出额创一个半月新高，新能源、周期股集体遭抛售,Wind
34,2021-12-14,中微订单超100腔！惠特订单53亿！Mini LED掀扩产潮？,Ofweek
35,2021-12-14,深度*行业*机械设备行业周报：中央经济工作会议强调双碳工作科学考核 风电、光伏相关设备景气度上升,新浪
36,2021-12-13,海外机构调研股名单，汇川技术最受关注,Wind
37,2021-12-12,如何区分“阶段性成长股”和“长期成长股”？,虎嗅网
38,2021-12-12,安永企业家奖2021揭晓，11位企业家获此殊荣,第一财经
39,2021-12-10,A股资金流向：热门题材炒作升温，新能源集体回暖,Wind
40,2021-12-10,中微公司(688012)：增加2021年度日常关联交易预计额度,资本邦
41,2021-12-10,中微公司：选举董事长、董事会专门委员会、监事会主席等,资本邦
42,2021-12-09,中微公司(688012.SH)21.0304万股限制性股票归属条件已成就,智通财经
43,2021-12-09,中微公司(688012.SH)：选举尹志尧为董事长、聘任陈伟文为财务总监,格隆汇
44,2021-12-09,中微公司(688012.SH)选举王志军为职工代表监事,智通财经
45,2021-12-09,中微公司(688012.SH)拟作废处理19.0307万股限制性股票,智通财经
46,2021-12-09,中微公司(688012.SH)：拟归属限制性股票数量为21.03万股,格隆汇
47,2021-12-09,中微公司Prismo UniMax MOCVD设备订单超100腔,e公司
48,2021-12-09,中微公司：新型 Mini LED 生产设备订单超 100 腔,IT之家
49,2021-12-08,A股资金流向：市场缩量普涨，价值“茅”走出持续行情,Wind
50,2021-12-08,电子行业2022年投资策略：半导体创新与国产化并重 汽车、VR／AR空间广阔,新浪
51,2021-12-07,A股资金流向：赛道股再度下杀，资金进驻价值蓝筹,Wind
52,2021-12-07,大基金加速减持兆易创新，同行释放涨价信号，行业变局来了？,Wind
53,2021-12-06,电子元器件周报：智能手机出货量逐步回暖 折叠屏引领消费电子新方向,新浪
54,2021-12-06,机械设备行业：服务机器人 高速新赛道,新浪
55,2021-12-06,电子周报：车用芯片供给逐步升温；联电将启动新一轮长约涨价,新浪
56,2021-12-05,数据｜科创板6家公司定增解禁在即，有机构已实现40余亿浮盈 解禁,财联社
57,2021-12-03,A股资金流向：权重发力助推沪指，短线情绪退潮,Wind
58,2021-12-02,A股资金流向：低位低价成短线核心，赛道股分歧加剧,Wind
59,2021-12-01,A股资金流向：主线不明题材股炒作继续，资金挖掘低位补涨,Wind
60,2021-11-30,A股资金流向：新能源分歧加大，外资尾盘被动配置加剧波动,Wind
61,2021-11-30,中微公司(688012)：MINI LED需求旺盛 设备公司直接受益,新浪
62,2021-11-30,机械设备行业专题研究：电力交易市场化加速电网智能／数字化,新浪
63,2021-11-30,中微公司：公司目前已经组建团队在开发LPCVD设备和EPI设备,财联社
64,2021-11-29,A股资金流向：赛道股再度大涨“吸金”,Wind
65,2021-11-29,机械设备行业研究周报：国内半导体设备行业将迎来高速发展,新浪
66,2021-11-29,银河电子周观点：国内10月手机出货量大幅增长 看好射频前端国产替代机遇,新浪
67,2021-11-29,中微公司：在薄膜设备领域，公司目前已经组建团队在开发LPCVD设备和EPI设备，研发进展按计划进行中，同时公司将在适当时机通过并购等外延式成长途径扩大产品和市场覆盖,每日经济新闻
68,2021-11-29,中微公司：公司目前暂无回购计划,每日经济新闻
69,2021-11-28,电子行业周报：估值开始切换 乐观反映明年苹果、MINILED、半导体设备,新浪
70,2021-11-26,A股资金流向：沪指“以缺补缺”，权重低迷题材脉冲回落,Wind
71,2021-11-26,高瓴重金押注新能源之王！外资最宠爱银行小白马(名单),Wind
72,2021-11-25,半导体刻蚀设备国产化,Ofweek
73,2021-11-23,电子元器件周报：晶圆代工持续高景气 MINILED产业化进程加速,新浪
74,2021-11-23,A股资金流向：板块分化明显，“锂风光”休整储能接棒,Wind
75,2021-11-23,深度*行业*半导体行业周报：思瑞浦发布数字隔离产品 FPGA安路科技上市,新浪
76,2021-11-23,深度*行业*机械设备行业周报：“十四五”风电装机预期显著上提 风电零部件及主机龙头持续受益,新浪
77,2021-11-22,电子周报：手机厂商开拓汽车“下半场” 半导体处于健康的投资周期,新浪
78,2021-11-22,电子行业周报：折叠屏关注度继续升温 德仪宣布大额扩产计划,新浪
79,2021-11-22,科技硬件周报：AIOT产业加速 CMP材料与设备受关注,新浪
80,2021-11-22,机械行业周报：低碳+全球化助力 锂电/光伏/风电设备将超预期,新浪
81,2021-11-22,知名基金经理积极参与定增 高端制造、大消费获青睐,中国基金报
82,2021-11-22,新能源需求持续景气，产业转移为半导体设备材料,金融界
83,2021-11-22,中信建投机械设备2022年投资策略报告：短期寻求α，中长期顺应双碳背景,Wind
84,2021-11-21,7000亿大市场！傅鹏博、朱少醒、谢治宇、刘格菘…顶流们都来了,Wind
85,2021-11-21,7000亿大市场！傅鹏博、朱少醒、谢治宇等顶流们都来了,Wind
86,2021-11-21,7000亿大市场！傅鹏博、朱少醒、谢治宇、刘格菘…顶流们都来了,中国基金报
87,2021-11-17,深度*公司*盛美上海(688082)：持续技术创新、不断自我超越的半导体设备龙头,新浪
88,2021-11-17,中信证券：产能扩张+国产替代积极推进，看好未来1~2年半导体设备行业发展,e公司
89,2021-11-16,A股资金流向：新能源连跌资金持续流出，大消费力扛指数,Wind
90,2021-11-16,中微公司、广汽资本投资一创业投资公司，后者注册资本1.51亿,新京报
91,2021-11-16,国家大基金又出手！3亿投向这只芯片股，瑞银、摩根大通也来了,Wind
92,2021-11-15,A股资金流向：新能源遭资金集中抛售,Wind
93,2021-11-15,至纯科技：今年半导体设备营收或翻两倍，大基金何以青睐它？,第一财经
94,2021-11-15,科技硬件周报：半导体板块高景气度延续、关注5G+AIOT新机遇,新浪
95,2021-11-15,电子行业周报：杂音干扰的旺季VS乐观看待的明年,新浪
96,2021-11-14,600亿浮盈“诱惑”下，大基金开始了减持潮 减持股份,腾讯网
97,2021-11-12,中微公司(688012)：新签订单大幅增长 产品受高景气+国产化加速推进,新浪
98,2021-11-12,北向资金最新持有科创板股明细,证券时报网
99,2021-11-12,国家大基金又减持！大基金二期风格有变？,Wind
100,2021-11-11,中银证券：给予安路科技评级,证券之星
101,2021-11-11,半导体设备行业系列报告之一：高景气赛道 国内企业崭露头角,新浪
102,2021-11-11,A股资金流向：权重与题材共振上扬,Wind
103,2021-11-11,北方华创封住涨停并创新高，芯片板块午后继续扩大升幅,Wind
104,2021-11-10,A股资金流向：锂电三杰遭抛售，恒瑞医药午后暴拉吸金,Wind
105,2021-11-10,科创50尾盘翻红，中微公司涨近7%,Wind
106,2021-11-10,半导体设备板块午后持续走升,Wind
107,2021-11-10,电子行业周报：从美股大涨看中国半导体投资机遇,新浪
108,2021-11-10,每日理财观察: 盯紧北交所机遇，长线资金摩拳擦掌,Wind
109,2021-11-09,2021三季度机械业绩总结报告：整体持续高增 专用设备表现亮眼,新浪
110,2021-11-09,金融街下午茶2021年11月9日星期二,Wind
111,2021-11-09,科创板持续助力科技创新“开花结果”,Wind
112,2021-11-09,A股收盘综述：市场资金再度涌入半导体板块，碳中和题材强势依旧,Wind
113,2021-11-09,【行情】半导体芯片股午后走强，至纯科技涨停，中芯国际涨近5%，安集科技、神工股份、澜起科技、中微公司跟涨,金十数据
114,2021-11-09,险资新动向：偏爱半导体、锂电和消费电子 看上天齐锂业、兆易创新、歌尔股份,财联社
115,2021-11-09,14只科创板股获北向资金减仓,证券时报网
116,2021-11-08,三季报回顾：核心龙头延续增长 半导体持续呈现高景气,新浪
117,2021-11-08,电子元器件周报：晶圆代工产值与资本开支同增长 半导体行业景气度持续,新浪
118,2021-11-08,A股资金流向：机构青睐新能源，游资炒作元宇宙,Wind
119,2021-11-07,数据｜超1100亿元科创板公司闲置资金去向：存款或购买理财产品,财联社
120,2021-11-06,大基金投资节奏加快，中国半导体公司扩产忙,半导体行业观察
121,2021-11-05,除了华天科技，国家大基金二期还买了什么？,Wind
122,2021-11-05,美股半导体集体飙涨，A股信号不断，半导体行情如何走,Wind
123,2021-11-05,大基金又有大动作，11亿狂买芯片龙头，四季度半导体还能加仓吗？,第一财经
124,2021-11-05,险资调研热情空前高涨，对周期消费股特“来电”,Wind
125,2021-11-05,美股半导体集体飙涨，1.1万亿巨头一度涨超15%,Wind
126,2021-11-04,中微公司接受258家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
127,2021-11-03,大基金二期豪掷15亿入股半导体设备龙头，北方华创85亿定增受机构热捧,21世纪经济报道
128,2021-11-03,科创板月报：三季报收入维持高增 机构持仓持续加码,新浪
129,2021-11-03,2000亿半导体龙头再获大基金“加仓”！账面浮盈已超4亿，一期更狂赚10倍,证券时报
130,2021-11-02,2000亿芯片龙头定增揭晓，大基金二期斥资15亿入局，影响有多大？,财联社
131,2021-11-02,策略研究：新股精要-国内半导体清洗设备龙头盛美上海,新浪
132,2021-11-01,东吴证券维持中微公司增持评级，2021年三季报点评：Q3 业绩稳定增长，盈利能力明显改善,每日经济新闻
133,2021-11-01,A股资金流向：新能源板块冲高回落，资金分歧较大,Wind
134,2021-10-31,【天风电子】中微公司：新签订单大幅增长，产品受高景气+国产化加速推进,科技伊甸园
135,2021-10-31,中微公司：新签订单翻倍,半导体风向标
136,2021-10-30,中微公司(688012)：Q3业绩受股权投资拖累 订单大增反映需求旺盛 盈利能力下降,新浪
137,2021-10-29,新莱应材(300260)：单季度业绩创新高 半导体业务成为核心增长点,新浪
138,2021-10-29,国信证券：给予中微公司增持评级,证券之星
139,2021-10-29,国信证券维持中微公司增持评级：下游需求旺盛，刻蚀设备高增长,每日经济新闻
140,2021-10-29,【招商电子】中微公司：刻蚀设备高增长彰显行业景气，新签订单翻倍积蓄成长动能,招商电子
141,2021-10-28,中微公司：业绩符合预期，新签订单翻倍增长——公司三季报业绩点评,机械倩影
142,2021-10-28,9家LED相关企业Q3业绩,Ofweek
143,2021-10-28,A股资金流向：周期股下挫，新能源板块出现剧烈分歧,Wind
144,2021-10-28,国金证券维持中微公司买入评级：三季度趋缓，四季度重启动能,每日经济新闻
145,2021-10-28,华安证券给予中微公司买入评级，业绩符合预期，新签订单翻倍增长,每日经济新闻
146,2021-10-28,信达证券：给予中微公司买入评级,证券之星
147,2021-10-28,信达证券维持中微公司买入评级：在手订单饱满，静待业绩落地,每日经济新闻
148,2021-10-28,营利双增！中微公司前三季度盈利增长95.66%,资本邦
149,2021-10-27,中微公司公布三季报 前三季净利增加95.66%,新浪
150,2021-10-27,三季报|中微公司单季新签订单额16.31亿 “蔡经理”旗下诺安成长增持,财联社
151,2021-10-27,中微公司：第三季度净利1.45亿元 同比降8.02% 盈利能力下降,第一财经
152,2021-10-27,图解中微公司三季报：第三季度单季净利润同比减8.02% 盈利能力下降,证券之星
153,2021-10-27,中微公司：第三季度净利同比下降8.02% 盈利能力下降,财联社
154,2021-10-27,中微公司：第三季度净利润1.45亿元，同比下降8.02%,Wind
155,2021-10-27,中微公司：前三季度净利润同比增长95.66%,Wind
156,2021-10-27,A股资金流向：新能源板块虹吸效应显著,Wind
157,2021-10-26,半导体制造系列：先进封装扮演更重要角色,新浪
158,2021-10-26,A股资金流向（10月26日）：新能源板块遭获利盘打压，超跌TMT成为避风港,Wind
159,2021-10-26,中微公司业绩猛增！123天造科创板首只市值千亿股，大基金25亿入局！SGI评分87,和讯
160,2021-10-26,机械行业周报(2021年10月第3周)：隆基HJT电池效率再破世界纪录；持续力推光伏／风电／锂电设备,新浪
161,2021-10-26,刘格菘、黄兴亮、邹曦、陈一峰等知名基金经理三季报持仓大曝光！,Wind
162,2021-10-25,中微公司(688012.SH)：沈伟国辞去董事等职务 董监高成员变化,智通财经
163,2021-10-25,中微公司：关于公司董事辞职的公告 董监高成员变化,新浪
164,2021-10-25,中微公司：沈伟国辞去董事、战略委员会委员职务 董监高成员变化,Wind
