,2021-12-22,港股异动 | 中海油服(02883)早盘涨超5% 机构称国内加大能源安全保障利好海上油服等标的,智通财经
0,2021-12-17,中海油服重大突破！超高温高压测井技术装备创下新纪录,液化天然气网
1,2021-12-14,能源化工行业周观点：政策发力稳增长 碳排放双控催生长期机遇,新浪
2,2021-12-13,申万宏源：中央经济工作会议透露能源机遇,财联社
3,2021-12-06,中信证券：看好能源化工低估周期标的反弹,财联社
4,2021-12-06,中信证券晨会,新浪
5,2021-11-30,能源化工行业周观点：继续推荐高景气赛道和成长高确定性标的,新浪
6,2021-11-30,中信证券：奥密克戎冲击偏短期，择时布局国内油企回升机遇,财联社
7,2021-11-29,科技制造行业先进制造行业周报：法国重启核电解能源之困,新浪
8,2021-11-28,石油化工行业周报：OMICRON引发油价恐慌性下跌 对后市原油及石化影响分析,新浪
9,2021-11-25,中海油服：12月28日召开2021年第一次临时股东大会,Wind
10,2021-11-25,中海油田服务：谨订于12月28日召开临时股东大会,Wind
11,2021-11-22,全力加仓“新能源之王”！北上资金1/4的钱都买了它,Wind
12,2021-11-21,全力加仓“新能源之王”！北上资金1/4的钱都买了它，重点加仓股曝光，17股连续七周净买入,e公司
13,2021-11-18,港股异动 | 中海油服(02883)跌超4%领跌石油股 美油跌穿80美元 上期所原油主力合约收跌逾4%,智通财经
14,2021-11-15,中海油服：公司目前开展海上风电安装和维护支持平台服务,每日经济新闻
15,2021-11-15,石油化工行业周报：LPG、油价与天然气价格关系及影响,新浪
16,2021-11-14,中海油服(601808)三季报点评报告：Q3业绩环比改善 增储上产前景可期,新浪
17,2021-11-13,杰瑞股份：公司产品有在海上平台应用，如2500型压裂橇组在东海助力中海油服油气开发,每日经济新闻
18,2021-11-12,国内首创，钻井平台安装海上风机！中海油服向新能源领域迈出重要一步！,液化天然气网
19,2021-11-11,中泰周期·大宗指南：周期品周度运行变化,新浪
20,2021-11-11,能源材料行业跟踪,新浪
21,2021-11-04,化工点评报告：三季度石油石化配置创近八年新高 关注龙头及偏成长相关标的,新浪
22,2021-11-03,信达证券维持中海油服买入评级：Q3盈利边际好转，高油价助力景气复苏,每日经济新闻
23,2021-11-02,武船集团交付4000马力LNG动力守护供应船首制船,国际船舶
24,2021-11-02,石油化工行业周报：能源价格波动下对石化行业盈利影响 以及当前估值对应的周期位置,新浪
25,2021-11-01,大行评级 | 摩通：维持中海油服(2883.HK)增持评级 目标价降至10港元,格隆汇
26,2021-10-31,【开源煤炭&石化-张绪成】中海油服三季报点评：Q3 业绩环比改善，增储上产前景可期,能源观察站
27,2021-10-30,中泰证券维持中海油服买入评级：业绩符合预期，油服行业继续改善,每日经济新闻
28,2021-10-30,中泰证券：给予中海油服买入评级,证券之星
29,2021-10-29,港股异动 | 中海油服(02883)绩后涨超7% 第三季度纯利同比增长47.8%至6.51亿元,智通财经
30,2021-10-29,大行评级 | 瑞银：维持中海油服(2883.HK)买入评级 目标价降至11.2港元,格隆汇
