,2021-12-31,中科曙光：公司与合作伙伴共同打造面向其他细分领域的数字孪生体,每日经济新闻
0,2021-12-31,中科曙光：公司对外提供高端计算机、存储、安全数据中心等ICT 基础设施产品,每日经济新闻
1,2021-12-31,中科曙光：公司服务器涵盖通用服务器、异构服务器等产品,每日经济新闻
2,2021-12-31,中科曙光：公司被移出MSCI成分股清单不会对公司正常经营产生重大影响,每日经济新闻
3,2021-12-31,中科曙光：公司业务与中科星图在计算及解决方案领域具有一定的协同效应，可实现长期收益最大化,每日经济新闻
4,2021-12-31,中科曙光：公司分布式存储Parastor可以为元宇宙提供底层保障,每日经济新闻
5,2021-12-31,中科曙光：公司无重大利空消息，公司目前生产经营情况一切正常,每日经济新闻
6,2021-12-31,中科曙光：海光主营业务为研发、设计、销售应用于服务器等计算、存储中的处理器，与公司不存在同业竞争,每日经济新闻
7,2021-12-31,中科曙光：公司暂未涉及海底数据中心相关业务,每日经济新闻
8,2021-12-31,中科曙光：公司将不断提升技术水平及盈利能力,Wind
9,2021-12-31,中科曙光：公司股价受多种因素影响,Wind
10,2021-12-31,中科曙光：公司的高端服务器有国产化产品,Wind
11,2021-12-31,中科曙光：元宇宙目前处于发展的早期阶段,Wind
12,2021-12-31,中科曙光：公司持续提升经营能力,Wind
13,2021-12-31,中科曙光：公司暂未涉及海底数据中心相关业务,Wind
14,2021-12-31,中科曙光：公司在元宇宙底层技术具有一定的技术积累,Wind
15,2021-12-31,中科曙光：液冷技术有望替代传统风冷市场,Wind
16,2021-12-31,中科曙光：公司生产经营正常,Wind
17,2021-12-30,民生证券：给予紫光股份买入评级,证券之星
18,2021-12-29,昆山天潮转让曙光信息技术20%股份，中科曙光接盘,乐居财经
19,2021-12-28,中科曙光：参与制定首批液冷数据中心标准,e公司
20,2021-12-28,中科院人工智能联盟亮点成果发布，曙光5A级赋能AI发展,砍柴网
21,2021-12-23,中科曙光超融合桌面云成功入围工信部优秀解决方案,e公司
22,2021-12-23,任泽平：中国城市高质量发展排名2021,Wind
23,2021-12-22,MSCI中国全股票指数剔除中科曙光、立昂技术、美亚柏科 剔除指数,中证网
24,2021-12-20,天津滨海新区信创产业“加速跑”，新一代信息技术产业集群达千亿级,Wind
25,2021-12-20,周末影响一周市场的10大消息(新股+点评),Wind
26,2021-12-18,中科曙光打造“5A级”智算基础设施,经济日报
27,2021-12-17,中科曙光现1笔大宗交易 共成交438.60万元,新浪
28,2021-12-17,中科曙光今日大宗交易成交17万股，成交价25.8元折价6.79%,Wind
29,2021-12-15,中科曙光关宏明荣获2021“数字新基建?年度智慧城市领军人物”表彰,凤凰网
30,2021-12-15,中科曙光于湖南成立信息公司，注册资本1亿元,乐居财经
31,2021-12-15,AI照进现实：算力“新基建”为什么需要“和合共赢”,Ofweek
32,2021-12-13,中科曙光4.68亿元，坚守城市云扩展政务云,Ofweek
33,2021-12-09,东方通：公司应用服务器中间件TongWeb产品与中科曙光、海光芯片均已完成兼容适配认证,Wind
34,2021-12-05,中科曙光关宏明：数字基础设施是数字经济发展的新势能,凤凰网
35,2021-12-03,中科曙光：公司生产经营正常,每日经济新闻
36,2021-12-03,中科曙光：公司的各募投项目正常推进中，其中高端计算机IO模块研发及产业化项目，完成面向云计算领域和人工智能领域的存储IO扩展器、PCIe扩展芯片的功能逻辑设计及后端物理设计，进行样片试产,每日经济新闻
37,2021-12-03,中科曙光：公司液冷及相关技术符合碳排放贷款政策,每日经济新闻
38,2021-12-01,数字经济时代 算力成竞争新焦点,中国日报网
39,2021-11-29,计算机应用：个人收款码从事经营活动有望得以规范 关注第三方服务商,新浪
40,2021-11-26,海光信息科创板IPO：3年半亏损近5亿，葛卫东提前入股 亏损,和讯
41,2021-11-23,IPO｜“CPU第一股”海光信息：累计亏损5亿，巨额募资91亿？ 亏损,和讯
42,2021-11-22,计算机周报：高通拿下宝马智能驾驶定点 医疗IT龙头基本面持续向好,新浪
43,2021-11-22,海光信息：国产CPU厂商赴科创板上市 营收快速增长但尚未盈利,面包财经
44,2021-11-20,科创板新股前瞻|冲击“CPU第一股”，海光信息凭什么？,智通财经
45,2021-11-19,银河证券每日晨报,新浪
46,2021-11-16,冲刺科创板CPU第一股，海光信息拟募资91.5亿，第一大客户贡献六成收入,第一财经
47,2021-11-16,融资客青睐4股，未来股份买入占比高达42.51%,Wind
48,2021-11-15,又一“国产CPU”来了，中科曙光持股32.1%，葛卫东也隐身股东榜,36氪
