,2021-12-31,年终盘点：2021年工程机械行业十大“关键词”,我的钢铁
0,2021-12-29,中联重科：多产品市场份额创历史新高，未来还有四大业绩增长点,第一财经
1,2021-12-29,机械专题策划|明年增速继续承压 “海外出口+电动化”弱化周期波动,财联社
2,2021-12-27,风雪下的长沙：众多上市公司守护一方,证券日报网
3,2021-12-27,北交所首只打新股发行结果出炉！威博液压吸引75万投资者打新,同壁财经
4,2021-12-27,农业专题策划二|工程机械巨头跨界农机 明年继续增长 格局或生变,财联社
5,2021-12-27,最新融资客与北上资金重点加仓名单,Wind
6,2021-12-26,机械设备：第一批风光大基地项目出炉；光伏风电锂电设备风险逐步释放,新浪
7,2021-12-25,从“会”种粮到“慧”种粮——湖南打造智慧智能农机产业链发展高地见闻,和讯
8,2021-12-25,第十六届中国上市公司竞争力、公信力“星”公司评选活动揭晓,大众证券报
9,2021-12-23,年销量破万台！中联重科施工升降机再破纪录秀智造实力,中经网
10,2021-12-22,A股共发生250宗大宗交易成交67.49亿元（12月22日）,Wind
11,2021-12-22,中联重科今日大宗交易成交118万股，成交价7.23元溢价0.0%,Wind
12,2021-12-22,年销量破万台！中联重科施工升降机创造行业历史新高,大众证券报
13,2021-12-22,中联重科施工升降机年销量破10000台,中联重科
14,2021-12-22,12月22日沪深两市最新交易提示,金融界
15,2021-12-22,北交所首只新股今申购，上市后轻松翻倍？（附攻略）,Wind
16,2021-12-22,华菱涟钢获中联重科工程起重机公司卓越供应商奖,中国冶金报
17,2021-12-21,中联重科：部分高级管理人员大宗交易减持公司股份 减持股份,Bianews
18,2021-12-21,中联重科大宗交易成交810.19万元,证券时报网
19,2021-12-21,北向资金交投意愿转淡连续3日净卖出，白酒、新能源均遭出货,Wind
20,2021-12-21,中联重科(000157.SZ)六名高管拟合计减持不超349.04万股 拟减持股份,智通财经
21,2021-12-21,中联重科(01157)：因个人资金需求 公司部分高级管理人员减持公司A股 减持股份,智通财经
22,2021-12-21,中联重科今日大宗交易成交110.08万股，成交价7.36元溢价0.0%,Wind
23,2021-12-21,中联重科(000157.SZ)：6名高管大宗交易减持349.04万股A股 减持股份,格隆汇
24,2021-12-21,中联重科：六位股东减持349万股公司股份 减持股份,每日经济新闻
25,2021-12-21,中联重科：副总裁熊焰明等合计减持0.04%股份,Wind
26,2021-12-21,港股盘前必读：商汤科技重启港股IPO发行规模和定价区间与此前保持一致,Wind
27,2021-12-20,中联重科现6笔大宗交易 总成交金额2516.58万元,证券时报网
28,2021-12-20,智通每日大行研报丨华西证券维持吉利汽车(00175)“买入”评级 中联重科(01157)遭大行下调目标价,智通财经
29,2021-12-20,中联重科今日大宗交易成交349.04万股，成交价7.21元折价1.5%,Wind
30,2021-12-20,港股异动 | 中联重科(1157.HK)跌4% 遭多家机构下调目标价 机构下调估值,格隆汇
31,2021-12-20,贝莱德增持中联重科(01157)约118.24万股，每股作价约5.19港元,智通财经
32,2021-12-20,【港股通】中联重科(01157)跌近3% 遭大摩下调目标价至7元,和讯
33,2021-12-20,大摩：维持中联重科“增持”评级，目标价降27.3%至7港元,Wind
34,2021-12-20,大摩：维持中联重科(1157.HK)增持评级 目标价降至7港元,格隆汇
35,2021-12-20,大摩：维持中联重科(01157)“增持”评级 目标价降27.3%至7港元,智通财经
36,2021-12-19,【干货】工程机械行业产业链全景梳理及区域热力地图,前瞻研究院
37,2021-12-19,机械行业周报：看好低碳+、全球化；精选“专精特新”；工程机械预期边际改善,新浪
38,2021-12-18,政策释放积极信号，工程机械行业明年料“拨云见日”,Wind
39,2021-12-17,【权益变动】中联重科(01157.HK)获贝莱德增持118.2405万股,财华社
40,2021-12-17,干货！2022年中国工程机械行业龙头企业分析——中联重科：多板块协同发展,前瞻研究院
41,2021-12-15,干货！2022年中国工程机械行业龙头企业对比：徐工机械VS三一重工VS中联重科 谁是工程机械行业NO.1？,前瞻研究院
42,2021-12-14,港股盘前必读：商汤集团延迟上市，中国移动发行不超过8.457亿股A股,Wind
43,2021-12-14,中联重科(01157.HK)获贝莱德增持118.24万股,格隆汇
44,2021-12-12,浙商机械 邱世梁‖王华君 11月挖掘机出口继续高增长；央行降准下游需求预期边际有改善,高端装备制造及材料
45,2021-12-11,工程机械企业纷纷发力电动化,Wind
46,2021-12-09,中联重科：目前暂无明确的分拆计划安排,每日经济新闻
47,2021-12-09,中联重科：目前公司暂无回购计划,每日经济新闻
48,2021-12-09,中联重科：公司生产全系列风电吊装类设备，包括汽车起重机、履带起重机和塔式起重机，能满足陆上和海上所有风电机型的吊装；汽车吊吨位主要覆盖12吨-2000吨，履带起重机吨位主要覆盖55吨-3200吨,每日经济新闻
49,2021-12-09,中联重科：我司在美国有设备销售（高空机械设备、工程起重设备、混凝土设备等）,每日经济新闻
50,2021-12-09,中联重科：中联重科矿机事业部产品型谱包含三大类：露天采矿设备、砂石装备、物料输送设备，共有一百余款产品,每日经济新闻
51,2021-12-09,中联重科：公司暂未从事冰雪装备的生产经营,Wind
52,2021-12-09,中联重科：公司暂未涉及直升机的生产经营,Wind
53,2021-12-09,中联重科：目前公司混凝土、起重产品的订单水平和过去几年同期水平总体相近,每日经济新闻
54,2021-12-09,中联重科：我司暂未涉及直升机的生产经营,每日经济新闻
55,2021-12-09,中联重科：公司暂未从事冰雪装备的生产经营,每日经济新闻
56,2021-12-09,中联重科：公司目前正在工信部申请自主新能源整车生产资质,Wind
57,2021-12-09,中联重科：公司目前正在工信部申请自主新能源整车生产资质,每日经济新闻
58,2021-12-09,中联重科：常德中联重科液压有限公司2021年进入工信部第三批专精特新小巨人企业名单,每日经济新闻
59,2021-12-09,中联重科：公司已于11月26日发布了系列新能源工程机械产品，其中包括换电纯电动电搅拌车,每日经济新闻
60,2021-12-09,中联重科：公司正在全面推进氢能源底盘的工程机械研发工作,每日经济新闻
61,2021-12-09,兴业银行在湖南年承销债券突破200亿元，居省内同业第一,Wind
62,2021-12-08,中联重科积极推进5G技术与工程机械融合发展,陕西日报
63,2021-12-07,中国ESG优秀企业500强揭晓，中联重科位列装备制造行业第一,Wind
64,2021-12-07,港股异动 | 中联重科(01157)回升6% 基建投资有望企稳回升，加码布局设备电动化,智通财经
65,2021-12-07,机械行业：央行宣布降准 利好基建类装备,新浪
66,2021-12-06,首份中国ESG优秀企业排行榜出炉 中联重科位列行业第一,大众证券报
67,2021-12-06,中联农机违法被罚没1083万元 大股东为中联重科 其他违规处罚,中国经济网
68,2021-12-05,上海金融科技创新试点启动 区块链技术成果初现丨明日主题前瞻,第一财经
69,2021-12-05,机械设备行业跟踪周报：看好国产光伏锂电设备出海机会 建议关注双控边际影响削弱后通用自动化估值修复,新浪
70,2021-12-03,三一重工、中联重科等成立工程机械研究院，注册资本1.5亿,新京报
71,2021-12-03,中联重科参股成立工程机械研究院公司，注册资本1.5亿元,乐居财经
72,2021-12-02,11月新能源重卡销量爆了，挖掘机出口也是“红红火火”,Wind
73,2021-12-02,中联重科履带吊助力打造孟加拉国首座核电站,质量新闻网
74,2021-12-02,吉峰科技两日涨幅逾30%，装备补短板政策利好，多只农机股受益连日上涨,财联社
75,2021-12-02,中联重科履带吊助力打造孟加拉国首座核电站,和讯
76,2021-12-02,中联重科成被执行人，执行标的434.19万元 被执行人,乐居财经
77,2021-12-01,刚刚完成B+轮融资的探马SCRM携手制造业龙头企业实现数字化管理,凤凰网
78,2021-12-01,补短板农机概念站上风口，4只农机股上涨空间逾20%,Wind
79,2021-12-01,两部门召开重要会议，这个细分领域要起飞？概念股名单抢先看,搜狐
80,2021-12-01,国产碳纤维复合材料不仅抗拉还抗压,中国科技网
81,2021-11-30,中联重科：“18中联01”回售金额11.13亿元,Wind
82,2021-11-30,中联重科：“18中联重科MTN001”回售金额24.5亿元,Wind
83,2021-11-30,中联重科(01157)：“18中联01”回售额11.13亿元,智通财经
84,2021-11-30,中联重科(01157.HK)：“18中联01”回售金额约11.13亿元,格隆汇
85,2021-11-30,中联重科(000157.SZ)：“18中联01”将于12月3日付息,智通财经
86,2021-11-30,2021“T50工程机械应用案例” 正式发布，涉及徐工、中联重科在内的14家制造企业,凤凰网
87,2021-11-30,新突破，全球最高电动臂车在中联重科智能高机荣耀下线,工程机械动态
88,2021-11-30,工程机械 | 我国重大技术及产业突破最新盘点 （收藏）,火石创造
89,2021-11-29,中联重科发布自研碳纤维复合材料新技术,Wind
90,2021-11-29,中联重科发布自研碳纤维复合材料新技术,e公司
91,2021-11-29,机械设备行业周报：建议关注工业机器人相关产业链,新浪
92,2021-11-29,深度*行业*机械设备行业周报：持续推荐高景气的半导体、海上风电、光伏HJT赛道,新浪
93,2021-11-29,又轻又聪明还能用得起 首款国产化碳纤维臂架泵车发布,中国混凝土网
94,2021-11-28,【太平洋机械】机械行业周报20211127：美国刺激法案通过提振电动车，4680电池持续发酵，推动锂电设备持续景气向上,太平洋机械大讲堂
95,2021-11-28,中联重科发布新能源产品 绿色智造引领“双碳”新未来,中证网
96,2021-11-27,工程机械万亿市场新五年 2025年电动化产品占比或达25%,财联社
97,2021-11-27,湖南首提“强省会战略”提高省会首位度，长沙发展迎来新机遇,第一财经
98,2021-11-27,涉及超5500亿规模基金！新一轮指数样本大调整出炉,Wind
99,2021-11-27,中联重科发布新能源主机产品,上证报
100,2021-11-26,全国产化！我国自研“碳纤维复合材料新技术”长沙亮相,科技日报
101,2021-11-26,新能源新技术产品“大阅兵”— 中联重科绿色智造引领“双碳”新时代,大众证券报
102,2021-11-26,中联重科发布新能源产品、新材料技术 全面建立绿色发展路径,证券日报网
103,2021-11-26,中联重科发布新能源产品和新技术 国产化碳纤维臂架泵车首亮相,中新网
104,2021-11-26,国内遇冷海外火热，工程机械企业调整市场战略,我的钢铁
105,2021-11-26,中联重科发布多款全球首创新能源产品,财联社
106,2021-11-23,【中金固收·资产证券化】ABS一周市场回顾,中金固定收益研究
107,2021-11-23,"中联重科现1笔大宗交易 共成交1,381.57万元",新浪
108,2021-11-23,全球最强起重机制造商中国企业“夺冠”：徐工、中联重科谁是第一？,凤凰网
109,2021-11-23,港股异动 | 中联重科(01157)午后涨超5% 近日与一汽解放签署战略合作协议,智通财经
110,2021-11-23,深度*行业*机械设备行业周报：“十四五”风电装机预期显著上提 风电零部件及主机龙头持续受益,新浪
111,2021-11-22,机械设备行业周报：加快机器换人进程 关注自动化设备细分行业,新浪
112,2021-11-22,机械设备行业研究周报：锂电迎来密集扩产期 持续看好新能源装备长期发展,新浪
113,2021-11-22,机械行业周报：低碳+全球化助力 锂电/光伏/风电设备将超预期,新浪
114,2021-11-22,海特克动力IPO前两任财务总监蹊跷辞职 突击分红3.6亿再募6亿补流被指圈钱 董监高成员变化,新浪
115,2021-11-22,中信建投机械设备2022年投资策略报告：短期寻求α，中长期顺应双碳背景,Wind
116,2021-11-20,一汽解放与中联重科签署战略合作协议,中证网
117,2021-11-20,中交兴路与河钢合作，建设数字绿色钢厂；一汽解放与中联重科合作，推动新能源产业智能化 | 36氪大公司数字创新指南1122,36氪
118,2021-11-18,中联重科：未来至少建成6个世界级“灯塔工厂”,我的钢铁
119,2021-11-18,中联重科：起重机械、混凝土机械有望接力挖掘机，拉长工程机械景气周期,我的钢铁
120,2021-11-17,龙蟠科技与中联中旺签订战略合作协议,润滑油信息网
121,2021-11-16,助力打造“三个高地”，湖南省政府与浦发银行签署新一轮合作协议,经济网
122,2021-11-16,中联重科：“18中联重科MTN001”后2年的票面利率由4.49%下调至3.12%,Wind
123,2021-11-16,2021全球起重机制造商10强榜单发布，中联重科位居榜首,我的钢铁
124,2021-11-15,中国企业首次“夺冠”！ 中联重科问鼎“2021全球起重机制造商10强”榜首,大众证券报
125,2021-11-15,中国企业首次问鼎“全球起重机制造商10强”榜首,中新网
126,2021-11-12,港股盘前必读：中芯国际第三季度净利润20.77亿元同比增22.6%,Wind
127,2021-11-12,中联重科混凝土泵车 入选国家级制造业单项冠军产品名单,大众证券报
128,2021-11-11,中联重科发生大宗交易 成交折价率10.51%,证券时报网
129,2021-11-11,摩根大通：降中联重科评级至减持，下调潍柴目标价,Wind
130,2021-11-11,大行评级 | 摩通：下调中联重科H股目标价及评级，重申中国龙工中性评级 机构下调估值,格隆汇
131,2021-11-11,大和：重申中联重科(01157)“跑赢大市”评级 目标价降至6港元 机构下调估值,智通财经
132,2021-11-10,中联重科：未来至少建成6个世界级的灯塔工,每日经济新闻
133,2021-11-10,中联重科：用地球村的思维进行海外业务落地执行,每日经济新闻
134,2021-11-10,中联重科：公司暂无股权融资的计划,每日经济新闻
135,2021-11-10,中联重科：今年工程机械行业面临房地产投资增速趋势回落，基建投资仍然相对疲软,每日经济新闻
136,2021-11-10,中联重科：近年来不断深化“端对端”业务管理模式变革,每日经济新闻
137,2021-11-10,中联重科：二季度，公司中大挖同比增幅超60%，远远超过行业个位数的同比增幅水平,每日经济新闻
138,2021-11-10,中联重科：智能化矿山设备以及矿山设备占公司目前总盈利比较小,Wind
