,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
0,2021-12-31,中航光电于上海成立新公司,TechWeb
1,2021-12-31,中航光电、振华科技、高德红外……谁将能成长能力最强的军工电子企业？,Ofweek
2,2021-12-28,中航光电与中国北方车辆研究所签订战略合作协议,Wind
3,2021-12-28,中航光电与中国北方车辆研究所签订战略合作协议,e公司
4,2021-12-27,中航光电(002179.SZ)1019.19万股限制性股票可解锁,智通财经
5,2021-12-27,中航光电(002179.SZ)：1019.185万股限制性股票可解锁,格隆汇
6,2021-12-24,河南区域股市周报：板块总市值降至第14名 双汇发展跌出板块市值3强,每日经济新闻
7,2021-12-24,中航光电：首个境外子公司在德国法兰克福正式成立,e公司
8,2021-12-14,国资国企改革进入关键阶段，“大央企小平台”资本运作有望提速,Wind
9,2021-12-13,中航光电：公司与华为有车用高压连接器产品合作,财联社
10,2021-12-09,中航光电：在集中式储能和分布式储能领域均已开发相关产品,财联社
11,2021-12-08,中航光电(002179.SZ)：河南投资集团拟参与转融通证券出借业务 出借股数不超1099.94万股,格隆汇
12,2021-12-07,600万手封盘，“汉阳兵工厂”来A股了，抢筹资金两倍市值，北上资金扫货的军工股出炉！央行下调这两类再贷款利率,中国基金报
13,2021-12-04,天风2022年度策略·军工｜2022年新建产能将进入集中爬坡\达产期,天风研究
14,2021-12-02,筹码连续集中股名单（附股）,证券时报网
15,2021-12-01,三季度业绩大增股价却持续走低 京东方被面板价格下行“阴霾”缠绕,投资者网
16,2021-11-29,中信建投证券：2022看好军工全产业链,财经网
17,2021-11-29,国防军工行业周报：跨年估值切换行情有望持续 军工主流标的蓝筹化大势所趋,新浪
18,2021-11-28,国防军工行业周报：景气供需共振 关注军工电子、航发,广发证券
19,2021-11-28,国防军工行业周报：上游订货周期有望呈现 元器件最为直接,新浪
20,2021-11-27,中航光电华南产业基地在广州番禺动工预计年产值达55亿元,经济日报
21,2021-11-27,中航光电科技股份有限公司 关于非公开发行股票申请 获得中国证监会核准批文的公告,中证报
22,2021-11-26,中航光电：证监会核准公司非公开发行新股不超过约3.23亿股,每日经济新闻
23,2021-11-26,中航光电：非公开发行股票申请获得中国证监会核准批文,Wind
24,2021-11-26,中航光电华南产业基地项目广州动工 年产值将达55亿元,中新网
25,2021-11-25,中航光电(002179.SZ)取得不动产权证书,智通财经
26,2021-11-24,2021Q3公募基金军工股持仓分析： 业绩兑现带动配置提升，景气如期增配空间显著,国防军工参考
27,2021-11-23,关于核准中航光电科技股份有限公司非公开发行股票的批复,证监会
28,2021-11-22,A股早报2021年11月22日星期一,Wind
29,2021-11-21,国防军工行业：“供需共振”、“产能”、“空间” 景气稳增,广发证券
30,2021-11-19,国防军工行业周报：成长下的军工中枢向上 不断的布局机会,新浪
31,2021-11-17,有哪些“显山不露水”的军工基金？,养基司令
32,2021-11-16,军工行业2022年年度策略：“十四五”需求里程碑式兑现 聚焦基本面把握结构性机会,新浪
33,2021-11-16,国君军工 | 军工持仓创新高，航空航天最受关注,国泰君安证券研究
34,2021-11-16,北交所首批81家公司全扫描,Wind
35,2021-11-15,军工基金优选：基于重仓股预期收益率,新浪
36,2021-11-15,两家企业登陆北交所，带给陕西什么？,每日经济新闻
37,2021-11-15,创益通：目前公司与华为无直接的合作,Wind
38,2021-11-15,创益通：目前5G通讯连接器主要通过中航光电 间接向华为等客户提供产品服务,e公司
39,2021-11-15,305家公司公布最新股东户数,证券之星
40,2021-11-12,军工板块上中下游全面开花，多家券商认为有望保持高景气,Wind
41,2021-11-10,军工行业：基本面趋势不改 盈利持续高增长,新浪
42,2021-11-09,军工板块获资金增配，机构持股最大增仓变动超50%,Wind
43,2021-11-09,中航光电定增申请获证监会审核通过 拟募资不超过34亿元,上证报
44,2021-11-09,军工行业2022年度投资策略：迎接十四五跨越式发展,新浪
45,2021-11-08,中航光电最新公告：定增申请获证监会审核通过,证券之星
46,2021-11-08,中航光电：非公开发行股票申请获得证监会审核通过,每日经济新闻
47,2021-11-08,中航光电（002179.SZ）：原材料价格上涨对公司的影响相对有限 预计公司整体毛利率水平将保持相对稳定,智通财经
48,2021-11-05,中航光电：防务大批量降价整体影响小于市场预期,e公司
49,2021-11-04,国防军工：三季报业绩靓丽 进入发展快车道,新浪
50,2021-11-04,国防军工2021三季报综述：军工三季报增速40% 重点关注航发、导弹领域,新浪
51,2021-11-04,军工基金欢度“黄金周”，拆分份额笑纳新资金,Wind
52,2021-11-03,最新筹码集中股名单出炉，23股连续3期集中,Wind
53,2021-11-02,兴业证券：维持中航光电(002179.SZ)“增持”评级 营收业绩持续发力 合同负债大幅增长,智通财经
54,2021-11-02,国泰君安晨报,新浪
55,2021-11-02,中航光电(002179)：营收业绩持续发力 合同负债显着增长,新浪
56,2021-11-01,东方证券：给予中航光电买入评级，目标价位105.78元,证券之星
57,2021-11-01,国防军工行业：基本面与关注度双升 格局、空间为要,广发证券
58,2021-11-01,图解中航光电三季报：第三季度单季净利润同比增16.71%,证券之星
59,2021-11-01,中航光电前三季度扣非净利润增长5成 募投扩产强化领先优势,上证报
60,2021-11-01,【招商军工】中航光电（002179）：三季度业绩持续提升，资产负债表显示订单快速增长,招商军工研究
61,2021-11-01,国防军工行业周报：基金配置比例环比提升 三季度业绩持续向好,新浪
62,2021-11-01,中航光电(002179)：前三季归母 净利增长47.66% 军用连接器供需仍紧张,新浪
63,2021-10-30,中航光电：前三季度净利润16.23亿元，同比增长47.66%,资本邦
64,2021-10-30,航天电器(002025)：公司Q3业绩符合预期 有望充分受益下游需求增长,新浪
65,2021-10-29,中航科工(02357)：中航光电前九月归母净利润16.23亿元 同比增长47.66%,智通财经
66,2021-10-29,成绩单！中航光电：2021年第三季度净利润约5.09亿元，同比增长16.71%,每日经济新闻
67,2021-10-29,中航光电：前三季度净利润同比增长47.66%,Wind
68,2021-10-27,【机会挖掘】全军装备工作会议召开 武器装备现代化建设将带动行业景气度持续上行,证券时报网
69,2021-10-22,中航光电等11股股东户数降超5%,证券时报网
70,2021-10-19,汽车行业深度报告：电动智能驱动汽车连接器需求增长 本土企业迎成长良机,新浪
71,2021-10-18,国防军工行业周报：行业景气度长期向好 短期回调迎来布局机会,新浪
72,2021-10-18,国防军工行业周报：把握业绩确定性高及中下游抬升方向,新浪
73,2021-10-16,河南洛阳：到2025年九大产业集群规模突破5000亿元,Wind
74,2021-10-12,中航光电：两位高管发生人事变动 董监高成员变化,Ofweek
75,2021-10-12,电子元件企业百强榜 连接器企业表现亮眼,Ofweek
76,2021-10-11,中航光电(002179.SZ)：董事会秘书、财务总监辞职 董监高成员变化,格隆汇
77,2021-10-11,中航光电：刘阳因工作变动原因辞去公司董事会秘书及财务总监职务 董监高成员变化,每日经济新闻
78,2021-10-10,国防军工行业：财报季临近 军工配置性需求上升,广发证券
79,2021-10-09,中航光电控股子公司富士达：铜价上涨对成本影响有限,每日经济新闻
80,2021-10-08,【国金电子】瑞可达：高压连接器翘楚，乘新能源车东风扶摇直上,国金电子研究
81,2021-10-07,国防军工行业周报暨10月策略：关注业绩确定性高及中下游业绩抬升的标的,新浪
82,2021-10-02,新机会？10月金股出炉(名单),证券之星
83,2021-09-30,长江策略2021年10月金股推荐,新浪
84,2021-09-30,河南区域股市周报：新增1家上市公司 3家机构调研四方达,每日经济新闻
85,2021-09-29,中航光电(002179.SZ)签订《国有建设用地使用权出让合同》,智通财经
