,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
0,2021-12-30,【东北军工王凤华】行业周报：航天电子发布定增预案，产能释放加速行业需求分解,东北证券研究所
1,2021-12-27,12月两融余额缩水超200亿，3股逆势获净买入超10亿！,Wind
2,2021-12-24,西安疫情！多家当地上市公司回应影响,Wind
3,2021-12-23,2021年中国通用航空行业产业链现状及市场竞争格局分析 广东省产业链较为完善,前瞻研究院
4,2021-12-14,陕西区域股市周报：2亿融资买入中航西飞 派瑞股份跌11.57%跌幅第一,每日经济新闻
5,2021-12-14,又178家机构调研国际医学，中航西飞获2亿融资，市值却缩水近百亿,每日经济新闻
6,2021-12-14,A股收盘综述：元宇宙再现涨停潮，白酒、电力、数字货币逆市上扬,Wind
7,2021-12-14,航母板块发力，航发科技上板,Wind
8,2021-12-08,陕西区域股市周报：260家机构调研延安必康 陕西金叶涨30.23%涨幅第一,每日经济新闻
9,2021-12-08,巷观陕股〡260家机构调研延安必康，陕西金叶10天7板后闪崩,每日经济新闻
10,2021-12-08,财信证券：给予中航西飞买入评级，目标价位49.2元,证券之星
11,2021-12-08,财信证券维持中航西飞推荐评级：公司预计明年关联交易183亿元；股权激励或有进展,每日经济新闻
12,2021-12-08,12股获券商买入评级，蓝思科技目标涨幅达50.82%,Wind
13,2021-12-07,国防军工ETF（512810）放量下跌3.45%，成交额创上市新高,Wind
14,2021-12-07,中航西飞(000768)：2022年关联采购预计持续增长；章程首提“加大核心骨干激励”,新浪
15,2021-12-07,浙商证券：维持中航西飞(000768.SZ)“推荐”评级 关联采购预计持续增长 长周期成长确定性高,智通财经
16,2021-12-06,中航西飞(000768.SZ)：拟将节余募集资金约2.52亿元用于永久补充流动资金,格隆汇
17,2021-12-06,中航西飞：韩一楚先生因工作调整申请辞去公司董事职务 董监高成员变化,每日经济新闻
18,2021-12-06,中航西飞(000768.SZ)：韩一楚辞去公司董事职务 董监高成员变化,智通财经
19,2021-12-06,中航西飞：公司董事辞职 董监高成员变化,Wind
20,2021-12-02,最新筹码集中股名单出炉，股东户数最多已连降22期,Wind
21,2021-12-01,22股筹码连续3期集中,证券时报网
22,2021-11-30,巷观陕股〡军工“隐身材料”冠军IPO过会，陕西金叶一周涨39.19%,每日经济新闻
23,2021-11-29,中信建投证券：2022看好军工全产业链,财经网
24,2021-11-29,国防军工强势领跑，国防军工ETF年内涨逾22%,Wind
25,2021-11-29,国防军工行业周报：跨年估值切换行情有望持续 军工主流标的蓝筹化大势所趋,新浪
26,2021-11-28,国防军工行业周报：上游订货周期有望呈现 元器件最为直接,新浪
27,2021-11-25,中航西飞(000768)：军民飞机齐放量 盈利提升可预期,新浪
28,2021-11-24,最新筹码集中股名单来了，谁才是最大黑马？,证券之星
29,2021-11-23,筹码新动向：128股筹码趋向集中,证券时报网
30,2021-11-23,陕西区域股市周报：美畅股份迎10家机构调研 派瑞股份一周涨32.90%,每日经济新闻
31,2021-11-23,巷观陕股〡受资本青睐，陕西又一龙头公司美畅股份迎机构集中调研,每日经济新闻
32,2021-11-22,A股收盘综述：创业板指放量大涨重回3500点！宁德时代再创新高！,Wind
33,2021-11-22,【十大券商一周策略】一板块将成市场最确定主线,Wind
34,2021-11-18,9万亿“大蛋糕”，超级牛散重仓杀入，曾擒获多只大牛！,每日经济新闻
35,2021-11-18,军工股尾盘逆势发力，中航西飞冲击涨停,Wind
36,2021-11-16,军工行业2022年年度策略：“十四五”需求里程碑式兑现 聚焦基本面把握结构性机会,新浪
37,2021-11-16,A股收盘综述：锂电、军工施压股指，北向资金底部净买医药白酒,Wind
38,2021-11-16,军工股午后持续走弱，中航西飞、三角防务跌超6%,Wind
39,2021-11-15,最全！2021年中国飞机产业整机制造上市公司市场竞争格局分析 三大方面全方位对比,前瞻研究院
40,2021-11-15,国防军工行业周报：航空产业链景气度持续高增 电科系资产证券化提速,新浪
41,2021-11-15,融资客青睐7股，未来股份买入占比高达42.68%,Wind
42,2021-11-15,15股获融资客大手笔净买入,证券时报网
43,2021-11-12,军工板块上中下游全面开花，多家券商认为有望保持高景气,Wind
44,2021-11-09,军工板块获资金增配，机构持股最大增仓变动超50%,Wind
45,2021-11-09,陕西区域股市周报：莱特光电科创板过会 1亿融资买入金钼股份,每日经济新闻
46,2021-11-09,军工行业2022年度投资策略：迎接十四五跨越式发展,新浪
47,2021-11-04,国防军工：三季报业绩靓丽 进入发展快车道,新浪
48,2021-11-03,财信证券：给予中航西飞增持评级，目标价位36.9元,证券之星
49,2021-11-01,10股获券商买入评级，巴比食品目标涨幅达49.27%,Wind
50,2021-10-29,浙商证券：给予中航西飞买入评级,证券之星
51,2021-10-29,解盘：百亿资金流入，网游、食品、医疗、三胎概念领涨,Wind
