,2021-12-31,A股资金流向：市场完美红盘收官，指数波澜不惊,Wind
0,2021-12-31,南大光电：公司ArF光刻胶正在下游客户进行验证,Wind
1,2021-12-31,10年投资6000亿、5年扩产30%，英特尔想赶超台积电却是痴心妄想,搜狐
2,2021-12-31,台湾业界关注华为精密制造：这是要造晶圆厂,C114通信网
3,2021-12-31,王传福和比亚迪“造富神话”,Wind
4,2021-12-31,股价最高涨超37倍的这家公司，4个月后20%流通股解禁 解禁,投资时报
5,2021-12-31,2022年港股怎么走？,腾讯网
6,2021-12-31,中国银河证券维持电子行业推荐评级：新品密集发布，电子创新不断,每日经济新闻
7,2021-12-31,概伦电子：公司NanoSpice?通过三星代工厂8nm工艺技术认证,每日经济新闻
8,2021-12-31,港股2021年收官：恒指跌13.93%恒生科指跌32.5% 最牛港股通标的涨6倍,新浪
9,2021-12-31,银河证券：电子行业盈利端有望维持快速增长,Wind
10,2021-12-31,银河证券：电子行业盈利端有望维持快速增长,证券时报网
11,2021-12-31,A股融资融券日报：两融余额增加32.82亿元（12月30日）,Wind
12,2021-12-31,半导体设备板块持续高景气 供需分化观点分歧未来如何掘金？ 专题,投资者网
13,2021-12-31,半导体103家上市企业研发费达365亿 国产化进程加快40家研发人员占比超50%,长江商报
14,2021-12-31,2021上市公司“金质量”奖评选结果出炉 212家公司、277位高管分享15项大奖,上证报
15,2021-12-31,智通港股早知道 | (12月31日)隔夜美股中概股暴涨，港股下午休市,智通财经
16,2021-12-30,智通港股公告精选︱(12.30)郑煤机拟与索恩格中国共斥3亿元布局新能源汽车核心零部件产业链,智通财经
17,2021-12-30,又一28nm晶圆厂计划浮出水面：困难重重,半导体行业观察
18,2021-12-30,【华西电子孙远峰团队】车规半导体空间足，国产替代提速,远峰电子
19,2021-12-30,中芯国际(00981)近期合共增发12.62万股股份,智通财经
20,2021-12-30,重磅！概伦电子成功科创板上市！,Ofweek
21,2021-12-30,芯片垄断不是唯一，美企统治99%中国市场，国产正打破僵局,搜狐
22,2021-12-30,【华西计算机】1230 | AI四小龙首股诞生，商汤涨超14%,科技晶选
23,2021-12-30,A股资金流向：元宇宙领衔题材多点开花，年末“红包”行情可期,Wind
24,2021-12-30,12月30日有研新材涨停分析：大基金二期，稀土磁材，中芯国际概念股概念热股,证券之星
25,2021-12-30,港股半导体板块走高 信利国际涨近4% 宏光半导体涨近3%,钢企网
26,2021-12-30,港股半导体板块走高 信利国际涨近4%,每日经济新闻
27,2021-12-30,秀出20CM涨停板，“科技股信仰”火爆！亚洲AI巨头上市首日盘中飙涨22%，北向资金半日净流入A股近83亿元,中证报
28,2021-12-30,规模超1200亿元这个超级“创投航母”启航,东方网
29,2021-12-30,中芯国际的话事人将要变了,Ofweek
30,2021-12-30,风享·TMT 一周谈 | 当下科技板块如何布局？20211228,天风研究
31,2021-12-29,国君香港：半导体景气度高企 第三代半导体前景广阔 建议低吸华虹和中芯国际,国泰君安证券香港
32,2021-12-29,2021年最悲情的技术：被淡忘的芯片回归视野,新浪
33,2021-12-29,摩根士丹利加码中国业务：单方面对摩根证券增资10亿元，持股比例将升至 94.06%！,每日经济新闻
34,2021-12-29,科创板尾盘资金动向：6股主力资金净流入超1000万元,证券时报网
35,2021-12-29,中芯国际大宗交易成交31.05万股 成交额1490.49万元,证券时报网
36,2021-12-29,"中芯国际现1笔大宗交易 共成交1,490.49万元",新浪
37,2021-12-29,万业企业(600641)：高能离子注入机通过验收 开启1+N平台化发展格局,新浪
38,2021-12-29,概伦电子登陆科创板，国产EDA迈上新台阶,半导体行业观察
39,2021-12-29,有研硅材冲刺科创板IPO 中国半导体硅材料实力几何？,经济观察网
40,2021-12-29,A股资金流向：权重股遭抛售，短线资金继续抱团热门股,Wind
41,2021-12-29,12月29日亚翔集成涨停分析：中芯国际概念股，半导体，折叠屏概念热股,证券之星
42,2021-12-29,江丰电子：国内高端溅射靶材龙头，产品已批量应用于7nm半导体芯片,第一财经
43,2021-12-29,国泰君安国际：半导体景气度高企，建议逢低买入中芯国际和华虹半导体,Wind
44,2021-12-29,国泰君安国际：半导体景气度高企 第三代半导体前景广阔,智通财经
45,2021-12-29,行业量化基金，能否获取长期稳定超额收益？,养基司令
46,2021-12-29,台积电、三星都用的国产EDA：可用于3nm芯片,Ofweek
