,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
0,2021-12-31,中远海控：公司高级管理人员叶建平、张铭文等合计减持30.38万股 减持股份,Wind
1,2021-12-31,中远海控：目前公司订造的32艘集装箱船舶，将采用传统燃料+脱硫塔的技术方案,每日经济新闻
2,2021-12-31,中远海控：公司主干航线运价稳定，东西干线出口市场保持满载状态,每日经济新闻
3,2021-12-31,中远海控：明年的长协运价预计将有一定提升,每日经济新闻
4,2021-12-31,中远海控：公司目前没有金融牌照,每日经济新闻
5,2021-12-31,中远海控：预计年底前将具备现金分红条件,每日经济新闻
6,2021-12-31,北向资金动向盘点：多点开花，平均推进,Wind
7,2021-12-31,A股融资融券日报：两融余额增加32.82亿元（12月30日）,Wind
8,2021-12-31,北向资金扫货A股81亿元 增持银行减持电力（个股名单） 减持股份,21世纪经济报道
9,2021-12-31,年报成绩单陆续出炉，20家公司净利润预增超100%,Wind
10,2021-12-30,陆股通净买入81.41亿元，连续4日净买入,证券时报网
11,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
12,2021-12-30,A股资金流向：元宇宙领衔题材多点开花，年末“红包”行情可期,Wind
13,2021-12-30,A股融资融券日报：两融余额减少8.94亿元（12月29日）,Wind
14,2021-12-29,中远海控(601919.SH)选举执行董事万敏担任董事长,智通财经
15,2021-12-29,A股融资融券日报：两融余额增加34.59亿元（12月28日）,Wind
16,2021-12-29,港股海运板块走高 中远海控涨近4% 东方海外国际涨超3%,每日经济新闻
17,2021-12-28,12月股东减持超650亿，45家大额解禁来袭,Wind
18,2021-12-28,A股资金流向：锂矿价格飙升修复股价背离，新能源全线反弹,Wind
19,2021-12-28,【行情】港股海运板块走高，中远海控涨近4%，东方海外国际涨超3%，中国外运、中远海发、中远海能跟涨,金十数据
20,2021-12-28,A股收盘综述：盐湖提锂、锂矿板块爆发，资金大举买入盐湖股份、天齐锂业,Wind
21,2021-12-28,【异动股】中远海控(01919.HK)涨3.24%,财华社
22,2021-12-28,港股异动︱中远海控(01919)午后涨近4%领涨港口运输板块 因多艘邮轮暴发疫情 美疾控对68艘邮轮展开调查,智通财经
23,2021-12-28,A股融资融券日报：两融余额增加29.17亿元（12月27日）,Wind
24,2021-12-27,非典型航运股：疫情红利不是海丰国际连续上涨的唯一原因,巴伦周刊
25,2021-12-27,A股融资融券日报：两融余额减少95.83亿元（12月24日）,Wind
26,2021-12-26,2021薪酬最高的十个行业,新浪
27,2021-12-26,交运物流行业周报：集运需求持续旺盛 运价高位小幅上行,新浪
28,2021-12-24,中远海控：中远海运集团持股比例提高至46.68％,上交所
29,2021-12-24,融资客青睐14股，三旺通信买入占比高达56.58%,Wind
30,2021-12-24,A股融资融券日报：两融余额增加19.59亿元（12月23日）,Wind
31,2021-12-23,港股异动 | 中远海控(01919)涨超5% 中远海运集团累计增持公司6248.7万股H股,智通财经
32,2021-12-23,港股异动 | 中远海控涨5% 控股股东累计增持6248.7万股H股,格隆汇
33,2021-12-23,【异动股】中远海控(01919.HK)涨3.08%,财华社
34,2021-12-23,【港股通】中远海控(01919)回升3% 获中远海运集团累计增持公司6248.7万股H股,和讯
35,2021-12-23,融资客青睐4股，航亚科技买入占比高达45.01%,Wind
36,2021-12-23,A股融资融券日报：两融余额增加24.04亿元（12月22日）,Wind
37,2021-12-22,五矿稀土发布战略性重组；拓普集团拟在重庆建设新能源汽车基地,21世纪经济报道
38,2021-12-22,中远海控(01919)：中远海运集团累计增持公司6248.7万股H股,智通财经
39,2021-12-22,南向资金今日净买入30.47亿港元，腾讯控股再获净买入4.82亿港元,Wind
40,2021-12-22,中远海控：中远海运集团累计增持公司H股股份约6249万股,每日经济新闻
41,2021-12-22,中远海控：建议股东优先选择通过网络投票参加本次股东大会,Wind
42,2021-12-22,中远海控：控股股东累计增持H股6248.7万股,Wind
43,2021-12-22,中远海控：控股股东累计增持H股6248.7万股,财联社
44,2021-12-22,A股资金流向：热门股大面积退潮，消费电子转型预期获资金关注,Wind
45,2021-12-22,【异动股】中远海控(01919.HK)跌3.47%,财华社
46,2021-12-22,A股融资融券日报：两融余额减少7.19亿元（12月21日）,Wind
47,2021-12-21,北向资金交投意愿转淡连续3日净卖出，白酒、新能源均遭出货,Wind
48,2021-12-21,国海证券首予中远海控增持评级，公司深度研究：行业景气延续，业务发展可期,每日经济新闻
49,2021-12-21,国海证券：给予中远海控增持评级,证券之星
50,2021-12-21,北向资金动向盘点：不仅没砸盘，反而逢低净买电子、传媒,Wind
51,2021-12-21,A股融资融券日报：两融余额减少40.23亿元（12月20日）,Wind
52,2021-12-21,严打“假外资”影响几何？北向资金连续2日净卖出，出逃这些股（名单）,21世纪经济报道
53,2021-12-20,杨志坚 中远海控执行董事、总经理获2021中国互联网经济年度人物奖,硅谷动力
54,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
55,2021-12-20,【异动股】中远海控(01919.HK)涨3.81%,财华社
56,2021-12-20,A股融资融券日报：两融余额减少80.19亿元（12月17日）,Wind
57,2021-12-20,中远海控(601919)　数字化及端到端有望提升盈利稳定性,财富动力网
58,2021-12-19,天风证券：给予中远海控买入评级,证券之星
59,2021-12-19,天风证券维持中远海控买入评级：不止长协，数字化及端到端有望提升盈利稳定性,每日经济新闻
60,2021-12-19,6股获买入评级 最新:中远海控,中财网
61,2021-12-19,揭秘牛股4大基因！18股或成下一个十倍牛股,Wind
62,2021-12-19,数据揭秘牛股四大基因，下一个十倍牛或是它们，快看看你持仓了吗,e公司
63,2021-12-17,"中远海控现1笔大宗交易 共成交1,471.20万元",新浪
64,2021-12-17,中远海控今日大宗交易成交80万股，成交价18.39元折价1.76%,Wind
65,2021-12-17,A股融资融券日报：两融余额增加5.56亿元（12月16日）,Wind
66,2021-12-16,【异动股】中远海控(01919.HK)涨3.19%,财华社
67,2021-12-16,A股融资融券日报：两融余额增加10.27亿元（12月15日）,Wind
68,2021-12-16,22股获券商买入评级，康泰生物目标涨幅达97.29%,Wind
69,2021-12-16,2022年跨境物流行业年度策略：中国物流集团扬帆起航 实现全球物流自主可控,新浪
70,2021-12-15,中远海控(601919)：低估值引回购股权 长协驱动利润上修,新浪
71,2021-12-15,【异动股】中远海控(01919.HK)涨3.4%,财华社
72,2021-12-15,融资客青睐7股，厦门空港买入占比高达53.32%,Wind
73,2021-12-15,A股融资融券日报：两融余额增加9.31亿元（12月14日）,Wind
74,2021-12-15,北向资金动向盘点：两条主线清晰明了，但已无新能源,Wind
75,2021-12-15,北向资金抢筹逾60亿元，扫货股一览（名单）,21世纪经济报道
76,2021-12-15,北向资金抢筹逾60亿元，扫货股一览（名单）,21经济网
77,2021-12-14,30股主力资金净流入超亿元,证券时报网
78,2021-12-14,A股主力资金流向：净流出额创一个半月新高，新能源、周期股集体遭抛售,Wind
79,2021-12-14,【异动股】中远海控(01919.HK)跌3.49%,财华社
80,2021-12-13,中远海控：12月29日举行H股类别股东大会,Wind
81,2021-12-13,中远海控：将于12月29日召开临时股东大会,Wind
82,2021-12-13,A股主力资金流向：电力股获资金抢筹，新能源持续回暖,Wind
83,2021-12-13,A股融资融券日报：两融余额增加0.16亿元（12月10日）,Wind
84,2021-12-13,25股获券商买入评级，中远海控目标涨幅达101.13%,Wind
85,2021-12-13,【银河交通王靖添】行业周报丨中国物流集团正式成立，全面看好综合物流赛道长期投资价值,中国银河证券研究
