,2021-12-24,中金黄金：公司四季度生产经营情况正常，产量稳定,每日经济新闻
0,2021-12-22,中金黄金：截至2021年三季度末，公司存货为135.80亿元,每日经济新闻
1,2021-12-22,中金黄金：公司目前暂未接到控股股东关于增持公司股票的通知,每日经济新闻
2,2021-12-22,中金黄金：下属公司内蒙古矿业的钼是铜的伴生产品，目前正在满负荷生产,每日经济新闻
3,2021-12-22,中金黄金：公司四季度经营情况尚需统计和测算，具体将在2021年年度报告中披露,每日经济新闻
4,2021-12-21,中金黄金：融资余额比上日降0.86%，融券余额比上日增11.40%,资本邦
5,2021-12-13,北向资金连续9日净买入累计加仓近700亿，爆买东方财富超17亿,Wind
6,2021-12-13,中金黄金：公司第一期股权激励计划正在实施过程中,每日经济新闻
7,2021-11-25,刘纪鹏任5家上市公司独董累计入账近500万 回应辞任万润股份独董：确属巧合 不会当逃兵 董监高成员变化,长江商报
8,2021-11-24,中金黄金：公司只在境内发展资源开发和采选业务,每日经济新闻
9,2021-11-24,万润股份股价下跌，刘纪鹏辞去独立董事职务 董监高成员变化,第一财经
10,2021-11-15,中金黄金：公司的存货主要为冶炼企业的存货,每日经济新闻
11,2021-11-02,黄金股异动，西部黄金、山东黄金、中金黄金跳涨,Wind
12,2021-11-02,【行情】黄金股异动拉升，中国黄金直线拉涨逾7%，曼卡龙、西部黄金、中金黄金、赤峰黄金等集体冲高,金十数据
13,2021-11-01,图解中金黄金三季报：第三季度单季净利润同比减7.00% 盈利能力下降,证券之星
14,2021-10-30,中金黄金股份有限公司 2021年第三季度报告,证券日报
15,2021-10-29,中金黄金：第三季度净利4.85亿元 同比下降7% 盈利能力下降,财联社
16,2021-10-29,中金黄金(600489.SH)：第三季度净利降7.00%至4.85亿元 盈利能力下降,格隆汇
17,2021-10-29,积极统筹生产经营 中金黄金前三季度净利润增长34%,上证报
18,2021-10-29,中金黄金：前三季度归母净利润同比增长33.74%，经营业绩保持稳定增长,证券时报网
19,2021-10-29,交卷！中金黄金：2021年第三季度净利润约4.85亿元,每日经济新闻
20,2021-10-29,中金黄金：前三季度净利润同比增长33.74%,Wind
21,2021-10-29,中金黄金：积极推进探矿增储、优质资产注入和不良资产退出,每日经济新闻
22,2021-10-29,中金黄金：矿权收购属于市场行为，公司不享有法律规定外的优先购买权,每日经济新闻
23,2021-10-29,中金黄金：公司下属公司内蒙古矿业的钼是铜的伴生产品，2020年产量为6978吨。钼价上升对公司业绩有正向作用,每日经济新闻
24,2021-10-27,中金黄金：公司子公司内蒙古矿业拥有铜储量约200万吨，钼储量约50万吨，在国内属于大型铜钼矿，但并非全国铜、钼储量最大的公司,每日经济新闻
25,2021-10-21,中金黄金：铜价上涨对公司业绩有正向影响,每日经济新闻
26,2021-10-21,【行情】黄金股异动拉升，赤峰黄金涨超7%，山东黄金、湖南黄金、银泰黄金、中金黄金等跟涨,金十数据
27,2021-10-21,中金黄金：公司2021年计划生产矿山铜8.1万吨,Wind
28,2021-10-11,中金黄金：硫酸作为冶炼流程中的副产品，各季度产量均衡，且利润受全年均价影响较大,每日经济新闻
29,2021-10-11,中金黄金：内蒙古矿业的钼是铜的伴生产品，各季度产量均衡，目前产能维持稳定,每日经济新闻
30,2021-09-28,中国黄金又上生态环境部公告 唐山长期违法露天开采 其他违规处罚,中国经济网
31,2021-09-28,中金黄金：目前公司生产经营稳定，基本未受到拉闸限电的影响,每日经济新闻
32,2021-09-28,中金黄金：公司下属子公司内蒙古矿业2020年生产钼6978吨,Wind
33,2021-09-27,中国黄金下属矿业公司长期违法露天开采 生态和自然地貌破坏严重 其他违规处罚,中新网
34,2021-09-27,中央生态环保督察：中国黄金集团河北金厂峪矿业公司长期违法露天开采 其他违规处罚,中国网
35,2021-09-27,北京专报丨“开膛破肚”式违法开采、环保验收弄虚作假 中国黄金被中央环保督察再点名 其他违规处罚,大众网
