,2021-12-31,年终盘点｜券商今年整体跑输市场 板块中8家上涨 中银证券年内腰斩成最“熊”,金融界
0,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
1,2021-12-31,中银证券实践案例入选2020年度证券行业文化建设年报,中国经济网
2,2021-12-31,融资客青睐6股，未来股份买入占比高达38.08%,Wind
3,2021-12-31,泰和新材：中银证券于12月29日调研我司,证券之星
4,2021-12-30,文化建设是资产管理行业行稳致远的根本,证券日报之声
5,2021-12-30,电气风电：浙商证券股份有限公司、中银国际证券股份有限公司等2家机构于12月3日调研我司,证券之星
6,2021-12-28,中银证券(601696.SH)：减持期过半 云投集团累计减持2050.76万股 减持股份,格隆汇
7,2021-12-28,中银证券：股东云投集团减持2051万股公司股份 减持股份,每日经济新闻
8,2021-12-28,中银证券(601696.SH)股东云投集团累计减持2050.76万股 减持时间过半 减持股份,智通财经
9,2021-12-28,中银证券：云投集团累计减持0.74%股份，减持时间过半 减持股份,Wind
10,2021-12-27,中国移动新股弃购7.56亿元！有公募基金弃购,Wind
11,2021-12-24,"中银证券现1笔大宗交易 共成交1,300.00万元",新浪
12,2021-12-24,中银证券今日大宗交易成交100万股，成交价13.0元折价0.99%,Wind
13,2021-12-23,中银证券首席经济学家徐高：重回政策市,每日经济新闻
14,2021-12-22,又一券商研究所所长离职，卖方人才变局背后原因几何？,Wind
15,2021-12-20,【行情】证券板块持续走弱，长城证券跌超4%，华林证券、东方证券、中银证券跟跌,金十数据
16,2021-12-19,中银证券全球首席经济学家管涛：美联储货币政策转向对中国影响有限，未来需从四方面着手应对,21经济网
17,2021-12-17,年底加速洗牌！多家券商研究所所长将调整,Wind
18,2021-12-16,中银证券：股东云投集团减持1193万股公司股份 减持股份,每日经济新闻
19,2021-12-16,中银证券(601696.SH)股东云投集团累计减持0.43%股份 减持数量已过半 减持股份,智通财经
20,2021-12-16,中银证券：公司股东云投集团累计减持0.43%股份 减持股份,Wind
21,2021-12-16,中银证券(601696.SH)：云投集团以集中竞价减持1192.6204万股 减持股份,格隆汇
22,2021-12-16,压力大全靠怼来发泄？光伏、半导体等行业频现卖方分析师互怼,Wind
23,2021-12-13,中银证券张燕：当前仍是投资者配置权益基金较好时机,中证网
24,2021-12-13,2022年A股行情可能怎么运行？你有何期待？,长沙晚报
25,2021-12-10,外资单日抢筹A股超200亿，跨年行情开启？人民币汇率隔夜逆转,Wind
26,2021-12-10,燕京啤酒：中银证券、中银国际等28家机构于12月8日调研我司,证券之星
27,2021-12-10,塔牌集团：中银证券、九泰基金等7家机构于12月8日调研我司,证券之星
28,2021-12-09,市场风格高低切换？大金融迎来估值，茅台盘中突破2100元/股,金融界
29,2021-12-09,全面回暖！外资单日抢筹A股超200亿，跨年行情开启？,Wind
30,2021-12-09,"中银证券现1笔大宗交易 共成交1,863.00万元",新浪
31,2021-12-09,中银证券今日大宗交易成交150万股，成交价12.42元折价13.87%,Wind
32,2021-12-09,各种茅集体大涨，外资狂买超200亿！后市如何走？,Wind
33,2021-12-09,沸腾了！酒茅、券茅、牙茅、医美茅集体大涨，外资狂买超200亿！券商百页研报推荐，1700亿龙头涨停！后市如何走？,券商中国
34,2021-12-09,解盘：人气持续回升，医美、餐饮旅游、家居、茅指数领涨,Wind
35,2021-12-09,A股午盘综述：沪指大涨剑指3700点，深成指收复15000点；北向资金跑步入场！,Wind
36,2021-12-09,券商股持续拉升，浙商证券触及涨停，华林证券此前封板，财达证券、中银证券、财,新浪
37,2021-12-09,证券股急拉，浙西南证券、财达证券、中银证券一马当先,Wind
38,2021-12-09,【行情】证券板块异动拉升，华林证券涨停，财达证券、中银证券、第一创业跟涨,金十数据
39,2021-12-09,西麦食品：中银证券、华美国际投资等19家机构于12月6日调研我司,证券之星
40,2021-12-08,1.68亿本息未收回！热衷地产信托的洋河股份失策了？,搜狐
41,2021-12-08,2022年券商策略：稳货币成共识 A股走势现分歧,搜狐
42,2021-12-08,【行情】券商股异动拉升，中泰证券一度涨超7%，中信建投、长城证券、广发证券、中银证券等集体走高,金十数据
43,2021-12-08,中银证券：明年A股投资聚焦科技成长,Wind
44,2021-12-07,中银证券召开“穿越迷雾 科技突围”主题年度策略会,中证网
45,2021-12-04,中银证券夏冰：居民财富保值增值诉求增强，投资需把握经济转型方向,Wind
46,2021-12-04,居民财富保值增值诉求增强 投资需把握经济转型方向,发布易
47,2021-12-02,积极布局ABS业务支持实体经济 中银证券再获英华奖两项殊荣,和讯
48,2021-12-02,拯救券商股！这家券商斥资上亿回购股份，什么信号？,Wind
49,2021-12-02,同亏26% 中银证券旗下两基金业绩垫底,金融投资报
50,2021-12-01,"年内逾1,600只新基成立创新高 发行份额环比回暖后再次趋于平淡",和讯
51,2021-11-29,2021年Wind“金牌分析师”权威揭榜,Wind
52,2021-11-27,金宏气体：中银证券、中信证券等15家机构于11月24日调研我司,证券之星
53,2021-11-25,"中银证券现1笔大宗交易 共成交2,160.00万元",新浪
54,2021-11-25,【行情】证券板块短线拉升，中泰证券涨超4%，财通证券、中银证券、广发证券跟涨,金十数据
55,2021-11-25,高澜股份：浙商证券、中银证券等11家机构于11月22日调研我司,证券之星
56,2021-11-23,天泽信息：因拍卖和被强平，孙伯荣及中住集团持股将减少3848.89万股 司法拍卖,Wind
57,2021-11-22,晚间重要公告2021年11月22日星期一,Wind
58,2021-11-22,合计套现超31亿元后，中银证券两股东仍拟继续减持 拟减持股份,电鳗快报
59,2021-11-21,陆家嘴财经早餐2021年11月21日星期日,Wind
60,2021-11-21,又有券商股遭减持！券商股权更迭频繁，产业资本为何买大卖小？ 减持股份,Wind
61,2021-11-21,又有券商股遭减持！券商股权更迭频繁，产业资本为何买大卖小？ 减持股份,券商中国
62,2021-11-20,中银证券：云投集团拟再次减持不超过2222.4万股公司股份 拟减持股份,中证网
63,2021-11-20,中银证券：股东云投集团计划减持不超过2222.40万股 拟减持股份,中国经济网
64,2021-11-20,上市公司正负面新闻2021年11月20日星期六,Wind
65,2021-11-19,晚间重要公告2021年11月19日星期五,Wind
66,2021-11-19,注意！中银证券：股东云投集团计划减持不超过2222.4万股,每日经济新闻
67,2021-11-19,中银证券(601696.SH)股东云投集团拟减持不超过2222.4万股 拟减持股份,智通财经
68,2021-11-19,中银证券：云投集团拟减持不超过0.8%公司股份 拟减持股份,Wind
69,2021-11-19,减持“瘦身”，华润信托降低减持国信证券比重，年内频见券商遭减持，更有清仓式退出 减持股份,财联社
70,2021-11-19,【行情】A股券商板块异动拉升，湘财股份直线冲板，广发证券、长城证券、东方证券、东兴证券、财达证券、中银证券等跟涨,金十数据
71,2021-11-16,拨备释放驱动银行业绩,证券市场周刊
72,2021-11-16,原子智库｜如果误判通胀形势，美国或付出经济滞胀的代价,腾讯网
73,2021-11-16,开市首日券商营业部调查：新股申购受投资者高度关注,证券日报
74,2021-11-12,房地产板块升温 重仓基金周内领涨,金融投资报
75,2021-11-12,管涛：美国这次通胀真是“暂时性”的吗？,新浪
76,2021-11-12,券商双11真拼了！40场直播，理财产品申购费率打1折,Wind
77,2021-11-11,洋河被投资“拖累”：投资收益变动抹平归母净利润增长 仍持有大量地产信托 盈利能力下降,新浪
78,2021-11-09,中银证券：融资余额比上日增0.38%，融券余额比上日增1.99%,资本邦
79,2021-11-08,天泽信息：中住集团被动减持股份比例达到1% 减持股份,财联社
80,2021-11-07,洋河股份不务正业，百亿巨资理财，地产信托埋下大雷,ZAKER
81,2021-11-05,投资地产信托受挫！股市风云变幻 洋河股份酒业第三不保？,凤凰网
82,2021-11-05,航天彩虹：中邮创业基金管理股份有限公司、中银国际证券股份有限公司等37家机构于11月2日调研我司,证券之星
83,2021-11-05,通裕重工：中银国际证券股份有限公司、财通基金管理有限公司等2家机构于11月3日调研我司,证券之星
84,2021-11-04,固收+“王牌搭档”再出基 中银证券恒瑞9个月持有期混合基金发行中,凤凰网
85,2021-11-03,投资亏损1.6亿，信托踩雷恒大、宝能，不务正业的“白酒老三”或将地位不保 投资失误,深蓝财经
86,2021-11-03,帝尔激光：平安理财、中银证券等29家机构于10月29日调研我司,证券之星
87,2021-11-03,国力股份：招商证券、中银证券等23家机构于10月18日调研我司,证券之星
88,2021-11-03,华邦健康：中银证券、中银证券等11家机构于11月1日调研我司,证券之星
89,2021-11-03,华明装备：中银证券、中银证券等5家机构于10月29日调研我司,证券之星
