,2021-12-31,长沙实现数字人民币税款缴纳全流程,中国金融新闻网
0,2021-12-31,交通银行金融研究中心：2022年人民币汇率仍将保持双向波动特征,金十数据
1,2021-12-31,国安国际(00143.HK)：交通银行菏泽分行向法院申请对国安集团进行重整 诉讼纠纷,格隆汇
2,2021-12-31,白银有色：股东国安集团被交通银行菏泽分行申请重整,Wind
3,2021-12-31,建筑业景气度季节性下降，但是建筑业经营活动预期较好，节假日影响结束之后建筑业景气度有望显著回升。,新浪
4,2021-12-31,用行动诠释责任 交通银行全力保障金融服务助力西安抗击疫情,和讯
5,2021-12-31,浙江湖州：绿色金融“贷”动美丽经济,经济日报
6,2021-12-31,北向资金动向盘点：多点开花，平均推进,Wind
7,2021-12-31,A股融资融券日报：两融余额增加32.82亿元（12月30日）,Wind
8,2021-12-31,交通银行山西省分行精准服务小微企业,证券时报
9,2021-12-31,铁打的银行流动的高管，“年轻时代”走上C位,Wind
10,2021-12-31,21家银行勠力14万亿绿色信贷，7家头部银行占比超七成,Wind
11,2021-12-30,优化顶层设计推行“双组长”制 交行打造乡村振兴新金融服务体系,上证报
12,2021-12-30,交通银行今日大宗交易成交778万股，成交价4.15元折价9.78%,Wind
13,2021-12-30,交通银行大宗交易成交1614.35万元,证券时报网
14,2021-12-30,"交通银行现1笔大宗交易 共成交1,614.35万元",新浪
15,2021-12-30,交通银行今日大宗交易成交389万股，成交价4.15元折价9.78%,Wind
16,2021-12-30,62万亿资管巨头出手！又一只公募基金获批，投向确定,Wind
17,2021-12-30,交通银行打造乡村振兴新金融服务体系,中国网
18,2021-12-30,交通银行山西省分行积极服务民营企业,证券日报
19,2021-12-29,"交通银行现1笔大宗交易 共成交1,106.60万元",新浪
20,2021-12-29,交通银行：多年来现金分红率一直保持在30%及以上,每日经济新闻
21,2021-12-29,交通银行今日大宗交易成交220万股，成交价5.03元溢价9.59%,Wind
22,2021-12-29,FASHION 有料 | 12.29 时尚快讯,搜狐
23,2021-12-29,交通银行党史学习教育宣讲团赴广东省分行开展指导工作,每经网
24,2021-12-29,交通银行第三季度在山西平均每百万个人客户投诉量居国有大型商业银行首位,中国经济网
25,2021-12-29,兴业科技(002674.SZ)拟向交行申请1.5亿元综合授信,格隆汇
26,2021-12-29,快讯 | 赢家时尚获交通银行3.5亿港元循环贷款融资,财经网
27,2021-12-29,A股融资融券日报：两融余额增加34.59亿元（12月28日）,Wind
28,2021-12-29,资管新规三年过渡期收官在即，28万亿元银行理财市场已重塑,Wind
29,2021-12-28,"交通银行现1笔大宗交易 共成交1,528.10万元",新浪
30,2021-12-28,交通银行今日大宗交易成交370万股，成交价4.13元折价9.83%,Wind
31,2021-12-28,*ST金正“摘星”在即 12月29日起撤销退市风险警示,红周刊
32,2021-12-28,交通银行全力支持能源保供,上证报
33,2021-12-28,交通银行今年已累计承销绿色债券金额超200亿元,财联社
34,2021-12-28,A股融资融券日报：两融余额增加29.17亿元（12月27日）,Wind
35,2021-12-27,交通银行今日大宗交易成交539万股，成交价5.0元溢价9.41%,Wind
36,2021-12-27,"交通银行现1笔大宗交易 共成交2,695.00万元",新浪
37,2021-12-27,交通银行副行长周万阜：多举措助力上海国际金融中心建设能级提升,上证报
38,2021-12-27,陆家嘴财经早餐2021年12月27日星期一,Wind
39,2021-12-27,交通银行山东省分行大力支持乡村振兴加大涉农贷款投放,发布易
40,2021-12-27,绘数字交行蓝图 铸湾区跨境品牌,南方日报
41,2021-12-27,党建引领数字化转型 重庆交行“科技赋能”办实事、解难题,经济日报
42,2021-12-27,货币政策“以我为主”显自信，精准调控渐入臻境,Wind
43,2021-12-27,超前发力重在稳预期，基建投资有望阶段性冲高,Wind
44,2021-12-27,2021基金业大变局，十大关键词描摹“黄金时代”,Wind
45,2021-12-26,数字人民币试点工作稳步推进 多地商家玩出新花样,证券日报之声
46,2021-12-26,重要信号！百亿级私募居然连续三周加仓,Wind
47,2021-12-26,专题：TLAC之下，银行资本工具发行需求有多大？,志明看金融
48,2021-12-26,时隔十年监管再发私行专营牌照，银行零售业务破局路在何方？,Wind
49,2021-12-26,时隔十年监管再发私行专营牌照，银行零售业务破局路在何方？,第一财经
50,2021-12-25,结构性存款“变阵”，规模骤降探路转型,Wind
51,2021-12-25,银行理财瞄准新年行情，“真净值”产品加盟贺岁档,Wind
52,2021-12-25,个人账户风险监管趋严，银行加快清理睡眠账户,Wind
53,2021-12-25,科创领航先锋 ——交通银行深圳分行科创先锋贷,21世纪经济报道
54,2021-12-24,江苏国泰使用3.2亿元闲置募集资金进行现金管理,乐居财经
55,2021-12-24,交通银行广西区分行 金融活水精准滴灌“菜篮子”供给企业,中国金融新闻网
56,2021-12-24,手机银行打法变阵：流量争夺暂停、转战财富管理,Wind
57,2021-12-24,稳投资布局“先手棋”，新一轮基建投资将升温,Wind
58,2021-12-23,海外信用评级汇总2021年12月23日星期四,Wind
59,2021-12-23,北向资金加仓近25亿结束连续4日净卖出，宁德时代净买入4.74亿元,Wind
60,2021-12-23,珠海在交行率先上线银税互联2.0 即日起，41项涉税事项可在交行网点自助办理,每经网
61,2021-12-23,交行重庆市分行：服务“双城记”的“金融答卷”,新华网
62,2021-12-23,沈山州走访交通银行,东方网
63,2021-12-23,交通银行在澳门成功发行粤澳合作主题债券,证券导报
64,2021-12-23,海南交行创新数字人民币推广模式直播间里引导市民“尝鲜”,证券导报
65,2021-12-23,交通银行山东省分行成功发行全国首单澳门金交所、卢森堡证交所双上市欧元债,新浪
66,2021-12-22,浪潮信息中标交通银行总行集中式存储采购项目,美通社
67,2021-12-22,5家全国性银行APP上线武汉地铁银联乘车码,金融投资报
68,2021-12-22,交通银行成功挂牌珠海市首家“零碳网点”,中投网
69,2021-12-22,创新机制 突出“合力” 交通银行服务首都“两区”建设见成效,中国金融新闻网
70,2021-12-22,万字长文详解2022年中国经济：如何稳增长？,Wind
71,2021-12-22,创新机制，突出“合力”，交行服务首都“两区”建设见成效,新华网
72,2021-12-22,助力新型农业经营主体发展 交行投放首笔“蔬菜e贷”,经济日报
73,2021-12-22,交通银行泰安分行遭诈骗损失超3亿，被开行长称“这锅我不背”,澎湃新闻
74,2021-12-22,海南交行创新数字人民币推广模式 直播间里引导市民“尝鲜”,海南在线
75,2021-12-22,交通银行河南省分行：实干为民显担当 金融普惠画新图,中国金融新闻网
76,2021-12-22,交通银行金融研究中心首席研究员唐建伟：明年新旧动能迎转换货币政策凸显结构性,Wind
77,2021-12-22,明年资产配置交银理财怎么看：必配A股！,Wind
78,2021-12-21,信号强烈，股价大涨！房地产市场预期正在好转,Wind
79,2021-12-21,交银2022展望：货币政策偏松调节 消费有望修复回暖 股债结构机会仍存,财联社
80,2021-12-21,地产板块大涨近4%，30多只券商股飘红！茅台走出“深V”，A股收复3600点,国际金融报
81,2021-12-21,万泽股份(000534.SZ)：子公司珠海万泽获得交行8.5亿元授信额度,格隆汇
82,2021-12-21,万泽股份旗下珠海万泽获交通银行8.5亿元贷款，期限不超10年,乐居财经
83,2021-12-21,高盛：料人行下调一年期LPR利率对内银股影响中性,Wind
84,2021-12-21,交通银行投放首笔“蔬菜e贷”助力新型农业经营主体发展,中国网
85,2021-12-21,A股融资融券日报：两融余额减少40.23亿元（12月20日）,Wind
86,2021-12-20,交通银行唐建伟：LPR利率下调意味着信用宽松窗口正在开启,上证报
87,2021-12-20,交通银行12月20日大宗交易成交1107.00万元,证券时报网
88,2021-12-20,"交通银行现1笔大宗交易 共成交1,107.00万元",新浪
89,2021-12-20,交通银行今日大宗交易成交270万股，成交价4.1元折价9.49%,Wind
90,2021-12-20,汇率风险侵蚀“薄利多销”出口企业增收难增利,中国经营报
91,2021-12-20,“降息”来了，大类资产配置将有变化？,Wind
92,2021-12-20,跨境理财通落地两月，内地投资者加仓基金产品！部分理财公司首次披露产品信息，最短封闭期一年,每经头条
93,2021-12-18,备战信贷“开门红”，银行开辟“专精特新”战场,Wind
94,2021-12-17,【银华基金】交易日报 2021-12-17,新浪
95,2021-12-17,科技向北，创新不止 ︳交通银行作为“科技向北”战略合作伙伴，全面支持科技创新,凤凰网
96,2021-12-17,央行榜单刷屏！金融机构重金砸向硬科技，银行业霸屏,Wind
97,2021-12-17,资管新规倒计时15天，银行理财进度条走到了哪？,Wind
98,2021-12-16,领益智造为东方亮彩提供不超1亿元担保 大额借贷担保,乐居财经
99,2021-12-16,交通银行大宗交易成交1193.10万元,证券时报网
100,2021-12-16,央行召开金融机构货币信贷形势分析座谈会,Wind
101,2021-12-16,"交通银行现1笔大宗交易 共成交1,193.10万元",新浪
102,2021-12-16,交通银行今日大宗交易成交291万股，成交价4.1元折价9.69%,Wind
