,2021-12-29,新浪医药年度盘点丨合久必分？2021医药行业十大拆分剥离动态 有人为“升级” 有人为“保命”,新浪
0,2021-12-28,年度盘点 | 2021国内药物研发失败案例一览，涉及百奥泰、人福、泽璟、信立泰,新浪医药
1,2021-12-28,重庆砾石24.6亿元“清仓”华泰保险 “安达系”持股比例再上升,和讯
2,2021-12-22,人福医药2020年度第二期中期票据付息工作完成,乐居财经
3,2021-12-22,华东医药、人福医药等多药企昨遭北向资金席位净流入,制药网
4,2021-12-21,人福医药(600079.SH)实控人及董事长已累计增持0.05%股份,智通财经
5,2021-12-21,人福医药(600079.SH)：“20人福MTN002”已于12月21日完成付息,智通财经
6,2021-12-17,巨额养老金投向哪了？未来怎么投？,Wind
7,2021-12-14,年内险企股权更迭频繁，中小险企成交易“主力军”，外资布局势头迅猛,北京商报网
8,2021-12-14,人福医药：实际控制人艾路明累计增持公司股份约25万股,每日经济新闻
9,2021-12-14,人福医药实控人艾路明累计增持0.02%股份，增持金额525.79万元,乐居财经
10,2021-12-14,人福医药(600079.SH)实控人艾路明增持25.06万股,智通财经
11,2021-12-10,人福医药：股东累计质押情况,每日经济新闻
12,2021-12-08,人福医药：子公司的注射用苯磺酸瑞马唑仑可用于胃镜检查的镇静,每日经济新闻
13,2021-12-08,人福医药(600079.SH)控股股东当代科技解质3200万股,智通财经
14,2021-12-08,恩华药业：公司咪达唑仑注射液已进入医保目录,Wind
15,2021-12-08,华泰保险股权遭多家上市公司清仓 高投诉率连续被监管部门通报,新浪
16,2021-12-06,晚间重要公告2021年12月6日星期一,Wind
17,2021-12-06,人福医药子公司镇痛类药物萘普生钠片获批上市,贝壳财经
18,2021-12-06,晚间公告｜12月6日这些公告有看头,第一财经
19,2021-12-06,人福医药：控股子公司萘普生钠片获得药品注册证书,Wind
20,2021-12-05,人福医药：两款药品进入国家医保目录 研发创新提高临床用药可及性,证券日报网
21,2021-12-04,人福医药“归核化”成效不佳？,中访网
22,2021-12-04,医保谈判平均降价61.71%，多个罕见病药物进入医保,Wind
23,2021-12-03,人福医药：两项药品纳入国家医保目录,财联社
24,2021-12-03,人福医药：公司产品注射用苯磺酸瑞马唑仑、咪达唑仑口服溶液纳入国家医保目录,Wind
25,2021-12-03,2021国谈“复战”品种结果直击！哌柏西利、O药、K药“三谈无缘”；GV-971、瑞马唑仑、达雷妥尤单抗…“复战入围”,新浪医药
26,2021-12-02,人福医药为宜昌人福药业提供2亿元综合授信担保 大额借贷担保,乐居财经
27,2021-12-02,人福医药：公司及全资或控股子公司对外担保总额约67.52亿元 大额借贷担保,每日经济新闻
28,2021-12-02,跨年行情如何布局？机构普遍看好这三大赛道,Wind
29,2021-12-02,人福医药(600079.SH)撤销医疗事业部 后续事宜由投资管理部承接,智通财经
30,2021-12-02,年关逼近，诺华、康恩贝等国内外药企纷纷抛售资产！ 资产异常,制药网
31,2021-12-02,华泰保险遭三家股东“清仓” “安达系”控股拟超50%,中国网
32,2021-12-01,年内46家险企股权变更及增资补血 保险业吸引优质长期股东,财经网
33,2021-11-29,人福医药(600079.SH)控股股东当代科技解质300万股及质押1500万股,智通财经
34,2021-11-29,“安达系”控股华泰保险终遂愿 王梓木交棒李存强,中国经营报
35,2021-11-29,安达系蛰伏华泰保险20年或能拿下控股权 两年耗资百亿扫货,长江商报
36,2021-11-25,历时三年半仍未获批，龙净环保终止收购华泰保险3.9%股权 并购重组异常,澎湃新闻
37,2021-11-24,年内险企股权更迭频繁，中小险企成交易“主力军”，外资布局势头迅猛,北京商报
38,2021-11-24,当代科技累计质押人福医药22.9%股份,乐居财经
39,2021-11-24,人福医药(600079.SH)控股股东当代科技解质1340万股及质押500万股,智通财经
40,2021-11-24,24股获券商买入评级，人福医药目标涨幅达107.14%,第一财经
41,2021-11-24,24股获券商买入评级，人福医药目标涨幅达107.14%,Wind
42,2021-11-23,“当代系”28亿出售华泰保险股权，“安达系”接盘坐稳头把交椅！,腾讯网
43,2021-11-23,人福医药拟10.26亿出售华泰保险股权 聚焦主业剥离非核心资产回笼超70亿 资产异常,长江商报
44,2021-11-22,晚间重要公告2021年11月22日星期一,Wind
45,2021-11-22,天风证券、人福医药拟出清华泰保险股权“安达系”接盘将获控股权,华夏时报
46,2021-11-22,“当代系”两上市公司拟清仓减持华泰保险股权 “安达系”离绝对控股仅一步之遥 拟减持股份,每日经济新闻
47,2021-11-22,转让价超28亿！天风证券、人福医药“清仓”华泰保险外资股东接盘,和讯
48,2021-11-22,天风证券、人福医药双双清仓华泰保险股份，交易价超28亿,资本邦
49,2021-11-22,为聚焦资产优化，这家药企拟10亿元继续出售非核心业务 资产异常,制药网
50,2021-11-22,人福医药10.26亿元出清华泰保险股权“归核聚焦”，持股三年“医药+保险”合作言易行难,中国经济网
51,2021-11-21,变现18亿！天风证券私募子公司清仓华泰保险，这家A股公司也退出，有何影响？,券商中国
52,2021-11-21,当代集团旗下两上市公司拟清仓华泰保险股权，交易价逾28亿,澎湃新闻
53,2021-11-21,拟清仓退出华泰保险，千亿民企当代集团“瘦身”不易,Wind
54,2021-11-21,“豪掷”28.34亿，安达系或将坐稳华泰保险头把交椅,环球老虎财经
55,2021-11-20,华泰保险变身外资？内资股东28亿元退出，“安达系”持股将过半,AI财经社
56,2021-11-20,人福医药、天风证券拟退出华泰保险！“安达系”持股比例将超50%,中证报
57,2021-11-20,上市公司正负面新闻2021年11月20日星期六,Wind
58,2021-11-19,人福医药拟出售华泰保险股份聚焦主业，交易价10.26亿元 资产异常,新京报
59,2021-11-19,晚间重要公告2021年11月19日星期五,Wind
60,2021-11-19,【晚间公告抢先看】比亚迪拟对子公司增资17亿美元、中银绒业拟20亿元投建8万吨锂电池正极材料磷酸铁锂项目,金融界
61,2021-11-19,人福医药：转让公司持有的华泰保险约2.52%股份,每日经济新闻
62,2021-11-19,人福医药：10.255亿元转让华泰保险2.5247%股份,Wind
63,2021-11-19,人福医药(600079.SH)拟10.25亿元转让华泰保险2.5247%股份,智通财经
64,2021-11-19,人福医药：拟10.26亿元转让华泰保险2.52%股份,财联社
65,2021-11-16,PARP和BTK进展如何？人福医药：以上研发项目正在正常推进中,每日经济新闻
66,2021-11-16,人福医药：目前武汉杰士邦卫生用品为 LifeStyles Healthcare Pte. Ltd.控股子公司，公司持有LifeStyles Healthcare Pte. Ltd.20%股权,每日经济新闻
67,2021-11-14,医保谈判月底公布，国内有75种PD-1在研，强生被分拆,健识局
68,2021-11-13,Wind风控日报2021年11月13日星期六,Wind
69,2021-11-13,上市公司正负面新闻2021年11月13日星期六,Wind
70,2021-11-12,犀牛财经晚讯：中芯国际短期内不会增加董事人数 欣锐科技收关注函 关注函,GPLP犀牛财经
71,2021-11-12,晚间重要公告2021年11月12日星期五,Wind
72,2021-11-12,晚间公告｜11月12日这些公告有看头,第一财经
73,2021-11-12,医保谈判之麻醉药丨风云四起，海思科或成最大赢家,贝壳社
74,2021-11-12,人福医药：终止ALK抑制剂临床试验,Wind
75,2021-11-12,社保基金连续五年重仓三大行业，长期持有31股,Wind
76,2021-11-12,社保基金连续五年重仓三大行业 长期持有31股,证券日报网
77,2021-11-11,社保基金连续5年重仓三大行业，“心头肉”曝光,证券时报网
78,2021-11-11,社保基金：“心头肉”曝光，最长持仓达16年，8只绩优压箱底股已打折，偏爱医药等三大行业,证券时报
79,2021-11-10,行业景气度上升 维生素概念股获机构关注,证券时报
80,2021-11-05,A股早报2021年11月5日星期五,Wind
81,2021-11-03,天风证券股份有限公司 关于以集中竞价交易方式 回购公司A股股份的报告书,证券时报
82,2021-10-31,千亿券商龙头下周解禁市值超百亿元，战略配售股东浮盈16亿元，还有这些股解禁压力大（附名单） 解禁,中证报
83,2021-10-30,稳了？天风证券前三季净赚6.35亿，远超去年全年！还要回购6亿股，主要股东表态不减持,券商中国
84,2021-10-30,又见券商回购自家股份，“牛市旗手”布局机会到了？,Wind
85,2021-10-30,人福医药集团股份公司 关于公司发行股份购买资产之部分限售股 上市流通的公告,证券时报
86,2021-10-29,下周253亿市值限售股解禁，中金公司解禁101.19亿元居首 解禁,Wind
87,2021-10-29,人福医药第三季度净利润同比增长95.76%,上证报
88,2021-10-29,人福医药(600079.SH)前三季度净利润10.94亿元 同比增长78.55%,格隆汇
