,2021-12-30,亿联网络：目前国内IP通信对模拟通信的替代尚未得到推广,每日经济新闻
0,2021-12-26,通信周报：如何理解和把握通信“三大变化”下的2022投资机会？,新浪
1,2021-12-17,A股再现“天价离婚案”：赛腾股份实控人“婚变” 涉30亿市值股权分割,21世纪经济报道
2,2021-12-16,亿联网络：股东陈建荣减持计划实施完毕，期间减持公司股份100万股,每日经济新闻
3,2021-12-16,亿联网络(300628.SZ)：特定股东陈建荣完成减持100万股 减持股份,格隆汇
4,2021-12-16,亿联网络：特定股东陈建荣累计减持0.11%股份 减持股份,Wind
5,2021-12-16,天价离婚案或再现！赛腾股份“夫妻档”闹分手 实控权添变数,财联社
6,2021-12-15,A股共发生158宗大宗交易成交31.01亿元（12月15日）,Wind
7,2021-12-15,亿联网络12月15日大宗交易成交4965.00万元,证券时报网
8,2021-12-15,"亿联网络现1笔大宗交易 共成交4,965.00万元",新浪
9,2021-12-15,亿联网络今日大宗交易成交62.50万股，成交价79.44元折价5.5%,Wind
10,2021-12-14,亿联网络：公司的收入结构中海外占比更大，公司也在积极开拓国内市场,每日经济新闻
11,2021-12-14,亿联网络：公司原材料采购以人民币支付，由国内的外协加工厂商加工制造公司产品,Wind
12,2021-12-14,通信行业周周谈：800G相干光模块未来两年逐步部署 5G应用已进入商业落地阶段,新浪
13,2021-12-10,创业板股融资余额增幅榜（附股）,证券时报网
14,2021-12-09,广元昭化区政府便民智慧社区服务，实现83项便民事项“村能办”,凤凰网
15,2021-12-07,亿联网络(300628)系列报告之四：从宝利通兴衰历程看亿联网络,新浪
16,2021-12-07,亿联网络&腾讯会议TVC840让企业多人大型会议不犯难,凤凰网
17,2021-12-07,国产通讯界“隐形冠军”，仅4年全球第一,Ofweek
18,2021-12-06,科技行业周报：锐捷网络过会；“两化融合”规划发布,新浪
19,2021-12-01,亿联网络：公司产品暂未有数字人民币支付设备通信系统方面的应用,Wind
20,2021-12-01,亿联网络：公司产品暂未有数字人民币支付设备通信系统方面的应用,每日经济新闻
21,2021-11-30,请收下这份线上活动成功秘籍，亿联网络三招让你成功办好会,凤凰网
22,2021-11-30,通信行业专题研究：5G用户持续开拓 云业务延续高增,新浪
23,2021-11-29,深交所：调整深证成指、创业板指、深证100等指数样本股,Wind
24,2021-11-29,通信行业周报：光模块迎估值修复 中天、拓邦锂电池高份额中标,新浪
25,2021-11-25,亿联网络广州体验中心正式开业 加速珠三角战略布局,凤凰网
26,2021-11-25,打造音视频协同生态 亿联网络战略投资「阅流」,凤凰网
27,2021-11-25,通信年度策略：数实融合与碳中和下通信新机遇,新浪
28,2021-11-25,招商通信周周谈(2021年第46周)：关注电网数字化智能化投资机会 重点推荐威胜信息,新浪
29,2021-11-24,亿联网络：目前公司产品的应用暂未涉及新能源领域,Wind
30,2021-11-24,亿联网络：公司目前经营情况良好，原材料短缺对产能端存在一定程度的影响，公司已采取积极的应对措施,每日经济新闻
31,2021-11-24,亿联凯泰基金 | 战略投资「阅流」，赋能音视频生产协同全流程,凤凰网
