,2021-12-31,35股今日获机构买入评级,证券时报网
0,2021-12-31,中银证券维持今世缘买入评级：今世缘发展大会释放积极信号，2021完美收官,每日经济新闻
1,2021-12-31,今世缘：公司目前未有生产或销售标注“特供”、“专供”、“专用”、“特制”、“特需”等字样的产品,Wind
2,2021-12-31,今世缘：公司预计目前基酒库存、现有产能及新建产能可以支撑“十四五”销售目标及更长远销售需求,每日经济新闻
3,2021-12-31,今世缘：目前没有生产或销售标注“特供”、“专供”、“专用”、“特制”、“特需”等字样的产品,每日经济新闻
4,2021-12-31,今世缘：公司底层为地产的投资占比较小，目前存量不多,每日经济新闻
5,2021-12-31,12月30日51只个股获券商关注，珠海冠宇目标涨幅达44.83%,每经网
6,2021-12-30,今世缘绘制百亿蓝图，“好中求快”引领新征程,糖酒快讯
7,2021-12-30,今世缘(603369)：V系列加快放量 百亿目标可期,新浪
8,2021-12-30,浙商证券维持今世缘买入评级：聚焦高质量发展，V99联盟助力升级,每日经济新闻
9,2021-12-30,【国海食饮| 今世缘事件点评：2022好中求快，区域龙头提速向前211230】,虎哥的研究
10,2021-12-29,华金证券：给予今世缘买入评级,证券之星
11,2021-12-29,3800亿白酒巨头大动作！又涨价了,Wind
12,2021-12-28,顺鑫农业冲击涨停，白酒板块急速拉升,Wind
13,2021-12-27,【开源食饮每日资讯1227】加加食品拟2亿元~3亿元回购股份,宇光食饮日讯
14,2021-12-27,【招商食品|最新】白酒期待备货开门红 大众品关注提价传导,招商食品饮料
15,2021-12-27,酒企迎来涨价潮，下一个会是谁？,Wind
16,2021-12-26,酒企提价“涨”声不断！白酒股跨年行情稳了？,Wind
17,2021-12-26,大消费专题策划一|白酒消费税之剑高悬 量减价增趋势将延续 香型争霸有戏码,财联社
18,2021-12-24,双击2021 | 看江苏白酒市场的“二个视角”,糖酒快讯
19,2021-12-24,白酒基金限购松紧不一，基金经理看好配置价值,Wind
20,2021-12-22,今世缘“豪掷”近14亿委托理财 其中一笔房地产信托会踩雷吗？ 投资失误,21世纪经济报道
21,2021-12-21,2012-2021年白酒春节行情总结,证券之星
22,2021-12-20,12.20 | 中国白酒企业超20万家；今世缘拓展省外市场；嘉士伯排名啤酒行业第一,糖酒快讯
23,2021-12-20,食饮行业周报：建议逢低加配白酒 食品寻找结构性投资机会,新浪
24,2021-12-20,华鑫证券：给予今世缘买入评级,证券之星
25,2021-12-20,茅台、五粮液又有大消息，2022年白酒股价受关注,Wind
26,2021-12-19,今世缘拓展省外市场,北京商报
27,2021-12-17,今世缘收回理财本金11亿元及收益2340.52万元,乐居财经
28,2021-12-17,2022年食品饮料年度策略：乘势而上 复苏在途,国海证券
29,2021-12-17,今世缘：以京津冀、广东、江西、湖南、湖北重点区域为核心，培育重点市场,每日经济新闻
30,2021-12-16,泸州老窖又涨价，今年已多次提价停货,Wind
31,2021-12-16,什么情况？白酒板块突然变盘，“两年十倍”白酒股逼近跌停,Wind
32,2021-12-16,解盘：资金持续流入，煤炭、工业母机、大基建、网游领涨,Wind
33,2021-12-14,【中泰食品|专题】价格持续修复，板块整体向好——食品饮料行业2021年10月线下商超数据点评,食品饮料俱乐部
34,2021-12-14,白酒股继续拉升，青海春天涨超7%，口子窖、今世缘、迎驾贡酒、泸州老窖等跟涨,新浪
35,2021-12-14,白酒股持续走强，青海春天、中锐股份、口子窖、今世缘涨幅居前,Wind
36,2021-12-13,贵州茅台斥资78亿元建设包装物流园项目 投资者表示“不可理解”,新浪
37,2021-12-13,今世缘参投南京领益基石股权投资合伙企业,乐居财经
38,2021-12-13,华创证券：提价预期升温，继续看好跨年行情,财联社
39,2021-12-10,白酒板块四周内录得20CM大涨，机构呐喊热门行情还将延续一段时间,Wind
40,2021-12-10,长信基金6产品前11月跌超10% 副总经理旗下混基占4席,中国经济网
41,2021-12-09,解盘：人气持续回升，医美、餐饮旅游、家居、茅指数领涨,Wind
42,2021-12-08,双节临近，“茅五泸”齐涨，消费股悄然崛起,Wind
43,2021-12-08,财信证券：白酒板块前期悲观情绪已充分消化 行业整体仍处于稳健上行周期,证券时报网
44,2021-12-07,食品饮料行业周报：老窖激励获批 顺鑫加快地产剥离 继续看多板块Q4行情,新浪
45,2021-12-06,【安信食品】周专题—新年度规划逐渐明朗，白酒22Q1开门红展望,安信食饮
46,2021-12-06,食品饮料行业研究周报：高端需求坚挺 看明年价格逻辑可期,新浪
47,2021-12-03,白酒板块冬季躁动愈演愈烈、连续三周强势上攻，机构明确四大利好,Wind
48,2021-12-03,白酒行业迎来信息密集释放期，多家机构力挺，跨年行情可期？,第一财经
49,2021-12-03,开源证券2022年度投资策略丨食品饮料：布局主题投资，关注反转机会,开源证券研究所
50,2021-12-02,时隔3年再出手，龙头酒企提价引发新一轮涨价潮？,Wind
