,2021-12-31,保利发展：见证发展的力量丨新年献词?,乐居财经
0,2021-12-31,保利物业：保利商业物业与保利发展控股订立《2022年物业租赁协议》,Wind
1,2021-12-31,保利物业(06049.HK)与保利发展控股订立2022年物业租赁协议,格隆汇
2,2021-12-31,重磅发布 | 观点指数·2021年度房地产企业销售表现,金融界
3,2021-12-31,“稳健者”保利的这一年：财务结构持续优化，逆市上扬营利双增,经济观察报
4,2021-12-31,"保利申请发行100亿中票,卓越商业43亿公募获受理",搜狐
5,2021-12-31,央行邹澜：鼓励金融为地产并购营造良好融资环境！地产指数单月反弹超11%,资本邦
6,2021-12-31,地产板块午后拉升，皇庭国际涨停，招商积余等走高,证券时报网
7,2021-12-31,保利发展激进拿地后频寻合作方，少数股东权益增速超净利润,中金在线
8,2021-12-31,房地产板块拉升 保利发展涨近5%,格隆汇
9,2021-12-31,【行情】房地产板块异动拉升，金地集团、西藏城投涨超5%，保利发展、沙河股份、万科A、金科股份、卧龙地产等跟涨,金十数据
10,2021-12-31,房地产股午后异动拉升,Wind
11,2021-12-31,首开保利·乐尚N+公寓开业 六成房源由中国运载火箭技术研究院承租,观点地产网
12,2021-12-31,头部房企仍韧性十足，碧桂园（02007.HK）连续四个月销售超500亿,财华社
13,2021-12-31,A股快报 | 地产板块上涨0.6% 保利发展涨幅1.06%,观点地产网
14,2021-12-31,走向良性循环的房地产业：交易现回暖迹象后，房企开启健康模式赛跑,Wind
15,2021-12-30,租赁社区首开保利·乐尚N+公寓开业 一期845套房源接近满租,新京报
16,2021-12-30,富利建设集团未严格按方案施工被罚 为保利发展子公司,中国经济网
17,2021-12-30,11月房企融资能力表现报告·观点月度指数,搜狐
18,2021-12-30,『读1悟2』年终特别策划⑤｜聚焦优势区域，每日经济新闻发布“2021国内十大房地产投资热点城市”,每经头条
19,2021-12-30,皮阿诺：于12月23日调研我司,证券之星
20,2021-12-29,谋定而后动，保利发展稳健前行业绩可期,21世纪经济报道
21,2021-12-29,政策回暖加速房地产行业格局重塑,和讯
22,2021-12-29,"保利发展(600048)：召开2022年第一次临时股东大会,股东大会召开日期为2022年1月14日",和讯
23,2021-12-29,保利发展聚焦产品力进阶 债务结构持续稳健显高质量发展底色,每经网
24,2021-12-29,快讯丨保利发展调整组织架构 并拟申请发行100亿元中期票据,财经网
25,2021-12-28,保利发展发布临时董事会决议 同意向银行间交易协会发行100亿元普通中期票据,和讯
26,2021-12-28,保利发展:对公司组织机构进行调整,搜狐
27,2021-12-28,2021房企综合实力百强公布：保利中海碧桂园万科等载誉而归丨榜单,新浪
28,2021-12-28,保利发展拟申请发行100亿普通中票 并调整公司组组织机构,观点地产网
29,2021-12-28,保利发展：拟申请注册发行100亿元中期票据,中金在线
30,2021-12-28,保利发展为上海两项目寻找投资方，均为在首轮集中供地中竞得,澎湃新闻
31,2021-12-28,房地产板块震荡下滑，阳光城跌停,Wind
32,2021-12-27,保利也“节衣缩食” 百亿上海静安项目欲引资头部房企合作,观点地产网
33,2021-12-27,民营房企躺平？北京第三批次土拍成交额腰斩，2宗地块流拍,新浪
34,2021-12-27,郑州第三批集中供地：保利发展近22亿竞得3宗城改地块,新京报
35,2021-12-27,2021北京土拍正式收官：1905亿背后的冷暖剧变,第一财经
36,2021-12-27,遇冷！昆明各区域一整年卖出的地，还没有去年一天的多,搜狐
37,2021-12-27,周末要闻！央行发声：满足购房者合理住房需求！地产ETF（159707）连续4日溢价收盘,资本邦
38,2021-12-26,保利发展再获宝安旧改 鹏城市场与保利置业重叠并行之考,观点地产网
39,2021-12-26,2022年Q1还有春季躁动行情吗？,王杨一东吴策略
40,2021-12-26,地产金融一周回顾 | 央行鼓励并购出险房企优质项目,新浪
41,2021-12-24,央企稳健优势凸显 保利发展受资本市场青睐,新浪
42,2021-12-24,地产股持续回暖翻红！地产ETF（159707）换手率超30%！中信年度策略：看好价值地产企业,金融界
43,2021-12-24,合景泰富辟谣背后：需警惕表外负债风险 大本营项目去化承压,中国经济网
44,2021-12-24,保利发展为上海灵石社区项目挂牌增资，拟出让其35%股权,乐居财经
45,2021-12-24,年底置业是时机？专家：可以入手但要看准楼盘,新快报
46,2021-12-23,财面儿丨保利发展拟转让上海美罗家园地块50%股权增资 征集投资方2个,财经网
47,2021-12-23,保利发展为上海宝山美罗家园项目挂牌增资，拟出让其50%股权,乐居财经
48,2021-12-23,A股午盘综述：电力股火了、光伏股强劲复苏，大唐发电太阳能等纷纷上板,Wind
49,2021-12-23,保利发展转让杭州保源置业50%股权，华润信托接盘,乐居财经
50,2021-12-23,地产行业研报：几处早莺争暖树，谁家新燕啄春泥【中信证券】,每经网
51,2021-12-23,A股快报 | 21只重点房企3只上涨 保利发展现涨幅1.23%,观点地产网
52,2021-12-23,27股获券商买入评级，上海建工目标涨幅达67.13%,Wind
53,2021-12-22,保利发展21.35亿商用物业ABS项目获上交所无异议函,观点地产网
54,2021-12-22,保利发展不超过21.35亿元资产支持专项计划获上交所无异议函,中金在线
55,2021-12-22,保利发展(600048.SH)：相关资产支持专项计划获上交所无异议函,智通财经
56,2021-12-22,保利发展(600048.SH)：“华夏资本中联-保利发展商用物业第二期资产支持专项计划”获上交所无异议函,格隆汇
57,2021-12-22,深化合作 共赢发展|江山欧派携手央企保利达成入户门集采合作,凤凰网
58,2021-12-22,黑龙江“秒删”楼市政策表态？万科A跌超2%，地产ETF（159707）换手率近50%！,资本邦
59,2021-12-22,地产产业链全线爆发 逾20股涨停,新浪
60,2021-12-22,券商机构看好地产股估值修复行情,Wind
61,2021-12-21,地产掀起涨停潮，板块一日飙升750亿，反转了？,搜狐
62,2021-12-21,地产行业点评：欲被拯救，必先自救【中信证券】,每经网
63,2021-12-21,低估值地产股罕见爆发，行业拐点已至？,证券之星
64,2021-12-21,A股收盘综述：40余只地产股涨停，市场资金蜂拥而入！热门妖股批量砸跌停,Wind
65,2021-12-21,地产股涨停潮霸榜！地产ETF（159707）涨超5%换手率超50%！9大机构火线解读!,资本邦
66,2021-12-21,中信证券：地产欲被拯救，必先自救,Wind
67,2021-12-21,主力紧急出手地产龙头、低位放量消费股出炉,Wind
68,2021-12-21,地产股掀涨停潮，行业至暗时刻结束？看8大券商解读,Wind
69,2021-12-21,地产股掀涨停潮！万科A、保利发展持续拉升！地产ETF（159707）涨超4%！,金融界
70,2021-12-21,A股午盘综述：地产板块火山喷发，嘉凯城等20余股涨停！热门妖股集体熄火,Wind
71,2021-12-21,政策持续助力，地产产业链全线爆发，特发服务等逾20股涨停,证券时报网
