,2021-12-31,电子行业研报：车规半导体空间足，国产替代提速【华西电子团队】,每经网
0,2021-12-31,“魔幻”2021：忆资本市场那些奇葩事,Wind
1,2021-12-31,兆易创新(603986.SH)：拟使用4亿元闲置自有资金购买理财产品,格隆汇
2,2021-12-31,专访中原豫资控股总经理缪文全：打造有特色的产业投资平台、有实力的国有资本投资运营公司,经济观察报
3,2021-12-31,招商银行、兆易创新等29股获北向资金增持额超亿元,证券时报网
4,2021-12-31,北向资金动向盘点：多点开花，平均推进,Wind
5,2021-12-31,北向资金扫货A股81亿元 增持银行减持电力（个股名单） 减持股份,21世纪经济报道
6,2021-12-31,全球单日确诊增至170万，抗疫妖股涨840%！芯片巨头进入紧急状态,Wind
7,2021-12-30,兆易创新今日大宗交易成交128万股，成交价169.41元折价4.0%,Wind
8,2021-12-30,"兆易创新现4笔大宗交易 共成交10,842.24万元",新浪
9,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
10,2021-12-30,兆易创新今日大宗交易成交64万股，成交价169.41元折价4.0%,Wind
11,2021-12-30,行业动态|西安疫情冲击芯片市场？分析人士称存储器芯片短期供应无虞 跌幅有望收敛,财联社
12,2021-12-30,兆易创新回应：工业市场确实对MCU有需求,Wind
13,2021-12-30,兆易创新：工业市场确实对MCU有需求,财联社
14,2021-12-30,兆易创新(603986)：存储芯片龙头 FLASH+MCU+DRAM三箭齐发打造长期成长,新浪
15,2021-12-30,什么情况？2个月8倍，九安医疗再度涨停,Wind
16,2021-12-30,紫光国微涨停，提振半导体板块,Wind
17,2021-12-29,十公司年内获上千家机构调研 迈瑞医疗、汇川技术最受关注,大众证券报
18,2021-12-29,A股午盘综述：白酒板块熄火，贵州茅台、五粮液、泸州老窖大步回撤,Wind
19,2021-12-29,苹果板块持续走软，闻泰科技、兆易创新、蓝思科技、长信科技领跌,Wind
20,2021-12-29,【行情】半导体及元件板块持续走弱，概伦电子跌超8%，世运电路、兆易创新、广东骏亚跟跌,金十数据
21,2021-12-28,12月股东减持超650亿，45家大额解禁来袭,Wind
22,2021-12-28,苹果公布全球200大供应商，有哪些新变化？,虎嗅网
23,2021-12-27,半导体周报：第三代半导体：我国公司厚积薄发 未来可期,新浪
24,2021-12-24,风口上的牛散：有人半年赚近3亿，有人坚守12载获60倍收益,Wind
25,2021-12-24,新兴市场：MCU更高集成更大算力,中国电子报
26,2021-12-24,市场需求强劲 MCU迎来新商机,中国电子报
27,2021-12-22,苹果板块火了，3000亿龙头股一度大涨8%！传筹建大型iPhone组装厂,中证报
28,2021-12-22,北向资金连续4日净卖出累计出货超百亿，立讯精密遭大幅净卖出6.46亿元,Wind
29,2021-12-22,芯片板块强势拉涨，韦尔股份、闻泰科技、兆易创新齐升,Wind
30,2021-12-21,66股获重要股东增持，四大领域最受青睐！,Wind
31,2021-12-20,芯海科技：芯海的MCU具有高精度、高可靠性、高性能的特点,Wind
32,2021-12-20,半导体：未来两年走势,半导体风向标
33,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
34,2021-12-17,北向资金结束连续12日净买入，药明康德遭大幅抛售超10亿元,Wind
35,2021-12-17,兆易创新(603986)：MCU和存储业务驱动业绩增长,新浪
36,2021-12-17,北向资金动向盘点：近两周加仓“非银”已超百亿,Wind
37,2021-12-17,北向资金买入力度加大，抢筹钢铁行业（名单）,21世纪经济报道
38,2021-12-17,2021十大最受机构关注公司　“抢手货”迈瑞医疗居首位,财富动力网
39,2021-12-17,净买入超820亿元，北上资金单月流入金额又创新高,Wind
40,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
41,2021-12-16,外资连续11天加仓，4000亿龙头被买爆！两大领域成扫货专区,Wind
42,2021-12-15,存储芯片巨头环伺，中国企业如何破局？,OFweek
43,2021-12-13,传统蓝筹“王者归来”，市场风格切换在即？,Wind
44,2021-12-10,“聪明钱”大手笔抢筹，跨年行情渐入佳境,Wind
45,2021-12-10,历史次高！ 北向资金单日净买入216亿元，人民币升值或是主要推手,Wind
