,2021-12-29,浙商机械 邱世梁||王华君【威唐工业】越南客户首款电车交付；动力电池箱体明年有望放量,高端装备制造及材料
0,2021-12-24,先导智能跌6.54% 睿远基金傅鹏博旗下一混基持股,中国经济网
1,2021-12-24,天风研究：新能源汽车电池产业链转债标的盘点,证券之星
2,2021-12-23,新能源装备龙头先导智能于海南成立全资子公司,证券导报
3,2021-12-22,13股获券商买入评级，完美世界目标涨幅达48.34%,Wind
4,2021-12-21,北向资金交投意愿转淡连续3日净卖出，白酒、新能源均遭出货,Wind
5,2021-12-20,先导智能跌3.94% 睿远基金与华泰柏瑞持股,中国经济网
6,2021-12-17,资本开支加大，油服迎周期性盈利改善,Wind
7,2021-12-17,先导智能王燕清出席cbis电池大会 关注新能源机遇与挑战,砍柴网
8,2021-12-16,先导智能于海南成立技术咨询公司，注册资本1000万元,乐居财经
9,2021-12-14,先导智能王燕清：锂电池智能制造趋势是智能化和无人化,上证报
10,2021-12-14,深度*行业*机械设备行业周报：中央经济工作会议强调双碳工作科学考核 风电、光伏相关设备景气度上升,新浪
11,2021-12-14,【机会挖掘】新能源汽车产销继续创新高 产业链步入高速成长阶段,证券时报网
12,2021-12-13,先导智能氢能项目获得机械工业进步一等奖 为新能源发展带来助力,砍柴网
13,2021-12-13,【渤海证券 汽车】销量环比持续改善，新能源汽车冲量创新高——汽车行业月报——中性,渤海证券研究
14,2021-12-12,多数海外中国地区基金收益为负，重仓茅台的回撤20%,Wind
15,2021-12-10,2021年11月中国A股电池行业上市企业市值排行榜：宁德时代总市值突破1.5万亿元,智研咨询
16,2021-12-07,机械行业月度动态报告：PMI重回荣枯线以上 北交所开市关注中小创投资机会,新浪
17,2021-12-07,金银河：锂电成色不足,证券市场周刊
18,2021-12-07,电气设备行业周报：光伏硅片下调报价 产业博弈出现拐点,新浪
19,2021-12-06,浙商机械 邱世梁||王华君【先导智能】签署欧洲锂电软包整线订单，国际化持续推进,高端装备制造及材料
20,2021-12-06,先导智能：公司已有固态电池生产设备相关布局和技术储备，部分产品可用于固态电池的生产,每日经济新闻
21,2021-12-06,机械行业：11月制造业PMI重回荣枯线上 关注制造升级投资机会,新浪
22,2021-12-06,先导智能：氢能装备业务的主要产品有PEM电解槽制氢设备、膜电极生产等,财联社
23,2021-12-06,先导智能与欧洲Inobat Auto正式签署合作协议,砍柴网
24,2021-12-06,电气设备行业周报：11月新势力销量大超预期 欧洲销量环比回暖,新浪
25,2021-12-06,英诺激光：公司激光器产品已应用于锂电行业,Wind
26,2021-12-06,机械行业2022年投资策略：继续聚焦大新能源领域 布局高景气赛道,西南证券
27,2021-12-06,机械设备行业：服务机器人 高速新赛道,新浪
28,2021-12-06,电力设备行业第49周周报：第二批新能源大基地开始申报 光伏绿氢首个万吨级项目启动建设,新浪
29,2021-12-06,15股获券商买入评级，安恒信息目标涨幅达45.45%,Wind
30,2021-12-05,机械设备行业跟踪周报：看好国产光伏锂电设备出海机会 建议关注双控边际影响削弱后通用自动化估值修复,新浪
31,2021-12-03,行业动态|锂电池掀扩产潮 上游设备商纷纷加码,财联社
32,2021-12-03,出海日报丨中国物联网市场全球占比或在2025年超26%；Grab登陆纳斯达克，上市首日破发大跌20.53%,36氪
33,2021-12-03,浙商证券维持先导智能买入评级：签署欧洲锂电软包整线订单，国际化持续推进,每日经济新闻
34,2021-12-03,浙商证券：维持先导智能(300450.SZ)“买入”评级 获锂电软包订单 受益于欧洲动力电池扩产,智通财经
35,2021-12-03,先导智能：为欧洲Inobat Auto提供锂电整线解决方案,e公司
36,2021-12-03,浙商机械 邱世梁||王华君【利元亨】再获蜂巢能源锂电设备大额订单，明年业绩将大提速,高端装备制造及材料
37,2021-12-02,浙商策略：聚焦“发电端”低碳、“用电端”低碳,证券之星
38,2021-12-01,新能源汽车行业周报：小鹏三季度交付量创新高 毛利率提升显着,新浪
39,2021-11-29,先导智能：控股股东变更名称,财联社
40,2021-11-29,机械设备行业研究周报：国内半导体设备行业将迎来高速发展,新浪
41,2021-11-29,机械行业周报：动力电池产能建设加速 锂电设备充分受益,新浪
42,2021-11-26,北向资金净卖出近45亿结束连续5日净买入，招商银行净卖出超6亿元,Wind
43,2021-11-26,北上资金白酒新能源全都要，“微信、支付宝收款码禁用”被误读？,Wind
44,2021-11-26,北向资金连续5日净买入，增持电池板块近10亿元，狂买这些龙头股！（名单）,21世纪经济报道
45,2021-11-26,北向资金动向盘点：打一枪换一个地方,Wind
46,2021-11-25,2021年10月国内动力电池产量点评：产装继续维持高景气 三元装机有所回暖,新浪
47,2021-11-25,电气设备行业2021年10月国内新能源车销量点评：产销持续创记录 全年销量340万辆可期,新浪
48,2021-11-25,结构化行情松动？国际投行喊话2022年超配A股,Wind
49,2021-11-24,结构化行情松动？底部小票开始迎接“20CM盛宴”,Wind
50,2021-11-24,2022年机械年度策略：精选个股 成长为王,新浪
51,2021-11-24,江苏区域股市周报：新增4家上市公司 85家机构调研斯莱克,每日经济新闻
52,2021-11-23,深度*行业*机械设备行业周报：“十四五”风电装机预期显著上提 风电零部件及主机龙头持续受益,新浪
53,2021-11-22,浙商机械 邱世梁||王华君【利元亨】高业绩考核股权激励彰显信心，明后年业绩将大增,高端装备制造及材料
54,2021-11-22,中国银河维持机械行业推荐评级：10月机器人产量增速10.6%，北交所开市关注中小创企业投资机遇,每日经济新闻
55,2021-11-22,机械设备：通用电子测量仪器市场空间及竞争格局,新浪
56,2021-11-22,机械设备行业研究周报：锂电迎来密集扩产期 持续看好新能源装备长期发展,新浪
57,2021-11-22,机械行业周报：低碳+全球化助力 锂电/光伏/风电设备将超预期,新浪
58,2021-11-22,中信建投机械设备2022年投资策略报告：短期寻求α，中长期顺应双碳背景,Wind
59,2021-11-21,机械行业周报：锂电行业景气度大概率延续 光伏行业重点推荐帝尔激光,新浪
60,2021-11-17,先导智能通过研发创新 用技术解决大圆柱电池整线技术瓶颈,砍柴网
61,2021-11-17,中航锂电激进扩产 远期产能剑指TWh级 设备环节有望维持高景气,财联社
62,2021-11-17,风格转向？200亿元资金净流出，新能源又遭跷跷板,Wind
63,2021-11-15,中国银河维持机械行业推荐评级：10月挖机销量降幅再扩大，关注4680电池量产对设备的影响,每日经济新闻
