,2021-12-31,年度盘点丨2021药企赴港IPO：互联网医疗企业偏爱港股，下半年市场转冷，24家跌破发行价,新浪医药
0,2021-12-31,凯莱英跌4.62% 两天前中国银河喊推荐,中国经济网
1,2021-12-31,中国CXO行业跟踪报告,周观宇论
2,2021-12-30,凯莱英大宗交易成交1.39万股 成交额625.50万元,证券时报网
3,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
4,2021-12-30,凯莱英现1笔大宗交易 共成交625.50万元,新浪
5,2021-12-30,凯莱英今日大宗交易成交1.39万股，成交价450.0元折价1.33%,Wind
6,2021-12-30,高盛增持凯莱英(06821)12.1万股，每股作价约316.84港元,智通财经
7,2021-12-30,北向资金动向盘点：食品饮料低迷，逆市抄底净买,Wind
8,2021-12-30,北向资金大幅减持医疗服务业逾10亿元，这些个股遭抛售（名单） 减持股份,21世纪经济报道
9,2021-12-30,凯莱英获高盛增持12.1万股H股,Wind
10,2021-12-29,凯莱英(002821)：CDMO龙头优势显现 连续签订超大订单,新浪
11,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
12,2021-12-29,医药生物：关注年报业绩预告有望高增长公司,新浪
13,2021-12-29,华软科技：卡龙酸酐已于近日突破合成工艺中试,Wind
14,2021-12-29,北向资金动向盘点：连续净买电新，王者已归来？,Wind
15,2021-12-29,北向资金净买入13亿元，增持银行电池，扫货这些个股,21世纪经济报道
16,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
17,2021-12-28,FIDELITY INVESTMENT TRUST增持凯莱英(06821)约26.22万股，每股作价约320.32港元,智通财经
18,2021-12-28,FMR LLC增持凯莱英(06821)约39.74万股，每股作价约320.33港元,智通财经
19,2021-12-28,CRO概念反弹，主力超3亿元加仓药明康德，这些股也获青睐,第一财经
20,2021-12-28,解盘：资金小幅流入，锂矿、数字货币、机器人领涨,Wind
21,2021-12-27,百济神州“穿绿鞋”仍下跌，高瓴持股11%没有限售期,第一财经
22,2021-12-27,华软科技：为凯莱英提供小分子新药项目的重要中间体,每日经济新闻
23,2021-12-27,中药股价暴涨，哪些标的适合机构配置？【东吴医药朱国广团队】,国广有话说
24,2021-12-24,"凯莱英现8笔大宗交易 共成交12,393.00万元",新浪
25,2021-12-24,凯莱英今日大宗交易成交27.54万股，成交价450.0元溢价5.3%,Wind
26,2021-12-24,华软科技：目前，公司与凯莱英的合作稳定，现阶段公司具有相应的生产能力,每日经济新闻
27,2021-12-24,【权益变动】凯莱英(06821.HK)获FIDELITY INVESTMENT TRUST增持26.22万股,财华社
28,2021-12-24,凯莱英获FMR LLC增持39.74万股H股,Wind
29,2021-12-24,大牛股再度20%涨停，交易所出手了！,Wind
30,2021-12-23,【权益变动】凯莱英(06821.HK)获FMR LLC增持39.7406万股,财华社
31,2021-12-23,CRO龙头凯莱英跌停带崩赛道,阿尔法工场
32,2021-12-23,风禾尽起：中国医药CDMO的机遇与挑战,CPhI制药在线
33,2021-12-23,最前线 | 辉瑞口服新冠特效药获FDA紧急授权，美政府采购价约合3370元/疗程,36氪
34,2021-12-23,辉瑞新冠口服药获批上市，其中国合作伙伴引发市场猜想,第一财经
35,2021-12-23,凯莱英(06821.HK)获高盛增持12.1万股,格隆汇
36,2021-12-22,【权益变动】凯莱英(06821.HK)获FMR LLC增持1.76万股,财华社
37,2021-12-22,中信建投：持续看好创新药国际化及CDMO长期竞争力,财联社
38,2021-12-21,【权益变动】凯莱英(06821.HK)被摩根大通减持11.18万股 减持股份,财华社
39,2021-12-21,FIDELITY INVESTMENT TRUST增持凯莱英(06821)7.51万股，每股作价约331.17港元,智通财经
40,2021-12-21,【异动股】凯莱英(06821.HK)跌3.12%,财华社
41,2021-12-20,“股灾”！药明康德再跌8% 葛兰刘彦春踩雷，高瓴又抢先了一步,证券之星
42,2021-12-20,CXO增长可持续性强，看好中药板块投资机会,金融界
43,2021-12-20,凯莱英(06821.HK)获FIDELITY INVESTMENT TRUST增持26.22万股,格隆汇
44,2021-12-19,自建团队降低成本，药企与CXO争夺临床试验控制权,第一财经
45,2021-12-17,“吃药”行情不再，CRO如惊弓之鸟，同仁堂跻身市值前十「制药行业周榜」,华夏时报
46,2021-12-17,FMR LLC增持凯莱英(06821)6.96万股，每股作价约361.67港元,智通财经
47,2021-12-17,【行情】CRO板块拉升反弹，凯莱英、康龙化成、博腾股份、药石科技、药明康德、昭衍新药等集体冲高,金十数据
48,2021-12-17,港股盘前必读：英国基准利率上调15个基点，美股全线下跌,Wind
