,2021-12-31,北京银行打造科技金融特色品牌 精准助力“专精特新”中小企业发展,华夏时报
0,2021-12-31,A股年度“涨停王”出炉，四成交易日均封板,Wind
1,2021-12-31,区域性银行数字化转型“样本”：上市城商行发力手机银行，成绩几何？,零壹财经
2,2021-12-30,2021年，长银五八、捷信、蒙商等多家消费金融公司换了一把手,WEMONEY研究室
3,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
4,2021-12-30,银行App本地生活服务场景“加减法”,零壹财经
5,2021-12-30,北京银行上一日融资余额降1.15%，最新股票质押共有25笔,资本邦
6,2021-12-29,今年首个获批开业的银行理财子公司来了，广银理财落户浦东,Wind
7,2021-12-28,"""入世""大盘点⑦：锚定大医养生态链，中荷人寿如何乘势而上？",和讯
8,2021-12-28,银行业零售布局再升级 “大零售”“大财富”成为转型发展关键词,中国金融新闻网
9,2021-12-27,北京银行同心抗疫愿长安常安,中国网
10,2021-12-27,PKS安全先进绿色计算2021生态大会金融专场：云话金融 大咖论道,美通社
11,2021-12-27,北京银行上周五融资余额19.7亿元，在两融标的中排159名,资本邦
12,2021-12-27,中银证券给予北京银行增持评级：管理推动基本面改善，估值提升可期,每日经济新闻
13,2021-12-27,中银证券：给予北京银行增持评级,证券之星
14,2021-12-24,北京银行精准助力小微企业纾困 “京诚贷”提供信贷资金超624亿,华夏时报
15,2021-12-24,北京银行：北京银行股份有限公司关于董事辞职的公告 董监高成员变化,新浪
16,2021-12-24,北京银行(601169.SH)提名周一晨等为监事候选人,智通财经
17,2021-12-24,北京银行(601169.SH)提名张东宁等为董事候选人,智通财经
18,2021-12-24,北京银行：董事彭吉海因个人原因辞职 董监高成员变化,Wind
19,2021-12-24,首批八家国家文化与金融合作示范区文化金融专营组织机构授牌签约,北京日报
20,2021-12-24,北京银行发布“专精特新”专属信贷产品 精准滴灌“专精特新”中小企业,中国经济网
21,2021-12-23,融资客青睐4股，航亚科技买入占比高达45.01%,Wind
22,2021-12-22,用心服务 京诚相伴 北京银行普惠金融精准滴灌助小微,北京商报
23,2021-12-22,北京银行：我行自上市以来即组建了投资者关系管理团队,Wind
24,2021-12-22,【理财公司持续扩容】今年以来，西安银行、北京银行等相继公告称拟设立理财公司。当前，理财公司队伍迅速发展壮大，已成为银行理财市场的主力，产品体系也进一步丰富。展望未来，多位专家认为，对于体外资金池、滥用摊余成本法等顽疾的治理，是未来理财发展中值得关注的要点。(中国证券报),中新经纬
25,2021-12-22,理财公司持续扩容，产品体系逐步丰富,Wind
26,2021-12-21,北京银行(601169.SH)：拟授予京东科技授信额度15亿元,格隆汇
27,2021-12-21,金融保险企业与品牌展会共成长,中国贸易报
28,2021-12-21,北京银行联合北京市文化和旅游局启动2021网红打卡地金融服务季,中国基金报
29,2021-12-21,北京银行与全国股转公司、北交所签署战略合作协议,中国基金报
30,2021-12-20,三联虹普(300384.SZ)：拟向北京银行申请不超1亿元综合授信额度,格隆汇
31,2021-12-18,中融信托：解直锟去世对公司经营和项目运作无实质影响,Wind
32,2021-12-17,四大金融机构共享服贸商机 共促合作发展,香港商报网
33,2021-12-16,北京银行王强：零售是数字化转型的最大受益者,新浪
34,2021-12-16,手机银行数字竞争力排行榜TOP100 (2021年Q3),零壹财经
35,2021-12-16,北京银行状告天洋控股等，案由系金融借款合同纠纷 诉讼纠纷,乐居财经
36,2021-12-14,A股共发生240宗大宗交易成交77.89亿元（12月14日）,Wind
37,2021-12-14,北京银行今日大宗交易成交56.44万股，成交价4.44元溢价0.23%,Wind
38,2021-12-14,深圳个别银行下调房贷利率，国有大行未跟进,Wind
