,2021-12-31,北新建材董事长王兵：建议房地产产业链成为实现“双碳”目标的主战场,每日经济新闻
0,2021-12-31,北新建材今日大宗交易成交72万股，成交价36.0元溢价0.47%,Wind
1,2021-12-31,北新建材嘉兴公司经营范围新增家用电器制造等,乐居财经
2,2021-12-30,北新建材今日大宗交易成交71万股，成交价36.0元溢价3.27%,Wind
3,2021-12-29,"北新建材现1笔大宗交易 共成交2,556.00万元",新浪
4,2021-12-29,北新建材今日大宗交易成交71万股，成交价36.0元溢价3.81%,Wind
5,2021-12-28,北新建材跌4.56% 兴证全球基金2只混基持股,中国经济网
6,2021-12-28,年底大宗交易井喷，四大行业获机构扫货！,Wind
7,2021-12-28,年末大宗交易增多，机构抢筹藏玄机,Wind
8,2021-12-27,建筑材料周观点：拿地改善反映土地市场回暖，继续推荐地产链,华创建筑建材研究
9,2021-12-27,建筑材料行业周报：品牌建材底部夯实；新材料板块景气延续,新浪
10,2021-12-27,南财研选｜新基建+老基建共振，稳增长政策信号企稳，建材行业迎布局机遇,21世纪经济报道
11,2021-12-27,怎样才是好的上市公司？宋志平：首要是聚焦主业,澎湃新闻
12,2021-12-27,建材股集体走强 北新建材涨超5%,格隆汇
13,2021-12-24,"北新建材现1笔大宗交易 共成交1,476.00万元",新浪
14,2021-12-24,北新建材今日大宗交易成交41万股，成交价36.0元溢价3.0%,Wind
15,2021-12-22,北新建材(000786.SZ)：大股东贾同春拟内部转让不超400万股予其所持的申鑫利24号,格隆汇
16,2021-12-22,北新建材(000786.SZ)大股东贾同春拟增加一致行动人及持股在内部转让,智通财经
17,2021-12-22,低位股悄悄崛起，机构高关注的低位绩优股名单来了,Wind
18,2021-12-21,北新建材：公司石膏板销售中，既有经销商自己提货也有由公司负责运输至经销商指定地点,每日经济新闻
19,2021-12-21,大摩中国：北新建材人事变动后将密切关注“21北新G1”对债券持有人利益有重大影响事项,中华网
20,2021-12-21,中材国际公司及全资子公司发布对外投资暨关联交易,电鳗快报
21,2021-12-20,北新建材：拟在泰国投建石膏板生产线及其他配套项目,e公司
22,2021-12-20,北新建材：关于公司独立董事辞职的公告 董监高成员变化,新浪
23,2021-12-20,北新建材拟向实控人中国建材借款 7560 万元,乐居财经
24,2021-12-20,北新建材：独立董事谷秀娟辞职 董监高成员变化,Wind
25,2021-12-20,北新建材(000786.SZ)：杨艳军、裴鸿雁拟辞任非独立董事职务 董监高成员变化,智通财经
26,2021-12-20,北新建材独立董事谷秀娟、非独立董事杨艳军及裴鸿雁辞任 董监高成员变化,乐居财经
27,2021-12-20,北新建材(000786.SZ)独立董事谷秀娟辞职 董监高成员变化,智通财经
28,2021-12-20,北新建材(000786.SZ)：拟向中国建材集团借款7560万元,格隆汇
29,2021-12-20,中材国际(600970.SH)拟与北新建材在泰国共建石膏板生产线及其他配套项目,智通财经
30,2021-12-20,北新建材：提名尹自波、贾同春为公司第六届董事会非独立董事候选人,每日经济新闻
31,2021-12-20,中材国际(600970.SH)及子公司拟与关联方在泰国合资设立公司,格隆汇
32,2021-12-20,中材国际：拟设合资公司投建纸面石膏板生产线等项目,财联社
33,2021-12-20,业绩承压！家居高管扎堆离职 盈利能力下降,中国房地产网
34,2021-12-20,建筑材料周观点：11月地产数据修复，继续推荐地产链建材,华创建筑建材研究
35,2021-12-20,没有意外！北新建材切割龙牌漆业务装进北新涂料,中化新网
36,2021-12-20,地产后周期的机遇与偏见,投资界
37,2021-12-19,国海证券：给予北新建材买入评级,证券之星
38,2021-12-19,国海证券给予北新建材买入评级：“一体两翼”布局加速，长期投资价值凸显,每日经济新闻
39,2021-12-17,北新建材：2020年末石膏板市场占有率约60%,乐居财经
40,2021-12-17,北新建材：2020年公司龙骨销量为30万吨左右,每日经济新闻
41,2021-12-15,暖风频吹，筑底回升：地产后周期迎估值修复,Wind
42,2021-12-13,北向资金连续9日净买入累计加仓近700亿，爆买东方财富超17亿,Wind
43,2021-12-13,北新建材现1笔大宗交易 共成交383.04万元,新浪
44,2021-12-13,建筑材料周观点：经济会议表态积极，重提房地产支柱产业，推荐地产链建材,华创建筑建材研究
45,2021-12-13,北新建材今日大宗交易成交14万股，成交价27.36元折价17.39%,Wind
46,2021-12-13,北新建材收报33.12元涨8.9% 总市值559.6亿元,乐居财经
47,2021-12-13,北新建材股价涨10.0% 现报33.44元,乐居财经
48,2021-12-13,北新建材股价涨9.9% 现报33.42元,乐居财经
49,2021-12-13,家居业一周｜大亚圣象接证监局警示函，志邦家居股票异常波动,贝壳财经
50,2021-12-13,A股午盘综述：沪指放量涨1%，时隔3个月重返3700点！元宇宙概念再度爆发,Wind
51,2021-12-13,北新建材股价涨停 现报33.44元,乐居财经
52,2021-12-13,快讯：北新建材涨停 报于33.44元,金融界
53,2021-12-10,北新建材：总经理陈雨辞职 董事长王兵暂代行职责 董监高成员变化,中国经济网
54,2021-12-10,北新建材：陈雨辞去董事、总经理及董事会相关专门委员会职务 董监高成员变化,每日经济新闻
55,2021-12-10,北新建材：总经理陈雨辞职 董监高成员变化,Wind
56,2021-12-10,北新建材转让龙牌涂料100%股份，北新涂料接盘,乐居财经
57,2021-12-09,“十四五”农村规划吹风会两大要点：消费更新+粮食安全，五大板块异动！,Wind
58,2021-12-08,北新建材：公司更换了签字注册会计师 变更会计师,每日经济新闻
59,2021-12-08,建材行业动态：多重利好强化信心 防水龙头突围可期,新浪
60,2021-12-07,建筑材料行业点评报告：地产链悲观预期有望修复 布局消费类建材/玻璃/水泥,新浪
61,2021-12-07,地产链板块集体走强，政策利好预期改善，这些板块有望估值修复,财联社
62,2021-12-07,北新建材大涨,新浪
63,2021-12-06,建筑材料周观点：硅片降价有望重启产业链需求，关注光伏玻璃的情绪提振行情,华创建筑建材研究
64,2021-12-06,建材行业周观点：“光储直柔”政策陆续出台 华为打造近零碳园区,新浪
65,2021-12-06,碳中和周报：“十四五”工业绿色发展规划出台 全力推动工业碳达峰,新浪
66,2021-12-06,建筑材料行业周报：玻璃价格回升 稳增长预期下关注水泥板块估值修复,新浪
67,2021-12-06,基础材料和工程服务行业北上资金周报,新浪
68,2021-12-05,建材行业定期报告：静待消费建材基本面改善 关注品牌化优质标的,新浪
69,2021-12-05,建材行业2022年投资策略：拨云见日,广发证券
70,2021-12-03,建材行业2022年度策略：传统领域柳暗花明 新兴链条焕发生机,新浪
71,2021-12-03,北新建材：公司已设立北新涂料有限公司，作为投资和运营涂料业务的平台,每日经济新闻
72,2021-12-02,北新建材联合国电科环集团，将在固废资源化利用等方面合作,乐居财经
73,2021-11-29,基础材料和工程服务行业周观点：浮法玻璃库存进一步下降 期货价格底部反弹,新浪
74,2021-11-28,建筑材料周观点：开工复苏有望前置，周期底部龙头有望强者恒强,华创建筑建材研究
75,2021-11-28,建筑材料行业：平板玻璃底部企稳 行业悲观预期有望修复,广发证券
76,2021-11-28,建筑材料周观点：原油大跌利好成本改善 玻璃库存下降关注冷修节奏,新浪
77,2021-11-26,北新建材(000786.SZ)拟继续使用不超2.55亿元闲置募集资金进行现金管理,智通财经
78,2021-11-26,建筑材料行业：10月新房交易跌幅或收窄 二手房景气仍较低,新浪
79,2021-11-25,北新建材：公司有耐水石膏板、耐火石膏板、净醛石膏板、双防石膏板和穿孔石膏板等纸面石膏板,Wind
80,2021-11-25,建筑材料行业：政策边际放松 玻璃加速冷修,广发证券
81,2021-11-24,北新建材(000786.SZ)：完成兑付本息10.13亿元超短融,格隆汇
82,2021-11-24,北新建材(000786.SZ)完成兑付10亿元超短期融资券,智通财经
83,2021-11-22,基础材料和工程服务行业周观点：行业磨底持续 关注遮阳材料细分赛道投资机会,新浪
84,2021-11-22,掌上辅材与北新建材战略合作搭建供应链,贝壳财经
85,2021-11-22,北新建材与掌上辅材战略签约，合作延伸至家装市场,乐居财经
86,2021-11-21,建筑材料行业：政策边际放松 利于行业悲观预期修复,广发证券
87,2021-11-21,建材行业定期报告：上下游压力纾缓 关注消费建材板块修复机会,新浪
88,2021-11-17,北新建材：公司石膏板产品在住宅以及工业厂房、酒店、宾馆、体育场馆、写字楼等商业和公共建筑领域的各种建筑物的建造和装修过程中被广泛应用,每日经济新闻
89,2021-11-17,北新建材：公司石膏板业务板块会根据市场供求、竞争及成本等情况调整石膏板产品价格,每日经济新闻
90,2021-11-17,北新建材：目前公司未与阿里游戏开展该方面的合作,每日经济新闻
91,2021-11-15,中国银河维持环保公用/建材/钢铁/煤炭行业推荐评级：深入打好污染防治攻坚战，推动经济社会绿色转型,每日经济新闻
92,2021-11-15,建筑材料行业周报：地产信贷有所修复 关注消费建材板块和出口链条标的,新浪
93,2021-11-14,北新建材：应收账款33.7亿元，应收票据大增142%｜债务风暴⑦,乐居财经
94,2021-11-13,北新建材状告北新防水房屋修缮，案由不正当竞争纠纷 诉讼纠纷,乐居财经
95,2021-11-11,北新建材收报28.77元涨8.2% 总市值486.1亿元,乐居财经
96,2021-11-09,蒙娜丽莎(002918)公司点评：至暗时刻或已过去 股权回购彰显长期发展信心,新浪
97,2021-11-09,北新建材：北新建材（海南）有限公司处于项目建设前期阶段，目前不涉及生产运营，正在办理注册地址变更事宜 项目问题,每日经济新闻
98,2021-11-09,北新建材与国检集团达成战略合作，在科技创新等方面深入合作,乐居财经
99,2021-11-09,【国信建材|行业专题】建材行业基金持仓专题：行业配置继续走低，光伏玻璃、玻纤较受关注,微信
100,2021-11-09,中信证券发布2022年海外中资股展望：价值崛起,Wind
101,2021-11-08,建材行业周观点：玻纤维持高景气 管材、消费建材成本承压,新浪
102,2021-11-08,北新建材状告北新建筑装饰，因侵害商标权纠纷 诉讼纠纷,乐居财经
