,2021-12-31,2021协同办公市场规模超500亿，为何大型政企更偏爱“收费”的360织语？,Ofweek
0,2021-12-31,半导体设备板块持续高景气 供需分化观点分歧未来如何掘金？ 专题,投资者网
1,2021-12-30,A股资金流向：元宇宙领衔题材多点开花，年末“红包”行情可期,Wind
2,2021-12-29,北方华创离中国的“应用材料”还有多远？,第一财经
3,2021-12-28,北方华创(002371.SZ)：拟出资1亿元参设北京京国管股权投资基金,格隆汇
4,2021-12-28,北方华创(002371.SZ)拟参设北京京国管股权投资基金,智通财经
5,2021-12-28,北方华创：参与设立北京京国管股权投资基金（有限合伙）,Wind
6,2021-12-26,北方华创：半导体设备种类丰富，受益于半导体扩产潮,每日经济新闻
7,2021-12-21,北向资金交投意愿转淡连续3日净卖出，白酒、新能源均遭出货,Wind
8,2021-12-20,北方华创：公司半导体设备销售以直销方式为主,每日经济新闻
9,2021-12-20,北方华创：公司实际控制人公布的减持计划尚未实施完毕,每日经济新闻
10,2021-12-20,北方华创：公司目前订单情况良好，经营正常,每日经济新闻
11,2021-12-20,半导体：未来两年走势,半导体风向标
12,2021-12-19,2021年A股年终盘点：十大超级牛股关键词,Wind
13,2021-12-17,12月17日热点题材概念分析：云游戏、福建自贸区领涨,搜狐
14,2021-12-17,茅台大跌800亿 具体是发生了什么？,至诚财经
15,2021-12-17,发生了什么？刚刚，茅台大跌800亿，芯片股狂跌！基金上市，立马30CM涨停！还能涨吗？,中国基金报
16,2021-12-17,A股午盘综述：充电桩概念股批量涨停，半导体、白酒两大热门板块卖压沉重,Wind
17,2021-12-15,中国电子专用设备工业协会：10大国产半导体设备供应商,199IT
18,2021-12-14,深度*行业*机械设备行业周报：中央经济工作会议强调双碳工作科学考核 风电、光伏相关设备景气度上升,新浪
19,2021-12-12,如何区分“阶段性成长股”和“长期成长股”？,虎嗅网
20,2021-12-10,京山轻机：生产清洗制绒设备的上市公司有捷佳伟创、迈为股份、北方华创等,每日经济新闻
21,2021-12-09,A股再融资月报：11月合计募资2256亿，4家公司再融资规模超百亿，中环股份降价开启硅片价格战？,每日经济新闻
22,2021-12-08,盛剑环境(603324)：立足泛半导体工艺废气治理 开拓湿电子化学品系统等业务,新浪
23,2021-12-08,电子行业2022年投资策略：半导体创新与国产化并重 汽车、VR／AR空间广阔,新浪
24,2021-12-08,大基金二期频出手，这类芯片价格创六年新高，高增长概念股名单出炉,Wind
25,2021-12-08,地产产业链集体走强，高景气赛道股持续调整,Wind
26,2021-12-07,大基金加速减持兆易创新，同行释放涨价信号，行业变局来了？,Wind
27,2021-12-07,600万手封盘，“汉阳兵工厂”来A股了，抢筹资金两倍市值，北上资金扫货的军工股出炉！央行下调这两类再贷款利率,中国基金报
28,2021-12-07,流动性周观察12月第1期：公募发行有所回暖 宏微观流动性环境再宽松,新浪
29,2021-12-06,基金收益跑不过银行定期，易方达付浩选择直接“躺下”？,新浪
30,2021-12-06,机械设备行业：服务机器人 高速新赛道,新浪
31,2021-12-02,北方华创：2018-2020年营业收入年复合增长率39.67%，归母净利润年复合增长率62.29%,每日经济新闻
32,2021-11-30,北京经开区集成电路企业涨声一片,新京报
33,2021-11-30,元宇宙炒作图谱：2大新特征正在浮现,Wind
34,2021-11-30,元宇宙炒作图谱：游资前仆后继，上演“最小阻力式”博弈,Wind
35,2021-11-29,深度*行业*机械设备行业周报：持续推荐高景气的半导体、海上风电、光伏HJT赛道,新浪
36,2021-11-29,机械设备行业研究周报：国内半导体设备行业将迎来高速发展,新浪
37,2021-11-29,银河电子周观点：国内10月手机出货量大幅增长 看好射频前端国产替代机遇,新浪
38,2021-11-29,科技硬件周报：功率半导体高景气度有望延续、关注5G+AIOT投资机遇,新浪
39,2021-11-28,电子行业周报：估值开始切换 乐观反映明年苹果、MINILED、半导体设备,新浪
40,2021-11-26,A股收盘综述：锂电池、稀土题材大涨，数字货币概念盘中异动,Wind
41,2021-11-26,【行情】半导体板块早盘走低，富瀚微跌超8%，国民技术、安路科技、卓胜微、赛微电子、北方华创等跌幅居前,金十数据
42,2021-11-26,半导体清洗设备，为何能成为中国芯片自主替代的“敲门砖”？,Ofweek
43,2021-11-25,北方华创(002371.SZ)实控人北京电控累计减持203.04万股 减持时间过半 减持股份,智通财经
44,2021-11-25,北方华创(002371.SZ)：减持期过半 北京电控已减持203.0381万股 减持股份,格隆汇
45,2021-11-25,北方华创：北京电控累计减持0.39%股份，减持时间过半 减持股份,Wind
46,2021-11-25,半导体刻蚀设备国产化,Ofweek
47,2021-11-25,手握“王炸”的半导体“新兵”，露笑科技是“真笑”还是“假笑”？,Ofweek
48,2021-11-23,深度*行业*半导体行业周报：思瑞浦发布数字隔离产品 FPGA安路科技上市,新浪
49,2021-11-23,深度*行业*机械设备行业周报：“十四五”风电装机预期显著上提 风电零部件及主机龙头持续受益,新浪
50,2021-11-22,电子行业周报：折叠屏关注度继续升温 德仪宣布大额扩产计划,新浪
51,2021-11-22,电子行业周报：苹果公司重回全球第一的宝座,新浪
52,2021-11-22,科技硬件周报：AIOT产业加速 CMP材料与设备受关注,新浪
53,2021-11-22,机械行业周报：低碳+全球化助力 锂电/光伏/风电设备将超预期,新浪
54,2021-11-22,新能源需求持续景气，产业转移为半导体设备材料,金融界
55,2021-11-22,中信建投机械设备2022年投资策略报告：短期寻求α，中长期顺应双碳背景,Wind
56,2021-11-21,从晶圆厂，看设备国产化,半导体风向标
57,2021-11-21,7000亿大市场！傅鹏博、朱少醒、谢治宇、刘格菘…顶流们都来了,Wind
58,2021-11-21,7000亿大市场！傅鹏博、朱少醒、谢治宇等顶流们都来了,Wind
59,2021-11-19,捷佳伟创：公司已有HJT订单,Wind
60,2021-11-19,国泰君安：维持北方华创(002371.SZ)“增持”评级 目标价降至518.14元,智通财经
61,2021-11-19,北方华创(002371)：半导体国产设备平台型龙头 产品布局广阔,新浪
62,2021-11-18,盘中涨超60%！国产半导体设备龙头上市，供货华虹中芯海力士,搜狐
63,2021-11-18,清洗设备深度报告：芯片良率的重要保障 清洗设备国产替代正当时,新浪
64,2021-11-17,深度*公司*盛美上海(688082)：持续技术创新、不断自我超越的半导体设备龙头,新浪
65,2021-11-17,中信证券：产能扩张+国产替代积极推进，看好未来1~2年半导体设备行业发展,e公司
66,2021-11-17,风格转向？200亿元资金净流出，新能源又遭跷跷板,Wind
67,2021-11-16,北向资金再度加仓近42亿连续4日净买入，批量扫货白酒医药股,Wind
68,2021-11-16,国家大基金又出手！3亿投向这只芯片股，瑞银、摩根大通也来了,Wind
69,2021-11-15,北方华创：锦州神工半导体是北方华创的供应商,每日经济新闻
70,2021-11-15,北方华创：公司没有对异丙醇胺的需求,每日经济新闻
71,2021-11-15,至纯科技：今年半导体设备营收或翻两倍，大基金何以青睐它？,第一财经
72,2021-11-15,科技硬件周报：半导体板块高景气度延续、关注5G+AIOT新机遇,新浪
73,2021-11-15,融资客青睐7股，未来股份买入占比高达42.68%,Wind
74,2021-11-15,305家公司公布最新股东户数,证券之星
75,2021-11-15,电子行业周报：杂音干扰的旺季VS乐观看待的明年,新浪
76,2021-11-14,招商策略：风格悄然变化原因和年底布局思路,Wind
77,2021-11-14,北方华创：研究框架（100页）,半导体风向标
78,2021-11-14,600亿浮盈“诱惑”下，大基金开始了减持潮 减持股份,腾讯网
79,2021-11-12,北向资金再度加仓超36亿，东方财富本周净买入近28亿,Wind
80,2021-11-12,电子行业周报：消费电子估值显现吸引力,新浪
81,2021-11-12,国家大基金又减持3家公司，大基金二期布局已在路上 减持股份,资本邦
82,2021-11-12,2300亿中芯国际突发“大地震”，国家大基金减持三只科技股,Wind
83,2021-11-12,每日理财观察: MSCI公布半年度指数评审结果,Wind
84,2021-11-12,"大基金加速""收网""，一晚减持3家公司！战略性转移？二期资金加速布局这些个股 减持股份",券商中国
85,2021-11-12,北向资金净买入A股86亿元，超18亿元扫货东方财富，还加仓了这些股（名单）,21世纪经济报道
86,2021-11-12,国家大基金又减持！大基金二期风格有变？,Wind
87,2021-11-11,中银证券：给予安路科技评级,证券之星
88,2021-11-11,深港通十大成交活跃股排名（11月11日）,Wind
89,2021-11-11,股价创历史新高股一览,证券时报网
90,2021-11-11,半导体设备行业系列报告之一：高景气赛道 国内企业崭露头角,新浪
91,2021-11-11,金融街下午茶2021年11月11日星期四,Wind
92,2021-11-11,大基金密集加仓！半导体景气度不减，北方华创等创历史新高,证券之星
93,2021-11-11,半导体设备持续走高，芯源微涨停、北方华创创新高,第一财经
94,2021-11-11,A股收盘综述：地产股掀起涨停潮，半导体、元宇宙高空加油,Wind
95,2021-11-11,北方华创涨停 半导体概念股集体飙升 机构：国产化仍是行业最强主线,第一财经
96,2021-11-11,快讯：北方华创涨停 报于452.1元,金融界
97,2021-11-11,芯源微、瑞芯微、北方华创涨停，国科微、全志科技涨超10%，芯片ETF（512760）涨超3.5%,资本邦
98,2021-11-11,半导体设备股拉升 北方华创封涨停板,格隆汇
99,2021-11-11,快讯：半导体芯片股午后继续走高 芯源微、晓程科技、北方华创等多股涨停,新浪
100,2021-11-11,北方华创封住涨停并创新高，芯片板块午后继续扩大升幅,Wind
101,2021-11-11,北方华创涨停，股价创历史新高,Wind
102,2021-11-11,半导体龙头涨近9%创新高，蔡嵩松浮盈5.3亿，百亿经理也赚了不少,AI财经社
103,2021-11-11,45亿资金加仓 半导体板块强势 这些个股获青睐,第一财经
104,2021-11-11,A股午盘综述：地产股爆发，招商、金地、泰禾、阳光城等封板,Wind
105,2021-11-11,中芯国际产业链指数冲高，北方华创涨超7%再创新高,Wind
106,2021-11-11,芯片股盘中快速走高，北方华创大涨5%,36氪
107,2021-11-11,快讯：芯片股盘中快速走高 北方华创股价创历史新高,财联社
108,2021-11-11,大基金出手！千亿巨头又遭减持...,Wind
109,2021-11-10,2021Q3电子板块财报解读,吉森电子研究
110,2021-11-10,电子行业周报：从美股大涨看中国半导体投资机遇,新浪
111,2021-11-09,2021三季度机械业绩总结报告：整体持续高增 专用设备表现亮眼,新浪
112,2021-11-09,北方华创：定增落地（附深度）,半导体风向标
113,2021-11-09,A股收评：沪指重回3500点，军工、芯片股携手走强，绿电股冲高回落,格隆汇
114,2021-11-09,东亚前海晨会|11月9日,新浪
115,2021-11-08,三季报回顾：核心龙头延续增长 半导体持续呈现高景气,新浪
116,2021-11-08,电子周报：半导体制造年会再次强调供应链安全 汽车电子持续景气,新浪
117,2021-11-07,元宇宙立功！游戏主题基金年内扭亏，机构百页研报预判20年趋势,华夏时报
118,2021-11-06,大基金投资节奏加快，中国半导体公司扩产忙,半导体行业观察
119,2021-11-05,51亿定增宣告完成！大基金二期喜提“打折价”！华天科技意欲何为？,财华社
