,2021-12-31,行业观察|半岛超声炮大火 医美设备厂商国产替代空间广阔,财联社
0,2021-12-31,粤开策略：明年1月A股有望实现开门红 重点关注三条主线投资机会,新浪
1,2021-12-31,华东医药：公司目前未研发非奈利酮,Wind
2,2021-12-31,华东医药：公司目前未有安宫牛黄丸产品，亦暂无研发该品种的计划,Wind
3,2021-12-31,老字号也玩跨界，云南白药拟增资5亿元入局医美，明年将开8家门诊,金融界
4,2021-12-31,进军医美！千亿中药龙头5亿增资子公司，推进医美产业链布局…这些药企也已布局，赛道前景如何？,证券时报
5,2021-12-30,工业微生物爆发式增长前夜，深度解读华东医药产业集群布局,同写意
6,2021-12-30,1.08亿元！一知名药企完成重磅收购,制药网
7,2021-12-30,一周内，国内药企又引进2款新药,制药网
8,2021-12-30,华东医药(000963)：拟收购华昌高科 布局工业微生物产业链,新浪
9,2021-12-29,华东医药：子公司拟投1.08亿元参与华昌高科破产重整 关联方问题,中华网
10,2021-12-29,华东医药又一重磅收购，抢占高附加值核苷类原料药新赛道,蒲公英
11,2021-12-29,A股异动 | 华东医药创逾5个月新高 子公司中美华东拟收购破产重整后的华昌高科100%股权 关联方问题,格隆汇
12,2021-12-29,Wind医药：每日行业动态（2021-12-29）,Wind
13,2021-12-29,A股早报2021年12月29日星期三,Wind
14,2021-12-29,华东医药参与华昌高科破产重整 减资破产,上证报
15,2021-12-29,中成药集采撬动投资，产业化进程提速,Wind
16,2021-12-28,华东医药：子公司全资收购华昌高科 开拓工业微生物新领域,中证网
17,2021-12-28,晚间重要公告2021年12月28日星期二,Wind
18,2021-12-28,加快工业微生物技术优势全球产业化发展 华东医药全资收购华昌高科,全景网
19,2021-12-28,华东医药(000963.SZ)：子公司中美华东拟收购破产重整后的华昌高科100%股权 关联方问题,格隆汇
20,2021-12-28,华东医药：参与华昌高科破产重整 收购其100%股权 减资破产,财联社
21,2021-12-28,华东医药今日大宗交易成交36万股，成交价38.7元溢价0.0%,Wind
22,2021-12-28,天士力被收智商税？ 首付2.5亿元引入进度落后的FRα ADC,新浪
23,2021-12-27,智通A股机构动向参考(12.27) | 年底乱象多,智通财经
24,2021-12-27,中药股价暴涨，哪些标的适合机构配置？【东吴医药朱国广团队】,国广有话说
25,2021-12-26,天士力3.85亿美元引进 FRα ADC 新药,新浪
26,2021-12-25,陇神戎发5天收获4个“20cm”，中药板块涨停潮会否持续？,Wind
27,2021-12-25,券商首次关注3股并给予买入评级（12月25日）,Wind
28,2021-12-24,尘埃落定，知名药企将清算核心子公司！,蒲公英
29,2021-12-24,知名药企拟注销医美板块核心子公司 业务变化,--
30,2021-12-24,长城国瑞证券：给予华东医药买入评级,证券之星
31,2021-12-24,长城国瑞证券给予华东医药买入评级：公司整体业绩有望企稳，医美业务未来可期,每日经济新闻
32,2021-12-24,国信证券：医美市场规模发展空间广阔 行业景气度持续,证券时报网
33,2021-12-23,让多家企业惦记的“童颜针们”是什么来头,北京商报
34,2021-12-23,已是定局，知名药企将清算核心子公司！,微信
35,2021-12-23,“杭州板块”迈入200+，新经济新制造奔涌而来,Wind
36,2021-12-22,华东宁波被清算已是定局，华东医药失去医美“半壁江山”！,新浪
37,2021-12-22,华东医药、人福医药等多药企昨遭北向资金席位净流入,制药网
38,2021-12-21,华东医药：公司具备完备的冷链物流配送服务体系和专业能力，冷链物流配送业务处于全国领先水平,每日经济新闻
39,2021-12-21,华东医药：公司目前暂无在国内新建Ellansé?伊妍仕?生产线的计划,每日经济新闻
40,2021-12-21,华东医药：公司医美产品Ellansé?伊妍仕?不存在与王力宏合作代言关系,每日经济新闻
41,2021-12-21,华东医药：原研西格列汀化合物在我国的专利将于2022年到期,每日经济新闻
42,2021-12-21,华东医药：公司西格列汀二甲双胍片将于明年原研专利到期后正式上市销售,格隆汇
43,2021-12-21,华东医药：Ellansé?伊妍仕?自上市后受到市场广泛关注及欢迎，医美机构订单踊跃，客户使用反馈良好,每日经济新闻
44,2021-12-21,华东医药：控股子公司珲达生物自成立以来，已与多家国内外知名医药企业建立业务关系，海外业务占比超90%,每日经济新闻
45,2021-12-21,华东医药：公司未研发及销售减肥药“悦小妖”产品,Wind
46,2021-12-21,华东医药：公司治疗晚期非小细胞肺癌的迈华替尼正在开展3期临床试验，已完成3期临床受试者整体入组,每日经济新闻
47,2021-12-21,华东医药：公司2020年年度报告中列示存货中的原材料大部分为医药工业产品相关原材料,Wind
48,2021-12-21,华东医药：TTP273目前正在中国大陆、台湾地区开展2期临床试验,Wind
49,2021-12-21,华东医药：公司没有研发及销售悦小妖产品,每日经济新闻
50,2021-12-21,华东医药：治疗晚期非小细胞肺癌的迈华替尼正在开展3期临床试验 预计明年结束3期临床后开展上市申报工作,财联社
51,2021-12-16,为了“美”这档事，华东医药“母子内斗”再起波澜,国际金融报
52,2021-12-16,华东医药子公司小股东提起上诉 诉讼纠纷,Bianews
53,2021-12-14,华东医药全球首创FRα靶向ADC药物完成中国首例患者给药 加速ADC产业纵深布局,凤凰网
