,2021-12-31,夜读·房企融资｜华侨城、厦门国贸拟发行超短期融资券,贝壳财经
0,2021-12-31,华侨城：拟发行20亿元超短期融资券,和讯
1,2021-12-31,财面儿丨前海人寿及钜盛华合计减持华侨城9673万股 减持比例超1% 减持股份,财经网
2,2021-12-31,财面儿丨华侨城拟发行20亿元超短期融资券 利率区间2.3%-2.8%,财经网
3,2021-12-31,前海人寿减持华侨城9673.93万股 减持比1.18% 减持股份,金融界
4,2021-12-31,前海人寿及钜盛华合计减持华侨城9673万股 减持股份比例1.18% 减持股份,观点地产网
5,2021-12-31,华侨城A：持股5%以上股东及一致行动人累计减持9673.93万股 占公司总股本比例1.18% 减持股份,发布易
6,2021-12-31,华侨城拟发行20亿元超短期融资券，期限为254天,乐居财经
7,2021-12-31,华侨城A(000069.SZ)股东前海人寿等减持9673.93万股 减持股份,智通财经
8,2021-12-31,华侨城A：前海人寿及钜盛华合计减持9673.93万股股份 减持比例1.18% 减持股份,中金在线
9,2021-12-31,前海人寿及钜盛华合计减持华侨城1.18%股份 减持股份,乐居财经
10,2021-12-31,华侨城A：股东前海人寿保险股份有限公司及一致行动人累计减持1.18%股份 减持股份,Wind
11,2021-12-30,华侨城将两子公司2.6亿元担保额度调至江门华侨城投资 大额借贷担保,乐居财经
12,2021-12-30,华侨城拟转让太原三家置业公司5%股权 涉资1500万元,中国房地产网
13,2021-12-30,多家房企遭遇险资减持：险资在逃离还是调仓？ 减持股份,新京报
14,2021-12-30,华侨城拟转让太原3家置业公司部分股权,中金在线
15,2021-12-30,华侨城拟转让3家太原置业公司5%股权 底价合计1500万元,观点地产网
16,2021-12-30,华侨城拟以500万元转让太原侨隆置业5%股权,中金在线
17,2021-12-29,华侨城Ａ：公司文旅企业具备丰富的体验场景，正在积极研究和探讨打造虚拟景区和元宇宙场景,每日经济新闻
18,2021-12-29,华侨城汽车欢乐世界落户广州白云区 投资额120亿,观点地产网
19,2021-12-29,古镇“活化” 加速文旅产业升级,证券时报
20,2021-12-28,合肥城建收到华侨城实业归还财务资助600万元 剩余待偿还2.14亿,观点地产网
21,2021-12-28,合肥城建(002208.SZ)收到参股公司华侨城实业归还的财务资助款项600万元,智通财经
22,2021-12-28,华侨城A:调剂子公司2.66亿元担保额度 大额借贷担保,金融界
23,2021-12-27,华侨城调剂子公司担保额度 涉及金额2.66亿元 大额借贷担保,观点地产网
24,2021-12-27,华侨城Ａ：公司旅游综合业务收入来源于旅游综合项目中的旅游地产综合体、城区综合配套等多业态,每日经济新闻
25,2021-12-25,西安启动新一轮核酸筛查，未完成者或禁止出入超市菜场等地,新浪
26,2021-12-24,上海卖地，董秘“玩”减持！华侨城怎么了？ 减持股份,搜狐
27,2021-12-24,朸濬国际就租赁招商蛇口、华侨城共同开发的深圳物业签订意向书,观点地产网
28,2021-12-24,【要闻回顾】宋都股份董事长被罚没1.47亿元 海昌海洋公园宣布卖掉4个主题公园,融资中国
