,2021-12-31,ABB携手华域汽车，加码汽车智造升级,Ofweek
0,2021-12-31,华域汽车大宗交易成交额843.60万元,我的钢铁
1,2021-12-30,华域汽车今日大宗交易成交60万股，成交价28.12元溢价0.0%,Wind
2,2021-12-30,华域汽车大宗交易成交30.00万股 成交额843.60万元,证券时报网
3,2021-12-30,华域汽车现1笔大宗交易 共成交843.60万元,新浪
4,2021-12-30,华域汽车携手ABB，加速推进智能制造转型升级,Wind
5,2021-12-29,智能驾驶系列报告之二：“软硬件解耦”将加速行业重构,广发证券
6,2021-12-28,晚讯：知乎回应赴港上市传闻 安琪酵母终止宏裕包材分拆上市,GPLP犀牛财经
7,2021-12-28,华域汽车：拟3.98亿向法雷奥国际控股出售法雷奥雨刮27%股份,资本邦
8,2021-12-28,A股早报2021年12月28日星期二,Wind
9,2021-12-27,晚间重要公告2021年12月27日星期一,Wind
10,2021-12-27,华域汽车今日大宗交易成交105万股，成交价28.37元溢价0.0%,Wind
11,2021-12-27,"华域汽车现1笔大宗交易 共成交2,978.85万元",新浪
12,2021-12-27,华域汽车：拟3.98亿元出售法雷奥雨刮公司27%股权,e公司
13,2021-12-27,华域汽车：全资子公司出售上海法雷奥汽车电机雨刮系统有限公司27%股权,每日经济新闻
14,2021-12-27,华域汽车(600741.SH)实业交通拟以3.98亿元出售法雷奥雨刮27%股权,智通财经
15,2021-12-20,苏轴股份：在新能源汽车领域与上汽、华域汽车等客户存在正向研发及合作,财联社
16,2021-12-20,华域汽车12月20日大宗交易成交1638.66万元,证券时报网
17,2021-12-20,"华域汽车现1笔大宗交易 共成交1,638.66万元",新浪
18,2021-12-20,华域汽车今日大宗交易成交62万股，成交价26.43元溢价0.0%,Wind
19,2021-12-18,数据解放生产力——琰究汽车数据系列（2021年11月）【华西汽车 崔琰团队】,汽车琰究
20,2021-12-17,【天风汽车】关于智能电动汽车的四问四答|天风问答系列,微信
21,2021-12-16,汽车轻量化新突破丨“涉猎广泛”的华域汽车如何破解增长难题？,财华社
22,2021-12-15,华域汽车现1笔大宗交易 共成交886.14万元,新浪
23,2021-12-15,东莞证券：预计汽车12月产销有望延续环比增长势头,Wind
24,2021-12-15,东莞证券：预计汽车12月产销有望延续环比增长势头,证券时报网
25,2021-12-14,【银河汽车】2022年度策略丨智驾竞赛火热，自主品牌崛起,中国银河证券研究
26,2021-12-13,【渤海证券 汽车】销量环比持续改善，新能源汽车冲量创新高——汽车行业月报——中性,渤海证券研究
27,2021-12-08,汽车轻量化新突破丨弯道超车，汽车轻量化方兴未艾,财华社
28,2021-12-08,内饰业务全球布局，多点开花打破垄断，华域汽车再次腾飞,中金在线
29,2021-12-07,快讯：华域汽车涨停 报于30.31元,金融界
30,2021-12-07,华域汽车大涨,新浪
31,2021-12-07,华域汽车首板，汽车零部件概念股,Wind
32,2021-12-06,汽车行业周报：自主品牌销量加速向上,国海证券
33,2021-12-05,汽车行业周报：11月前三周累计批发环比+15% 看好自主崛起,新浪
34,2021-12-03,汽车行业2022年度策略报告：智能车1.0迈入加法时代,新浪
35,2021-12-03,汽车事件点评：新势力引领自主崛起,国海证券
36,2021-12-02,汽车板块持续火爆，3张图比一比汽车零部件和整车公司谁更佳？,Wind
37,2021-12-02,快讯：华域汽车涨停 报于28.11元,金融界
38,2021-12-02,华域汽车首板，汽车零部件概念股,Wind
39,2021-12-02,华域汽车大宗交易成交1788.50万元,我的钢铁
40,2021-12-01,"华域汽车现1笔大宗交易 共成交1,788.50万元",新浪
41,2021-12-01,华域汽车今日大宗交易成交70万股，成交价25.55元溢价0.0%,Wind
42,2021-12-01,【汽车】汽车行业2022年投资策略—景气回升，持续看好智能电动汽车赛道,中银证券研究
43,2021-11-30,汽车行业2021年11月：芯片供应持续改善 助力产销边际向好,新浪
44,2021-11-29,华域汽车入股国策投资，持股7%,乐居财经
45,2021-11-29,华域汽车投资国策投资，后者经营范围含资产管理等,搜狐
46,2021-11-29,汽车行业周报：关注电动智能化受益标的,新浪
47,2021-11-29,汽车行业周报：11月前三周累计批发环比+15% 看好自主崛起,新浪
48,2021-11-26,华域汽车关联公司成立汽车内饰系统有限公司，注册资本1000万,贝壳财经
49,2021-11-24,比元宇宙还牛！低调板块走出一批慢牛,Wind
50,2021-11-23,数据解放生产力——琰究汽车数据系列（2021年10月）【华西汽车 崔琰团队】,汽车琰究
51,2021-11-22,汽车行业周报：氢燃料电池汽车市场关注度提升,新浪
52,2021-11-22,汽车行业周报：广州车展：电动智能加速 自主品牌向上,新浪
53,2021-11-19,南财脱水研报丨汽车零部件板块再度走强，产销验证缺芯改善持续性，电动智能化加速自主发展,21经济网
54,2021-11-19,华域汽车(600741.SH)提名补选施文华为监事候选人,智通财经
55,2021-11-18,汽车行业深度研究：特斯拉生产制造革命：4680CTC,国海证券
56,2021-11-18,“数据会说话”之2021年10月数据解读：10月社零数据符合预期 看好中国消费韧性,新浪
57,2021-11-17,新能源10月月报：新能源渗透率&自主市占率微幅回落 长期趋势依然向上,新浪
58,2021-11-17,汽车行业深度报告：展望2022年新能源汽车增量结构,新浪
59,2021-11-15,华域汽车：公司电子分公司已完成4D成像毫米波雷达产品的自主研发,Wind
60,2021-11-15,汽车及零部件观点聚焦：内饰升级方兴未艾 自主龙头扬帆起航,新浪
61,2021-11-13,世界零售巨头宣布进军自动驾驶，低估值高增长概念股名单来了,Wind
62,2021-11-12,汽车行业月报：复苏进行时 未来尤可期,渤海证券
63,2021-11-12,汽车与零部件行业深度报告：行业最差时期过去 优质整车和零部件盈利和估值将共振,新浪
64,2021-11-12,社保基金连续五年重仓三大行业，长期持有31股,Wind
65,2021-11-11,华域汽车11月11日大宗交易成交1564.80万元,证券时报网
66,2021-11-11,"华域汽车现1笔大宗交易 共成交1,564.80万元",新浪
67,2021-11-09,汽车行业专题研究：芯片供给改善 关注车市年底冲量,新浪
68,2021-11-08,新能源汽车行业周报：10月比亚迪新能源销量高增 上汽环比两位数增长,渤海证券
69,2021-11-08,华域汽车：公司所属华域汽车电动系统有限公司生产的车用扁线驱动电机，主要为荣威、名爵等上汽乘用车部分插电混动、纯电车型，以及上汽通用部分新能源车型提供批量供货,每日经济新闻
70,2021-11-08,汽车行业基金持仓报告：Q3配置环比提升 预计Q4行业景气度进一步上行,国海证券
71,2021-11-05,汽车行业2021年三季报业绩综述：渡过芯片和原材料最大压力时刻 后续有望企稳回升,新浪
72,2021-11-05,智能电动汽车2022年投资策略：电动汽车普及 智能化加速,新浪
73,2021-11-04,华域汽车：吉利汽车是延锋公司的重要客户之一，主要供货产品包括仪表板、副仪表板、仪表、门板等,每日经济新闻
74,2021-11-03,华域汽车今日大宗交易成交72万股，成交价25.88元溢价0.0%,Wind
75,2021-11-03,"华域汽车现1笔大宗交易 共成交1,863.36万元",新浪
76,2021-11-03,公募基金持股市值创新高，社保显著加仓周期股（附表）,Wind
77,2021-11-03,汽车行业：21年数据点评系列二十二：新能源车延续高景气,广发证券
78,2021-11-02,"华域汽车现1笔大宗交易 共成交2,326.50万元",新浪
79,2021-11-02,华域汽车今日大宗交易成交90万股，成交价25.85元溢价0.0%,Wind
80,2021-11-01,华域汽车关联公司成立新公司，经营范围含汽车零部件研发等,新京报
81,2021-11-01,私募大佬放大招！看邓晓峰、冯柳、裘国根等最新持仓,Wind
82,2021-10-30,国海证券给予华域汽车买入评级：Q3 业绩符合预期，座椅业务收购促盈利能力提升,每日经济新闻
83,2021-10-30,国海证券：给予华域汽车买入评级,证券之星
84,2021-10-30,东吴证券给予华域汽车买入评级，2021年三季度报告点评，近期获2份券商研报关注，目标均价涨幅17.8%,每日经济新闻
85,2021-10-29,华域汽车(600741)2021年三季报点评：Q3业绩超预期 智能、并购打开格局,新浪
86,2021-10-29,平安证券：给予华域汽车增持评级,证券之星
87,2021-10-29,华域汽车021年三季报点评：经营逐季回升、总体趋稳,微信
88,2021-10-29,【2021年三季度报告点评/华域汽车】座椅业务完成整合，出海战略持续推进,东吴汽车黄细里团队
89,2021-10-29,多业务现增势，华域汽车前三季度净利上涨51.56%,盖世汽车
90,2021-10-29,华域汽车(600741)：毛利率逆市环比提升 预计智能化、电动化产品将是新增长点,新浪
91,2021-10-28,华域汽车三季度净利润为19.71亿元,北京商报
92,2021-10-28,华域汽车(600741.SH)：第三季度净利增9.80%至19.71亿元,格隆汇
93,2021-10-28,华域汽车：前三季度净利润47.02亿元 同比增长51.56%,中证网
94,2021-10-28,新鲜出炉！华域汽车：2021年第三季度净利润约19.71亿元，同比增长9.8%,每日经济新闻
95,2021-10-28,图解华域汽车三季报：第三季度单季净利润同比增9.80%,证券之星
96,2021-10-28,华域汽车：前三季度净利润同比增长51.56%,Wind
97,2021-10-28,华域汽车：大宗交易成交605.44万元,我的钢铁
98,2021-10-27,华域汽车今日大宗交易成交22万股，成交价27.52元溢价0.0%,Wind
99,2021-10-27,中信证券晨会,新浪
100,2021-10-26,汽车行业：21年数据点评系列二十：终端需求整体无忧 新能源渗透率持续提升,广发证券
101,2021-10-25,汽车周报：缺芯改善+库存低位+大宗商品价格高位震荡边际回落 再次确认行业配置良机,新浪
102,2021-10-23,深度*行业*汽车行业月报：9月产销同比下降但环比增长 新能源产销再创新高,新浪
103,2021-10-22,汽车进入铝合金时代：铝压铸件、汽车铝板、电池盒有望迎来投资黄金期,华福证券有限责任公司
104,2021-10-18,汽车行业周报：9月产销好于预期 新能源渗透率持续提升,新浪
105,2021-10-18,汽车行业周报：9月新能源乘用车国内零售渗透率21.1%,新浪
106,2021-10-18,汽车周报：国产崛起+缺芯反转共振 汽车零部件迎配置良机,新浪
107,2021-10-17,汽车行业周报：9月整体批发环比+15% 看好自主崛起,新浪
108,2021-10-15,汽车行业月报：“缺芯”最严重时刻已过 四季度行业复苏可期,渤海证券
109,2021-10-14,汽车行业：“金九”成色不足 “银十”渐入佳境,新浪
110,2021-10-13,汽车行业跟踪点评：9月汽车产销环比改善 新能源车保持强势增长,新浪
111,2021-10-13,汽车行业月度销量点评：9月销量环比回升 芯片供给压力减弱,新浪
112,2021-10-13,汽车行业点评报告：9月批发环比+15% 芯片改善幅度超预期,新浪
113,2021-10-13,中金公司：汽车零部件板块补库周期将至，新兴需求渐清,Wind
114,2021-10-12,2021年9月乘用车销量点评：9月新能源零售渗透率突破20% 芯片供应边际改善信号显现,新浪
115,2021-10-11,华域汽车：公司目前生产、经营情况正常,每日经济新闻
