,2021-12-31,万泰生物、华大基因、安图生物……谁是成长能力最强的体外诊断企业？,Ofweek
0,2021-12-31,华大基因：华大智造系上市公司的关联公司，上市公司和华大智造独立运营,每日经济新闻
1,2021-12-30,华大基因12月30日大宗交易成交408.20万元,证券时报网
2,2021-12-29,华大基因大宗交易成交405.65万元,证券时报网
3,2021-12-29,高瓴已抢先布局！支持国产风频吹，这条“卡脖子”赛道内大有玄机！,瞪羚社
4,2021-12-29,华大基因现1笔大宗交易 共成交405.65万元,新浪
5,2021-12-29,华大基因今日大宗交易成交5万股，成交价81.13元折价8.01%,Wind
6,2021-12-28,华大基因两款肿瘤基因检测产品获欧盟CE准入资质,e公司
7,2021-12-28,华大基因董事长汪建合计增持0.07%股份,乐居财经
8,2021-12-28,华大基因(300676.SZ)：实控人增持期过半 累计增持30.11万股,格隆汇
9,2021-12-28,华大基因(300676.SZ)实控人汪建已增持30.11万股 增持时间过半,智通财经
10,2021-12-28,华大基因：建立了基于本地化基因检测分析解决方案的一体机HALOS,每日经济新闻
11,2021-12-28,"华大基因：2021年上半年，公司在美洲地区的收入金额为227,384,596.63元人民币",每日经济新闻
12,2021-12-27,"华大基因现2笔大宗交易 共成交1,084.39万元",新浪
13,2021-12-27,华大基因今日大宗交易成交10万股，成交价83.62元折价6.95%,Wind
14,2021-12-24,华大基因荣获2021年长青奖—可持续发展创新奖,中国网
15,2021-12-24,华大基因现1笔大宗交易 共成交813.51万元,新浪
16,2021-12-24,华大基因今日大宗交易成交9.85万股，成交价82.59元折价7.16%,Wind
17,2021-12-23,A股早报2021年12月23日星期四,Wind
18,2021-12-22,晚间重要公告2021年12月22日星期三,Wind
19,2021-12-22,华大基因：拟以债转股及股权受让取得早知道科技10.97%股权,财联社
20,2021-12-22,华大基因(300676.SZ)实控人汪建增持30.11万股,智通财经
21,2021-12-22,华大基因(300676.SZ)：拟以债转股及股权受让取得早知道科技10.9667%的股权,格隆汇
22,2021-12-22,华大基因：拟购买游离RNA技术组合,e公司
23,2021-12-22,华大基因(300676.SZ)拟1499.59万元购买华大研究院的游离RNA技术组合,智通财经
24,2021-12-22,华大基因：董事长汪建增持30万股公司股份,每日经济新闻
25,2021-12-22,华大基因(300676.SZ)控股股东华大控股解质133万股及质押1500万股,智通财经
26,2021-12-22,华大基因：控股股东华大控股累计质押约7966万股,每日经济新闻
27,2021-12-22,华大基因：董事长汪建增持计划下的增持金额已实施过半,Wind
28,2021-12-22,供货价最低5.38元，那些做新冠核酸检测的企业还能赚到钱吗？,财经杂志
29,2021-12-22,"华大基因现2笔大宗交易 共成交1,636.00万元",新浪
30,2021-12-22,华大基因参股成立创业投资基金合伙企业，持股25%,乐居财经
31,2021-12-21,华大基因现2笔大宗交易 均为折价成交,证券时报网
32,2021-12-21,"华大基因现2笔大宗交易 共成交1,435.59万元",新浪
33,2021-12-21,华大基因今日大宗交易成交17.55万股，成交价81.8元折价7.0%,Wind
34,2021-12-21,华大基因：公司利用测序平台和质谱平台可以实现多个方向的研究和服务,每日经济新闻
35,2021-12-21,华大基因：在实现海外业务可持续发展方面具有显著优势,Wind
36,2021-12-21,华大基因：截至2021年10月28日深圳和玉高林持有3.57%公司股份,Wind
37,2021-12-21,华大基因：“火眼”实验室已在国内多个主要城市落地,每日经济新闻
38,2021-12-21,华大基因：深圳和玉高林股权投资合伙企业（有限合伙）持有公司3.57%股权,每日经济新闻
39,2021-12-21,"华大基因副总裁刘娜受邀参与2021首届南方论健高峰论坛,探索一站式精准健康管理服务",Ofweek
40,2021-12-20,华大基因现2笔大宗交易 总成交金额2641.81万元,证券时报网
41,2021-12-20,"华大基因现2笔大宗交易 共成交2,641.81万元",新浪
42,2021-12-19,揭秘牛股4大基因！18股或成下一个十倍牛股,Wind
43,2021-12-18,华大基因：于11月30日调研我司,证券之星
44,2021-12-17,华大基因现6笔大宗交易 均为折价成交,证券时报网
