,2021-12-21,华峰化学：目前公司聚氨酯原液产销平衡,Wind
0,2021-12-20,化工周报：原油价格继续下挫；周期龙头、折叠屏材料相关标的表现活跃,新浪
1,2021-12-15,干货！2022年中国聚氨酯行业龙头企业分析——万华化学：聚氨酯行业的“领头羊”,前瞻研究院
2,2021-12-13,华峰化学最新公告：非公开发行股票申请获审核通过,证券之星
3,2021-12-13,华峰化学(002064.SZ)非公开发行股票申请获中国证监会发行审核委员会审核通过,智通财经
4,2021-12-10,万华化学、华峰化学、石大胜华，谁是成长能力最强的聚氨酯企业？,Ofweek
5,2021-12-05,化工行业2022年投资策略：一半是海水 一半是火焰,广发证券
6,2021-12-02,华峰化学(002064)：发审委会议准备工作告知函回复,证券时报网
7,2021-12-01,华峰化学：公司2020年度己二酸产量约68万吨，产能利用率为92%,每日经济新闻
8,2021-12-01,华峰化学：公司目前氨纶产能22.5万吨/年,Wind
9,2021-11-30,基础化工行业周报：甘氨酸、萤石等价格延续涨势 DMC、人造石墨负极、尿素、黄磷等价格上涨,新浪
10,2021-11-29,华峰化学：公司主要产品为氨纶、己二酸、聚氨酯原液,每日经济新闻
11,2021-11-29,华峰化学：控股股东华峰集团不会参与认购本次非公开发行股票,Wind
12,2021-11-27,涉及超5500亿规模基金！新一轮指数样本大调整出炉,Wind
13,2021-11-23,化工行业周报：农药价格部分回归理性 多氟多与比亚迪签订战略协议,新浪
14,2021-11-22,化工周报：北交所正式开盘；双碳系列政策持续落地、煤化工行业频出新动态,新浪
15,2021-11-22,“炼化-化纤”产业链周报：湖北将打造万亿级现代化工及能源产业 国际油价持续下跌,新浪
16,2021-11-22,化工行业周报：房地产融资环境改善 继续关注化工估值修复机会,新浪
17,2021-11-18,华峰化学：公司研发总部项目的实施单位为公司全资子公司“上海华峰科技发展有限公司”，并已成功竞得上述土地使用权，后续相关手续正在积极办理过程中,每日经济新闻
18,2021-11-18,华峰化学：目前公司主要原材料价格没有大幅波动，公司产品成本较稳定,每日经济新闻
19,2021-11-18,华峰化学(002064.SZ)：辽宁华峰破产清算纠纷案调解结案 减资破产,格隆汇
20,2021-11-18,华峰化学：公司无己二腈业务,Wind
21,2021-11-18,华峰化学：公司无己二腈业务,每日经济新闻
22,2021-11-15,化工行业周报：碳中和背景下 继续看好高景气新能源化工材料,新浪
23,2021-11-10,化工行业周报：轮胎景气度回升 石大胜华积极布局新能源,新浪
24,2021-11-08,“炼化-化纤”产业链周报：三季度炼化板块公司业绩整体提升 PA66、炼油价差走强,新浪
25,2021-11-07,华峰化学(002064.SZ)控股股东参与转融通证券出借业务,智通财经
26,2021-11-05,华峰化学：公司非公开相关工作正积极推进中，目前尚处于证监会审核阶段,每日经济新闻
27,2021-11-03,基础化工行业周报：油价下跌 无水氢氟酸、除草剂、丁基橡胶等产品价格上涨,新浪
28,2021-11-01,行情火热也要居安思危，氨纶行业协同发展论坛纵论新阶段新形势,全球纺织网
29,2021-11-01,华峰化学：增资28亿元投产氨纶,面包财经
30,2021-10-30,机构三季度持股趋分散，大资金偏爱钢铁和有色,Wind
31,2021-10-29,险资持仓出炉！850亿市值科技龙头再获加仓,Wind
32,2021-10-29,华峰化学三季报：产品价格抬高拉动业绩增长 定增募资28亿元扩产氨纶行业竞争或加剧,面包财经
33,2021-10-28,华峰化学(002064)：氨纶景气维持高位 业绩续创新高,新浪
34,2021-10-27,化工行业动态：重点覆盖公司3季报业绩前瞻,新浪
35,2021-10-27,中泰证券维持华峰化学买入评级：氨纶景气单季业绩创新高，产能规划保障远期成长,每日经济新闻
36,2021-10-26,华峰化学三季度盈利22.76亿创新高 产品延续高景气加速扩产增强规模优势,长江商报
37,2021-10-26,西部证券维持华峰化学买入评级：Q3业绩持续高增，大规模扩建氨纶产能抢占份额,每日经济新闻
38,2021-10-25,开源证券维持华峰化学买入评级，公司信息更新报告：氨纶景气持续高位，龙头Q3业绩再创单季新高,每日经济新闻
39,2021-10-25,华峰化学(002064)：氨纶高景气延续 单季度业绩持续创新高,新浪
40,2021-10-25,机构今日看好这些个股,第一财经
41,2021-10-25,天风证券：给予华峰化学买入评级,证券之星
42,2021-10-25,天风证券维持华峰化学买入评级：氨纶维持高景气，三季度业绩维持增势,每日经济新闻
43,2021-10-25,A股早报2021年10月25日星期一,Wind
44,2021-10-25,华峰化学(002064)：单季盈利再创新高 新产能有望贡献增量,国海证券
45,2021-10-24,下周操盘攻略：3大央行将发声、迎战超级财报周,Wind
46,2021-10-24,华峰化学前三季净利同比增长393.61%,上证报
47,2021-10-24,晚间重要公告2021年10月24日星期日,Wind
48,2021-10-24,华峰化学(002064.SZ)：前三季净利61.27亿元 同比增长393.61%,格隆汇
49,2021-10-24,图解华峰化学三季报：第三季度单季净利润同比增295.02%,证券之星
50,2021-10-24,华峰化学：前三季度净利润同比增长393.61%,Wind
51,2021-10-20,石油化工行业“炼化-化纤”产业链周报：长丝受限电影响价格上涨 多家公司发布前三季度业绩预告,新浪
52,2021-10-18,华峰化学：公司2020年氨纶产量20.36万吨,Wind
53,2021-10-18,华峰化学：公司2021年非公开发行股票的募投项目为独立的项目，不涉及目前试生产的二期项目,每日经济新闻
54,2021-10-15,华峰化学(002064)：氨纶维持高景气 Q3业绩维持高增长,光大证券
55,2021-10-14,这个行业景气度超高！龙头企业净利预增近50倍，相关公司纷纷扩产,上证报
56,2021-10-13,2021年中国己二酸市场供需现状与产能分布情况 目前价格处于三年高位【组图】,前瞻研究院
57,2021-10-13,华峰化学(002064)2021年前三季度业绩预告点评：行业供不应求带动业绩大幅增长 新项目保障行业龙头成长可期,新浪
58,2021-10-13,国信证券：维持华峰化学(002064.SZ)“买入”评级 产品结构进一步优化,智通财经
59,2021-10-13,华峰化学(002064)：氨纶景气周期持续向好 3Q盈利大幅增长,新浪
60,2021-10-12,华峰化学三季报净利预增4倍，主营产品毛利率上升,阿尔法工场
61,2021-10-12,国信证券维持华峰化学买入评级，2021年前三季度业绩预告点评：业绩预计大幅增长，产品结构将进一步优化,每日经济新闻
62,2021-10-12,国信证券：给予华峰化学买入评级,证券之星
63,2021-10-12,【华峰化学 | 2021前三季度业绩预告点评：业绩预计大幅增长，产品结构将进一步优化】-国信证券,化工林谈
64,2021-10-12,北向掘金10月12日战绩： 朗姿股份涨停，宁波银行、老百姓、华峰化学等涨幅超过1%,新浪
65,2021-10-12,华峰化学(002064)：前三季度净利预增367%-399%,智通财经
66,2021-10-12,上市公司正负面新闻2021年10月12日星期二,Wind
67,2021-10-12,华峰化学股份有限公司2021年前三季度业绩预告,证券时报
68,2021-10-11,华峰化学：前三季度净利润同比预增367.30%至399.52%,中证网
69,2021-10-11,晚间重要公告2021年10月11日星期一,Wind
70,2021-10-11,华峰化学：化工行业景气度持续上升 前三季度业绩预增逾三倍,发布易
71,2021-10-11,华峰化学最新公告：前三季度预计同比增长367%-400%,证券之星
72,2021-10-11,华峰化学：前三季度净利预增367.3%至399.5% 主导产品量价齐升,e公司
73,2021-10-11,华峰化学：前三季度预计同比增长367%-400%,财联社
74,2021-10-11,华峰化学(002064.SZ)：前三季度业绩预盈58亿-62亿元，同比增长367.30%-399.52%,格隆汇
75,2021-10-11,华峰化学：前三季度预计净利润同比增长367.3%~399.52%,Wind
76,2021-10-11,华峰化学：预计前三季度净利润同比增长367.3%-399.52%,Wind
77,2021-10-07,华峰化学：公司生产经营情况正常,每日经济新闻
78,2021-09-30,北向资金9月净买入超300亿连续12个月加仓A股，批量扫货新能源产业链股,Wind
79,2021-09-28,化工行业周报：双控政策影响蔓延 硅产业链全线上涨,新浪
80,2021-09-28,A股异动丨华峰化学(002064.SZ)涨逾4% 300000吨/年差别化氨纶项目取得积极进展,格隆汇
81,2021-09-28,股价波动不改化工板块景气，继续看好具有能耗优势的子行业龙头,金融界
82,2021-09-27,华峰化学(002064.SZ)：子公司取得不动产权证书 将进一步推进“300000吨/年差别化氨纶项目”的建设实施,格隆汇
83,2021-09-27,化工行业周报：能耗双控进行时 继续看好受新能源拉动供需错配的化工子行业,新浪
84,2021-09-27,基础化工：油价上涨 制冷剂、工业硅、纯碱等产品价格继续上涨,新浪
85,2021-09-24,华峰化学：公司今年上半年环己酮产品产销平衡,Wind
86,2021-09-22,化工行业周报：能耗双控背景下关注高耗能产品价格弹性 继续看好新能源赛道上游材料核心标的,新浪
87,2021-09-22,基础化工行业：油价上涨 工业硅、纯碱、R134A等产品价格持续上涨,新浪
88,2021-09-15,基础化工行业2021半年报总结：景气回升带动业绩集体上涨 肥料、氟化工、化纤、聚氨酯、合成革等板块表现亮眼,新浪
89,2021-09-15,华峰化学今日大宗交易成交110.48万股，成交价14.84元溢价1.57%,Wind
90,2021-09-15,化工行业周报：磷化工产业链高位上行 双碱板块景气延续,新浪
91,2021-09-14,化工行业周报：烧碱货源紧张 有机硅价格节节攀升,新浪
92,2021-09-14,化工行业动态：尿素市场面临考验 磷矿石价格继续上涨,新浪
93,2021-09-07,化工行业周报：磷酸铁锂拉动锂电化工材料需求 继续推荐R142B-PVDF产业链,新浪
